Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL,Real Sto Return,Running Env Steps,Reward Loss,Itration
223.36,0,39.5366,24.1992,222.63,0,-316.2665100097656,0
248.04,1,38.0897,25.406,252.46,5000,-283.2846984863281,1
260.79,2,37.644,27.1067,235.78,10000,-295.1328430175781,2
288.61,3,36.8957,26.335,289.29,15000,-311.300537109375,3
349.45,4,39.4227,28.5262,345.38,20000,-344.1757507324219,4
335.36,5,37.3897,24.8079,329.79,25000,-342.14208984375,5
3.55,6,38.0321,77.9838,20.94,30000,-416.5574951171875,6
327.27,7,36.477,30.2432,305.69,35000,-315.74310302734375,7
1019.8,8,45.2759,40.4731,1020.14,40000,-428.4150390625,8
362.14,9,40.1321,26.8336,361.35,45000,-410.632080078125,9
584.13,10,39.5033,27.7391,568.29,50000,-412.27606201171875,10
35.06,11,43.458,61.3736,34.87,55000,-575.1542358398438,11
93.11,12,43.0221,40.0175,95.94,60000,-492.76507568359375,12
172.55,13,38.998,33.3536,281.05,65000,-424.7807312011719,13
78.88,14,38.9819,35.4483,78.71,70000,-388.6351623535156,14
213.16,15,41.4834,45.9433,212.51,75000,-494.3424987792969,15
1036.41,16,40.7495,32.5883,1037.25,80000,-540.0679931640625,16
267.85,17,39.5755,45.0319,268.78,85000,-442.1077880859375,17
393.77,18,37.4459,30.3414,409.73,90000,-315.594970703125,18
48.85,19,41.5298,196.0204,48.77,95000,-627.8525390625,19
1012.28,20,40.9901,23.7696,1015.66,100000,-521.2098999023438,20
1018.05,21,40.139,23.9772,1019.24,105000,-532.1651611328125,21
991.38,22,43.9296,31.1132,991.53,110000,-575.6915893554688,22
397.12,23,37.9535,24.7481,413.7,115000,-447.927490234375,23
1059.34,24,37.8274,28.9851,817.8,120000,-454.583251953125,24
1062.26,25,41.3212,35.4156,1064.05,125000,-620.4228515625,25
520.77,26,33.778,25.0557,526.45,130000,-380.02069091796875,26
1059.59,27,40.6655,49.417,1060.12,135000,-664.5198364257812,27
200.67,28,36.9912,34.8586,197.08,140000,-587.0082397460938,28
1048.82,29,39.3166,17.8273,1047.08,145000,-503.3688659667969,29
100.86,30,38.365,130.3579,106.33,150000,-461.79888916015625,30
181.91,31,39.0248,178.9181,181.96,155000,-452.90130615234375,31
67.74,32,42.8979,199.7827,67.91,160000,-797.921875,32
43.96,33,41.9687,131.0344,43.31,165000,-768.8613891601562,33
48.27,34,42.456,48.6939,44.64,170000,-808.7884521484375,34
403.77,35,39.1164,44.2159,403.48,175000,-614.2734375,35
62.26,36,38.5687,75.1095,62.22,180000,-417.55548095703125,36
105.73,37,37.0467,164.1979,107.06,185000,-806.1566772460938,37
254.1,38,39.0455,45.0019,276.17,190000,-569.1442260742188,38
