Real Det Return,Itration,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps,Running Update Time
323.21,0,18.8774,255.8302459716797,320.35,30.9746,0,0
318.06,1,22.0153,180.51052856445312,299.88,30.6952,5000,1
223.71,2,19.2514,27.179258346557617,230.64,31.1252,10000,2
197.21,3,22.6152,-23.18563461303711,262.34,29.3128,15000,3
330.12,4,22.7497,-73.64665222167969,340.09,29.3073,20000,4
463.97,5,21.1158,-67.68336486816406,426.7,29.198,25000,5
462.82,6,20.6501,-100.91236877441406,440.98,29.3035,30000,6
441.75,7,34.3214,-215.06236267089844,417.74,28.8755,35000,7
510.15,8,35.1287,-269.51171875,473.36,27.7568,40000,8
683.89,9,19.7666,-248.54795837402344,685.0,28.3429,45000,9
460.09,10,32.6568,-347.2041015625,506.74,27.7517,50000,10
637.25,11,30.0449,-383.7492370605469,646.99,26.3532,55000,11
901.85,12,26.4727,-391.702880859375,610.62,27.4852,60000,12
787.75,13,32.1183,-478.21392822265625,799.09,28.2069,65000,13
917.44,14,33.7241,-521.6184692382812,863.46,28.4369,70000,14
786.81,15,33.7914,-580.0311279296875,757.25,27.9114,75000,15
744.33,16,43.1293,-651.0180053710938,733.23,28.6001,80000,16
878.22,17,38.6288,-689.2161254882812,849.65,27.8838,85000,17
1061.8,18,32.0851,-732.3948974609375,769.75,26.9017,90000,18
2741.53,19,18.0753,-269.9815979003906,2534.71,25.0127,95000,19
2724.24,20,19.8329,-384.94073486328125,2130.74,25.3051,100000,20
1335.05,21,21.7761,-443.33050537109375,1878.07,25.0925,105000,21
2768.68,22,23.9763,-450.0960998535156,1825.81,24.2596,110000,22
3029.57,23,16.6649,-218.53659057617188,2443.04,24.4731,115000,23
940.44,24,28.1748,-949.7952880859375,914.42,26.2546,120000,24
3211.39,25,21.4694,-652.8349609375,2483.88,24.1755,125000,25
3274.01,26,20.4386,-636.1730346679688,2201.27,23.6328,130000,26
2690.71,27,28.2864,-1035.2698974609375,958.0,25.9204,135000,27
3151.0,28,22.1825,-743.2872924804688,2194.68,24.6521,140000,28
3157.86,29,17.8214,-509.5071105957031,2666.52,23.364,145000,29
3100.79,30,16.8134,-439.2510681152344,2529.66,23.1083,150000,30
3156.65,31,16.1849,-219.49237060546875,3227.36,23.0911,155000,31
3131.44,32,16.1341,-276.7267150878906,3047.8,23.413,160000,32
3027.7,33,14.7263,-359.77825927734375,2974.0,23.1798,165000,33
3205.98,34,15.3824,-390.9929504394531,3158.4,22.3672,170000,34
3277.18,35,15.3247,-294.708251953125,2956.07,22.9072,175000,35
3233.27,36,14.8333,-455.1001281738281,2809.35,23.2924,180000,36
3247.84,37,17.0859,-299.7439880371094,3252.71,23.3285,185000,37
3260.36,38,14.9513,-383.0528869628906,2910.41,22.6215,190000,38
3215.54,39,15.7624,-472.2160339355469,2649.24,23.0575,195000,39
3253.87,40,15.7688,-241.87225341796875,3036.68,22.3598,200000,40
3266.7,41,14.5096,-302.63031005859375,3085.37,22.2195,205000,41
3301.8,42,14.7021,-320.2446594238281,3161.13,21.7819,210000,42
3152.33,43,13.7956,-416.5497131347656,2784.04,23.264,215000,43
3350.85,44,14.2872,-269.68560791015625,3268.44,22.1461,220000,44
3298.24,45,15.0097,-370.70355224609375,3124.86,22.6395,225000,45
3328.11,46,14.4542,-356.0193786621094,3235.45,22.4575,230000,46
2348.84,47,14.2356,-467.8570556640625,2900.91,22.0558,235000,47
3305.1,48,13.8188,-328.8966979980469,3263.67,21.7819,240000,48
3316.24,49,15.3737,-506.75927734375,3305.15,22.3012,245000,49
3340.26,50,13.7542,-345.44012451171875,3310.93,21.6104,250000,50
3203.06,51,14.6294,-449.6080627441406,3185.45,22.7218,255000,51
3290.3,52,13.591,-424.26300048828125,3205.74,21.9803,260000,52
3283.07,53,15.0253,-462.73638916015625,3257.05,22.7297,265000,53
3305.44,54,14.225,-421.1737365722656,3136.41,21.4685,270000,54
3333.6,55,14.0791,-374.58380126953125,3304.47,21.1573,275000,55
3294.93,56,13.8859,-420.36859130859375,3096.64,21.4229,280000,56
3368.05,57,12.9301,-381.26605224609375,3099.76,21.101,285000,57
3312.43,58,13.4822,-420.8187561035156,3294.78,21.5908,290000,58
3276.86,59,13.2275,-455.14385986328125,3089.1,21.5599,295000,59
3310.47,60,13.604,-467.2237243652344,3271.88,21.4157,300000,60
3266.36,61,13.5375,-522.7454223632812,3255.82,21.6958,305000,61
3346.37,62,12.7837,-426.80694580078125,3314.27,20.8476,310000,62
3330.49,63,12.7867,-461.364501953125,3278.45,20.8257,315000,63
3297.3,64,13.2332,-487.3746337890625,3288.75,21.2694,320000,64
3315.84,65,12.4866,-440.3369140625,3292.59,20.8664,325000,65
3311.22,66,13.8297,-541.8522338867188,3284.55,22.0539,330000,66
3311.21,67,13.6035,-483.6217041015625,3014.7,21.16,335000,67
3293.61,68,14.0821,-598.2172241210938,3254.75,21.9067,340000,68
3338.94,69,13.2364,-425.54718017578125,3321.67,20.2207,345000,69
3302.13,70,12.628,-468.841552734375,3281.91,20.3413,350000,70
3325.21,71,13.2765,-511.6335144042969,3296.71,20.9925,355000,71
3244.54,72,14.6554,-622.7771606445312,3259.65,22.4496,360000,72
3365.41,73,13.1983,-504.3633117675781,3340.38,20.6661,365000,73
3317.26,74,14.5649,-559.8660278320312,3290.96,22.2392,370000,74
3278.44,75,13.6889,-609.521728515625,3253.37,21.4798,375000,75
3337.79,76,12.9937,-533.3507690429688,3330.57,20.8986,380000,76
3363.85,77,13.7403,-525.4593505859375,3351.56,20.8559,385000,77
3342.72,78,14.7741,-580.2857666015625,3333.1,22.1632,390000,78
3316.49,79,12.8543,-619.7080078125,3294.42,20.6575,395000,79
3364.0,80,13.5055,-504.18255615234375,3349.99,20.7245,400000,80
3351.15,81,12.518,-557.3594970703125,3315.36,20.0054,405000,81
3344.09,82,14.2363,-647.180908203125,3334.79,21.3816,410000,82
3348.43,83,13.4137,-556.5108642578125,3337.47,20.5381,415000,83
3279.44,84,13.598,-630.3289794921875,3274.1,20.5618,420000,84
3323.65,85,14.9616,-711.9723510742188,3317.38,21.943,425000,85
