Itration,Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL
0,321.55,320.11,14.2448,49.2569
1,830.11,283.6,13.4203,49.397
2,426.77,434.16,31.1823,50.0524
3,406.31,428.24,13.2364,49.4392
4,389.02,390.95,13.4912,48.9417
5,691.75,361.9,17.2433,49.0083
6,891.4,546.28,15.2054,49.6333
7,428.51,432.88,20.3563,50.3927
8,461.8,514.76,28.7172,49.9186
9,731.64,546.26,13.106,48.9203
10,726.07,611.0,13.3651,46.8961
11,728.12,542.12,12.8714,46.7319
12,587.72,638.86,13.8964,47.1282
13,741.08,640.05,12.6059,47.314
14,649.52,639.16,12.9348,46.6799
15,598.75,489.77,14.7042,48.0546
16,436.54,512.63,14.2508,47.6674
17,687.01,800.08,13.8746,46.4997
18,850.04,859.39,18.9312,45.7405
19,759.31,825.78,21.2562,46.5506
20,902.62,1384.93,16.1428,45.747
21,645.48,825.49,12.9435,45.5531
22,797.11,791.12,14.0782,47.0856
23,2071.18,1412.66,13.4573,46.0235
24,2304.71,1769.37,13.214,44.8474
25,1439.82,1545.17,13.6145,45.323
26,3182.13,2872.49,12.8977,44.8195
27,2450.29,2488.29,13.0512,44.4327
28,3035.09,2860.99,14.5336,44.5673
29,2471.17,2459.62,12.8576,44.2039
30,2781.95,2778.03,15.5774,45.0967
31,3389.25,3006.12,16.2812,43.7062
32,3426.46,3225.8,17.4877,43.309
33,3297.02,3031.23,15.3392,43.3555
34,3350.72,3224.29,17.726,42.367
35,3272.24,3276.81,19.1456,44.0936
36,3656.3,2979.01,17.67,41.8087
37,3491.18,3253.6,16.7051,42.6572
38,3409.95,3118.57,14.9737,43.1604
39,3574.75,3338.43,17.0409,42.9198
40,3566.96,3459.14,16.9151,43.3439
41,3654.17,3600.91,15.1139,42.1853
42,3793.99,3524.23,17.6996,42.642
43,3523.37,3486.8,15.6432,42.6005
44,3458.51,3484.24,16.1238,42.6943
45,3646.3,3582.72,15.2824,42.3203
46,3857.24,3831.45,18.8737,42.9116
47,3784.35,3733.93,17.3887,42.5216
48,3683.09,3637.43,17.5676,42.6711
49,3839.26,3810.45,17.898,41.7615
50,3834.57,3798.92,16.019,41.2183
51,3983.67,3691.01,18.974,41.5035
52,4077.72,3992.43,17.8464,42.0256
53,4152.07,4080.52,16.0401,40.5769
54,4127.61,4093.79,19.2352,41.3803
55,4114.47,4048.59,18.1898,41.4909
56,4253.57,3898.93,20.2784,41.8053
57,4259.47,4127.17,17.9532,41.0035
58,4223.5,4061.73,19.3351,41.236
59,4351.42,4206.53,18.7002,40.514
60,4108.21,4032.66,18.1214,41.1488
61,4249.62,4183.18,18.5989,40.6415
62,4221.08,4170.65,19.1905,41.6648
63,4373.81,4283.17,20.4924,40.6563
64,4338.04,4029.39,23.0176,41.2908
65,4389.13,3551.71,17.0973,40.2763
66,4439.46,4178.77,17.0434,39.4415
67,4265.66,4189.16,15.402,39.5733
68,4541.06,4452.18,17.1135,39.036
69,4362.86,4083.96,17.3041,39.8908
70,4494.72,4117.22,20.0723,40.9762
71,4429.23,4311.11,20.2108,40.5837
72,4305.31,4063.2,18.424,40.2286
73,4461.42,4292.03,17.3153,40.5153
74,4638.95,4515.34,17.3628,38.6282
75,4490.24,3764.34,18.2664,40.4954
76,4573.72,4452.23,16.0331,38.6388
77,4582.9,4289.31,16.6479,38.7644
78,4687.57,4546.85,19.6259,39.8802
79,4576.75,4415.76,18.3018,40.0303
80,4640.39,4506.59,17.9391,38.5152
81,4538.25,4349.87,15.6101,39.0499
82,4508.83,4393.9,17.8216,39.5366
83,4375.2,4144.91,17.494,39.7511
84,4654.86,4488.21,17.4323,39.1031
85,4601.68,4481.03,18.8884,39.8695
86,4658.1,4494.36,16.722,38.1635
87,4544.78,4222.05,17.108,39.2815
88,4526.89,4316.36,15.8099,37.6765
89,4713.77,3374.62,15.9495,37.8704
90,4644.88,4460.11,15.7356,37.7923
91,4598.7,4505.92,17.1379,39.3408
92,4657.38,4194.66,15.6395,37.7525
93,4688.63,4329.95,16.4591,38.8344
94,4570.16,4258.82,17.9864,38.7925
95,4685.45,4552.45,16.6906,37.8206
