Real Sto Return,Itration,Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Running Update Time,Real Det Return
203.48,0,20.9705,690.6411743164062,0,32.3865,0,210.83
257.05,1,23.9372,582.3690795898438,5000,30.7336,1,259.49
223.41,2,35.6921,479.95361328125,10000,32.3004,2,265.1
92.04,3,47.7257,247.69699096679688,15000,39.0223,3,91.42
1055.24,4,33.158,145.64990234375,20000,36.3289,4,1053.33
985.72,5,38.5609,106.10469818115234,25000,38.1912,5,986.9
1139.02,6,18.9939,35.92314529418945,30000,33.5459,6,1135.8
212.87,7,30.6168,90.70780944824219,35000,34.991,7,213.97
958.61,8,52.9164,-34.02305221557617,40000,34.0622,8,988.55
260.66,9,19.5381,197.87083435058594,45000,33.3581,9,259.78
652.02,10,86.2581,-180.58163452148438,50000,33.6783,10,672.9
503.35,11,54.0488,-124.00069427490234,55000,32.5181,11,503.94
1028.51,12,25.9186,-207.5572509765625,60000,34.2587,12,1026.85
1072.14,13,24.6135,-266.1724853515625,65000,34.8041,13,1076.11
132.71,14,29.7895,-395.48175048828125,70000,33.2716,14,129.75
429.47,15,25.2087,-56.631996154785156,75000,33.8229,15,439.39
1001.03,16,24.5636,-408.0162353515625,80000,34.1824,16,1009.52
1025.23,17,26.1372,-510.0733947753906,85000,38.6439,17,1024.85
1019.36,18,19.9064,-481.7487487792969,90000,32.5561,18,1077.87
940.14,19,46.2524,-706.6961669921875,95000,34.5976,19,654.04
1035.72,20,31.0186,-739.4531860351562,100000,34.3201,20,1033.13
986.83,21,53.0359,-702.6170654296875,105000,37.8538,21,987.11
996.34,22,38.3504,-783.2293090820312,110000,39.0965,22,996.8
974.43,23,52.2563,-815.8053588867188,115000,39.0939,23,974.5
1068.5,24,27.7046,-843.9004516601562,120000,32.8723,24,1051.52
1021.18,25,25.549,-923.1525268554688,125000,32.1449,25,1025.33
1023.97,26,33.4792,-1094.31103515625,130000,34.0155,26,1024.27
1057.12,27,27.0072,-1079.9249267578125,135000,37.2249,27,1056.04
540.96,28,40.9344,-909.3322143554688,140000,33.2597,28,437.55
1046.84,29,21.9079,-1090.645263671875,145000,36.4407,29,1046.81
1016.87,30,35.3021,-1236.2271728515625,150000,36.1264,30,1053.0
973.97,31,51.8059,-1292.217529296875,155000,38.2725,31,974.7
979.57,32,45.4514,-1341.7513427734375,160000,38.6161,32,981.12
998.85,33,35.7708,-1421.429931640625,165000,38.1868,33,1000.34
183.13,34,30.1352,-1441.2225341796875,170000,34.2493,34,181.84
75.09,35,53.6348,-1293.5860595703125,175000,33.1323,35,72.03
177.58,36,33.7472,-1423.064697265625,180000,34.0735,36,179.04
220.27,37,18.2481,-744.5526123046875,185000,32.0417,37,219.27
1029.62,38,32.8668,-1717.903076171875,190000,39.7257,38,1029.37
975.83,39,54.4077,-1726.5804443359375,195000,39.3215,39,976.08
975.68,40,47.3999,-1778.68359375,200000,38.4911,40,976.34
939.07,41,40.6349,-1817.556884765625,205000,34.8429,41,986.68
993.91,42,50.1513,-1886.57861328125,210000,39.911,42,994.4
201.69,43,44.0452,-1686.365966796875,215000,33.6283,43,87.32
1033.21,44,26.7811,-2057.795166015625,220000,35.7326,44,1031.73
449.2,45,47.8387,-2051.61328125,225000,32.9638,45,465.21
118.0,46,41.1817,-1608.818115234375,230000,32.3247,46,118.12
213.12,47,51.7946,-1660.4407958984375,235000,32.118,47,211.78
135.65,48,161.403,-2233.92333984375,240000,36.0939,48,149.84
