Real Det Return,Running Reverse KL,Itration,Running Update Time,Running Env Steps,Reward Loss,Real Sto Return,Running Forward KL
187.51,19.2602,0,0,0,654.4149169921875,204.24,31.8476
328.36,22.3424,1,1,5000,252.773681640625,315.36,29.3928
392.15,21.5226,2,2,10000,238.89830017089844,383.13,28.7758
458.6,27.8001,3,3,15000,133.6062469482422,507.65,27.5424
712.69,44.2564,4,4,20000,-17.44314956665039,829.34,24.5695
275.89,33.912,5,5,25000,-18.874282836914062,793.26,26.1741
684.98,47.1929,6,6,30000,-51.29854965209961,772.9,26.581
812.67,45.6058,7,7,35000,-114.82664489746094,873.22,26.3072
816.28,32.38,8,8,40000,-130.0458221435547,813.45,26.9679
915.85,24.444,9,9,45000,-136.52984619140625,882.7,26.369
941.01,21.978,10,10,50000,-150.24334716796875,988.49,26.4363
2093.19,18.333,11,11,55000,-125.06242370605469,1548.16,24.8693
1582.34,24.7794,12,12,60000,-222.76052856445312,1256.05,25.0604
1058.63,29.4078,13,13,65000,-315.7713623046875,1254.97,24.9936
998.78,27.8042,14,14,70000,-399.4517517089844,1119.58,25.9566
1493.85,19.1411,15,15,75000,-237.50045776367188,1939.22,23.0747
1002.01,22.0322,16,16,80000,-295.2151794433594,993.71,25.8808
3140.75,13.9624,17,17,85000,-154.51959228515625,2292.25,23.5254
3203.22,12.1693,18,18,90000,16.771867752075195,2534.91,23.4199
1859.44,18.4824,19,19,95000,-298.7965393066406,1571.38,24.9971
3205.71,16.2924,20,20,100000,-202.87709045410156,2233.5,24.7505
1440.31,17.882,21,21,105000,-347.39154052734375,1370.83,24.8847
2281.04,17.3245,22,22,110000,-277.15283203125,1617.28,24.1786
2758.2,18.2849,23,23,115000,-290.1878356933594,1969.52,24.4704
2229.0,19.8396,24,24,120000,-349.1911315917969,1310.08,24.2315
3301.67,15.5416,25,25,125000,-152.26202392578125,2196.01,23.9209
3204.0,14.8276,26,26,130000,-139.85910034179688,2194.06,24.0105
3375.45,14.8571,27,27,135000,-27.693031311035156,2981.74,23.6045
3423.77,14.2711,28,28,140000,-261.8304748535156,2680.26,23.0463
3182.84,14.4384,29,29,145000,-294.21112060546875,2515.56,23.7213
3378.49,13.5672,30,30,150000,-204.21539306640625,2679.74,22.7701
3264.87,15.1014,31,31,155000,-325.4117431640625,2015.72,23.0187
3298.95,14.528,32,32,160000,-156.1688690185547,2919.76,22.4861
2263.02,18.47,33,33,165000,-653.9298095703125,1366.04,22.9628
2393.34,14.255,34,34,170000,-104.81019592285156,3118.99,22.5659
3370.88,15.5744,35,35,175000,-331.3581237792969,3224.86,22.4375
3441.75,13.3806,36,36,180000,-123.139892578125,2830.58,21.4992
3432.4,17.5285,37,37,185000,-640.73974609375,1927.36,22.2749
3276.79,17.9894,38,38,190000,-611.93115234375,2162.24,22.4027
1718.51,19.9656,39,39,195000,-873.3848876953125,1544.58,22.9359
3476.92,12.8415,40,40,200000,-148.46658325195312,3200.76,22.3403
3470.13,17.3663,41,41,205000,-473.1539306640625,2841.78,23.1811
3466.72,19.5694,42,42,210000,-574.4027709960938,2521.53,22.407
