Real Sto Return,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps,Running Update Time,Running Reverse KL,Itration
198.88,-105.69676208496094,211.51,31.9218,0,0,19.1006,0
281.97,-73.94227600097656,276.56,30.0508,5000,1,17.7974,1
254.26,-19.05615234375,340.15,28.619,10000,2,14.8564,2
305.44,-95.30340576171875,359.04,28.9945,15000,3,23.4263,3
367.22,-156.0882568359375,388.86,27.4959,20000,4,14.7945,4
430.13,-131.1217803955078,417.4,28.0417,25000,5,13.9414,5
439.98,-162.16937255859375,492.25,27.4698,30000,6,14.9435,6
574.68,-402.2619934082031,595.74,26.6457,35000,7,13.99,7
552.32,-343.38665771484375,592.32,27.3957,40000,8,20.2213,8
618.14,-466.3743896484375,593.31,26.6761,45000,9,16.1115,9
591.27,-828.5003662109375,567.01,27.6663,50000,10,99.5625,10
570.87,-514.62451171875,548.7,27.7601,55000,11,31.6544,11
589.3,-808.8853759765625,524.83,28.0861,60000,12,26.7354,12
697.07,-742.9210205078125,671.11,26.4492,65000,13,25.1028,13
688.25,-657.5393676757812,676.79,26.6741,70000,14,23.3939,14
764.26,-696.4185791015625,706.08,27.0898,75000,15,32.9696,15
747.05,-817.869384765625,843.12,26.0298,80000,16,42.6924,16
2087.99,-536.9850463867188,2735.01,24.9502,85000,17,17.8536,17
1979.71,-717.9408569335938,1389.23,26.2193,90000,18,22.87,18
1111.73,-687.1908569335938,1202.14,25.9168,95000,19,21.9038,19
2513.98,-633.7059936523438,2665.56,25.5589,100000,20,15.5426,20
2409.31,-549.7029418945312,2722.32,25.6697,105000,21,17.0163,21
1878.43,-646.5314331054688,1270.14,25.0547,110000,22,17.091,22
2494.01,-687.1693725585938,2757.57,24.3567,115000,23,16.3035,23
1910.64,-599.8260498046875,2368.39,25.0297,120000,24,14.3763,24
1990.8,-739.1728515625,2257.7,24.1711,125000,25,19.5382,25
1317.1,-977.8637084960938,1100.02,25.1649,130000,26,29.9108,26
1749.53,-1130.430908203125,2577.73,25.1417,135000,27,35.327,27
1999.12,-787.0652465820312,2503.66,24.6057,140000,28,14.5947,28
2037.26,-1094.9298095703125,1706.6,23.9145,145000,29,26.3736,29
2318.73,-845.0448608398438,2721.08,24.0254,150000,30,13.583,30
2101.31,-1047.9134521484375,1758.43,24.6175,155000,31,42.2294,31
2533.29,-1084.4901123046875,2577.87,23.8239,160000,32,22.6199,32
1772.26,-1058.801025390625,3024.8,24.1773,165000,33,23.4316,33
2726.3,-684.4238891601562,2992.6,23.6766,170000,34,13.0127,34
2760.36,-698.6043701171875,2973.41,23.6972,175000,35,13.6152,35
2797.32,-949.22021484375,1678.04,23.9736,180000,36,20.0807,36
2729.44,-769.6007080078125,3027.97,23.9993,185000,37,14.5514,37
2185.67,-977.3109130859375,2914.08,24.0171,190000,38,17.2565,38
3047.4,-755.4094848632812,3047.59,22.9695,195000,39,13.2573,39
3100.87,-733.8566284179688,3056.66,23.4536,200000,40,13.629,40
2495.09,-1207.70263671875,3146.38,23.2783,205000,41,26.2127,41
2682.5,-835.240478515625,3165.06,22.8105,210000,42,14.8746,42
2946.47,-863.47412109375,3175.88,23.1199,215000,43,17.1158,43
2997.53,-749.2301025390625,3101.37,23.0859,220000,44,13.6382,44
2790.61,-846.031494140625,3102.85,23.5097,225000,45,14.286,45
3106.47,-856.2918701171875,3198.29,22.7606,230000,46,19.9697,46
2876.13,-732.3572998046875,3201.21,22.6161,235000,47,14.4464,47
3155.72,-728.3355102539062,3185.12,22.0735,240000,48,11.7193,48
2217.99,-1144.38525390625,1164.62,23.8308,245000,49,19.8558,49
3019.42,-853.78369140625,3097.63,22.2623,250000,50,13.3138,50
3087.59,-819.816650390625,3086.12,21.9503,255000,51,14.7539,51
2952.85,-991.5468139648438,3283.42,22.5894,260000,52,22.466,52
3156.02,-939.3309936523438,3286.95,22.4773,265000,53,16.3706,53
2651.76,-875.2213745117188,2826.04,23.0505,270000,54,13.4871,54
2869.63,-768.9036254882812,3078.57,21.9247,275000,55,13.685,55
3167.23,-964.2492065429688,2742.09,22.7234,280000,56,14.6714,56
2661.84,-770.131591796875,3254.25,21.7873,285000,57,13.2066,57
3315.77,-820.3809204101562,3226.4,21.7394,290000,58,13.174,58
2855.64,-1005.7725219726562,3312.7,21.7699,295000,59,13.9263,59
3174.59,-891.4822387695312,3292.19,22.6427,300000,60,14.8164,60
3316.19,-852.72705078125,3383.91,21.9642,305000,61,14.5065,61
3120.99,-871.3557739257812,3396.86,21.371,310000,62,14.0101,62
3076.39,-878.81689453125,3361.95,21.1387,315000,63,13.5266,63
3065.46,-771.1072387695312,3277.28,21.3125,320000,64,13.7668,64
3016.48,-786.1198120117188,3200.88,21.8202,325000,65,13.3871,65
3040.69,-889.5850219726562,2787.53,21.7536,330000,66,12.8029,66
3352.17,-812.7178344726562,3425.71,21.0756,335000,67,13.8152,67
3316.83,-841.6376342773438,3403.33,21.3024,340000,68,13.189,68
3099.99,-867.2254028320312,3026.19,21.0948,345000,69,12.1629,69
3393.14,-738.6892700195312,3453.0,20.3184,350000,70,13.26,70
3180.16,-971.0220947265625,3438.46,21.2944,355000,71,13.4339,71
3295.46,-883.2965698242188,2495.04,22.1599,360000,72,12.5543,72
2777.13,-877.6483154296875,2082.84,21.1983,365000,73,11.9176,73
3335.27,-859.6109008789062,3302.45,20.8807,370000,74,12.2965,74
3295.09,-804.6066284179688,3482.41,20.5939,375000,75,13.3739,75
3381.5,-865.5834350585938,3425.57,20.7788,380000,76,14.1565,76
3397.55,-706.1837768554688,3331.16,21.5562,385000,77,13.955,77
3373.61,-805.5386352539062,3473.94,20.0183,390000,78,12.9642,78
3409.21,-859.0704345703125,3512.79,21.3024,395000,79,13.576,79
3460.77,-685.9776000976562,3510.36,20.7161,400000,80,13.2309,80
3455.03,-666.4441528320312,3535.06,20.2866,405000,81,12.7792,81
3399.88,-857.4016723632812,3454.33,19.9897,410000,82,12.8305,82
3424.65,-803.2406005859375,3444.61,20.7512,415000,83,13.0875,83
3405.74,-761.6997680664062,3481.41,20.0944,420000,84,13.3049,84
3437.3,-729.2035522460938,3462.45,20.2491,425000,85,13.1209,85
3403.89,-840.2380981445312,3470.77,20.1184,430000,86,13.3464,86
3370.17,-961.8892211914062,3452.57,20.6416,435000,87,13.543,87
3395.99,-935.3919677734375,3485.03,20.424,440000,88,13.3029,88
3439.83,-850.6057739257812,3499.69,20.2238,445000,89,13.6499,89
3043.23,-697.3938598632812,3260.54,20.2772,450000,90,12.521,90
2831.9,-820.8264770507812,1491.71,21.4527,455000,91,13.1512,91
3434.04,-776.162109375,3487.91,19.2073,460000,92,11.8846,92
3427.36,-701.791748046875,3475.05,19.2953,465000,93,11.7308,93
3415.55,-852.3082275390625,3461.72,19.6409,470000,94,12.1008,94
3505.05,-535.7246704101562,3444.12,19.8499,475000,95,12.3074,95
3441.35,-824.61181640625,3490.88,19.6886,480000,96,12.639,96
3369.43,-966.7821655273438,3421.97,20.0582,485000,97,12.2002,97
3298.89,-889.7720336914062,3423.52,19.4703,490000,98,12.5129,98
3413.92,-850.2691040039062,3469.97,18.2396,495000,99,11.6156,99
3451.35,-809.99755859375,3498.18,18.7847,500000,100,11.7661,100
3383.69,-889.7362670898438,3433.22,20.1426,505000,101,12.5129,101
3197.61,-968.9984741210938,3438.64,19.1799,510000,102,14.5008,102
3412.09,-862.8004150390625,3451.93,19.114,515000,103,12.4932,103
3445.58,-777.3088989257812,3482.76,18.6343,520000,104,12.4427,104
3438.99,-925.7816772460938,3480.62,19.641,525000,105,12.2687,105
3418.67,-757.2786865234375,3487.06,18.5163,530000,106,11.529,106
3407.39,-833.89501953125,3459.04,17.7842,535000,107,11.3912,107
3402.44,-976.52783203125,3434.57,18.8224,540000,108,11.4281,108
3382.92,-987.5615844726562,3476.69,19.6963,545000,109,12.8063,109
3363.43,-901.4720458984375,3436.62,18.417,550000,110,11.341,110
3407.39,-1028.4954833984375,3464.62,19.2306,555000,111,12.069,111
3463.26,-904.6395263671875,3523.51,18.9034,560000,112,11.842,112
3447.94,-838.0669555664062,3498.0,18.1849,565000,113,11.8283,113
3188.69,-1247.4097900390625,3422.08,20.0171,570000,114,15.7293,114
3184.54,-1008.9034423828125,3429.48,19.6969,575000,115,15.5178,115
3417.96,-896.3155517578125,3463.38,18.2044,580000,116,11.6518,116
3450.94,-927.59423828125,3517.04,18.6413,585000,117,12.134,117
3424.68,-1017.1703491210938,3452.04,19.1525,590000,118,12.5284,118
3330.41,-964.2924194335938,3490.98,18.7776,595000,119,11.7674,119
3410.46,-914.2603759765625,3465.42,18.5346,600000,120,12.3325,120
3423.02,-990.318115234375,3485.72,18.7906,605000,121,11.8043,121
3310.28,-1084.8050537109375,3444.84,18.3648,610000,122,11.9428,122
3304.7,-1179.686767578125,3426.67,19.1438,615000,123,11.9553,123
3208.47,-589.8793334960938,3478.63,17.6227,620000,124,10.471,124
3427.78,-956.9758911132812,3495.37,18.089,625000,125,11.7556,125
3432.38,-746.4601440429688,3510.1,17.6048,630000,126,11.1743,126
3446.97,-1065.19482421875,3512.65,19.0747,635000,127,11.8425,127
3372.42,-1231.623046875,3439.55,19.7347,640000,128,12.6604,128
3275.89,-1026.956787109375,3464.05,18.8118,645000,129,11.1187,129
3403.69,-1053.5030517578125,3483.94,19.2415,650000,130,12.1286,130
3319.03,-1137.188232421875,3478.45,18.2289,655000,131,12.742,131
3439.32,-985.4088745117188,3498.47,18.843,660000,132,12.4998,132
3275.62,-1116.135498046875,3457.85,18.579,665000,133,11.4188,133
3190.68,-1055.035400390625,3440.58,18.7438,670000,134,11.4397,134
2575.93,-1197.26318359375,3356.29,18.4808,675000,135,12.4563,135
3406.69,-1073.628662109375,3494.76,19.1524,680000,136,11.3408,136
3416.15,-1056.814453125,3473.53,18.8136,685000,137,12.3012,137
3306.46,-993.1424560546875,3460.06,18.6318,690000,138,12.4771,138
3473.5,-738.900146484375,3524.84,17.093,695000,139,10.9778,139
3467.83,-813.9220581054688,3526.39,17.87,700000,140,11.7923,140
3493.21,-840.0076293945312,3550.5,19.1875,705000,141,12.2432,141
3466.54,-868.0485229492188,3512.37,17.2274,710000,142,11.2659,142
3302.64,-999.0421752929688,3494.72,18.4282,715000,143,10.9284,143
2237.14,-1543.6707763671875,3463.95,19.8974,720000,144,20.4612,144
3375.82,-979.8902587890625,3523.55,18.4418,725000,145,10.9041,145
3230.8,-846.7855224609375,3510.83,17.3547,730000,146,11.0851,146
2634.88,-1495.8465576171875,3507.29,20.2418,735000,147,21.6158,147
3452.28,-1078.937255859375,3514.87,18.3197,740000,148,11.7822,148
3447.84,-1071.4005126953125,3494.64,18.4098,745000,149,12.1043,149
3121.41,-963.8174438476562,3537.68,18.7781,750000,150,12.5739,150
3427.87,-1197.7332763671875,3474.89,18.7853,755000,151,11.9739,151
3300.54,-1269.41064453125,3498.84,18.7227,760000,152,16.2104,152
