Running Forward KL,Running Reverse KL,Real Sto Return,Itration,Real Det Return
36.8322,19.4628,361.49,0,374.61
34.8093,23.9444,322.57,1,349.66
33.7455,25.2053,392.88,2,402.31
30.6471,20.3866,602.86,3,642.89
29.5964,19.9958,793.74,4,826.49
31.7874,21.1045,700.27,5,684.89
29.3708,19.4898,1212.48,6,1533.66
27.5755,15.605,1558.86,7,2149.53
28.0693,46.2397,986.19,8,571.23
29.5941,15.7561,1701.46,9,1854.23
28.5547,13.6582,2608.31,10,3013.58
28.2782,17.723,1517.28,11,1511.33
28.8504,24.1702,1552.49,12,3147.93
28.1311,19.4857,1968.65,13,2072.94
29.8606,26.306,1169.87,14,1040.09
29.3068,18.6196,1881.09,15,2938.95
28.0678,15.4676,1678.46,16,2163.96
28.3911,21.5675,1502.81,17,2172.03
27.89,22.0283,1439.78,18,1747.53
29.5199,49.906,1140.48,19,1925.22
28.6127,31.7309,1826.92,20,2225.0
29.1324,27.2885,1055.55,21,1663.72
28.3925,18.5734,2866.91,22,2996.08
27.8654,15.2619,2354.16,23,3077.28
26.8708,23.09,2659.68,24,1915.9
27.7786,23.8734,2260.59,25,3339.51
29.8901,14.4283,2840.57,26,3226.04
27.824,13.7459,3255.43,27,3307.02
29.5755,54.3511,1434.44,28,1287.1
30.472,45.3442,1754.26,29,1990.56
27.741,55.2785,1694.25,30,1307.21
26.3249,12.632,3279.11,31,3328.74
28.4002,13.5704,3259.1,32,3261.98
26.5831,12.1413,3246.5,33,3287.51
28.6542,14.9427,3303.55,34,3348.25
27.2223,13.8523,3348.44,35,3359.39
26.8407,14.4582,3344.94,36,3336.75
27.2569,13.4404,3318.43,37,3349.19
26.3762,11.7562,1827.68,38,2085.27
28.6035,25.0987,2738.87,39,3150.49
26.9598,13.5504,3189.86,40,3198.56
26.7645,14.4071,3190.57,41,3389.45
27.7686,13.253,3233.14,42,3265.81
27.1702,32.2809,2288.79,43,3403.53
27.0715,53.025,1981.58,44,3394.25
27.177,17.3163,2883.41,45,3349.16
25.8076,15.8385,3003.38,46,3386.97
27.5804,14.6326,3321.02,47,3420.84
26.5572,17.8004,2687.66,48,3416.75
25.3969,12.8651,3242.09,49,3376.34
24.5121,11.4296,3339.21,50,3409.73
25.275,12.3795,3388.93,51,3422.69
26.1967,12.8555,3365.44,52,3389.21
27.2103,13.825,3333.12,53,3382.0
25.4062,12.5218,3393.75,54,3442.96
27.5213,13.5607,3325.32,55,3340.86
25.3314,12.9151,3353.72,56,3354.9
27.0957,13.6846,3366.97,57,3339.8
26.5701,13.1353,3314.92,58,3326.22
25.157,11.5838,3308.95,59,3343.33
25.6582,12.4932,3341.77,60,3337.23
24.9293,24.6033,2920.53,61,3363.87
26.0171,13.4232,3333.41,62,3372.23
25.0826,12.9914,3300.85,63,3388.68
24.0601,12.0692,3306.38,64,3467.93
24.5107,12.1233,3021.36,65,3419.97
26.181,13.2966,3353.67,66,3322.62
26.0439,12.8915,3395.81,67,3422.93
24.6825,12.4118,3274.6,68,3424.61
25.6439,13.2345,3412.13,69,3412.19
24.5002,11.8577,3221.57,70,3394.36
25.9093,12.6927,3358.8,71,3398.52
27.0372,13.904,3378.33,72,3343.92
24.4485,11.897,3408.13,73,3438.75
24.2408,12.0588,3378.22,74,3419.2
23.3171,11.1566,3411.58,75,3446.95
23.9458,11.8363,3365.52,76,3435.58
25.0943,19.61,2715.69,77,3447.77
22.8095,10.4425,3314.36,78,3413.07
24.7825,12.2606,3390.32,79,3402.47
22.8658,16.8155,2759.94,80,3439.06
23.5838,13.6308,3288.95,81,3458.64
24.5985,12.1227,3272.4,82,3394.39
24.1175,11.2512,3395.68,83,3422.74
25.917,13.1755,2831.09,84,3410.48
25.5984,14.6481,3121.69,85,3437.88
22.7802,10.6424,3117.61,86,3413.11
23.4642,11.3231,3396.41,87,3402.43
24.4369,14.103,2787.06,88,3422.4
23.5554,11.396,3423.2,89,3438.38
23.5824,12.0543,3421.56,90,3421.1
22.2656,10.0798,3379.85,91,3397.22
24.1522,12.1585,3397.83,92,3420.3
24.8076,12.1637,3381.11,93,3406.14
23.7983,11.9528,3377.56,94,3385.47
23.553,14.4879,3303.04,95,3394.67
24.1071,18.6963,2422.05,96,3302.87
23.4507,12.0854,2866.53,97,3467.55
26.1623,12.4197,3338.2,98,3368.77
22.5342,10.2372,3402.41,99,3402.85
23.5934,11.3742,3397.87,100,3417.77
23.8349,19.8456,2872.52,101,3423.99
22.9988,10.951,3391.3,102,3425.35
25.8323,15.4041,2981.31,103,3419.35
21.667,10.8779,3425.62,104,3436.79
23.6644,12.549,3413.24,105,3433.72
23.8791,11.5795,3317.26,106,3395.32
23.9979,12.0215,3028.99,107,3400.17
24.1387,14.8014,2919.18,108,3399.69
25.2576,12.4141,3132.94,109,3375.9
23.9166,11.729,3343.44,110,3377.04
22.9689,12.8297,2870.22,111,3424.91
23.0296,11.9712,3417.3,112,3426.33
23.5872,13.005,3334.64,113,3404.66
23.5008,14.9725,1818.22,114,3409.61
24.1708,10.1398,3279.16,115,3302.45
24.237,13.1548,3374.9,116,3436.82
26.8828,13.7265,3314.76,117,3355.38
26.3902,13.3516,3419.72,118,3421.42
23.7759,14.725,2898.6,119,3473.94
23.3346,13.623,3151.63,120,3418.02
22.7148,11.1618,3407.88,121,3432.07
22.8012,10.663,3321.0,122,3482.56
23.6104,11.7698,3179.73,123,3466.69
24.073,12.3718,3397.54,124,3413.38
23.6216,11.9197,3412.63,125,3429.46
23.8661,11.3394,3387.77,126,3420.82
25.0034,13.8073,3370.72,127,3413.91
22.8492,10.5194,3399.85,128,3407.37
24.9143,12.577,3401.74,129,3408.01
23.6739,11.4897,3380.2,130,3404.95
23.3465,11.5462,3383.83,131,3413.38
23.9663,14.4209,3403.32,132,3462.0
22.3209,11.2756,3405.53,133,3436.55
22.264,11.2037,3411.84,134,3425.11
22.9391,11.2198,3320.74,135,3407.24
21.6333,10.237,3333.71,136,3433.76
23.0458,12.0005,3421.74,137,3428.65
27.733,41.2074,1689.44,138,1071.12
31.8771,14.4215,2594.44,139,2498.58
27.4959,35.4672,1469.36,140,1459.65
29.3708,39.1466,1003.9,141,968.74
27.7305,26.6894,1317.62,142,1401.21
31.3068,52.5195,719.2,143,544.67
31.0361,49.5201,940.77,144,1143.81
36.9687,65.9409,315.28,145,304.52
30.7593,88.8093,628.12,146,898.72
30.2125,51.5036,951.1,147,240.42
28.1832,16.9733,3264.36,148,3285.78
26.8919,14.9927,3345.74,149,3325.08
29.9036,35.193,670.53,150,358.54
33.7008,46.3162,314.86,151,202.33
31.4785,46.0531,768.6,152,467.64
28.8235,65.4113,833.69,153,889.17
29.675,31.8877,688.84,154,2168.98
31.1991,20.7985,1004.4,155,1130.08
28.9625,22.0803,840.66,156,292.36
31.9011,20.4653,411.45,157,445.87
30.2479,38.5071,365.53,158,318.02
34.805,29.2926,325.88,159,292.82
46.2733,167.6111,5.89,160,5.83
32.2958,21.3966,758.67,161,1037.92
33.9988,38.4018,303.5,162,240.99
26.8493,20.3732,1669.88,163,2670.77
28.0893,21.6476,693.07,164,560.5
29.6571,15.9176,361.64,165,278.79
30.141,21.8599,1117.04,166,1001.69
30.8894,20.1017,1140.21,167,1352.99
41.5038,28.2029,214.02,168,214.17
26.021,31.5174,1895.5,169,1861.38
32.7997,39.6466,600.45,170,641.02
29.3058,18.573,2018.69,171,3227.71
31.0441,36.7515,1010.89,172,958.92
44.6992,47.7675,420.81,173,387.13
31.5876,35.7269,799.71,174,794.17
34.5276,40.0052,930.31,175,973.35
30.2478,38.6478,1727.58,176,1337.56
30.7094,14.7355,424.48,177,414.37
42.0047,40.2431,205.91,178,207.92
36.4956,36.9525,515.14,179,504.52
29.5863,13.0284,2764.22,180,2768.65
31.9748,44.6456,586.55,181,888.83
29.8389,24.3725,345.29,182,254.65
32.3999,39.9387,855.08,183,995.13
29.5764,39.0223,739.29,184,1100.24
27.528,14.045,1903.04,185,2930.42
30.9405,40.2519,1116.93,186,1286.12
25.8942,11.9909,3103.31,187,3043.22
31.6693,32.5117,627.52,188,783.07
29.5324,32.0986,1413.28,189,1617.03
26.9937,14.7401,2247.27,190,3316.6
29.8258,28.7504,758.73,191,557.51
26.8246,17.3806,3372.11,192,3407.86
25.7846,44.8616,1917.38,193,3203.84
25.3311,13.3444,2954.64,194,3353.91
25.8086,19.5807,2765.25,195,3427.64
25.0694,12.2139,3382.41,196,3419.79
26.9549,31.1679,2130.04,197,3484.2
25.5578,12.8959,3250.32,198,3261.79
26.6437,13.5791,2897.98,199,3316.7
