Real Det Return,Running Forward KL,Itration,Running Reverse KL,Real Sto Return
297.79,440.8371,0,277.2135,322.44
334.8,427.3012,1,262.5306,332.49
392.17,429.721,2,326.9167,391.93
373.4,409.1495,3,351.0013,389.3
356.33,409.069,4,281.6532,420.38
455.83,402.8823,5,255.4776,406.83
442.13,401.5585,6,268.7854,417.45
329.82,391.7964,7,314.2673,354.83
406.4,392.1309,8,282.431,455.77
448.3,385.407,9,309.3678,482.8
583.44,390.9159,10,293.4774,478.97
642.56,378.4031,11,327.7709,523.38
541.39,373.1205,12,361.888,537.32
673.61,359.7395,13,317.189,611.28
710.58,358.4245,14,325.8356,614.5
731.46,358.2226,15,337.0522,645.0
728.2,357.4786,16,286.8719,779.68
554.35,361.8342,17,259.4928,566.14
709.17,348.5404,18,249.5235,718.79
699.26,356.2653,19,268.9015,868.17
911.89,347.7871,20,284.2772,900.42
855.19,354.1851,21,311.3251,826.37
997.85,343.8882,22,252.4797,841.71
1010.67,330.7071,23,298.7908,1013.72
903.14,339.4326,24,291.7811,828.75
662.16,325.9037,25,280.5646,907.75
896.79,326.8096,26,196.0399,958.66
616.08,320.6323,27,232.3444,1143.25
512.82,311.3339,28,221.2744,1390.14
738.48,302.1493,29,228.2961,1139.81
706.34,313.5301,30,222.2505,1234.57
1639.98,311.3701,31,221.1755,1603.79
1356.41,312.3107,32,190.8473,1323.0
1164.56,318.0515,33,235.2651,1513.49
1094.66,309.068,34,231.4376,1598.69
784.67,335.74,35,320.5904,1416.78
772.97,293.5333,36,233.7082,1498.0
1205.32,254.9797,37,124.0786,2517.57
1222.31,275.2655,38,156.4565,1976.87
1462.16,261.594,39,129.2012,1641.61
1442.05,252.6722,40,79.8945,2502.24
2950.8,270.4044,41,119.2333,2752.53
2680.03,272.3975,42,201.4649,2213.94
5080.14,266.6615,43,134.5151,3390.42
4329.79,263.4628,44,151.2001,3890.04
3303.29,310.5105,45,271.0681,1775.96
3260.09,283.629,46,241.0875,2346.69
5169.01,267.2898,47,151.0948,2339.31
4946.27,279.4915,48,190.3663,2534.27
5148.85,272.9218,49,124.5971,4606.03
4475.79,252.8081,50,98.5995,3918.0
4760.88,248.7677,51,104.9051,4118.23
2477.75,258.4863,52,110.4403,3937.85
4783.13,258.0021,53,97.1154,4348.18
4185.2,251.7326,54,73.1601,4553.46
4622.53,248.5213,55,66.6783,4166.94
5210.86,255.8697,56,84.9856,4607.46
5116.25,253.8066,57,83.9098,4388.17
5187.52,257.0478,58,105.6549,4186.72
2410.7,256.6314,59,92.5677,4631.66
4824.2,268.2527,60,173.2919,3616.93
1805.25,254.7678,61,102.893,4090.74
5011.79,250.2839,62,77.331,4679.14
4717.63,246.1306,63,59.1656,5060.64
3445.5,251.0008,64,73.5803,4464.68
3129.83,241.8195,65,53.2583,5021.08
2409.63,251.0399,66,94.8177,3622.6
3702.6,260.6574,67,84.5456,3690.06
2977.45,258.68,68,94.0612,3964.74
4388.96,279.6298,69,143.9721,3525.53
3890.0,256.2458,70,108.6645,4101.66
2346.64,251.1751,71,54.6459,4312.16
3832.79,252.2114,72,62.0354,4626.86
2299.42,249.1847,73,53.7217,4463.34
4392.68,246.6147,74,92.8672,4017.23
3307.06,255.5695,75,66.7282,4063.25
3370.42,249.808,76,76.3107,4799.63
3572.66,247.9373,77,69.7518,4709.68
2911.36,239.3463,78,57.2089,5045.26
4893.92,241.323,79,50.0756,5195.37
3371.76,242.1423,80,56.2931,4932.55
3280.41,248.2256,81,72.8344,4727.07
4669.08,234.3409,82,46.6684,4764.91
3358.81,234.8733,83,51.5229,4948.39
5297.56,239.4977,84,47.3961,5133.16
5272.22,237.6819,85,48.1086,4955.81
4862.88,231.271,86,47.145,4538.69
4365.83,242.1838,87,60.4338,4919.26
5062.31,237.2446,88,49.1481,5190.76
4457.51,243.2354,89,62.6647,5018.73
4318.1,238.7989,90,49.5869,4769.92
5091.8,229.6361,91,43.9684,5087.33
3821.23,230.8786,92,42.0534,4944.41
4044.2,230.8428,93,48.8252,4886.33
4375.1,235.4528,94,67.973,5230.72
5293.5,232.8106,95,46.8993,4778.3
4790.4,237.7025,96,52.3727,4656.75
5208.04,237.2108,97,45.0423,5083.8
4875.76,232.7131,98,44.1524,5236.87
4981.99,237.7779,99,61.039,5023.99
5002.62,231.0335,100,45.053,5216.15
3109.25,238.3397,101,54.3575,4201.46
4515.75,231.0386,102,40.6151,4896.35
4831.88,231.5986,103,40.3836,4891.83
4893.15,243.1619,104,81.7228,5002.06
5261.79,236.514,105,48.756,4883.83
3912.51,240.3411,106,57.3626,5022.0
5047.26,239.6154,107,55.0254,4527.75
5041.3,231.3028,108,41.2178,5048.11
3985.52,231.1699,109,43.7284,4631.3
3886.19,228.744,110,42.2373,4236.74
3920.35,232.3746,111,44.4508,4608.96
5212.03,226.867,112,33.7707,4406.76
4756.15,233.2626,113,55.0734,4984.24
4479.48,243.117,114,66.971,4923.09
4781.57,229.7281,115,37.1389,4800.7
5240.81,233.5007,116,47.9268,5203.88
5077.51,226.4012,117,36.7603,5114.84
3902.83,236.755,118,50.3442,4603.22
5210.0,225.6203,119,38.7744,4982.86
4986.88,223.2413,120,25.2097,5123.31
4658.04,241.1807,121,112.0556,4026.04
4406.99,234.2213,122,62.6619,4772.31
5084.83,229.6385,123,43.1003,5036.97
4917.61,236.4788,124,58.9593,4347.01
5330.11,226.2152,125,34.7308,5007.85
5218.64,215.9694,126,21.5431,5033.98
5184.96,217.8615,127,26.2694,5215.43
4903.3,220.1409,128,26.2497,5089.38
4889.6,237.2279,129,60.1531,4560.67
5305.65,219.8766,130,25.3868,4849.27
5256.59,221.1611,131,24.1164,4995.49
5124.85,218.1734,132,31.5873,4944.58
5250.63,225.2534,133,38.3359,5048.45
5419.57,226.4225,134,33.7876,5314.25
5311.79,230.295,135,40.494,5239.42
5277.94,227.5453,136,41.2551,5216.68
3928.43,240.3441,137,121.2651,3828.91
5290.59,223.1759,138,30.0857,4566.18
5313.91,224.5647,139,55.8317,5215.63
4793.81,219.1112,140,22.6294,5060.98
4148.86,219.3034,141,23.2768,4921.88
5291.6,221.6573,142,27.729,4694.79
4995.08,219.6844,143,23.8127,5112.74
5243.54,224.6135,144,22.9293,5195.37
5213.87,224.1999,145,29.9469,5159.5
5300.34,224.9014,146,28.6542,5243.0
5218.63,221.998,147,23.1096,4947.31
5195.04,218.1745,148,22.189,5152.55
5203.1,220.1971,149,36.4807,5224.15
4739.37,217.2001,150,28.0692,5076.87
5319.13,228.7221,151,33.3618,5087.39
5254.99,219.0387,152,34.6853,5063.38
5193.65,217.8289,153,24.0608,5159.75
5210.14,223.4365,154,29.1187,5122.81
4616.27,219.2281,155,26.7315,5246.3
