Itration,Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Running Update Time,Real Det Return,Running Env Steps
0,438.7454,401.1,4297.65234375,271.1986,0,409.3,0
1,432.7508,464.87,3563.05908203125,300.7001,1,594.52,5000
2,441.8782,411.93,3310.0654296875,287.2843,2,344.56,10000
3,441.4039,397.22,3204.45947265625,295.2532,3,442.32,15000
4,436.6274,402.69,3190.833984375,310.4407,4,379.35,20000
5,432.0609,440.27,2735.338623046875,374.3808,5,532.94,25000
6,444.3493,445.72,2492.174560546875,355.6957,6,492.12,30000
7,431.9741,393.1,1913.6075439453125,400.4673,7,348.04,35000
8,443.396,401.72,1701.60205078125,589.8838,8,361.73,40000
9,431.8845,462.72,1643.5216064453125,384.8475,9,497.01,45000
10,414.0346,532.17,1374.4736328125,343.4486,10,408.36,50000
11,419.4275,412.6,1811.0985107421875,288.8813,11,443.68,55000
12,428.3611,465.07,1454.753173828125,302.8035,12,363.55,60000
13,430.4183,439.67,1611.5560302734375,334.3209,13,382.42,65000
14,413.339,470.79,1242.3182373046875,271.9727,14,486.37,70000
15,414.9247,547.95,881.0084838867188,312.3107,15,369.58,75000
16,406.8833,502.18,511.2776794433594,292.8317,16,474.44,80000
17,405.6031,555.06,242.54632568359375,283.5988,17,480.98,85000
18,396.5757,527.58,351.73773193359375,265.5591,18,508.94,90000
19,389.7061,472.45,147.05813598632812,259.8315,19,506.51,95000
20,404.2511,469.37,142.3727264404297,328.4097,20,442.05,100000
21,407.7066,472.45,39.18600082397461,271.0057,21,600.28,105000
22,399.0542,479.75,-371.6042175292969,257.5976,22,540.27,110000
23,402.5464,468.44,-642.2461547851562,299.6478,23,462.27,115000
24,391.271,562.06,-1081.2808837890625,265.6227,24,644.66,120000
25,393.3606,597.65,-1280.5985107421875,299.7228,25,724.47,125000
26,391.9377,571.47,-2187.3046875,296.1189,26,639.47,130000
27,395.0021,569.18,-2334.7587890625,287.4812,27,489.32,135000
28,397.8582,559.52,-2339.94775390625,300.9635,28,491.4,140000
29,398.6898,533.6,-3014.874267578125,269.4699,29,529.26,145000
30,385.8817,624.96,-2324.70361328125,289.2263,30,575.36,150000
31,389.0913,555.69,-2804.095703125,309.8335,31,543.01,155000
32,393.8158,519.68,-2675.266357421875,256.3841,32,602.54,160000
33,387.0759,550.26,-3280.912841796875,302.4896,33,600.81,165000
34,390.1995,584.85,-3439.357177734375,286.7445,34,578.19,170000
35,393.6291,570.7,-3819.10791015625,309.2683,35,584.66,175000
36,390.7413,600.88,-4006.26806640625,317.0075,36,590.38,180000
37,399.454,635.3,-4119.27978515625,318.1228,37,693.83,185000
38,388.1143,607.53,-4062.978271484375,279.2243,38,678.29,190000
39,402.1567,584.49,-4423.0712890625,302.033,39,690.4,195000
40,384.3543,600.25,-4953.658203125,280.1349,40,585.53,200000
41,401.4231,546.75,-5235.55322265625,302.3799,41,534.68,205000
42,392.5942,581.68,-5346.7724609375,327.7218,42,600.8,210000
43,410.3379,582.58,-5734.669921875,292.3806,43,536.22,215000
44,402.8084,598.8,-5760.3447265625,303.5742,44,566.43,220000
45,394.1389,639.23,-6105.88623046875,338.8948,45,566.14,225000
46,404.8755,651.13,-6462.078125,307.8665,46,571.38,230000
47,403.7055,573.62,-6526.85205078125,303.2843,47,518.43,235000
48,404.7115,576.04,-6878.6181640625,298.4395,48,478.84,240000
49,405.3199,559.43,-7081.3427734375,299.6502,49,489.23,245000
50,395.1285,636.43,-7312.67041015625,330.3046,50,557.87,250000
51,397.7936,595.51,-7310.8935546875,265.5006,51,588.76,255000
52,403.6606,582.03,-7685.53466796875,273.8324,52,538.72,260000
53,390.6925,625.75,-7237.45263671875,266.6336,53,770.5,265000
54,397.404,606.65,-7824.0458984375,262.5404,54,640.42,270000
55,400.3816,704.63,-8064.43896484375,280.1848,55,594.04,275000
56,400.0406,568.59,-8312.744140625,257.4886,56,553.93,280000
57,397.9669,602.49,-8493.66015625,305.0527,57,635.34,285000
58,394.4125,743.5,-8769.5830078125,297.4271,58,632.33,290000
59,390.5989,621.92,-9146.560546875,288.6844,59,641.33,295000
60,392.6089,684.16,-8801.19921875,281.1463,60,715.86,300000
61,406.4515,549.23,-9176.87109375,285.4406,61,490.3,305000
62,393.2131,698.7,-9049.3857421875,282.5907,62,677.94,310000
63,397.3948,660.58,-10024.6455078125,343.9288,63,642.49,315000
64,387.337,732.59,-9844.1259765625,295.9916,64,769.16,320000
65,380.6108,690.1,-9714.875,347.6923,65,800.68,325000
66,398.8487,658.2,-10340.1923828125,355.6141,66,679.31,330000
67,377.6089,749.92,-9996.998046875,279.4566,67,709.46,335000
68,391.285,699.29,-10804.4638671875,412.4087,68,943.84,340000
69,387.5742,723.06,-10483.8818359375,381.6416,69,722.9,345000
70,387.1978,643.71,-10891.79296875,344.7693,70,652.31,350000
71,388.2344,763.73,-9572.525390625,279.6701,71,864.15,355000
72,392.9101,637.75,-11514.1123046875,393.3686,72,800.34,360000
73,384.9961,636.93,-10564.427734375,292.1811,73,757.04,365000
74,384.5737,737.07,-10945.2919921875,303.6172,74,834.15,370000
75,374.6057,834.42,-10755.3232421875,283.1852,75,844.89,375000
76,377.6398,889.92,-12009.076171875,410.6506,76,789.1,380000
77,378.6274,940.2,-11299.8583984375,330.4611,77,743.03,385000
78,385.821,891.62,-12159.763671875,352.9245,78,728.13,390000
79,382.1149,631.07,-12061.44140625,290.0606,79,944.89,395000
80,371.9804,1008.73,-12240.8623046875,318.4706,80,1053.9,400000
81,382.1032,914.36,-11702.5712890625,299.7509,81,1110.43,405000
82,386.4702,846.67,-11675.8603515625,306.581,82,594.35,410000
83,387.6727,957.39,-11664.685546875,300.3926,83,704.75,415000
84,363.5543,897.16,-11124.4150390625,280.8644,84,1213.16,420000
85,366.713,1007.17,-11105.896484375,319.3583,85,888.05,425000
86,373.0884,907.6,-11670.962890625,270.222,86,763.23,430000
87,380.6324,1091.21,-12411.2548828125,279.4673,87,820.37,435000
88,386.0551,849.02,-11943.7451171875,268.5557,88,970.51,440000
89,386.7954,785.34,-12881.4560546875,283.5199,89,920.52,445000
90,368.6722,1455.65,-11721.7373046875,243.2169,90,1060.13,450000
91,381.2452,907.17,-12612.322265625,244.4323,91,707.22,455000
92,389.2723,945.85,-12866.2470703125,272.385,92,1090.37,460000
93,366.1914,1102.2,-12593.736328125,274.9857,93,743.34,465000
94,374.6621,1173.78,-12587.056640625,283.4811,94,2401.62,470000
95,365.8922,1057.25,-12761.7568359375,276.5632,95,968.46,475000
96,374.9785,1416.93,-11348.9423828125,220.8483,96,947.26,480000
97,361.529,1379.58,-10854.5078125,214.1784,97,2263.29,485000
98,366.2052,1355.53,-12019.169921875,268.1558,98,1317.13,490000
99,371.5579,1400.34,-12648.1640625,237.6154,99,1133.99,495000
100,389.2426,1097.95,-12535.7421875,241.9001,100,807.9,500000
101,371.6925,1445.78,-12506.2255859375,260.1655,101,1645.05,505000
102,376.7437,1104.78,-12170.0380859375,257.6474,102,1320.35,510000
103,358.2687,1746.2,-11709.64453125,215.5903,103,1220.28,515000
104,349.2549,1926.61,-11215.30078125,206.3789,104,1354.47,520000
105,370.1368,1737.4,-11045.9140625,222.4054,105,1263.18,525000
106,366.5365,1399.04,-12530.6376953125,228.5411,106,1538.98,530000
107,377.1106,1332.96,-12692.2646484375,245.8334,107,1374.39,535000
108,361.7579,1903.15,-12254.7353515625,239.601,108,2876.78,540000
109,361.8439,2342.14,-11543.3583984375,225.6106,109,1659.93,545000
110,356.341,2273.64,-10897.83203125,207.6072,110,2378.14,550000
111,356.0454,2125.08,-10550.2802734375,186.8999,111,2175.86,555000
112,367.0258,1725.0,-12417.681640625,208.5114,112,2672.56,560000
113,366.1898,1913.51,-12154.4794921875,216.6451,113,3150.74,565000
114,367.1369,2081.2,-11326.810546875,213.3073,114,2750.41,570000
115,363.1866,1666.54,-12309.92578125,235.8176,115,2540.47,575000
116,368.325,2158.3,-12145.8544921875,195.7294,116,2158.8,580000
117,362.8016,2530.04,-10883.232421875,192.1508,117,1754.08,585000
118,361.0363,2507.65,-11707.765625,199.0643,118,922.52,590000
119,378.6581,2581.97,-13658.28125,250.3773,119,2659.45,595000
120,353.7882,1619.22,-10919.48828125,207.3457,120,2879.35,600000
121,356.1674,2335.78,-11669.376953125,203.8917,121,2352.99,605000
