Real Det Return,Running Forward KL,Running Reverse KL,Reward Loss,Running Env Steps,Itration,Running Update Time,Real Sto Return
298.04,443.0653,262.7736,1432.213134765625,0,0,0,314.02
315.38,443.3881,291.2772,1909.4434814453125,5000,1,1,334.97
291.47,451.1713,305.8653,1363.3936767578125,10000,2,2,302.55
324.79,423.5522,253.2387,765.5320434570312,15000,3,3,327.78
410.79,437.2493,260.9765,869.139892578125,20000,4,4,339.72
307.93,444.6666,273.5894,-363.2637939453125,25000,5,5,334.91
360.95,443.9922,277.1321,-143.69833374023438,30000,6,6,365.12
349.8,435.3172,284.0051,327.6016845703125,35000,7,7,412.24
453.34,425.5483,268.5037,-76.05135345458984,40000,8,8,463.47
387.91,427.4934,282.7173,-828.2203369140625,45000,9,9,431.2
421.61,419.5741,303.7534,-1072.64990234375,50000,10,10,445.07
471.12,420.5216,276.3141,-1189.10400390625,55000,11,11,476.35
541.11,407.8939,272.4122,-1600.9468994140625,60000,12,12,597.47
394.0,427.9801,256.4834,-1212.160400390625,65000,13,13,441.49
433.46,421.5884,299.3861,-2311.244873046875,70000,14,14,449.44
371.35,419.0933,341.8797,-2412.650390625,75000,15,15,426.35
406.59,429.3864,314.3272,-2686.984619140625,80000,16,16,459.35
461.02,417.164,324.7539,-2938.135009765625,85000,17,17,483.39
485.6,414.3164,319.9823,-3027.0498046875,90000,18,18,522.55
484.7,421.7034,302.1533,-3701.7041015625,95000,19,19,612.5
555.74,411.0399,292.6766,-3597.612548828125,100000,20,20,537.41
497.59,402.3415,266.3469,-3292.958251953125,105000,21,21,659.2
557.4,413.6361,268.6246,-3771.93701171875,110000,22,22,601.21
539.27,402.9956,263.375,-3821.67578125,115000,23,23,636.83
650.37,399.5046,256.0642,-3184.950927734375,120000,24,24,646.67
616.83,396.924,268.1204,-4233.12744140625,125000,25,25,689.15
728.68,407.9378,268.2511,-4994.2314453125,130000,26,26,708.29
772.82,399.4481,250.3275,-4774.00830078125,135000,27,27,758.41
609.71,391.6635,259.6806,-5843.78271484375,140000,28,28,648.87
709.33,393.0307,232.7433,-5438.08544921875,145000,29,29,788.75
609.97,399.7213,257.8754,-5347.56640625,150000,30,30,651.38
585.83,402.7667,260.0806,-6218.1669921875,155000,31,31,632.05
566.79,394.8552,239.9782,-6252.72216796875,160000,32,32,784.36
606.64,401.4054,240.5806,-6252.46923828125,165000,33,33,742.02
612.73,400.9994,255.1821,-6539.32470703125,170000,34,34,693.57
616.69,398.3579,266.4978,-7310.64013671875,175000,35,35,757.89
838.55,402.113,242.4172,-6524.8720703125,180000,36,36,753.92
668.57,396.0407,233.2925,-6513.021484375,185000,37,37,910.81
686.95,401.7375,229.3823,-6830.98876953125,190000,38,38,739.84
671.55,387.3227,244.2047,-7608.1318359375,195000,39,39,890.87
674.89,380.9385,225.6982,-6993.96826171875,200000,40,40,923.22
735.24,384.5332,224.987,-7426.1728515625,205000,41,41,920.43
745.8,394.7563,227.5157,-7225.9951171875,210000,42,42,930.09
729.57,382.3961,246.576,-7998.50830078125,215000,43,43,900.26
784.7,390.0732,224.2945,-7225.1220703125,220000,44,44,985.38
784.77,384.0461,227.6521,-7696.4599609375,225000,45,45,973.59
771.69,385.4962,217.0587,-6293.83544921875,230000,46,46,1004.06
845.76,376.8047,228.0654,-7846.64892578125,235000,47,47,1015.72
940.51,383.9203,222.8544,-7308.03515625,240000,48,48,982.2
1004.51,388.6325,239.2379,-7911.2998046875,245000,49,49,960.81
890.17,392.0666,235.0834,-7858.5595703125,250000,50,50,1052.52
822.9,378.1044,229.5014,-8006.86376953125,255000,51,51,861.33
784.74,385.1256,231.7122,-7833.2529296875,260000,52,52,1050.76
