Running Forward KL,Running Reverse KL,Real Det Return,Real Sto Return,Itration
37.7722,19.5043,186.06,193.21,0
38.283,69.987,259.55,256.78,1
37.6616,97.9961,246.78,249.01,2
37.7058,99.5477,262.95,251.54,3
38.8285,26.6817,338.69,331.24,4
37.397,16.3156,298.34,295.92,5
37.5812,25.0308,319.92,327.15,6
38.1421,18.7319,332.4,345.67,7
37.719,19.5562,314.16,310.88,8
38.0086,19.3687,313.9,309.35,9
37.8633,19.7184,312.44,308.74,10
37.8935,21.9644,327.17,321.17,11
37.1394,17.3517,327.57,326.83,12
36.9699,20.8559,327.5,324.89,13
36.5479,23.5684,320.72,317.0,14
37.1434,17.677,335.47,331.62,15
36.6123,52.2975,338.23,330.62,16
36.6788,17.2726,328.78,328.38,17
34.9633,16.172,223.42,244.94,18
35.8797,15.6607,356.23,354.26,19
35.8312,15.5978,339.8,341.31,20
32.3389,13.9407,399.22,470.96,21
33.4237,16.4587,425.07,427.04,22
33.8397,23.0332,192.93,242.93,23
34.2882,24.2343,334.48,328.67,24
31.5188,14.4771,803.0,820.51,25
32.3176,14.8554,564.14,571.06,26
32.6479,23.2829,622.2,628.07,27
31.8298,14.5471,866.79,808.24,28
32.3022,15.3698,894.5,995.27,29
32.1983,18.3343,714.24,784.95,30
32.5365,16.4297,770.9,664.1,31
32.2462,17.2982,827.3,772.11,32
32.3706,30.9825,709.01,692.47,33
30.9717,25.7105,758.87,756.58,34
31.5761,16.6629,838.55,771.55,35
31.858,20.1222,763.92,761.28,36
30.9363,18.7005,966.37,935.79,37
31.0689,19.635,954.44,928.14,38
29.0373,13.0124,2803.98,2541.08,39
28.9978,15.6677,3065.4,2338.37,40
30.2184,23.1733,1072.95,1743.47,41
28.4927,15.1063,3115.47,2881.26,42
27.9022,15.4059,3235.9,2655.26,43
29.0121,17.6425,2353.22,2456.03,44
28.7717,19.3261,3168.81,2989.58,45
29.2992,19.9748,1187.8,1209.01,46
28.7446,19.851,3100.52,1868.06,47
28.9923,19.8998,3089.5,2499.69,48
28.9932,16.4141,3181.14,2766.98,49
27.8322,16.5073,3167.66,2794.29,50
29.0541,15.0097,2365.68,2915.58,51
29.4696,21.8142,1534.16,1285.25,52
28.8033,16.0652,3089.48,2603.14,53
28.5216,14.8414,3114.8,2848.88,54
29.228,17.147,3204.34,1618.45,55
28.5397,21.8994,3126.66,2153.81,56
28.662,14.8253,3135.31,2796.46,57
29.2066,15.2116,3119.61,2715.48,58
29.5852,15.4107,3151.23,3053.97,59
29.1754,16.2745,3172.13,2522.3,60
29.3509,15.8652,3256.63,1842.85,61
28.9842,27.8594,3238.22,1777.47,62
29.7915,35.1345,1159.35,1036.58,63
28.2972,20.9068,3220.58,2118.48,64
28.5128,15.0391,3140.62,3162.36,65
29.3051,18.1718,3196.69,2322.39,66
30.4858,45.1248,3182.42,1161.51,67
27.3677,13.8479,3201.83,3119.52,68
29.3253,15.6815,3106.53,3114.39,69
27.8685,14.4792,3162.54,3170.58,70
27.0488,13.3911,3272.65,3261.85,71
26.5948,16.6982,3073.04,2118.92,72
37.8578,21.0878,1048.42,929.68,73
32.0146,34.092,878.18,676.62,74
29.2892,16.6081,2365.49,2075.0,75
27.5099,20.8902,2048.36,2221.25,76
29.5066,25.4615,2817.13,2569.64,77
30.2036,40.8541,774.28,857.06,78
38.1069,50.4696,318.22,314.84,79
37.7216,53.1509,253.95,254.93,80
44.4785,221.4872,4.47,4.49,81
38.0237,48.2855,374.61,360.73,82
37.5559,78.9836,255.11,263.38,83
38.4967,23.279,119.35,157.75,84
40.6652,30.3083,1049.38,1062.06,85
39.6695,75.201,736.42,652.73,86
44.607,219.3911,14.74,14.49,87
34.9164,27.486,1005.67,928.29,88
32.1289,28.3857,538.78,354.92,89
32.3194,116.7465,415.61,528.24,90
39.0923,27.9763,107.01,109.03,91
40.1435,62.2488,216.48,258.78,92
42.0632,34.076,63.45,70.42,93
37.1848,22.3571,79.99,144.61,94
30.9137,15.7033,192.45,192.32,95
34.8742,77.224,209.2,222.69,96
33.6768,40.2921,388.19,383.24,97
39.8072,57.3594,821.23,644.49,98
39.8571,49.0001,348.71,352.36,99
39.7442,100.9076,256.39,259.09,100
39.99,60.3069,244.22,243.26,101
37.7511,67.1575,278.85,279.84,102
33.7018,49.4007,242.78,257.83,103
40.6188,94.0471,273.1,276.26,104
40.9965,29.5468,639.02,903.98,105
38.6214,28.1963,495.49,443.75,106
41.7231,35.6977,1009.3,1009.79,107
45.0391,154.2361,173.01,165.99,108
40.5059,205.3251,61.54,62.41,109
38.8526,46.7493,293.61,298.8,110
40.6508,55.7748,509.06,487.29,111
40.3603,92.8656,283.81,282.96,112
39.7842,140.6693,253.55,253.14,113
37.704,75.1121,209.38,217.7,114
38.6001,61.6739,96.54,97.82,115
37.8217,60.8139,73.96,74.74,116
46.3171,51.3668,1016.42,1016.44,117
37.2472,27.87,159.38,158.58,118
40.3775,214.2276,82.19,84.61,119
37.1161,28.291,228.44,234.75,120
37.5898,29.2971,242.92,390.32,121
37.2725,158.1344,70.96,70.81,122
40.0781,33.9174,84.88,322.01,123
38.0865,21.4406,345.06,343.97,124
38.7729,149.1008,142.23,141.54,125
38.4257,41.6246,220.19,219.81,126
38.297,36.3129,157.03,136.27,127
34.4724,104.1546,342.99,364.87,128
36.8191,97.3724,90.02,88.65,129
41.2302,72.3514,249.64,253.83,130
38.5898,52.9156,167.48,156.42,131
38.6429,136.1214,119.18,172.66,132
39.0008,70.8439,460.72,365.7,133
37.0171,34.5037,11.33,11.87,134
32.8521,27.1509,261.61,369.1,135
32.4493,34.9662,801.11,851.77,136
39.7255,39.7759,533.11,556.2,137
42.369,45.7556,1003.99,1004.31,138
37.8037,16.2403,301.42,294.03,139
38.7536,40.7971,353.34,350.86,140
38.3401,28.3,1041.04,993.26,141
36.5415,25.9989,772.74,858.46,142
43.3085,37.5727,1017.87,1017.59,143
44.5842,206.6627,53.4,52.95,144
39.0732,61.5422,220.62,220.97,145
39.1713,50.8921,202.29,222.66,146
38.5897,43.5141,233.5,232.82,147
39.0032,92.9175,217.46,218.54,148
34.0516,51.4613,179.43,266.91,149
31.4567,25.8896,158.32,309.8,150
29.8188,15.2819,1377.36,1196.96,151
32.8225,33.6916,607.55,637.88,152
32.1947,56.1806,363.58,403.58,153
34.4001,53.3869,271.93,270.67,154
38.5549,58.0165,286.97,286.27,155
38.5723,102.0263,278.91,279.7,156
38.4635,176.3467,148.99,149.19,157
39.1671,64.9708,190.85,184.34,158
41.3548,39.4192,1003.01,913.06,159
38.384,125.5203,102.19,100.38,160
38.7742,28.1163,257.21,236.61,161
42.1037,41.5798,341.81,343.11,162
43.5537,218.3967,8.53,8.42,163
38.6884,80.5177,297.42,306.32,164
38.6124,44.6578,208.32,207.13,165
38.6048,24.4063,258.98,259.37,166
41.6404,32.0474,1016.45,1016.29,167
40.4781,46.7167,986.38,1000.91,168
38.0421,64.451,232.52,230.69,169
32.9005,44.6564,161.96,163.91,170
39.1276,45.7982,180.53,175.45,171
36.7599,82.3663,122.05,121.19,172
38.3709,36.4533,350.52,294.55,173
41.8282,58.1058,147.37,150.24,174
40.3279,54.803,908.36,909.14,175
40.2642,45.2017,324.19,323.13,176
37.8703,25.8003,298.13,297.34,177
37.4176,23.8889,301.89,302.43,178
38.6022,36.7332,292.63,290.28,179
34.8699,24.4956,487.39,471.79,180
32.3822,20.9518,418.86,504.72,181
31.2371,30.2609,1016.31,1263.94,182
30.2696,24.0393,2381.54,1741.47,183
32.9685,32.2534,1162.9,695.32,184
37.0119,28.5129,163.51,184.33,185
40.4084,39.4561,1021.18,975.37,186
38.1649,33.1723,300.81,297.99,187
36.6758,26.9056,294.09,392.25,188
36.4915,84.6747,149.63,140.62,189
44.7838,48.6406,1002.85,1003.14,190
44.5778,51.9642,1008.8,1009.24,191
43.8291,49.1734,1006.56,1006.43,192
43.1739,39.9523,1025.56,1025.73,193
43.4377,29.4629,1040.51,1040.59,194
43.8373,30.4488,1037.67,1037.09,195
45.1914,32.0187,1040.96,1040.95,196
37.771,39.5703,969.86,907.95,197
37.5714,33.4184,613.93,527.66,198
38.1193,45.4946,63.21,63.57,199
