Real Sto Return,Reward Loss,Real Det Return,Itration,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps
-178.56,-297.94366455078125,17.52,0,0,11.2234,158.5632,0
-116.26,-329.56610107421875,13.37,1,1,11.594,158.3302,5000
18.66,-358.7243347167969,693.03,2,2,12.0415,158.4495,10000
303.95,-316.7280578613281,757.07,3,3,13.578,158.1344,15000
346.66,-371.0381164550781,720.66,4,4,13.012,158.1021,20000
570.9,-385.6820373535156,858.94,5,5,14.8131,158.2648,25000
654.48,-447.902099609375,985.35,6,6,14.4251,158.093,30000
797.42,-511.5389709472656,1183.36,7,7,15.178,157.9691,35000
887.79,-551.0391235351562,1216.05,8,8,14.7831,158.1481,40000
967.94,-581.99267578125,1222.91,9,9,15.136,157.8149,45000
1039.91,-628.987060546875,1419.69,10,10,15.8413,158.1154,50000
1111.44,-631.7940673828125,1536.48,11,11,16.5313,158.1486,55000
1151.37,-663.697021484375,1538.15,12,12,16.605,157.8543,60000
1208.65,-689.710205078125,1620.95,13,13,16.9968,158.0915,65000
1214.4,-701.4771118164062,1648.71,14,14,16.7306,157.8646,70000
1227.72,-757.3963012695312,1648.6,15,15,16.6838,157.9434,75000
1290.51,-785.8924560546875,1685.73,16,16,16.844,158.1642,80000
1349.9,-803.1231079101562,1739.47,17,17,17.1934,158.0647,85000
1372.47,-842.3045654296875,1768.63,18,18,16.9511,157.817,90000
1371.84,-882.7205810546875,1755.73,19,19,16.9058,157.8423,95000
1438.84,-888.0352172851562,1774.88,20,20,16.8998,157.8049,100000
1456.58,-918.1041870117188,1851.58,21,21,16.9022,157.7037,105000
1413.94,-952.5996704101562,1759.53,22,22,16.516,157.725,110000
1449.18,-990.0250244140625,1830.07,23,23,16.4231,157.7667,115000
1479.3,-1019.7410888671875,1830.86,24,24,16.5591,157.8855,120000
1473.95,-1058.9471435546875,1867.9,25,25,16.6042,157.8958,125000
1524.42,-1082.679443359375,1920.76,26,26,16.7493,157.7584,130000
1563.89,-1100.76318359375,1884.62,27,27,16.7809,157.7278,135000
1502.89,-1141.731201171875,1852.16,28,28,16.1373,157.6661,140000
1578.85,-1172.8662109375,1964.95,29,29,16.5899,157.8055,145000
