Real Det Return,Running Forward KL,Running Reverse KL,Running Update Time,Itration,Real Sto Return,Reward Loss,Running Env Steps
325.98,49.3638,13.1731,0,0,260.02,-113.50785064697266,0
398.71,49.2248,16.6048,1,1,351.74,-82.22392272949219,5000
390.21,49.9675,16.0744,2,2,359.87,-155.893798828125,10000
447.68,49.8726,22.3526,3,3,398.4,-115.58890533447266,15000
443.06,49.1062,19.945,4,4,434.73,-176.6211395263672,20000
401.05,49.6194,17.5434,5,5,386.69,-244.1126251220703,25000
414.86,49.754,39.2223,6,6,454.84,-139.99058532714844,30000
468.02,48.7099,38.8566,7,7,445.81,-177.16299438476562,35000
615.76,48.6717,27.0993,8,8,532.77,-255.56727600097656,40000
720.31,48.0132,17.3603,9,9,719.36,-270.42962646484375,45000
1438.14,47.1887,17.15,10,10,1270.91,-211.32862854003906,50000
956.79,47.8792,15.9689,11,11,1159.53,-224.3717803955078,55000
1792.85,46.9622,17.1647,12,12,1229.28,-297.58966064453125,60000
1171.96,47.5883,15.5856,13,13,1061.0,-296.6514587402344,65000
1153.15,47.2765,17.4507,14,14,1120.03,-344.2338562011719,70000
388.71,46.9235,15.438,15,15,1135.84,-279.0949401855469,75000
1577.96,46.7354,17.3322,16,16,1177.25,-309.25250244140625,80000
1338.09,47.468,19.6119,17,17,1040.06,-274.8232116699219,85000
873.76,47.1715,16.9813,18,18,833.38,-251.7302703857422,90000
1246.65,47.5245,21.5302,19,19,1211.14,-212.02764892578125,95000
1556.56,47.3934,17.6969,20,20,1249.47,-281.8680114746094,100000
1316.45,46.9875,16.4554,21,21,966.43,-303.55731201171875,105000
1396.66,46.4951,18.987,22,22,1183.5,-248.9083709716797,110000
1129.54,47.6177,19.3121,23,23,1050.27,-304.9555969238281,115000
1067.81,47.3901,36.9372,24,24,1058.8,-250.9884796142578,120000
1285.01,47.5824,23.3571,25,25,1218.51,-223.34274291992188,125000
1573.41,47.1075,20.4373,26,26,1227.18,-297.5887451171875,130000
1544.02,47.0391,17.6176,27,27,1210.04,-328.59521484375,135000
1399.6,47.3674,23.2537,28,28,1100.24,-223.85093688964844,140000
1818.34,47.5373,20.9524,29,29,1305.28,-388.9232482910156,145000
1561.97,46.9989,19.5708,30,30,1205.97,-321.4247741699219,150000
1558.44,47.9351,20.4198,31,31,1327.48,-304.7862243652344,155000
1633.9,47.3889,20.7547,32,32,1567.78,-333.8818054199219,160000
1760.5,46.7496,15.5624,33,33,1659.8,-450.9314270019531,165000
1720.92,46.7647,18.104,34,34,1590.66,-385.7799072265625,170000
1372.52,46.2822,17.3692,35,35,1743.66,-391.1777648925781,175000
1998.07,46.7867,15.5523,36,36,1659.25,-490.7925720214844,180000
2345.58,46.6992,17.5149,37,37,1742.46,-412.208251953125,185000
2394.4,47.1797,18.0523,38,38,1639.48,-402.0444030761719,190000
1432.55,47.129,17.7409,39,39,1387.71,-447.3616638183594,195000
1788.77,46.4947,19.6035,40,40,1489.78,-547.4165649414062,200000
1606.49,47.1203,29.6869,41,41,1571.08,-536.4160766601562,205000
2607.91,46.449,34.0201,42,42,1565.0,-573.3590087890625,210000
1745.15,46.6377,15.5006,43,43,1591.37,-544.5931396484375,215000
1619.57,46.7541,15.0995,44,44,1506.59,-604.3128662109375,220000
2699.14,47.0275,20.6293,45,45,1732.56,-548.1983642578125,225000
2010.09,46.673,22.5441,46,46,1628.76,-574.8499755859375,230000
1889.06,46.2371,19.6593,47,47,1638.2,-452.1221618652344,235000
3127.17,46.377,17.6296,48,48,2096.52,-520.6630859375,240000
1436.44,46.9695,16.6713,49,49,1247.55,-664.1309204101562,245000
1763.5,46.4054,24.8111,50,50,1620.42,-624.05908203125,250000
1623.96,46.5981,17.7055,51,51,1306.16,-671.4888916015625,255000
2438.26,46.7624,21.2555,52,52,1671.88,-571.8527221679688,260000
1572.26,46.1751,20.989,53,53,1277.86,-697.2021484375,265000
2255.92,46.5877,15.5407,54,54,1708.86,-678.9164428710938,270000
1304.94,47.0653,19.1218,55,55,1217.32,-752.284423828125,275000
3020.83,46.3247,20.3769,56,56,1962.33,-739.7527465820312,280000
1839.86,45.6472,18.3027,57,57,1525.08,-699.4921264648438,285000
1948.43,46.0688,17.2961,58,58,1601.96,-609.7880859375,290000
1807.61,47.1682,17.1519,59,59,1453.08,-669.506591796875,295000
1821.64,46.9295,18.9015,60,60,1370.26,-767.6222534179688,300000
2071.15,46.1379,19.4997,61,61,1691.38,-750.49755859375,305000
1742.75,46.3396,35.2955,62,62,1548.37,-803.0025024414062,310000
2438.18,45.6832,27.2922,63,63,1936.8,-750.1925048828125,315000
1878.3,45.8469,19.4239,64,64,1376.73,-810.7451171875,320000
1988.21,46.7988,37.5718,65,65,1603.46,-812.2211303710938,325000
1827.31,46.6754,16.8256,66,66,1319.81,-800.602783203125,330000
2042.63,45.9905,17.3466,67,67,1598.22,-843.5606079101562,335000
1962.49,46.5296,29.0055,68,68,1744.75,-827.5406494140625,340000
1899.88,46.2613,21.9794,69,69,1373.28,-901.2068481445312,345000
1692.52,46.7178,29.8656,70,70,1410.8,-903.1898803710938,350000
2102.54,46.2464,33.3577,71,71,1837.76,-895.3517456054688,355000
1714.62,46.4444,20.505,72,72,1380.08,-949.1088256835938,360000
930.58,48.2012,22.1963,73,73,573.93,-1051.811279296875,365000
2136.06,46.5174,28.0209,74,74,1789.48,-855.3934326171875,370000
2204.09,46.3707,28.8642,75,75,1915.1,-878.6594848632812,375000
2145.3,46.1117,18.0831,76,76,1544.15,-878.2819213867188,380000
1741.38,46.471,22.7421,77,77,1357.72,-954.86376953125,385000
2108.88,46.0935,21.5921,78,78,1491.15,-893.8736572265625,390000
2248.82,46.7181,19.6686,79,79,1596.99,-954.6862182617188,395000
1933.69,46.5873,41.7362,80,80,1653.49,-1074.889892578125,400000
2000.81,46.1699,20.6177,81,81,1612.72,-1016.856689453125,405000
2273.76,45.8848,23.7003,82,82,1944.55,-912.0471801757812,410000
2004.75,47.2052,24.0491,83,83,1548.86,-1051.8172607421875,415000
1965.89,46.9305,37.5381,84,84,1628.17,-1094.3370361328125,420000
1867.33,46.5283,17.4874,85,85,1535.01,-994.9591674804688,425000
3113.24,46.4073,22.6089,86,86,2465.79,-824.0637817382812,430000
2067.07,46.2296,21.2118,87,87,1777.5,-1019.7825317382812,435000
2259.39,46.0615,19.3069,88,88,1774.79,-977.1777954101562,440000
2111.89,46.2681,25.4034,89,89,1728.4,-1128.64892578125,445000
1869.88,46.508,32.8077,90,90,1804.97,-1162.799072265625,450000
2084.56,47.0466,25.882,91,91,1580.87,-1166.06298828125,455000
2057.98,46.4117,32.25,92,92,1764.72,-1199.3131103515625,460000
2320.72,46.1047,21.5882,93,93,2006.93,-1093.2816162109375,465000
2261.09,46.5674,22.5174,94,94,2061.92,-1043.9615478515625,470000
2044.99,46.5082,37.2965,95,95,1827.76,-1162.7769775390625,475000
2209.48,46.5737,25.0962,96,96,1645.8,-1130.683837890625,480000
2175.92,46.349,27.5915,97,97,1893.34,-1140.946044921875,485000
2176.5,46.1849,23.8715,98,98,1509.1,-1263.7381591796875,490000
2799.48,45.3194,22.5521,99,99,1833.68,-1008.79931640625,495000
2140.69,45.4344,26.419,100,100,1838.87,-1162.3165283203125,500000
2603.84,46.2509,27.2232,101,101,2140.02,-1230.750244140625,505000
2222.97,46.7682,28.788,102,102,1802.63,-1221.958251953125,510000
2805.81,45.7253,23.846,103,103,2206.49,-1207.487548828125,515000
2288.51,46.3975,21.9904,104,104,2029.37,-1184.6243896484375,520000
2357.8,45.6268,27.7228,105,105,1995.38,-1334.521728515625,525000
2173.65,45.8246,17.6899,106,106,1790.7,-1296.6768798828125,530000
2502.54,46.0086,19.2331,107,107,2129.03,-1361.289306640625,535000
3457.29,45.6156,20.0808,108,108,2610.76,-1147.121337890625,540000
3433.97,45.745,20.2011,109,109,2540.85,-1186.998779296875,545000
3500.08,45.2614,16.6575,110,110,2320.75,-986.7908935546875,550000
2745.3,45.6857,14.0203,111,111,2111.72,-1341.37109375,555000
2749.34,45.6034,19.8037,112,112,2395.05,-1247.813232421875,560000
2840.6,45.9792,14.9927,113,113,2432.36,-1118.788818359375,565000
2776.97,45.8322,15.7024,114,114,2325.93,-1269.99365234375,570000
3498.38,45.6161,14.9929,115,115,2478.79,-1203.388916015625,575000
2385.51,45.0062,17.9937,116,116,2186.73,-1176.9091796875,580000
3363.5,45.5999,15.4133,117,117,2292.7,-1188.8089599609375,585000
2458.96,45.2436,14.9598,118,118,2051.44,-1308.5081787109375,590000
3367.02,45.4557,15.9779,119,119,2601.64,-1042.8619384765625,595000
3573.96,45.1401,15.3808,120,120,2543.21,-1081.8355712890625,600000
3510.15,45.2651,20.5018,121,121,2727.65,-1165.0306396484375,605000
2780.35,45.321,19.1399,122,122,2896.31,-1217.1904296875,610000
3475.33,45.8016,14.9724,123,123,2572.84,-1317.246337890625,615000
3509.03,45.2541,15.4388,124,124,2943.52,-1179.45947265625,620000
3514.19,45.4145,17.0894,125,125,2747.72,-1196.2796630859375,625000
2638.12,45.6605,17.5246,126,126,2483.45,-1315.6402587890625,630000
3573.15,45.3296,17.9207,127,127,3387.63,-928.7630004882812,635000
3631.83,45.1199,18.2275,128,128,2399.88,-1388.9215087890625,640000
3521.64,45.5717,16.2366,129,129,2547.59,-1247.1904296875,645000
3126.68,45.1246,16.8286,130,130,2329.3,-1193.6964111328125,650000
3560.97,45.2887,19.6133,131,131,2750.07,-1407.3037109375,655000
3356.54,45.8262,18.4741,132,132,2862.47,-1290.82958984375,660000
3623.02,44.8136,16.8418,133,133,2972.56,-1255.3359375,665000
3484.89,45.6658,16.4486,134,134,3264.13,-1014.59375,670000
3595.13,45.6711,18.9877,135,135,2609.53,-1209.802490234375,675000
3562.79,45.318,16.0434,136,136,3323.56,-1159.6832275390625,680000
3384.11,46.088,16.5721,137,137,2657.02,-1511.095458984375,685000
3568.78,45.2248,15.4431,138,138,2702.76,-1267.8536376953125,690000
3605.0,45.4113,16.5921,139,139,3063.98,-1078.7733154296875,695000
3466.7,45.3108,15.4806,140,140,2965.64,-1267.8382568359375,700000
3695.32,45.6373,16.2668,141,141,3099.79,-1196.18603515625,705000
3634.93,45.2932,15.9895,142,142,3179.06,-1098.1319580078125,710000
3061.07,45.9035,14.0288,143,143,2540.85,-1456.857177734375,715000
3647.59,45.271,14.8221,144,144,2663.84,-1471.0506591796875,720000
3684.05,45.311,16.5972,145,145,2897.99,-1270.9400634765625,725000
3422.61,45.2701,14.641,146,146,2599.68,-1497.7808837890625,730000
3447.11,44.7224,15.0911,147,147,3443.48,-1249.76904296875,735000
3458.4,45.404,15.2794,148,148,2664.03,-1462.709716796875,740000
3629.4,45.4259,16.7788,149,149,3490.45,-1075.6290283203125,745000
3623.64,45.1859,16.1864,150,150,3102.92,-1387.9993896484375,750000
3519.85,45.7321,18.089,151,151,3058.37,-1594.2041015625,755000
3571.24,44.6281,17.5019,152,152,3000.3,-1339.561279296875,760000
3571.44,45.4053,16.5453,153,153,2545.23,-1421.0523681640625,765000
3506.63,45.45,14.1592,154,154,2755.05,-1652.7701416015625,770000
3580.75,45.212,18.1706,155,155,3034.25,-1418.73876953125,775000
3694.21,45.2721,17.9087,156,156,2514.83,-1280.2342529296875,780000
3680.05,44.9319,16.6932,157,157,3103.72,-1145.8582763671875,785000
3353.61,45.4926,17.5791,158,158,2623.51,-1584.7520751953125,790000
3732.54,45.3454,18.5345,159,159,2894.92,-1486.6390380859375,795000
3689.9,45.6004,18.4555,160,160,3447.36,-1303.103271484375,800000
3778.86,45.1713,18.2515,161,161,3023.12,-1582.82373046875,805000
3654.02,45.1777,16.5131,162,162,3497.7,-1334.691162109375,810000
3675.57,45.4149,18.7508,163,163,2909.4,-1717.9432373046875,815000
3720.45,45.1134,18.9645,164,164,3025.52,-1705.681884765625,820000
3276.23,45.174,17.8568,165,165,2949.49,-1495.7413330078125,825000
3375.84,45.1381,16.7547,166,166,3269.64,-1646.1981201171875,830000
3511.75,45.114,16.2376,167,167,3246.77,-1296.1290283203125,835000
3578.39,44.9712,17.0533,168,168,3035.99,-1412.24169921875,840000
3495.71,45.3401,16.6878,169,169,3653.22,-1277.2841796875,845000
3750.09,44.9001,16.0733,170,170,3214.33,-1458.3258056640625,850000
3660.87,44.9338,17.2964,171,171,3148.45,-1559.34423828125,855000
3288.09,45.2712,15.7777,172,172,3544.01,-1328.8968505859375,860000
3385.05,45.2422,17.3559,173,173,3492.67,-1505.2569580078125,865000
3700.58,45.4314,21.2487,174,174,2732.61,-1959.49951171875,870000
3769.84,45.1953,16.8143,175,175,3428.67,-1577.959716796875,875000
3784.09,45.0571,17.0366,176,176,3406.83,-1637.124755859375,880000
3372.7,44.7905,18.1616,177,177,3303.95,-1617.6053466796875,885000
3566.37,44.7778,16.9376,178,178,3477.71,-1349.6973876953125,890000
3558.45,45.1579,17.5688,179,179,3481.94,-1339.5555419921875,895000
3828.4,44.9557,17.0242,180,180,3381.21,-1403.306640625,900000
3573.87,45.2381,16.696,181,181,3396.66,-1578.91357421875,905000
3573.95,44.737,17.1694,182,182,3487.4,-1344.2816162109375,910000
3403.67,44.9173,17.3695,183,183,3423.72,-1783.8194580078125,915000
3570.28,44.6697,17.5475,184,184,2955.3,-1796.514892578125,920000
3726.75,44.6047,16.7353,185,185,2691.24,-1605.9512939453125,925000
3549.8,44.9256,16.5283,186,186,3371.68,-1438.1298828125,930000
3600.83,45.3158,16.3104,187,187,3170.12,-1644.06640625,935000
3735.17,45.1685,16.8515,188,188,3472.68,-1726.6600341796875,940000
3423.01,44.6802,16.3837,189,189,2960.82,-1792.4349365234375,945000
3229.53,44.5902,16.6454,190,190,3291.85,-1693.3211669921875,950000
3407.05,44.5138,16.6758,191,191,3281.13,-1500.9510498046875,955000
3449.17,44.6243,15.5256,192,192,2944.82,-1618.6170654296875,960000
3483.57,44.7403,16.1581,193,193,3220.02,-1892.82421875,965000
3417.85,44.9744,17.1073,194,194,2832.67,-1959.0194091796875,970000
2865.15,45.8104,23.1946,195,195,1828.04,-2500.024658203125,975000
2603.04,45.3439,16.1376,196,196,2703.69,-2247.251953125,980000
2747.96,44.9988,17.7155,197,197,2785.48,-2182.146484375,985000
3294.71,44.9373,15.1335,198,198,3383.18,-1822.4237060546875,990000
3272.11,45.4817,16.547,199,199,2926.39,-1996.1915283203125,995000
3589.07,44.7339,15.8474,200,200,3580.2,-1823.5816650390625,1000000
3588.7,44.8862,17.1846,201,201,2913.39,-1875.8885498046875,1005000
3479.71,44.9674,18.6937,202,202,2707.07,-2161.343505859375,1010000
3788.71,44.8834,18.4991,203,203,3466.1,-1561.01220703125,1015000
3665.45,44.8413,17.6926,204,204,2678.17,-2045.86962890625,1020000
3533.45,44.836,18.2883,205,205,3019.07,-1978.255859375,1025000
3603.53,44.8864,17.6328,206,206,2801.23,-2080.21044921875,1030000
3882.15,44.6127,20.351,207,207,3250.13,-2182.51171875,1035000
3815.98,44.5106,16.6989,208,208,2767.91,-1784.93408203125,1040000
3716.24,44.6321,17.3727,209,209,3418.59,-1720.858154296875,1045000
3845.77,45.0762,19.3315,210,210,3296.73,-2031.552734375,1050000
3931.26,45.1342,21.5892,211,211,2516.81,-2557.174072265625,1055000
3808.13,44.3764,17.8045,212,212,3440.31,-1705.4503173828125,1060000
3973.7,44.6274,17.9698,213,213,3551.03,-1666.574951171875,1065000
3948.21,44.9322,21.5795,214,214,3110.83,-2063.262939453125,1070000
2686.76,44.9857,18.5307,215,215,2988.24,-2331.838623046875,1075000
3566.67,44.9342,19.6198,216,216,2793.4,-1918.1280517578125,1080000
