Running Update Time,Itration,Running Reverse KL,Running Forward KL,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss
0,0,11.5828,158.504,0,-203.63,-27.9,442.6378173828125
1,1,11.8978,158.3866,5000,-100.34,-28.36,381.3760986328125
2,2,12.3236,158.2927,10000,89.51,698.03,365.0545959472656
3,3,12.8162,158.3586,15000,251.44,665.23,365.1694641113281
4,4,13.4691,158.2509,20000,366.68,723.22,359.34521484375
5,5,13.8317,158.033,25000,435.02,809.34,325.45733642578125
6,6,13.5875,158.0075,30000,515.07,833.05,308.8487548828125
7,7,14.6539,158.1839,35000,629.15,1006.48,206.1354217529297
8,8,14.7337,158.2002,40000,799.11,1157.7,175.024658203125
9,9,15.2492,157.9786,45000,892.01,1258.19,121.63749694824219
10,10,15.388,157.7756,50000,1011.54,1449.35,84.31678771972656
11,11,15.553,157.7222,55000,1057.23,1467.82,48.68921661376953
12,12,16.1108,157.9992,60000,1061.8,1442.46,-11.301458358764648
13,13,16.0937,157.8641,65000,1136.25,1572.57,-24.288177490234375
14,14,16.2952,157.7405,70000,1169.74,1567.83,-65.65117645263672
15,15,16.381,157.8013,75000,1206.15,1665.25,-90.37542724609375
16,16,16.6086,157.9175,80000,1233.62,1650.51,-142.61680603027344
17,17,16.6486,157.9718,85000,1244.01,1666.26,-191.1876220703125
18,18,16.729,157.7562,90000,1262.89,1734.77,-213.88584899902344
19,19,16.8079,157.8275,95000,1318.83,1743.54,-282.57232666015625
20,20,15.9565,157.8403,100000,1337.08,1779.99,-305.07904052734375
21,21,16.005,157.7745,105000,1358.0,1772.56,-364.5977478027344
22,22,16.4812,157.6278,110000,1412.32,1885.97,-385.81610107421875
23,23,16.6859,157.7522,115000,1386.82,1881.96,-440.3540344238281
24,24,16.4322,157.6153,120000,1446.7,1914.49,-485.9504699707031
25,25,16.2425,157.6096,125000,1428.43,1879.96,-524.1377563476562
26,26,16.4248,157.7448,130000,1504.84,1922.99,-550.9277954101562
27,27,16.1847,157.7241,135000,1519.73,1922.07,-606.5794677734375
28,28,16.5586,157.6327,140000,1513.62,1916.54,-645.9757080078125
29,29,16.3205,157.3317,145000,1507.23,1915.77,-675.3223266601562
30,30,16.2779,157.6145,150000,1530.41,1909.46,-734.357421875
31,31,16.3568,157.3748,155000,1566.0,1962.43,-778.8658447265625
32,32,16.499,157.361,160000,1569.5,1912.39,-827.3035888671875
33,33,16.1485,157.4437,165000,1569.31,1940.12,-860.5569458007812
34,34,16.5429,157.686,170000,1605.16,1998.41,-902.4061889648438
35,35,16.5593,157.5681,175000,1623.34,1951.86,-953.2537841796875
36,36,16.2852,157.3611,180000,1586.69,1986.29,-977.1273193359375
37,37,16.3446,157.3622,185000,1621.49,1989.44,-1031.9395751953125
38,38,16.2852,157.5313,190000,1609.09,1945.38,-1063.282470703125
39,39,16.6309,157.5193,195000,1645.44,2006.57,-1103.760986328125
40,40,15.9142,157.5454,200000,1601.65,1868.07,-1159.734619140625
41,41,16.4952,157.4953,205000,1661.37,2007.68,-1191.3765869140625
42,42,16.4902,157.3898,210000,1657.13,2031.63,-1234.987548828125
43,43,16.237,157.434,215000,1613.31,1953.25,-1287.162353515625
44,44,16.2252,157.538,220000,1619.45,1967.1,-1324.7830810546875
45,45,16.521,157.2689,225000,1654.68,2042.25,-1355.6943359375
46,46,15.8608,157.0932,230000,1629.51,1944.94,-1400.4146728515625
47,47,16.1911,157.4739,235000,1638.24,2022.51,-1440.758544921875
48,48,16.1377,157.3209,240000,1656.49,2040.19,-1476.26806640625
49,49,16.4018,157.2369,245000,1680.71,2053.25,-1520.40869140625
50,50,16.4352,157.3052,250000,1672.7,1986.14,-1580.15771484375
51,51,16.3158,157.3227,255000,1671.04,2046.2,-1593.1160888671875
52,52,16.3085,157.3654,260000,1693.89,2045.59,-1631.8267822265625
53,53,16.1149,157.2516,265000,1655.49,2039.06,-1681.2066650390625
54,54,16.3907,157.3065,270000,1681.5,2084.38,-1717.376708984375
55,55,15.945,156.9295,275000,1680.25,2020.33,-1774.11669921875
56,56,16.4954,157.3524,280000,1715.44,2042.67,-1805.2952880859375
57,57,16.1797,157.3424,285000,1673.99,2049.93,-1848.2164306640625
58,58,16.0559,157.2115,290000,1687.06,2024.14,-1882.0313720703125
59,59,16.0432,157.3762,295000,1668.77,2006.52,-1934.916748046875
60,60,16.2071,157.3831,300000,1722.64,2062.01,-1973.43115234375
61,61,15.9323,157.1162,305000,1681.58,2067.13,-2010.6253662109375
62,62,16.0135,157.2027,310000,1690.06,2068.81,-2056.432861328125
63,63,15.8551,157.0627,315000,1692.71,2005.94,-2106.471923828125
64,64,16.1685,156.9704,320000,1733.71,2089.33,-2121.4345703125
65,65,16.1154,157.1374,325000,1777.47,2110.71,-2163.500244140625
66,66,16.3286,157.1029,330000,1703.28,2075.28,-2225.245849609375
67,67,15.6377,156.9225,335000,1736.51,2097.92,-2260.287353515625
68,68,15.6827,157.0746,340000,1694.7,2053.69,-2321.520751953125
69,69,15.9808,157.0571,345000,1743.27,2102.8,-2345.338134765625
70,70,16.1693,156.9943,350000,1749.62,2088.39,-2386.520263671875
71,71,16.1851,157.1354,355000,1776.48,2125.98,-2428.197509765625
72,72,16.2625,157.1107,360000,1781.68,2163.2,-2474.521484375
73,73,15.7753,157.0437,365000,1752.96,2101.4,-2516.474365234375
74,74,15.5134,156.9036,370000,1767.95,2100.76,-2569.553955078125
75,75,15.6781,157.0095,375000,1739.26,2064.29,-2607.5478515625
