Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps,Itration,Reward Loss,Running Forward KL,Running Update Time
195.09,207.57,23.9225,0,0,429.1644592285156,33.0369,0
282.74,255.46,50.4267,5000,1,442.00689697265625,30.7245,1
270.67,263.87,19.5166,10000,2,71.92315673828125,32.3058,2
282.25,283.92,62.2138,15000,3,599.7697143554688,31.0147,3
313.28,315.97,63.9618,20000,4,545.4138793945312,31.9425,4
315.63,316.74,33.5637,25000,5,222.08413696289062,30.8667,5
313.51,294.54,48.8584,30000,6,394.3638610839844,31.0233,6
333.91,337.22,56.5749,35000,7,355.9536437988281,33.0084,7
333.06,316.52,59.9111,40000,8,273.1727600097656,31.9351,8
327.58,327.54,22.6422,45000,9,-97.52439880371094,30.6007,9
331.59,339.54,27.5502,50000,10,-60.82130813598633,31.3209,10
345.36,340.32,19.4397,55000,11,-166.69195556640625,32.6113,11
357.31,360.5,22.2322,60000,12,-239.930908203125,33.013,12
403.11,399.33,31.6782,65000,13,-154.35784912109375,30.8599,13
546.88,688.14,49.119,70000,14,-167.25001525878906,28.726,14
562.69,636.69,48.6344,75000,15,-237.68836975097656,29.1786,15
360.62,382.47,55.0252,80000,16,-227.47866821289062,30.3902,16
478.27,280.17,76.5645,85000,17,-293.25262451171875,28.3001,17
725.37,732.0,28.8147,90000,18,-385.51800537109375,27.8722,18
762.0,838.42,42.5738,95000,19,-478.14520263671875,27.5151,19
749.12,718.13,18.2635,100000,20,-523.1527709960938,26.9528,20
701.05,720.07,41.2699,105000,21,-484.24322509765625,26.6787,21
450.14,398.63,54.4019,110000,22,-552.8880004882812,28.8399,22
841.31,1208.63,49.4652,115000,23,-544.4512939453125,26.6808,23
859.06,925.56,105.8276,120000,24,-536.9260864257812,27.1221,24
838.82,974.46,73.2685,125000,25,-753.4222412109375,26.7048,25
861.8,877.01,97.5249,130000,26,-745.4869384765625,28.0126,26
1036.55,1048.22,30.5249,135000,27,-793.0419311523438,26.9277,27
868.78,890.71,47.1789,140000,28,-849.7792358398438,26.1437,28
944.29,1050.43,72.0752,145000,29,-920.5673217773438,27.076,29
849.0,845.36,106.6738,150000,30,-949.5933837890625,27.8164,30
1011.64,1123.3,71.7257,155000,31,-962.4185180664062,26.0333,31
916.49,1221.4,24.2073,160000,32,-1111.71923828125,27.7915,32
1060.73,1128.57,30.2008,165000,33,-1015.6848754882812,26.4284,33
897.35,932.5,64.3871,170000,34,-1077.8212890625,25.5219,34
892.52,898.49,69.4314,175000,35,-1143.1143798828125,26.7254,35
959.41,975.49,39.2705,180000,36,-1311.7445068359375,27.0835,36
1027.06,1386.45,47.626,185000,37,-1382.3182373046875,27.3726,37
1236.1,974.04,41.6717,190000,38,-1366.127685546875,26.0482,38
980.09,1101.89,34.9941,195000,39,-1344.23046875,26.1736,39
1102.44,1006.4,27.8872,200000,40,-1366.42138671875,26.1662,40
1076.11,1119.06,69.6188,205000,41,-1669.6478271484375,26.3588,41
1285.35,1037.84,31.0857,210000,42,-1434.7840576171875,25.7447,42
985.86,998.6,43.2423,215000,43,-1676.43505859375,25.9334,43
1220.41,1252.84,32.0928,220000,44,-1579.5789794921875,26.2528,44
