Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Itration
0,11.669,-201.14,158.4001,-5.31,-301.4971008300781,0,0
5000,11.7947,-73.89,158.3816,247.1,-356.8060607910156,1,1
10000,11.6262,4.69,158.2007,92.15,-376.2453918457031,2,2
15000,11.857,88.02,158.0573,99.68,-395.957275390625,3,3
20000,12.0181,249.72,157.9316,712.01,-398.1399841308594,4,4
25000,12.8538,367.84,158.0892,931.82,-419.1657409667969,5,5
30000,12.6341,769.23,157.6854,1455.55,-461.58740234375,6,6
35000,12.8095,1233.27,157.226,1943.0,-507.2388610839844,7,7
40000,14.0675,2074.13,157.3444,2544.44,-534.3886108398438,8,8
45000,14.1008,2533.77,157.1642,3084.92,-581.1387329101562,9,9
50000,15.6405,2927.28,157.2342,3455.99,-629.9060668945312,10,10
55000,15.769,3116.61,156.8461,3946.74,-647.7127075195312,11,11
60000,16.0353,3448.63,156.6353,4074.91,-656.3121337890625,12,12
65000,16.7776,3658.55,156.8469,4145.94,-692.425048828125,13,13
70000,16.466,3763.37,156.9005,4273.2,-742.8109130859375,14,14
75000,16.3362,3964.91,156.2849,4630.99,-762.334716796875,15,15
80000,16.8976,4175.52,156.2999,4601.5,-779.1973266601562,16,16
85000,16.1749,4400.12,155.8778,4941.67,-782.4287109375,17,17
90000,15.4761,4633.76,155.4475,5303.14,-808.0514526367188,18,18
95000,16.2243,4792.51,155.8735,5273.77,-833.9342041015625,19,19
100000,15.8531,4802.4,155.8355,5281.11,-874.6826782226562,20,20
105000,16.2517,5057.37,154.9108,5874.46,-864.5293579101562,21,21
110000,15.1248,5464.03,154.3357,6076.9,-861.1439208984375,22,22
115000,15.4271,5454.7,154.4567,5967.09,-893.85986328125,23,23
120000,16.125,5852.79,154.0753,6279.3,-892.2525024414062,24,24
125000,16.5513,6023.05,153.9903,6508.8,-926.5213623046875,25,25
130000,16.1688,6041.26,153.5854,6394.17,-914.8173828125,26,26
135000,15.9517,6184.13,152.8896,6941.42,-929.215576171875,27,27
140000,14.823,6123.79,153.2956,6932.97,-982.0559692382812,28,28
145000,16.5958,6615.01,153.3719,6982.69,-965.6348876953125,29,29
