Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Itration,Running Env Steps
3421.6,10.6929,57,3218.0,17.8958,-325.243408203125,57,285000
3406.56,12.3697,58,2903.59,18.5597,-820.5796508789062,58,290000
3384.37,18.6511,59,2742.63,18.13,-606.7833251953125,59,295000
3294.35,12.1614,60,3225.87,19.5663,-538.681396484375,60,300000
3414.49,11.5316,61,3328.19,18.1035,-519.6307983398438,61,305000
3341.72,11.1756,62,2666.21,19.1119,-703.812255859375,62,310000
3401.42,19.4357,63,1393.27,20.9832,-1363.305908203125,63,315000
3408.81,12.7771,64,2799.76,19.2366,-634.9530029296875,64,320000
3420.4,12.2797,65,2981.72,19.1638,-648.298095703125,65,325000
3460.3,11.4329,66,3433.41,17.8158,-437.15264892578125,66,330000
3397.73,11.327,67,3020.41,18.767,-587.6663818359375,67,335000
3311.09,11.028,68,3329.06,18.3089,-576.763427734375,68,340000
3446.71,16.7549,69,2621.11,20.7729,-811.7557983398438,69,345000
3412.15,10.3531,70,3013.11,17.3048,-508.658935546875,70,350000
3373.71,11.4787,71,3230.81,18.2831,-738.9049072265625,71,355000
3372.49,11.1406,72,2992.56,18.4214,-497.80621337890625,72,360000
395.75,10.1836,73,528.42,19.0409,-679.6259765625,73,365000
3409.1,10.8603,74,2904.15,17.602,-587.874267578125,74,370000
3392.49,10.6864,75,3361.17,18.1583,-487.1246337890625,75,375000
3446.97,10.5119,76,3312.66,17.0215,-341.1287536621094,76,380000
3463.98,11.4704,77,3218.76,18.553,-494.7721252441406,77,385000
3468.65,11.1315,78,3342.52,18.2489,-550.7053833007812,78,390000
3427.85,11.3951,79,3381.81,18.2797,-394.831787109375,79,395000
3429.31,14.8952,80,1529.39,22.1855,-1308.957763671875,80,400000
3472.74,11.2175,81,2981.72,18.2678,-521.9354248046875,81,405000
3412.17,10.314,82,3214.26,17.9438,-516.1307373046875,82,410000
3435.22,9.9783,83,2948.83,17.0048,-471.3232116699219,83,415000
3407.32,10.4984,84,3382.22,18.5076,-779.614013671875,84,420000
3474.01,10.2377,85,2983.37,17.6296,-383.2992248535156,85,425000
3476.83,9.1427,86,3055.25,17.4753,-577.277099609375,86,430000
3485.49,10.414,87,3439.06,17.8559,-455.2331848144531,87,435000
3375.43,11.7364,88,3355.97,18.0365,-306.9497985839844,88,440000
3501.23,11.5208,89,3286.21,19.0233,-409.1838684082031,89,445000
3475.13,10.4431,90,3430.64,17.165,-308.6274108886719,90,450000
3470.45,11.5257,91,3454.83,18.2328,-513.544677734375,91,455000
3444.59,11.7204,92,3405.51,18.1087,-616.974365234375,92,460000
3463.03,11.0739,93,3163.18,18.9918,-742.2869262695312,93,465000
