Running Forward KL,Itration,Reward Loss,Running Reverse KL,Real Det Return,Real Sto Return,Running Env Steps,Running Update Time
32.0093,0,237.68017578125,18.5553,217.08,214.08,0,0
29.948,1,190.4610595703125,31.8989,336.78,331.24,5000,1
29.2387,2,199.64239501953125,30.6181,339.48,333.33,10000,2
27.7613,3,173.95498657226562,16.1771,319.49,312.51,15000,3
26.2633,4,40.99945068359375,24.3701,379.63,368.65,20000,4
25.3172,5,11.895386695861816,27.4185,352.23,494.96,25000,5
24.9789,6,-17.411611557006836,22.293,734.64,731.71,30000,6
24.8065,7,39.01731872558594,16.7885,1041.49,905.6,35000,7
24.1608,8,125.84539031982422,14.6209,913.26,914.13,40000,8
23.2224,9,115.322021484375,12.3306,614.08,814.64,45000,9
24.6052,10,237.19613647460938,13.0258,1054.46,1057.07,50000,10
23.1589,11,61.98222732543945,11.5379,695.47,1120.3,55000,11
22.574,12,91.687255859375,13.5465,3088.13,1317.52,60000,12
22.6269,13,62.8579216003418,11.9947,1322.21,1275.59,65000,13
22.2293,14,24.2349796295166,12.0759,1428.53,1357.87,70000,14
22.8073,15,-40.519256591796875,12.448,1684.53,1385.11,75000,15
21.988,16,-28.60096549987793,12.0425,3203.4,2082.63,80000,16
22.8792,17,-39.76778030395508,12.9033,1777.3,1392.98,85000,17
21.3293,18,-59.33906936645508,13.0095,2562.39,1821.6,90000,18
20.5104,19,-48.05232238769531,12.4918,3246.53,2922.21,95000,19
20.4273,20,-111.56865692138672,11.2251,3316.15,2631.38,100000,20
20.3493,21,-32.25234603881836,12.3742,3099.43,3112.7,105000,21
20.5434,22,-73.20303344726562,12.4101,3303.18,2827.26,110000,22
19.9556,23,-63.1577033996582,12.651,3246.6,3186.56,115000,23
19.4701,24,-54.57368469238281,12.2059,3195.79,3241.78,120000,24
20.0261,25,-72.44168853759766,11.342,3026.68,3094.8,125000,25
19.9663,26,-81.65117645263672,13.3056,3232.87,3246.53,130000,26
19.2522,27,-103.494140625,11.1038,3231.17,2950.56,135000,27
19.3503,28,-84.9231948852539,11.8823,3187.48,3232.57,140000,28
18.6772,29,-81.82849884033203,11.6062,3330.55,3254.19,145000,29
19.9526,30,-225.49757385253906,11.3561,3333.49,2559.53,150000,30
19.0256,31,-90.20946502685547,11.1965,3327.75,3317.72,155000,31
18.9846,32,-206.0286865234375,10.7388,3444.68,3094.83,160000,32
18.1606,33,-92.52305603027344,11.5846,3380.63,3357.51,165000,33
18.0664,34,-145.48263549804688,10.737,3332.88,3188.42,170000,34
19.2949,35,-157.794189453125,11.259,3359.26,3363.49,175000,35
17.8164,36,-128.55203247070312,9.4399,3309.41,3187.83,180000,36
18.9919,37,-143.11134338378906,10.6629,3264.48,3125.84,185000,37
20.146,38,-496.4538879394531,11.9452,3397.09,2504.69,190000,38
18.7141,39,-269.8861389160156,10.5478,3377.42,3381.33,195000,39
19.874,40,-532.4385986328125,11.4,3408.05,2058.26,200000,40
20.2418,41,-503.7735290527344,14.2407,3453.77,2435.03,205000,41
19.0576,42,-265.7791442871094,11.3668,3312.7,3116.53,210000,42
19.5286,43,-430.4377136230469,12.6897,3362.07,2685.6,215000,43
18.8773,44,-384.6149597167969,10.5892,3385.99,2811.2,220000,44
19.0366,45,-176.76365661621094,11.7291,3426.91,3149.51,225000,45
19.2353,46,-487.25311279296875,16.4595,3209.12,2280.41,230000,46
18.9523,47,-377.1308898925781,13.6781,3417.24,3004.2,235000,47
17.9096,48,-176.528076171875,11.1937,3419.94,3282.02,240000,48
19.2251,49,-317.4145812988281,12.8036,3432.81,2563.65,245000,49
18.9695,50,-300.4513244628906,11.1873,3434.02,3345.18,250000,50
18.0474,51,-203.35836791992188,11.4416,3416.4,3203.99,255000,51
18.783,52,-331.5686950683594,10.9468,3425.58,2894.76,260000,52
18.5834,53,-252.34619140625,15.1978,3419.32,3354.81,265000,53
18.9174,54,-380.29766845703125,17.9184,3428.26,3352.62,270000,54
19.1642,55,-364.54656982421875,11.8209,3452.32,3135.78,275000,55
18.2306,56,-223.83009338378906,11.511,3429.46,3207.09,280000,56
18.3463,57,-211.7288818359375,11.488,3452.35,3423.16,285000,57
18.4202,58,-204.31178283691406,11.9843,3418.62,3396.84,290000,58
19.4347,59,-738.3272094726562,18.393,3477.75,2434.42,295000,59
19.1538,60,-486.9516296386719,10.7674,3494.0,3267.28,300000,60
19.2675,61,-354.2906188964844,12.2723,3458.37,3086.67,305000,61
19.527,62,-283.2362365722656,12.75,3447.71,3391.0,310000,62
18.2444,63,-195.61878967285156,11.8866,3467.9,3377.44,315000,63
18.3126,64,-323.6229248046875,11.2035,3443.61,3207.38,320000,64
18.5416,65,-284.8629455566406,12.9494,3445.92,3406.61,325000,65
19.0636,66,-420.9866027832031,11.1772,3453.75,2992.68,330000,66
18.2897,67,-247.433349609375,12.5308,3436.84,3411.58,335000,67
18.4235,68,-276.27679443359375,10.9506,3445.84,3142.0,340000,68
18.9744,69,-263.3815612792969,12.7165,3462.28,3431.5,345000,69
18.9052,70,-325.9665832519531,12.3771,3456.32,3109.44,350000,70
18.8424,71,-533.203857421875,15.9006,3485.36,3469.7,355000,71
18.4066,72,-353.19329833984375,12.1792,3472.48,3435.37,360000,72
19.1628,73,-343.4957275390625,12.2171,3441.3,3399.8,365000,73
20.0134,74,-442.5118408203125,15.7404,3490.16,2971.37,370000,74
18.8896,75,-298.6661376953125,12.7409,3458.65,3313.62,375000,75
19.1642,76,-373.9814453125,12.3409,3425.4,3332.67,380000,76
20.4343,77,-389.04144287109375,12.8369,3468.81,2744.96,385000,77
20.32,78,-314.92425537109375,13.3558,3427.51,3358.72,390000,78
19.1853,79,-384.9221496582031,12.4806,3429.34,3306.38,395000,79
19.8705,80,-711.6109008789062,11.9409,3430.75,2874.61,400000,80
18.8057,81,-504.050048828125,13.356,3448.73,3092.32,405000,81
19.7417,82,-365.31451416015625,12.9913,3440.23,3375.17,410000,82
19.6768,83,-334.8294677734375,12.4531,3437.38,3396.91,415000,83
19.04,84,-362.77081298828125,12.6302,3479.65,3447.19,420000,84
19.321,85,-440.7566223144531,13.8008,3469.78,3264.54,425000,85
18.8242,86,-546.5198974609375,12.5406,3457.18,3175.6,430000,86
18.8177,87,-355.8164978027344,12.7977,3452.98,3343.79,435000,87
20.7429,88,-862.2476196289062,16.5259,3479.1,2728.58,440000,88
20.8783,89,-907.4756469726562,22.0051,3479.47,2726.29,445000,89
19.3202,90,-603.85595703125,11.8564,3476.62,3111.53,450000,90
19.8726,91,-709.4268798828125,13.1666,3450.84,3271.07,455000,91
19.9842,92,-657.2448120117188,12.4874,3426.85,3291.02,460000,92
19.2323,93,-504.2903747558594,11.6189,3433.54,3315.71,465000,93
19.0568,94,-421.2419128417969,12.0787,3447.0,3075.44,470000,94
19.6103,95,-508.0798645019531,12.179,3437.08,3312.86,475000,95
19.6609,96,-429.9285583496094,12.9027,3448.57,3366.44,480000,96
19.0408,97,-435.9840393066406,12.0654,3447.55,3451.72,485000,97
19.3457,98,-579.7715454101562,11.5824,3441.68,3319.66,490000,98
19.5775,99,-513.658935546875,12.4881,3464.21,3450.95,495000,99
18.4434,100,-553.3409423828125,11.0418,3470.96,3308.23,500000,100
18.1075,101,-416.53936767578125,12.0153,3443.99,3332.61,505000,101
19.091,102,-491.0174865722656,11.7741,3427.61,3413.38,510000,102
