Running Update Time,Running Forward KL,Running Reverse KL,Itration,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss
0,158.6233,11.6795,0,-40.77,0,-227.52,93.83564758300781
1,158.5132,11.8378,1,49.85,5000,-85.14,-249.2393341064453
2,158.3775,12.1548,2,93.81,10000,30.59,-376.3780212402344
3,158.2559,12.5902,3,828.43,15000,168.47,-566.829345703125
4,157.9721,12.569,4,644.09,20000,273.93,-836.2744750976562
5,157.7717,13.3373,5,862.23,25000,447.27,-1064.0242919921875
6,158.0041,13.7731,6,960.62,30000,494.79,-1297.154296875
7,157.7502,13.9247,7,1118.14,35000,675.08,-1529.7611083984375
8,157.6826,14.221,8,1140.93,40000,723.57,-1784.3348388671875
9,157.4301,14.1013,9,874.73,45000,796.25,-1868.1378173828125
10,157.3315,14.6923,10,1467.05,50000,957.39,-2104.63134765625
11,157.5828,15.3871,11,1480.68,55000,1060.43,-2314.29736328125
12,157.6849,15.891,12,1580.66,60000,1182.73,-2481.591064453125
13,157.6822,16.2428,13,1590.69,65000,1181.05,-2756.116455078125
14,157.7955,16.16,14,1564.86,70000,1181.41,-2925.912353515625
15,157.7471,17.0212,15,1637.09,75000,1249.36,-3053.638916015625
16,157.6384,16.1508,16,1699.68,80000,1284.98,-3280.502197265625
17,157.8229,16.4243,17,1714.82,85000,1319.64,-3598.779296875
18,157.5292,16.4197,18,1794.04,90000,1395.82,-3628.84130859375
19,157.7543,16.3255,19,1812.1,95000,1416.34,-3879.935791015625
20,157.7768,16.631,20,1820.34,100000,1422.83,-4028.678466796875
21,157.8339,16.5083,21,1866.78,105000,1480.21,-4262.0390625
22,157.751,16.3907,22,1854.26,110000,1481.84,-4451.498046875
23,157.6665,16.7942,23,1903.47,115000,1541.19,-4710.14501953125
24,157.8047,16.41,24,1867.55,120000,1485.61,-4868.90283203125
25,157.7297,16.9358,25,1939.2,125000,1568.49,-5094.31103515625
26,157.6927,16.6993,26,1910.95,130000,1549.65,-5243.9375
27,157.7583,16.3882,27,1899.09,135000,1533.69,-5444.080078125
28,157.6047,16.4293,28,1837.14,140000,1539.82,-5626.86865234375
29,157.63,16.6844,29,1883.24,145000,1568.18,-5771.73046875
30,157.5755,16.2517,30,1887.46,150000,1577.53,-5969.50732421875
31,157.4473,16.622,31,1958.34,155000,1591.08,-6137.677734375
32,157.5389,16.5708,32,1990.63,160000,1594.22,-6310.8427734375
33,157.3518,16.2396,33,2007.6,165000,1643.44,-6437.67138671875
34,157.5698,16.4252,34,1957.82,170000,1628.26,-6641.78466796875
35,157.3691,16.3869,35,2026.25,175000,1645.7,-6788.04345703125
36,157.2878,16.2673,36,2050.84,180000,1703.56,-6890.0146484375
37,157.3049,16.4262,37,2039.11,185000,1676.78,-7160.68310546875
38,157.1601,16.0918,38,1992.01,190000,1655.02,-7311.1103515625
39,157.4207,16.2388,39,2081.73,195000,1702.89,-7501.388671875
40,157.1221,16.2242,40,2042.73,200000,1710.06,-7771.01123046875
41,157.1678,16.341,41,2048.84,205000,1697.77,-7893.8779296875
42,157.112,16.4009,42,2060.58,210000,1682.08,-8034.1474609375
43,157.1531,16.3105,43,2102.45,215000,1712.06,-8323.197265625
44,157.0546,16.0301,44,2033.4,220000,1694.92,-8519.333984375
45,157.1416,16.3092,45,2130.8,225000,1712.46,-8707.8310546875
46,156.9572,16.1874,46,2118.51,230000,1732.14,-8954.7744140625
47,157.1696,16.2155,47,2096.85,235000,1720.98,-9036.7998046875
48,157.0101,15.8751,48,2038.8,240000,1669.93,-9234.7978515625
49,156.9768,16.1493,49,2113.92,245000,1714.26,-9514.212890625
50,157.1175,16.1861,50,2134.45,250000,1754.77,-9666.216796875
51,156.9959,15.932,51,2102.74,255000,1731.19,-9810.966796875
52,157.0863,15.8722,52,2070.65,260000,1720.72,-9896.8115234375
53,157.089,16.0443,53,2063.39,265000,1731.14,-10005.9853515625
54,157.0646,16.2422,54,2112.18,270000,1749.23,-10266.2568359375
55,156.8451,16.0393,55,2081.42,275000,1753.55,-10510.068359375
56,156.8584,15.4177,56,2044.99,280000,1704.49,-10639.9765625
57,157.1242,15.9961,57,2121.89,285000,1729.4,-10928.4130859375
58,156.9736,16.4741,58,2141.03,290000,1787.76,-11056.462890625
59,156.9113,15.8922,59,2111.83,295000,1745.09,-11219.58984375
60,157.1001,15.7697,60,2118.15,300000,1722.7,-11501.9873046875
61,156.9282,16.0355,61,2139.49,305000,1782.97,-11623.392578125
62,156.9171,15.9727,62,2123.46,310000,1765.32,-11808.7587890625
63,156.9298,15.53,63,2049.27,315000,1745.3,-12020.322265625
64,156.8777,15.7472,64,2097.36,320000,1728.24,-12151.1298828125
65,156.7108,15.746,65,2138.33,325000,1755.43,-12404.4150390625
66,156.93,15.86,66,2138.29,330000,1742.48,-12668.2890625
67,156.8255,15.9331,67,2174.72,335000,1792.24,-12815.013671875
68,157.0473,15.8655,68,2138.5,340000,1766.15,-13021.283203125
69,156.9187,16.1309,69,2143.53,345000,1783.12,-13267.8779296875
70,156.8984,15.4736,70,2111.85,350000,1741.71,-13449.7890625
71,156.9924,15.6013,71,2136.18,355000,1777.53,-13758.36328125
72,156.8675,15.5534,72,2146.82,360000,1789.36,-13772.6748046875
73,156.9607,15.6607,73,2164.06,365000,1823.05,-13953.9677734375
74,156.9659,15.9384,74,2180.19,370000,1809.35,-14153.7822265625
75,156.9287,15.7193,75,2127.71,375000,1764.82,-14448.5185546875
76,156.7249,16.1848,76,2162.82,380000,1822.98,-14601.337890625
77,156.9498,15.9758,77,2124.52,385000,1796.93,-14871.1669921875
78,156.9718,15.7082,78,2154.78,390000,1791.61,-14993.8486328125
79,156.9384,15.8892,79,2161.15,395000,1772.27,-15417.9384765625
80,157.1981,15.7986,80,2117.48,400000,1772.63,-15406.927734375
81,156.928,15.619,81,2084.73,405000,1764.3,-15609.4619140625
82,156.7939,15.6296,82,2133.09,410000,1776.83,-15822.3623046875
83,156.9496,15.6739,83,2168.53,415000,1802.8,-16113.7763671875
84,156.8786,15.8705,84,2143.63,420000,1801.88,-16368.2431640625
85,156.7481,15.8056,85,2155.36,425000,1825.0,-16448.669921875
86,156.718,15.8484,86,2213.77,430000,1830.13,-16718.7578125
87,156.9355,15.7883,87,2129.34,435000,1771.69,-16877.767578125
88,156.8909,16.0225,88,2178.17,440000,1824.17,-17053.845703125
89,156.8802,15.3445,89,2127.35,445000,1764.44,-17307.17578125
90,156.958,15.6912,90,2114.91,450000,1794.25,-17617.720703125
91,156.8951,15.5109,91,2161.79,455000,1804.04,-17763.513671875
92,156.8467,15.7231,92,2203.65,460000,1818.86,-18085.640625
93,156.7664,15.497,93,2164.94,465000,1813.35,-18191.328125
94,156.9953,15.3356,94,2144.16,470000,1769.78,-18351.0
95,156.902,15.8248,95,2194.04,475000,1845.58,-18587.943359375
96,156.7186,15.4179,96,2159.38,480000,1769.04,-18839.35546875
97,156.8634,15.4277,97,2182.35,485000,1804.16,-19033.841796875
98,156.9632,15.5793,98,2171.47,490000,1816.45,-19308.1953125
99,156.833,15.6074,99,2118.12,495000,1801.25,-19500.390625
100,157.044,15.6327,100,2150.78,500000,1787.74,-19775.29296875
101,156.7826,15.9601,101,2213.13,505000,1831.25,-20030.28515625
102,157.046,15.7462,102,2169.17,510000,1808.87,-20218.876953125
103,156.8858,15.669,103,2179.65,515000,1812.95,-20431.794921875
104,156.9019,15.4391,104,2139.51,520000,1801.49,-20689.1640625
105,156.8623,15.8196,105,2139.72,525000,1813.41,-20721.302734375
106,156.7582,15.8709,106,2223.66,530000,1871.73,-21108.162109375
107,156.673,15.5336,107,2171.79,535000,1849.89,-21304.435546875
108,156.6816,15.69,108,2167.7,540000,1823.66,-21556.099609375
109,156.9657,15.8017,109,2199.88,545000,1868.38,-21992.705078125
110,156.8417,15.4008,110,2173.61,550000,1800.22,-21941.517578125
111,156.7507,15.3033,111,2162.46,555000,1810.18,-22281.28125
112,156.7491,15.5323,112,2150.88,560000,1836.15,-22222.392578125
113,156.8381,15.7374,113,2182.07,565000,1836.41,-22706.35546875
114,156.8827,15.6588,114,2186.78,570000,1854.98,-22886.8671875
115,156.8997,15.5539,115,2182.0,575000,1827.75,-23247.505859375
116,156.8773,15.6422,116,2236.35,580000,1854.78,-23610.48046875
117,156.9443,15.6644,117,2209.01,585000,1851.53,-23790.83984375
118,156.8416,15.5917,118,2212.72,590000,1832.83,-23921.935546875
119,156.964,15.866,119,2205.51,595000,1832.44,-24120.078125
120,156.8826,15.3024,120,2157.22,600000,1810.05,-24305.013671875
121,156.8773,15.5851,121,2167.63,605000,1829.7,-24577.30078125
122,156.5321,15.5155,122,2186.52,610000,1843.31,-24702.123046875
123,156.7995,15.4058,123,2160.4,615000,1820.57,-25088.90234375
124,156.8298,15.7565,124,2192.37,620000,1853.76,-25427.166015625
125,156.7802,15.381,125,2159.65,625000,1822.23,-25678.3828125
126,156.8515,15.5121,126,2161.31,630000,1821.8,-25843.15234375
127,156.7929,15.5817,127,2198.17,635000,1853.86,-26130.859375
128,156.8141,15.5889,128,2186.14,640000,1813.91,-26342.84375
129,156.7592,15.6065,129,2233.11,645000,1869.24,-26692.076171875
130,156.7442,15.3301,130,2180.88,650000,1826.5,-26925.029296875
131,156.8187,16.1105,131,2239.03,655000,1867.04,-27289.474609375
132,156.7616,15.6435,132,2215.9,660000,1868.16,-27600.091796875
133,156.6536,15.5071,133,2237.93,665000,1857.22,-27580.982421875
134,156.6834,15.693,134,2200.88,670000,1877.86,-27970.3046875
135,156.7217,15.4179,135,2179.25,675000,1830.51,-28191.775390625
136,156.5515,15.3811,136,2221.68,680000,1853.47,-28128.55078125
137,156.7586,15.3806,137,2232.34,685000,1858.39,-28829.10546875
138,157.0415,15.9799,138,2262.26,690000,1881.5,-29384.8984375
139,156.9733,15.8003,139,2207.32,695000,1865.27,-29497.560546875
140,156.8754,15.4116,140,2228.38,700000,1866.6,-29346.4921875
141,156.8346,15.5004,141,2251.01,705000,1866.89,-29625.328125
142,156.8234,15.5124,142,2179.61,710000,1850.61,-29937.94921875
143,156.9399,15.6162,143,2209.24,715000,1859.29,-29974.744140625
144,156.5028,15.4986,144,2267.08,720000,1871.06,-30383.5078125
145,156.7205,15.217,145,2218.32,725000,1885.16,-30364.048828125
146,156.7773,15.3165,146,2149.58,730000,1819.52,-30715.228515625
147,156.7036,15.6944,147,2262.99,735000,1886.11,-31001.8984375
148,156.9654,15.8249,148,2223.39,740000,1865.53,-31232.4921875
149,156.8887,15.5375,149,2266.34,745000,1889.7,-31528.970703125
150,156.6596,15.5085,150,2216.36,750000,1873.61,-31698.794921875
151,156.8824,15.4551,151,2248.33,755000,1891.36,-31889.896484375
152,156.6892,15.5643,152,2217.58,760000,1865.33,-31953.6171875
153,156.7668,15.6296,153,2264.77,765000,1872.37,-32309.341796875
154,156.7076,15.2582,154,2223.44,770000,1867.91,-32126.185546875
155,156.7404,15.3739,155,2213.27,775000,1897.19,-32545.00390625
156,156.6645,15.336,156,2214.39,780000,1887.27,-32873.29296875
157,156.8424,15.4098,157,2236.45,785000,1888.23,-33246.8671875
158,156.6993,15.1966,158,2224.98,790000,1857.34,-33114.61328125
159,156.7728,15.508,159,2174.94,795000,1855.17,-33562.8359375
160,156.7946,15.5815,160,2245.22,800000,1880.41,-33790.80078125
161,156.6574,15.2823,161,2204.22,805000,1862.89,-34124.05859375
162,156.8037,15.5518,162,2220.77,810000,1903.42,-34350.609375
163,156.6476,15.4782,163,2241.78,815000,1899.32,-34556.51953125
164,156.7437,15.2279,164,2191.35,820000,1883.33,-34768.5234375
165,156.7512,15.4344,165,2202.27,825000,1859.02,-35002.453125
166,156.6799,15.175,166,2146.8,830000,1837.53,-35084.859375
167,156.6762,15.5272,167,2259.09,835000,1902.26,-35629.640625
168,156.5025,15.1315,168,2204.82,840000,1883.88,-35526.4921875
169,156.7962,15.3339,169,2214.92,845000,1876.35,-35961.43359375
170,156.7152,15.4309,170,2197.85,850000,1862.44,-36129.94140625
171,156.8471,15.616,171,2243.24,855000,1871.94,-36101.53125
172,156.8328,15.4883,172,2217.84,860000,1879.85,-36628.93359375
173,156.7026,15.3847,173,2243.77,865000,1900.97,-36722.28515625
174,156.7019,15.2929,174,2260.59,870000,1892.84,-36760.35546875
175,156.6922,15.4462,175,2274.71,875000,1903.93,-37066.8828125
176,156.7819,15.5762,176,2274.85,880000,1928.06,-37196.31640625
177,156.8296,15.3915,177,2242.55,885000,1873.85,-37141.68359375
178,156.7713,15.5486,178,2212.51,890000,1896.28,-37625.4140625
179,156.589,15.3244,179,2205.17,895000,1877.79,-37644.5390625
180,156.6059,15.3148,180,2254.43,900000,1887.36,-37771.71484375
181,156.7456,15.3514,181,2208.38,905000,1869.34,-38155.12109375
182,156.6922,15.4778,182,2243.49,910000,1900.99,-38061.296875
183,156.544,15.1687,183,2256.62,915000,1876.55,-38362.1875
184,156.7103,15.3994,184,2237.08,920000,1893.51,-38465.5546875
185,156.6888,15.3003,185,2211.17,925000,1884.91,-38693.78125
186,156.6523,15.5487,186,2276.21,930000,1910.82,-38641.54296875
187,156.7422,15.7108,187,2218.61,935000,1919.43,-39057.30078125
188,156.6797,15.4255,188,2238.64,940000,1902.85,-38990.34375
189,156.9189,15.2632,189,2196.76,945000,1839.36,-39190.2734375
190,156.7473,15.5277,190,2255.24,950000,1902.26,-39295.6640625
191,156.8527,15.673,191,2293.89,955000,1922.88,-39509.82421875
