Running Forward KL,Running Reverse KL,Itration,Running Env Steps,Real Sto Return,Real Det Return,Running Update Time,Reward Loss
49.6579,14.8249,0,0,367.74,403.8,0,2511.04296875
49.6199,18.0343,1,5000,280.56,326.24,1,940.2005004882812
49.3297,36.1394,2,10000,434.23,349.03,2,542.7557373046875
48.4217,23.5748,3,15000,496.4,478.5,3,311.2494812011719
48.812,15.655,4,20000,614.27,585.55,4,1004.3938598632812
49.1948,14.8813,5,25000,391.63,354.3,5,1101.861083984375
49.7799,16.8135,6,30000,371.39,369.49,6,895.5927734375
47.5596,15.144,7,35000,746.83,664.78,7,683.1963500976562
47.7647,19.1103,8,40000,646.95,518.27,8,728.271484375
47.8143,26.178,9,45000,794.15,688.26,9,94.24465942382812
47.614,28.5016,10,50000,771.23,794.02,10,159.71502685546875
46.4557,19.7361,11,55000,1156.91,1193.35,11,392.3677978515625
46.9081,38.5284,12,60000,742.28,687.92,12,-142.59536743164062
46.6043,26.629,13,65000,911.92,1133.2,13,51.32118606567383
47.3687,35.6769,14,70000,900.01,909.93,14,-4.72147274017334
45.2106,17.3927,15,75000,1683.96,2395.64,15,389.9016418457031
45.506,17.5377,16,80000,1567.57,2051.87,16,443.62310791015625
45.4341,19.4391,17,85000,2074.16,2241.09,17,268.8851013183594
45.6848,14.603,18,90000,2320.93,1388.6,18,589.72509765625
44.8503,15.9198,19,95000,1689.27,2474.05,19,401.2170104980469
44.5575,16.5183,20,100000,2421.7,2615.59,20,384.6081237792969
44.9421,17.6121,21,105000,2412.56,2713.86,21,380.8769226074219
44.727,20.665,22,110000,2319.6,2892.82,22,103.08893585205078
44.3936,12.9475,23,115000,2500.51,2991.34,23,220.62461853027344
44.6527,14.168,24,120000,2544.52,2747.33,24,236.73507690429688
44.7403,16.489,25,125000,2487.36,2670.22,25,123.10330963134766
45.2838,17.3975,26,130000,1991.16,1914.73,26,-159.32565307617188
44.9226,14.8294,27,135000,2436.5,2905.56,27,187.86280822753906
45.0103,13.78,28,140000,3020.95,3057.95,28,235.02464294433594
44.9783,16.7968,29,145000,2557.76,2066.59,29,-194.52378845214844
44.7475,14.6338,30,150000,3032.3,3083.22,30,149.57501220703125
44.4004,13.7026,31,155000,2893.76,3073.25,31,102.23292541503906
44.9758,15.5732,32,160000,3180.45,3172.06,32,9.913386344909668
44.3986,15.0123,33,165000,2944.84,3193.81,33,-11.341538429260254
44.3902,16.6823,34,170000,3295.18,3317.98,34,-255.56004333496094
44.269,13.7046,35,175000,3095.7,3360.78,35,-45.231788635253906
43.9424,14.6246,36,180000,2895.86,3389.96,36,-107.37026977539062
44.5342,14.4817,37,185000,3256.34,3187.97,37,-141.56983947753906
43.7424,16.821,38,190000,3396.06,3406.72,38,-273.1371154785156
44.2914,16.0324,39,195000,3165.85,3371.11,39,-239.2025909423828
43.9137,15.0606,40,200000,3243.27,3437.04,40,-298.5516357421875
44.0122,14.3799,41,205000,3405.55,3339.95,41,-290.6988220214844
43.513,14.9262,42,210000,3437.51,3454.39,42,-449.3769226074219
