Itration,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL
0,330.43,435.0536,399.1,272.4801
1,318.01,430.5655,333.68,315.2853
2,326.75,428.544,416.67,277.6861
3,310.65,440.8465,280.8,253.667
4,347.31,418.4363,403.99,258.6305
5,357.42,414.4126,387.87,308.0042
6,408.85,401.0346,405.58,278.0837
7,440.24,374.081,439.08,283.5892
8,482.3,398.0055,452.71,306.3449
9,466.74,390.5719,520.46,290.3556
10,493.49,387.0943,603.56,322.1439
11,500.98,373.8974,528.14,307.7561
12,478.76,383.5593,568.51,374.706
13,523.35,377.6601,591.86,311.0072
14,552.44,373.3419,594.15,296.1586
15,539.15,370.3717,648.17,289.0562
16,680.63,359.1324,666.36,234.3102
17,592.45,354.4829,604.19,322.8034
18,743.7,339.6078,826.87,244.5432
19,705.18,352.175,820.93,230.4113
20,813.49,348.0571,782.36,261.6757
21,823.18,344.6863,744.09,257.3357
22,1112.93,319.979,930.2,213.8646
23,970.91,319.1864,943.88,254.4116
24,1031.4,314.7351,869.08,283.6614
25,1060.34,319.2465,782.25,294.684
26,1111.14,334.2953,728.05,277.4006
27,1009.8,329.0026,631.69,279.7499
28,1076.95,332.8401,678.74,231.2405
29,1257.75,336.5439,702.36,223.1381
30,1434.17,318.5349,1146.42,195.9539
31,1566.98,325.7074,988.75,259.2113
32,2042.32,310.856,2582.41,174.8456
33,1155.92,309.3557,1231.67,222.0896
34,1512.56,314.0868,896.32,220.7733
35,1369.92,302.6271,1495.92,206.3462
36,1506.5,316.5737,992.64,292.7366
37,1902.26,298.9437,1247.36,201.9517
38,2233.7,300.4913,2058.07,210.0661
39,2394.87,296.1417,2627.81,192.8537
40,3383.55,283.7758,2048.74,114.1788
41,3368.15,300.5002,1266.83,169.9971
42,3940.41,290.7829,1338.3,132.6288
43,4648.93,297.9616,1060.38,181.2179
44,4332.4,287.2887,2823.35,119.8795
45,3796.05,291.9717,1508.3,106.1913
46,4467.78,289.8782,1487.56,102.802
47,3855.52,299.4643,2431.86,132.6732
48,2811.49,303.2489,1944.18,140.3446
49,3703.31,301.1514,2693.1,127.3381
50,3126.12,301.1345,2165.15,155.1237
51,4236.36,302.0945,2161.98,156.9856
52,3851.2,295.7841,2290.96,101.5867
53,4044.76,305.9239,3607.04,162.0213
54,3022.53,307.5013,1895.35,164.1195
55,3586.0,294.5382,4055.14,101.5276
56,3909.4,301.8862,1790.96,120.8695
57,3870.35,295.7661,1954.14,109.1251
58,4292.47,288.9044,2138.22,94.6396
59,4863.43,297.0307,3677.35,116.3672
60,4182.24,293.608,3619.74,98.1725
61,4270.22,297.8736,3220.87,116.197
62,4955.96,298.8733,3247.75,105.35
63,4547.16,288.5603,1726.22,97.4661
64,4684.89,300.5345,4231.87,112.2296
65,4558.82,292.182,4784.91,96.0237
66,4452.88,290.8914,3622.31,102.2234
67,4320.86,291.2476,4468.0,101.2634
68,5071.37,289.8422,5198.1,93.6943
69,4536.04,300.3905,3878.07,121.2156
70,4781.33,296.978,5185.22,109.97
71,4859.43,294.6406,4642.15,103.006
72,5123.74,296.6438,5252.57,98.937
73,4897.59,291.8495,4249.38,112.5337
74,4824.07,308.2698,4876.45,123.2548
75,4562.59,290.3809,3148.83,102.7967
76,5140.51,294.079,3638.56,111.8194
77,4447.88,303.6138,4380.37,129.1535
78,4965.56,297.5136,4661.29,107.577
79,4697.26,293.1419,4575.22,98.2363
80,3993.49,296.4528,2248.74,108.3465
81,3876.85,296.4036,4097.1,119.4914
82,3908.12,301.6524,4600.92,133.4982
83,4385.63,295.9598,4143.86,104.8337
84,4694.96,298.8154,3904.61,109.9093
85,4740.58,298.2432,3546.52,101.8334
86,4470.95,296.7022,3661.45,116.5381
87,4868.64,297.2705,4330.53,107.1934
88,4967.08,292.2522,5286.11,117.5637
89,4295.86,296.7283,4411.89,118.4594
90,3941.14,306.6793,3643.83,157.5778
91,4620.96,291.5333,4176.01,99.622
92,3367.31,295.4681,4135.72,115.1697
93,3699.48,302.3581,4934.89,132.8881
94,4227.53,292.5807,4623.38,112.7797
95,4899.35,297.1378,4821.69,106.6385
96,4680.93,290.3677,4902.94,115.7893
97,4935.61,287.8835,3814.65,113.6309
98,4951.26,293.4253,4284.74,100.5802
99,4758.67,294.8764,5017.4,109.8476
100,3579.58,299.0828,3433.07,108.976
101,5146.91,286.4041,4853.23,97.6201
102,4910.45,291.6484,5275.61,102.4019
103,4991.88,293.3753,4926.26,112.2273
104,5043.74,293.4269,5319.69,97.9289
105,5006.04,293.2188,5377.18,104.3957
106,3983.92,304.479,4553.17,128.6926
107,4936.92,297.6896,5341.69,112.8383
108,4981.45,293.3266,5285.45,111.6305
109,4557.02,286.6569,5273.04,93.8947
110,4776.53,289.6337,5070.74,98.1443
111,4491.61,294.4103,4822.17,112.2182
112,4677.76,294.807,4787.29,101.0836
113,3573.61,296.8739,5288.26,107.613
114,4901.05,283.7096,5286.06,89.8527
115,4649.01,284.5714,5296.48,89.7913
116,4695.23,293.7192,5151.38,110.9219
