Real Sto Return,Real Det Return,Running Update Time,Reward Loss,Running Env Steps,Running Forward KL,Running Reverse KL,Itration
-230.3,-2.75,0,-295.3245849609375,0,158.5926,11.5338,0
-111.68,2.79,1,-333.4881286621094,5000,158.3291,11.4667,1
-8.84,37.76,2,-408.3525390625,10000,158.2606,11.6078,2
64.71,558.29,3,-480.0048828125,15000,157.9557,11.1794,3
159.09,368.25,4,-523.4666137695312,20000,157.821,11.4353,4
269.49,751.18,5,-596.4013671875,25000,157.8349,12.1089,5
330.92,764.06,6,-613.13037109375,30000,157.889,12.1951,6
359.5,709.73,7,-670.328125,35000,157.9809,12.4098,7
479.41,1030.02,8,-726.4755859375,40000,157.9062,12.9551,8
665.36,1079.63,9,-795.5347900390625,45000,158.3598,14.2373,9
824.61,1233.97,10,-874.0175170898438,50000,158.2136,15.1969,10
1016.18,1376.49,11,-937.8671264648438,55000,158.2404,16.06,11
1122.8,1485.22,12,-975.5533447265625,60000,157.9338,16.5379,12
1070.21,1552.3,13,-1025.7611083984375,65000,157.8679,16.3619,13
1148.7,1580.14,14,-1069.7227783203125,70000,157.9404,16.6156,14
1187.17,1603.08,15,-1109.5655517578125,75000,157.9923,16.6371,15
1236.36,1656.97,16,-1155.6650390625,80000,157.9273,16.6612,16
1211.26,1699.92,17,-1173.46533203125,85000,157.9246,16.5891,17
1317.56,1740.37,18,-1216.806640625,90000,157.9074,16.9502,18
1332.42,1738.82,19,-1259.55810546875,95000,157.7334,16.9049,19
1420.46,1804.26,20,-1265.983154296875,100000,157.919,16.881,20
1434.19,1815.96,21,-1316.81103515625,105000,157.8061,16.4983,21
1434.63,1815.9,22,-1337.1446533203125,110000,157.8585,17.6386,22
1473.88,1822.78,23,-1387.09423828125,115000,157.8658,16.9763,23
1507.49,1901.91,24,-1442.2364501953125,120000,157.6453,16.6833,24
1486.32,1829.27,25,-1418.1029052734375,125000,158.0532,16.735,25
1536.7,1875.07,26,-1485.3515625,130000,157.7816,16.7124,26
1501.96,1866.07,27,-1520.109375,135000,157.8739,16.8946,27
1524.9,1916.89,28,-1569.1461181640625,140000,157.8792,17.0103,28
1541.17,1906.8,29,-1597.17626953125,145000,157.6298,17.1711,29
1594.11,1957.85,30,-1634.4322509765625,150000,157.7873,16.8802,30
1549.43,1904.91,31,-1684.915283203125,155000,157.9051,16.703,31
1587.41,1934.46,32,-1724.746337890625,160000,157.7108,16.5423,32
1602.14,1986.11,33,-1747.7392578125,165000,157.3686,16.6271,33
1589.63,1977.2,34,-1785.603271484375,170000,157.655,16.8496,34
1642.45,1996.86,35,-1815.37646484375,175000,157.6381,16.7247,35
1639.47,2013.03,36,-1863.7332763671875,180000,157.5372,16.8165,36
1525.34,1931.39,37,-1899.322998046875,185000,157.4268,16.2443,37
1621.96,2024.64,38,-1943.432861328125,190000,157.7215,16.7037,38
1592.95,1996.81,39,-1964.457763671875,195000,157.6648,16.314,39
1666.1,2027.32,40,-2007.5816650390625,200000,157.3638,16.7404,40
1623.98,2005.58,41,-2047.535400390625,205000,157.4401,16.1918,41
1602.03,2008.37,42,-2081.337646484375,210000,157.2603,16.4169,42
1607.89,1931.64,43,-2116.905517578125,215000,157.2924,16.1247,43
1677.79,2037.03,44,-2167.635986328125,220000,157.5903,16.4532,44
1624.36,1976.47,45,-2204.11328125,225000,157.5648,16.4381,45
1657.59,2007.39,46,-2252.06103515625,230000,157.3736,16.8721,46
1659.83,2011.1,47,-2295.86083984375,235000,157.3425,16.1934,47
1699.85,2052.88,48,-2326.86083984375,240000,157.3998,16.2073,48
1719.49,2097.6,49,-2375.384033203125,245000,157.2069,16.4817,49
1674.54,2037.68,50,-2402.13623046875,250000,157.3546,16.3939,50
1731.13,2104.91,51,-2453.1669921875,255000,157.3694,16.7583,51
1633.46,2022.3,52,-2476.302978515625,260000,157.3193,15.9848,52
1709.04,2071.09,53,-2537.55517578125,265000,157.3093,16.3248,53
1756.55,2114.31,54,-2579.989013671875,270000,157.2997,16.6977,54
1688.71,2073.32,55,-2610.093017578125,275000,157.2604,16.0154,55
1727.47,2089.98,56,-2665.826171875,280000,157.3053,16.5207,56
1685.01,2088.69,57,-2691.70703125,285000,157.1021,16.2033,57
1749.48,2118.18,58,-2733.0478515625,290000,157.0964,16.4795,58
1709.43,2043.22,59,-2777.0771484375,295000,157.1725,15.9113,59
1720.83,2108.08,60,-2821.48291015625,300000,157.0439,16.0922,60
1759.42,2110.96,61,-2857.90869140625,305000,157.2706,16.1007,61
1742.53,2114.44,62,-2896.100830078125,310000,156.9439,16.2851,62
1720.52,2107.81,63,-2934.275634765625,315000,156.9774,16.0388,63
1721.78,2048.53,64,-3000.54248046875,320000,157.015,15.9694,64
1732.45,2137.35,65,-3035.60546875,325000,157.1532,16.0914,65
1733.12,2092.39,66,-3069.796875,330000,157.0617,16.0865,66
1774.79,2111.13,67,-3143.430908203125,335000,157.0111,16.087,67
1773.0,2113.77,68,-3155.978515625,340000,157.0464,15.9867,68
1712.57,2060.97,69,-3197.75341796875,345000,156.9066,15.8065,69
1760.88,2097.98,70,-3239.65087890625,350000,156.9577,16.0176,70
1715.23,2116.89,71,-3307.562744140625,355000,156.991,15.6769,71
1780.35,2170.67,72,-3354.208251953125,360000,157.0315,16.3216,72
1753.47,2141.18,73,-3377.1923828125,365000,156.8767,15.8545,73
1747.78,2100.75,74,-3416.39208984375,370000,156.9223,16.0381,74
1775.78,2122.73,75,-3441.11865234375,375000,156.8518,15.8705,75
1761.84,2109.78,76,-3518.035400390625,380000,156.9731,15.6881,76
1754.92,2131.67,77,-3564.06982421875,385000,157.0474,15.8722,77
1752.6,2096.6,78,-3593.42138671875,390000,156.8679,15.732,78
1758.11,2124.5,79,-3644.421630859375,395000,156.8314,15.9014,79
1750.37,2123.27,80,-3680.20458984375,400000,156.799,15.6232,80
1811.5,2164.28,81,-3732.9677734375,405000,156.8114,16.2719,81
1760.74,2123.24,82,-3779.677734375,410000,156.985,15.8487,82
1774.58,2138.13,83,-3807.69970703125,415000,156.9785,16.0308,83
1798.01,2169.62,84,-3861.924072265625,420000,156.888,16.0612,84
1779.53,2167.54,85,-3906.49658203125,425000,156.8729,15.7558,85
1752.24,2140.26,86,-3928.16357421875,430000,156.9444,15.7672,86
1805.5,2186.37,87,-4007.42236328125,435000,156.8377,15.8222,87
1795.88,2151.84,88,-4038.052978515625,440000,156.8081,15.9963,88
1807.84,2168.29,89,-4108.76513671875,445000,156.9641,15.945,89
1808.74,2153.21,90,-4131.4873046875,450000,156.8451,15.6729,90
1780.49,2142.56,91,-4200.57177734375,455000,156.7988,15.7144,91
1798.15,2139.82,92,-4234.38623046875,460000,156.8774,15.9576,92
1799.28,2161.47,93,-4285.1259765625,465000,156.9614,16.1824,93
1804.68,2179.7,94,-4319.8466796875,470000,156.9269,15.7859,94
1807.39,2151.72,95,-4374.865234375,475000,157.0159,15.8214,95
1768.79,2162.83,96,-4428.3759765625,480000,156.988,15.9891,96
1819.06,2177.75,97,-4506.76123046875,485000,156.7926,16.038,97
1802.26,2193.25,98,-4526.041015625,490000,156.9211,15.8313,98
1815.43,2176.83,99,-4575.447265625,495000,156.746,15.9271,99
1799.48,2157.9,100,-4625.67041015625,500000,156.7934,15.9772,100
1796.13,2197.39,101,-4666.015625,505000,156.7613,15.7439,101
1803.88,2181.43,102,-4713.26416015625,510000,156.9338,15.8493,102
1786.73,2151.09,103,-4763.3466796875,515000,156.9933,15.7708,103
1784.77,2132.73,104,-4791.1142578125,520000,156.8777,15.4041,104
1835.65,2207.74,105,-4864.48779296875,525000,156.8588,15.9472,105
1838.16,2188.59,106,-4902.4228515625,530000,156.8525,15.6923,106
1811.87,2179.38,107,-4977.404296875,535000,156.8701,15.6288,107
1817.28,2190.16,108,-4992.40576171875,540000,156.8815,15.6437,108
1826.1,2189.68,109,-5059.6142578125,545000,156.8037,15.8227,109
1817.62,2170.91,110,-5127.34130859375,550000,156.9314,15.5187,110
1804.79,2186.25,111,-5177.97998046875,555000,156.7649,15.5699,111
1806.23,2145.57,112,-5246.33349609375,560000,156.8814,15.547,112
1836.05,2213.95,113,-5292.8046875,565000,156.8562,15.9831,113
1832.17,2187.35,114,-5317.23291015625,570000,156.9079,15.621,114
1773.7,2103.21,115,-5392.42529296875,575000,156.8914,15.498,115
