Reward Loss,Real Det Return,Running Forward KL,Itration,Real Sto Return,Running Reverse KL,Running Update Time,Running Env Steps
-106.6927719116211,218.79,32.8774,0,219.56,16.8553,0,0
-87.34225463867188,289.84,31.4044,1,273.08,22.5278,1,5000
-249.29071044921875,279.7,31.4329,2,297.67,41.9258,2,10000
-287.9149169921875,362.33,32.537,3,349.7,35.9258,3,15000
-319.45843505859375,341.58,31.7668,4,345.47,39.456,4,20000
-289.19952392578125,551.4,28.4765,5,422.04,32.6246,5,25000
-354.3127746582031,775.75,27.5414,6,593.61,25.1057,6,30000
-409.43389892578125,671.03,26.5877,7,599.06,18.2931,7,35000
-515.7288818359375,727.33,27.1408,8,677.59,18.3941,8,40000
-435.2249450683594,1183.74,25.7334,9,965.09,17.3126,9,45000
-452.95819091796875,919.79,26.1791,10,911.45,19.2259,10,50000
-332.93353271484375,2903.87,24.7426,11,2357.51,16.4507,11,55000
-478.34405517578125,2703.44,25.995,12,1868.37,16.1667,12,60000
-466.1112976074219,2133.92,27.9795,13,1067.13,19.301,13,65000
-550.5789184570312,1022.67,27.1951,14,1033.57,20.6614,14,70000
-513.5220947265625,1045.26,27.1437,15,898.33,21.8142,15,75000
-599.7258911132812,922.74,27.2945,16,912.4,32.1525,16,80000
-639.6505737304688,902.52,27.6039,17,1091.54,31.4481,17,85000
-610.2730102539062,905.24,28.237,18,1159.12,28.4652,18,90000
-584.5862426757812,1092.47,27.5278,19,1425.06,24.271,19,95000
-647.088134765625,2478.67,27.9078,20,1355.29,28.1592,20,100000
-664.7168579101562,1070.12,27.9835,21,1273.09,28.9119,21,105000
-704.346435546875,1081.35,27.6442,22,1244.15,28.879,22,110000
-560.7526245117188,2858.65,27.1965,23,2570.75,19.1736,23,115000
-531.37939453125,3000.39,26.5858,24,2648.74,18.9819,24,120000
-620.458984375,1066.63,26.7816,25,2345.51,17.7335,25,125000
-587.184814453125,940.73,27.4869,26,2648.33,18.6852,26,130000
-745.6177978515625,2917.81,26.1441,27,1832.59,17.5369,27,135000
-685.4580688476562,2997.31,26.1453,28,2432.04,18.1494,28,140000
-682.1627197265625,2799.66,25.7942,29,2651.28,17.0686,29,145000
-841.7247314453125,2684.26,25.9393,30,2463.79,17.5556,30,150000
-870.3023681640625,3077.42,25.7945,31,1821.88,17.9335,31,155000
-591.8860473632812,3098.43,26.1858,32,2869.89,18.6135,32,160000
-610.2615966796875,2950.86,26.4733,33,2687.28,18.5466,33,165000
-1231.345458984375,1221.84,26.5971,34,1148.23,18.5448,34,170000
-886.635986328125,3122.68,27.1614,35,1722.72,16.9424,35,175000
-834.5753784179688,3145.72,27.5538,36,1971.83,18.381,36,180000
-848.4624633789062,3118.33,27.4889,37,2908.45,17.6619,37,185000
-797.3228149414062,3092.58,26.7421,38,3078.87,18.043,38,190000
-801.2055053710938,3112.35,27.5999,39,2890.39,19.8194,39,195000
-758.4689331054688,3146.55,27.1833,40,3039.38,22.5441,40,200000
-737.7220458984375,3179.58,27.6272,41,2562.31,18.9802,41,205000
-657.9271240234375,3229.73,27.3885,42,2809.78,18.0125,42,210000
-687.4848022460938,3171.59,27.4801,43,3024.68,19.1287,43,215000
-836.0895385742188,3167.52,27.2309,44,2774.69,18.7249,44,220000
-698.6719970703125,3207.42,27.8662,45,3163.12,19.664,45,225000
-711.0992431640625,3182.74,26.2407,46,3072.64,18.0678,46,230000
-867.3053588867188,3217.43,28.0792,47,3056.61,18.1511,47,235000
-811.4290771484375,3187.37,27.782,48,3181.84,20.3579,48,240000
-766.6752319335938,3207.44,27.6853,49,3078.07,19.8993,49,245000
-908.2791137695312,3167.43,27.7089,50,3180.97,20.7518,50,250000
-911.8899536132812,3215.85,28.0261,51,3201.23,20.2339,51,255000
-919.9116821289062,3236.53,26.9744,52,2626.87,18.3256,52,260000
-1007.9389038085938,3132.4,27.782,53,3088.41,20.3788,53,265000
-970.5166625976562,3151.24,28.4079,54,3176.79,20.8666,54,270000
-1008.4873657226562,3152.37,27.5586,55,3160.37,20.0633,55,275000
-1008.832275390625,3210.37,27.9192,56,3129.78,19.8179,56,280000
-1021.8182983398438,3147.14,28.1211,57,3150.19,19.6874,57,285000
-973.9549560546875,3197.66,28.5223,58,3207.85,20.9636,58,290000
-972.1199340820312,3145.95,27.9386,59,2738.45,20.3954,59,295000
-953.107666015625,3286.62,27.5992,60,2763.81,18.2929,60,300000
-1117.602783203125,3179.69,28.7069,61,3184.74,20.6781,61,305000
-1040.2998046875,3257.59,28.3759,62,3090.26,19.7236,62,310000
-1088.226806640625,3184.5,27.8828,63,3202.42,20.7926,63,315000
-1003.205322265625,3256.43,27.6913,64,3033.11,19.3475,64,320000
-988.8937377929688,3244.53,28.7934,65,3125.78,19.6237,65,325000
-1180.638916015625,3169.1,27.8858,66,3172.96,20.7358,66,330000
-1203.67822265625,3208.92,28.8956,67,3162.21,20.6983,67,335000
-1231.897216796875,3187.38,28.476,68,3200.94,20.3748,68,340000
-1251.67626953125,3233.95,28.2493,69,3195.1,20.4706,69,345000
-1147.27099609375,3267.92,28.0531,70,2803.19,20.3989,70,350000
-1381.4827880859375,3214.12,27.5904,71,3199.08,20.6192,71,355000
-1287.577880859375,3214.24,27.5205,72,3106.74,18.8203,72,360000
-1228.68408203125,3268.06,28.4156,73,3227.89,18.6747,73,365000
-1351.3818359375,3219.67,27.8715,74,3221.01,20.4985,74,370000
-1390.5086669921875,3256.23,27.28,75,3096.69,20.0798,75,375000
-1484.2998046875,3205.11,27.9777,76,3140.9,20.5548,76,380000
-1434.525390625,3227.65,28.4044,77,3199.08,20.15,77,385000
