Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Itration
158.5897,9.94,-226.89,11.7158,0
158.3674,-46.58,-73.79,11.9684,1
158.1109,67.1,33.13,11.7686,2
157.9675,703.45,201.84,12.2106,3
157.8071,828.66,343.42,12.7764,4
157.7062,906.08,445.83,13.255,5
157.827,995.81,564.41,13.769,6
158.0507,1092.4,692.56,14.645,7
157.8813,1310.7,882.08,15.1479,8
158.0342,1392.26,966.74,15.6664,9
157.908,1468.02,1040.98,16.1069,10
157.8811,1452.37,1071.27,16.3647,11
157.7603,1598.99,1183.85,16.693,12
157.8016,1613.27,1191.88,16.3637,13
157.8991,1589.74,1163.65,16.4396,14
157.4442,1655.28,1248.55,16.2332,15
157.6141,1660.28,1255.82,16.137,16
157.7227,1654.47,1264.56,16.2362,17
157.6479,1716.54,1315.49,16.3834,18
157.507,1739.82,1319.0,16.2786,19
157.7825,1741.96,1374.77,16.7448,20
157.7124,1784.71,1372.76,16.0727,21
157.7403,1794.99,1428.05,16.465,22
157.693,1827.86,1415.13,16.2276,23
157.7007,1824.64,1432.78,16.38,24
157.7528,1812.92,1466.91,16.1233,25
157.7722,1853.7,1451.72,16.3763,26
157.5903,1845.28,1506.51,15.9624,27
157.6692,1876.77,1512.65,16.2548,28
157.4795,1921.86,1571.72,16.2383,29
157.5353,1842.3,1523.88,16.0927,30
157.753,1938.26,1571.19,16.6945,31
157.5057,1907.34,1552.85,16.1927,32
157.5688,1928.26,1555.04,16.3444,33
157.5248,1964.6,1600.51,16.5879,34
157.4937,1973.42,1602.52,16.2638,35
