Running Update Time,Running Reverse KL,Real Det Return,Running Env Steps,Running Forward KL,Real Sto Return,Itration,Reward Loss
0,251.5352,470.62,0,415.4422,401.39,0,-486.9639587402344
1,311.3328,313.39,5000,439.9534,339.04,1,-1653.0076904296875
2,283.6084,487.17,10000,422.0068,437.3,2,-945.9803466796875
3,254.7354,230.62,15000,441.3431,344.25,3,-1077.62255859375
4,248.9199,508.38,20000,413.7167,393.91,4,-1410.90380859375
5,248.9069,372.9,25000,427.3163,430.78,5,-1514.9798583984375
6,280.917,428.07,30000,414.984,429.95,6,-1592.5050048828125
7,281.5047,473.13,35000,422.9971,442.35,7,-2013.642578125
8,266.3003,572.13,40000,407.6221,535.54,8,-2069.5634765625
9,254.5017,386.45,45000,433.6886,480.14,9,-3184.721923828125
10,291.6833,448.19,50000,417.5425,484.48,10,-2909.6494140625
11,282.4118,616.92,55000,413.047,490.16,11,-2745.502685546875
12,268.1546,598.35,60000,406.1574,560.6,12,-2808.6494140625
13,289.0523,580.98,65000,407.0026,599.86,13,-3446.18212890625
14,270.2528,399.3,70000,402.7894,523.9,14,-2819.951904296875
15,282.5552,548.69,75000,396.3452,585.33,15,-3351.452392578125
16,267.4548,620.44,80000,401.234,605.73,16,-3396.51025390625
17,318.8089,509.69,85000,423.5513,554.49,17,-3735.491455078125
18,295.7158,601.79,90000,431.445,570.56,18,-3839.960205078125
19,244.1825,709.43,95000,390.5925,692.19,19,-3861.95263671875
20,264.9745,490.67,100000,436.8922,520.75,20,-4014.169189453125
21,313.3932,607.2,105000,384.9495,612.65,21,-4894.1630859375
22,273.3957,750.02,110000,410.7569,635.58,22,-4482.39794921875
23,250.0417,676.4,115000,370.8967,698.49,23,-4546.869140625
24,245.5149,672.28,120000,371.701,629.16,24,-4701.1416015625
25,260.2442,675.71,125000,362.5531,671.28,25,-4671.98681640625
26,284.6154,661.12,130000,382.3765,622.85,26,-5598.94189453125
27,286.9311,546.79,135000,365.9972,656.04,27,-5643.78759765625
28,322.232,633.92,140000,361.6099,659.36,28,-6398.4697265625
29,285.2874,810.39,145000,369.8602,707.62,29,-6388.81884765625
30,272.1429,670.85,150000,361.2153,806.01,30,-6299.17529296875
31,286.8705,559.96,155000,364.747,793.6,31,-6532.18701171875
32,255.8461,544.35,160000,397.9733,709.74,32,-6485.57568359375
33,239.4649,739.69,165000,381.2817,765.31,33,-6319.3857421875
34,239.1692,787.41,170000,377.5593,795.81,34,-6158.88330078125
35,223.6634,746.43,175000,370.7899,860.2,35,-6501.24267578125
36,266.2214,663.31,180000,368.8347,898.05,36,-7361.3173828125
37,250.4982,700.76,185000,363.8548,821.03,37,-7122.38330078125
38,215.5557,554.78,190000,344.5659,934.88,38,-6570.30859375
39,213.258,699.57,195000,374.0719,838.75,39,-6808.5048828125
40,216.4025,530.14,200000,362.1141,1053.65,40,-6495.15625
41,223.0794,524.5,205000,350.4856,894.09,41,-7350.75146484375
42,198.1937,829.07,210000,342.3867,1054.08,42,-6800.73828125
43,216.514,539.5,215000,354.9839,957.62,43,-7309.03955078125
44,210.3947,681.54,220000,352.576,1105.86,44,-7656.921875
45,233.5452,964.23,225000,340.3575,963.73,45,-7973.26171875
46,229.0215,857.89,230000,357.3823,1210.11,46,-7816.7021484375
47,219.5317,441.21,235000,360.3757,875.9,47,-7679.82373046875
48,203.8993,572.18,240000,348.7099,1219.72,48,-8078.30810546875
49,216.6,1053.77,245000,343.9207,1223.65,49,-8497.537109375
50,209.1769,1014.99,250000,354.6856,1176.43,50,-8533.5859375
51,188.0141,717.79,255000,331.5755,1507.16,51,-7921.2529296875
52,212.4917,1202.73,260000,358.0882,1101.61,52,-8911.4072265625
53,179.1077,1057.18,265000,317.5084,1366.54,53,-6987.87451171875
54,198.1839,572.81,270000,331.3702,1104.99,54,-8186.26416015625
55,237.9727,1630.28,275000,338.1335,1428.21,55,-9271.3193359375
56,186.0784,1286.05,280000,346.2221,2044.85,56,-8194.263671875
57,202.8775,1323.21,285000,340.994,1442.61,57,-8817.609375
58,181.2996,1029.23,290000,333.5388,1707.57,58,-8027.3056640625
59,209.0517,2826.63,295000,355.091,1782.47,59,-9096.1064453125
60,189.3229,1187.79,300000,340.3293,1491.2,60,-9126.892578125
61,169.322,1506.56,305000,319.127,2231.16,61,-7786.25927734375
62,200.8806,1430.99,310000,352.1165,1378.43,62,-8659.69140625
63,228.7946,1699.12,315000,337.7802,1852.89,63,-9320.4580078125
64,230.0225,1290.41,320000,366.1232,1279.41,64,-10231.865234375
65,190.0495,1200.12,325000,334.4965,2228.92,65,-8073.47412109375
66,134.6685,612.92,330000,311.2112,2467.87,66,-6174.17236328125
67,213.4909,995.95,335000,338.1074,1929.12,67,-9505.0546875
68,171.0227,1334.01,340000,336.4391,2771.5,68,-7072.15771484375
69,189.1482,1490.65,345000,345.063,1550.87,69,-8661.6796875
70,168.2239,1376.32,350000,333.4108,2324.53,70,-7626.14404296875
