Real Sto Return,Reward Loss,Real Det Return,Running Reverse KL,Running Update Time,Running Forward KL,Running Env Steps,Itration
257.95,-1351.0906982421875,262.99,17.231,0,32.2457,0,0
229.74,-1440.4385986328125,240.62,18.6715,1,31.7636,5000,1
262.2,-1398.27880859375,265.76,22.817,2,31.244,10000,2
293.36,-1412.7601318359375,327.16,21.9197,3,30.9399,15000,3
295.19,-1538.326904296875,270.12,29.7177,4,30.1388,20000,4
335.24,-1538.0252685546875,371.84,22.9036,5,29.8041,25000,5
386.24,-1485.115478515625,374.68,16.6685,6,30.4787,30000,6
571.24,-1397.1939697265625,685.54,19.157,7,24.3917,35000,7
801.75,-1382.803466796875,783.53,21.9953,8,26.5499,40000,8
687.45,-1529.490234375,653.9,35.3723,9,27.5135,45000,9
1037.44,-1128.768798828125,1268.7,19.2471,10,25.8469,50000,10
1018.65,-1388.682373046875,976.24,21.2029,11,24.3606,55000,11
1614.37,-994.1968994140625,2254.0,16.2989,12,24.5916,60000,12
1479.66,-1171.924560546875,1830.45,19.342,13,24.4083,65000,13
908.13,-1588.1357421875,967.98,21.0426,14,25.5319,70000,14
1149.76,-1438.1358642578125,1021.41,21.5984,15,23.9908,75000,15
1602.04,-1073.5777587890625,2799.93,14.1514,16,23.7409,80000,16
1344.45,-1126.854248046875,2541.53,13.1342,17,22.9238,85000,17
1533.83,-1109.8392333984375,1321.36,15.0989,18,22.3347,90000,18
1774.69,-696.8150024414062,1898.09,23.1741,19,23.703,95000,19
1289.84,-1190.4991455078125,1162.97,27.1527,20,23.9418,100000,20
1100.83,-1696.066650390625,1159.32,34.9454,21,24.9372,105000,21
1387.0,-1615.3594970703125,1239.65,23.2488,22,24.3605,110000,22
2312.75,-1183.7469482421875,3171.27,22.2637,23,23.9473,115000,23
2393.33,-675.201904296875,3081.78,16.0872,24,23.3295,120000,24
2889.37,-492.98291015625,2755.47,14.7165,25,22.4749,125000,25
2855.73,-458.55499267578125,3179.73,14.9612,26,23.1318,130000,26
2966.32,-380.7586364746094,3103.93,15.0143,27,22.6958,135000,27
2794.86,-552.2593994140625,2545.46,14.3257,28,20.8257,140000,28
3156.81,-204.17724609375,3229.05,15.3053,29,22.8392,145000,29
3053.64,-329.0816955566406,3087.29,13.0614,30,21.8313,150000,30
2533.73,-628.5285034179688,3233.63,15.5046,31,22.9413,155000,31
3133.85,-355.5445556640625,3138.82,13.9531,32,22.5607,160000,32
3073.86,-347.3558349609375,3170.35,14.5423,33,22.6422,165000,33
2568.86,-815.8057861328125,3142.39,14.8708,34,22.7849,170000,34
2396.39,-585.843994140625,3168.46,14.5026,35,22.454,175000,35
3119.03,-344.2220458984375,3129.24,14.1144,36,22.1913,180000,36
1917.96,-888.845947265625,1173.59,17.0502,37,22.4911,185000,37
3151.48,-464.3095703125,3152.34,13.0513,38,21.8471,190000,38
3203.23,-368.15460205078125,3199.15,13.9295,39,22.1738,195000,39
2740.76,-369.3931884765625,3159.32,14.5677,40,23.1489,200000,40
2860.92,-738.564208984375,3238.24,13.4574,41,22.9468,205000,41
3196.9,-343.1188659667969,3215.73,16.3225,42,23.0474,210000,42
3218.59,-362.20257568359375,3238.83,12.8379,43,21.0338,215000,43
3295.96,-356.8309326171875,3285.46,15.4827,44,23.0425,220000,44
3230.02,-403.0914611816406,3205.28,14.3692,45,21.9123,225000,45
2986.33,-606.2767944335938,3316.54,13.8088,46,22.439,230000,46
3175.82,-396.1839904785156,3299.04,16.1132,47,22.7408,235000,47
3140.8,-391.1314392089844,3284.12,13.5545,48,21.6614,240000,48
1871.06,-1279.096435546875,3411.28,28.679,49,23.3844,245000,49
3297.05,-310.2693176269531,3337.44,14.139,50,21.3659,250000,50
3250.35,-372.8879699707031,3294.12,14.3468,51,21.8992,255000,51
2943.88,-354.593994140625,3396.03,14.9562,52,21.7536,260000,52
2947.44,-1143.518310546875,3340.14,14.909,53,22.1566,265000,53
3257.14,-457.2247009277344,3274.36,15.1457,54,22.7681,270000,54
3144.17,-712.7906494140625,3364.52,17.6929,55,21.3177,275000,55
3275.7,-342.13775634765625,3279.53,13.593,56,21.3184,280000,56
3316.06,-325.2974853515625,3312.76,13.7055,57,21.2672,285000,57
2921.15,-736.2302856445312,3428.28,14.9736,58,21.3399,290000,58
3411.5,-472.91986083984375,3393.54,15.1342,59,22.134,295000,59
2138.84,-1158.0040283203125,3346.64,14.38,60,19.9735,300000,60
3203.57,-491.3816223144531,3288.19,14.7222,61,22.3041,305000,61
3298.41,-450.28533935546875,3315.22,15.116,62,22.728,310000,62
