Running Forward KL,Running Reverse KL,Real Sto Return,Itration,Real Det Return
158.4974,11.4151,-213.91,0,-306.48
158.4026,11.7412,-106.84,1,182.58
158.1014,12.6537,258.32,2,771.75
158.2336,13.6569,409.47,3,704.55
158.0599,13.6659,473.0,4,991.62
157.7221,14.0678,539.73,5,729.36
157.8202,13.921,691.78,6,933.71
157.9378,14.2494,784.54,7,1242.36
157.7755,14.936,909.86,8,1257.01
157.8684,15.513,980.43,9,1402.98
157.6749,15.6049,1058.42,10,1513.05
157.9329,16.4031,1103.63,11,1510.39
158.0632,16.1908,1103.21,12,1554.02
157.9373,16.4465,1173.51,13,1577.11
158.083,16.5007,1219.2,14,1610.16
157.7109,16.212,1252.27,15,1656.07
157.9917,16.2018,1259.52,16,1726.57
157.8144,16.0607,1286.35,17,1708.33
157.6862,16.5192,1380.25,18,1836.18
157.6198,16.4386,1390.25,19,1817.06
157.6567,16.6612,1409.07,20,1811.01
157.5957,16.5107,1393.52,21,1838.98
157.5386,16.3363,1470.17,22,1834.47
157.8105,16.8168,1457.58,23,1896.28
157.7517,16.3772,1482.42,24,1907.68
157.8236,16.4543,1484.51,25,1852.21
157.7148,16.3224,1476.59,26,1871.67
157.7325,16.2296,1541.73,27,1902.0
157.8447,16.6613,1510.93,28,1898.37
157.6147,15.9882,1536.69,29,1868.45
157.7016,16.4285,1555.85,30,1957.17
157.7801,16.1138,1536.62,31,1837.52
157.7865,16.4408,1552.74,32,1914.42
157.6603,16.4487,1613.22,33,1986.23
157.7021,16.0777,1536.38,34,1842.84
157.6941,16.2584,1565.29,35,1924.69
157.6553,15.9704,1571.36,36,1948.46
157.4851,16.0366,1597.27,37,1929.7
157.6109,16.5131,1609.88,38,2013.43
157.6341,16.0147,1627.22,39,1906.01
157.2133,16.4028,1616.84,40,1970.73
157.3873,16.0779,1620.64,41,1979.67
157.4214,15.937,1641.27,42,2025.04
157.4806,16.0042,1628.08,43,1903.0
157.2528,15.915,1646.57,44,1950.68
157.3177,15.9313,1647.22,45,2032.46
157.3295,15.8296,1617.68,46,1932.03
157.2413,15.8024,1628.4,47,2016.69
157.3909,15.7428,1674.69,48,1973.16
157.2234,15.9256,1657.29,49,1991.57
157.2768,15.7164,1658.54,50,2044.94
157.171,15.6666,1658.52,51,1994.3
157.2336,15.6825,1650.55,52,2052.43
157.0267,15.6045,1676.95,53,2036.1
157.4211,15.892,1694.18,54,2062.71
157.4107,15.5881,1683.17,55,2040.87
156.9145,15.3859,1681.58,56,2065.14
157.0814,15.6618,1634.93,57,2019.2
157.0648,15.7055,1726.08,58,2108.13
157.1857,15.9701,1764.07,59,2140.07
156.9596,15.5898,1719.58,60,2052.56
157.2293,15.6803,1712.11,61,2098.94
