Running Reverse KL,Real Det Return,Itration,Real Sto Return,Running Forward KL
11.7054,-39.47,0,-218.48,158.4992
11.5749,76.71,1,-99.63,158.1058
11.6747,128.02,2,-27.9,158.1742
11.9671,670.76,3,117.91,158.1577
12.0368,758.68,4,274.84,157.6586
12.6268,905.09,5,397.21,157.8761
13.3216,914.04,6,524.77,157.746
14.0877,1048.5,7,671.4,158.0401
14.5374,1207.69,8,784.83,157.9838
14.9717,1259.2,9,791.76,158.0376
16.2276,1370.61,10,974.3,158.2762
16.2425,1468.4,11,1078.17,157.9954
16.7856,1481.01,12,1150.71,158.163
16.6312,1574.08,13,1186.7,158.1043
16.1829,1581.5,14,1179.58,157.9316
16.2937,1638.13,15,1250.86,158.0008
16.2696,1611.6,16,1240.19,158.1364
16.3329,1729.34,17,1292.26,157.9156
16.1135,1705.11,18,1309.82,158.016
15.8572,1775.49,19,1364.8,157.8642
16.3947,1775.8,20,1367.46,157.9346
16.4351,1809.1,21,1421.25,157.8606
15.9064,1828.78,22,1415.87,157.6756
16.3157,1859.85,23,1488.76,157.7838
16.5144,1896.93,24,1467.73,157.728
16.4205,1892.13,25,1491.99,157.6844
16.1895,1898.56,26,1493.37,157.6579
15.976,1918.21,27,1527.27,157.6352
16.0651,1855.53,28,1507.73,157.6837
16.2483,1933.26,29,1521.78,157.6558
16.3561,1966.76,30,1565.44,157.5619
16.4221,1935.93,31,1579.42,157.6078
16.289,1919.51,32,1583.35,157.6043
16.2721,1966.49,33,1603.74,157.6251
16.2755,1972.0,34,1615.0,157.4473
16.153,1939.22,35,1585.31,157.4772
16.3763,2005.8,36,1600.04,157.5591
15.8939,1984.64,37,1612.97,157.3884
16.0723,2007.74,38,1626.7,157.4039
16.3346,1996.04,39,1628.65,157.3073
16.3461,1996.22,40,1657.36,157.4826
16.1335,2048.95,41,1650.28,157.3593
16.08,1968.61,42,1630.46,157.3304
16.0757,1955.98,43,1620.13,157.4595
16.1252,2005.04,44,1631.77,157.4156
16.3458,2045.09,45,1683.25,157.2612
16.2631,2054.46,46,1654.09,157.5632
15.7861,2015.6,47,1674.2,157.1918
16.3072,2085.02,48,1705.42,157.3455
