Running Env Steps,Itration,Reward Loss,Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return,Running Update Time
0,0,367.81683349609375,331.72,49.804,12.7411,289.4,0
5000,1,101.36103057861328,310.13,49.7789,15.7279,331.29,1
10000,2,406.1133117675781,374.74,50.4099,29.4571,371.73,2
15000,3,962.1546630859375,326.58,49.2166,19.153,386.66,3
20000,4,349.5504150390625,395.17,49.43,13.3924,410.13,4
25000,5,566.0734252929688,400.5,49.5426,15.0002,396.41,5
30000,6,-116.04792022705078,409.78,49.2095,16.4031,427.89,6
35000,7,-176.9659423828125,505.21,48.3283,17.578,547.48,7
40000,8,116.44036102294922,503.39,48.919,15.1675,463.96,8
45000,9,197.61802673339844,565.53,47.0258,14.07,624.45,9
50000,10,-97.30445098876953,686.94,47.4033,22.8044,686.69,10
55000,11,-35.75849914550781,653.82,47.2896,16.4838,740.83,11
60000,12,-134.13632202148438,714.09,47.7103,16.4246,705.28,12
65000,13,-835.8223876953125,699.09,46.5432,36.0789,660.44,13
70000,14,-853.300537109375,826.01,47.6054,37.4307,855.25,14
75000,15,-698.6732788085938,817.28,47.3209,23.4374,743.69,15
80000,16,-922.100341796875,745.83,47.1633,28.2946,1165.7,16
85000,17,-966.4986572265625,1533.12,46.9368,23.3427,1192.09,17
90000,18,-1120.3662109375,892.53,47.0829,23.7688,1248.37,18
95000,19,-733.0921020507812,1278.34,46.3754,19.7853,1384.27,19
100000,20,-727.4513549804688,1470.97,46.4132,15.2687,2616.73,20
105000,21,-866.0526733398438,1564.06,45.9582,21.3105,2150.95,21
110000,22,-1046.3482666015625,1653.34,46.7088,17.0493,444.36,22
115000,23,-1016.041015625,1072.2,47.219,18.6828,1295.18,23
120000,24,-1007.4541625976562,1361.5,46.5311,20.3772,1538.77,24
125000,25,-939.697998046875,1036.74,46.5005,16.8113,1397.91,25
130000,26,-930.4020385742188,1062.38,47.4034,17.8007,1001.84,26
135000,27,-1011.1912841796875,969.33,46.8137,23.1531,1161.15,27
140000,28,-1128.28369140625,1098.7,47.0099,22.0593,1113.23,28
145000,29,-1317.1295166015625,1282.54,46.2508,25.5407,1336.71,29
150000,30,-1106.937255859375,1284.42,46.7346,24.4733,1235.38,30
155000,31,-1280.6444091796875,1258.39,46.8691,23.6371,1393.16,31
160000,32,-1252.038330078125,1008.6,46.5772,18.2012,1080.22,32
165000,33,-868.306396484375,1317.56,46.4555,14.3744,1529.79,33
170000,34,-1190.429443359375,1109.96,46.2378,23.6486,1439.92,34
175000,35,-1107.509521484375,1317.96,46.2465,14.0369,1559.58,35
180000,36,-1362.727294921875,1496.35,46.3626,16.9361,1597.1,36
185000,37,-1549.0960693359375,1268.36,46.1395,18.4441,1693.31,37
190000,38,-1298.1234130859375,1290.73,46.4544,15.9795,1302.56,38
195000,39,-1708.5762939453125,1255.4,45.6686,17.0286,1417.56,39
