Running Forward KL,Itration,Real Det Return,Running Reverse KL,Real Sto Return
49.4101,0,296.4,12.2032,326.72
49.8267,1,268.69,14.326,249.97
49.9194,2,304.32,16.221,479.74
49.5811,3,330.64,13.6836,332.41
49.7328,4,326.65,16.061,296.05
49.4213,5,454.43,15.3903,382.32
48.814,6,628.31,14.6374,470.24
48.237,7,983.2,13.4789,620.99
48.1486,8,826.42,15.6527,694.97
47.904,9,1541.96,16.2704,789.93
48.3771,10,772.36,15.8883,696.54
48.2183,11,762.94,14.5889,740.91
48.572,12,836.72,17.2031,837.25
47.8008,13,842.3,15.3837,757.28
47.9406,14,789.89,14.7098,754.76
47.2005,15,800.43,14.4258,846.84
47.4745,16,863.32,14.3848,857.8
45.603,17,1772.46,12.9899,1185.9
45.8834,18,1264.67,15.5569,1197.64
46.2889,19,1441.92,15.5522,1059.67
45.3689,20,2770.52,13.8966,2420.93
45.4513,21,2804.01,13.2192,2603.75
44.9394,22,2935.48,12.7777,2603.42
44.9785,23,3079.5,13.1197,2308.11
44.6429,24,3080.95,13.6664,2868.08
44.0079,25,2790.42,13.7781,2950.16
44.3355,26,3202.14,14.6938,3167.63
42.9999,27,3269.93,13.0936,2982.69
43.8149,28,3377.1,15.2842,3405.95
44.0703,29,3469.69,14.6526,3127.24
43.5084,30,3451.5,14.8392,3373.43
43.2966,31,3615.17,16.6132,3483.91
42.6025,32,3892.81,15.2974,3305.08
43.154,33,3685.19,15.1746,3420.44
42.9765,34,3840.17,14.3686,3195.56
43.0907,35,3579.81,15.6554,3602.62
42.4089,36,3805.04,14.3247,3140.74
44.006,37,3681.82,18.3179,3757.41
44.2658,38,3643.94,18.009,3590.37
42.7583,39,3850.96,15.504,3711.27
43.3517,40,3755.28,17.2752,3817.7
42.8614,41,3910.34,16.5286,3886.24
44.1499,42,3968.28,20.5148,4011.9
43.7497,43,4260.29,19.3135,4134.78
42.5576,44,4213.36,16.8464,4031.21
42.3811,45,4314.79,16.6796,4089.92
43.0185,46,4304.59,18.7084,4193.13
42.7558,47,4263.21,18.7343,4152.08
43.5983,48,4180.54,19.3724,4171.14
42.1633,49,4342.13,16.7545,4248.76
42.4929,50,4318.59,17.2527,4202.93
41.987,51,4159.73,17.3738,4117.43
42.7429,52,3921.07,16.9343,4001.5
42.71,53,3494.17,18.5876,3848.39
42.3352,54,4347.66,17.1378,4019.05
42.1206,55,4256.3,17.4957,4199.78
42.5288,56,4279.94,17.8023,4288.79
42.3294,57,4299.2,17.3795,4224.79
41.7973,58,4332.32,16.0347,3590.37
42.1323,59,4416.18,17.5464,4095.14
41.5584,60,4368.57,16.4542,4273.26
42.1158,61,4374.89,17.6139,4302.69
42.0318,62,4365.68,17.948,4293.47
41.2048,63,4245.39,15.2567,4177.93
41.3623,64,4226.14,16.2869,4169.14
41.8575,65,4452.61,17.4458,4354.59
41.5568,66,4356.84,16.7793,4324.35
41.8648,67,4444.99,17.8008,4349.34
42.1173,68,3771.73,16.9883,4127.44
41.9617,69,4432.91,17.4351,4353.42
42.0569,70,4393.11,18.0558,4329.52
41.9264,71,4377.75,18.1153,4326.8
41.3349,72,4338.72,17.6032,4315.84
41.9055,73,4397.83,17.8611,4346.26
41.6927,74,4340.06,16.6108,4276.13
41.5998,75,4446.43,17.1603,4326.29
41.593,76,4396.89,18.0177,4324.69
41.7082,77,4476.33,18.0218,4372.29
41.4504,78,4389.39,16.367,4284.12
41.4773,79,4331.35,16.2471,4296.15
41.2572,80,4431.67,17.3387,4361.63
41.4152,81,4377.2,16.9027,4325.95
41.264,82,4420.28,16.85,4339.89
41.4798,83,4363.13,18.3797,4344.43
40.9215,84,4456.57,16.5693,4350.69
41.4429,85,4331.31,23.3932,4284.35
41.7984,86,4298.28,16.9662,4281.05
41.0468,87,4415.17,16.0225,4315.47
41.659,88,4344.88,18.6296,4331.35
41.3177,89,4368.44,17.329,4328.06
41.1872,90,4366.17,17.5827,4343.77
40.956,91,4411.63,16.6733,4336.4
41.7731,92,4371.33,18.4688,4316.83
40.6947,93,4414.26,16.545,4340.89
40.7951,94,4390.56,16.8073,4355.83
40.6557,95,4426.23,16.907,4369.82
40.9912,96,4326.39,16.9036,4311.8
40.9312,97,4401.54,16.127,4339.68
41.2072,98,4425.46,16.8892,4398.16
