Real Sto Return,Itration,Running Reverse KL,Running Forward KL,Real Det Return
232.48,0,18.0419,37.1251,218.77
264.39,1,40.8204,36.4615,254.77
261.87,2,23.4769,35.8025,244.62
306.39,3,30.2342,37.1022,304.93
318.12,4,36.6583,36.567,322.85
318.64,5,31.5386,36.4236,311.15
321.74,6,26.6388,36.8046,322.4
327.48,7,28.3307,36.5568,334.56
345.22,8,32.4606,36.318,358.26
367.04,9,40.0338,36.2208,374.16
399.95,10,44.0949,35.2223,396.8
414.95,11,43.602,35.3556,431.44
429.11,12,42.0742,35.3229,438.45
424.12,13,36.7121,34.9522,452.4
471.17,14,34.1096,35.0474,465.92
501.62,15,24.1655,34.0597,452.28
539.41,16,21.6992,35.2148,522.74
667.02,17,68.4574,34.8631,631.82
669.07,18,29.6943,35.2316,638.09
819.17,19,37.8548,33.8346,808.22
732.78,20,80.4994,33.8865,767.78
1170.82,21,33.3638,33.6777,883.78
658.22,22,34.0001,33.7723,572.48
236.15,23,17.9365,33.9133,192.41
738.6,24,30.8581,34.3478,723.38
810.8,25,50.1943,33.8184,857.07
725.53,26,78.1147,33.8224,771.21
759.71,27,68.9033,33.4804,805.93
851.46,28,91.9342,33.341,893.4
668.7,29,69.0918,32.7997,728.13
794.44,30,97.3486,33.1438,804.91
1272.75,31,65.9448,32.6619,2645.83
1048.42,32,77.2575,32.3229,1113.77
2671.34,33,32.3856,31.7863,2681.87
1648.11,34,71.4883,32.1592,1029.11
943.96,35,54.1494,33.0293,984.66
905.15,36,36.2165,33.1953,949.51
1197.06,37,75.5682,32.5585,977.65
1331.46,38,42.2295,31.8804,1362.86
1318.88,39,61.2686,31.1395,1066.34
1295.45,40,43.9248,30.9259,1167.48
1550.09,41,50.6067,29.8446,2372.68
2484.63,42,25.6282,30.0202,2892.76
2917.89,43,17.9053,31.2447,3020.69
1780.5,44,29.168,30.3954,2999.27
2664.56,45,17.2785,30.7349,3176.71
1657.76,46,19.5251,29.641,3303.91
2237.99,47,17.4516,30.1154,1459.47
1999.99,48,27.8286,29.1161,3164.17
1752.38,49,19.0098,30.052,3088.19
2551.0,50,20.7536,29.3342,3103.56
1471.84,51,17.3934,28.7868,2436.94
2800.41,52,18.1781,29.092,3138.91
2640.76,53,15.9925,28.5959,3146.24
3168.8,54,15.5928,28.208,3110.64
1944.75,55,15.6061,27.9732,3301.71
1342.21,56,22.4753,28.2359,1118.48
2977.77,57,15.9356,27.8927,3291.82
1170.15,58,27.92,28.0596,1201.67
2522.5,59,16.869,27.3479,3390.39
2029.55,60,18.7801,27.009,3312.03
2841.35,61,14.094,26.595,3242.1
3191.77,62,13.2769,26.12,3234.08
1341.59,63,33.6453,28.287,1142.48
