Running Forward KL,Real Sto Return,Real Det Return,Itration,Running Reverse KL
158.678,-140.83,-45.44,0,11.9391
158.1187,-61.13,-18.84,1,11.1491
157.7292,77.4,475.52,2,10.9645
157.5354,151.04,617.55,3,10.9609
157.5144,256.74,239.57,4,11.4107
157.3917,390.07,827.58,5,11.6448
157.5489,444.34,778.83,6,11.6576
157.2288,436.71,920.5,7,11.8313
157.3021,563.0,962.73,8,11.9553
157.399,642.54,1035.95,9,12.4452
157.3929,703.54,1094.23,10,12.605
157.376,814.06,1222.84,11,13.0377
157.215,961.38,1290.38,12,13.7567
157.4239,1035.77,1491.49,13,14.5161
157.4145,1176.25,1463.46,14,14.8676
157.3124,1241.49,1669.25,15,14.9986
157.2483,1341.62,1794.08,16,15.2854
157.2962,1350.42,1846.27,17,15.0814
157.1451,1404.85,1840.98,18,15.4979
157.2951,1436.57,1900.03,19,15.548
157.2725,1515.73,1954.22,20,15.7274
157.2262,1518.86,1940.26,21,15.632
157.3395,1531.32,1958.98,22,15.68
157.0648,1555.9,1935.93,23,15.4776
156.976,1553.14,1912.46,24,15.1818
156.9478,1602.72,1997.05,25,15.6416
157.0106,1614.52,2012.69,26,15.4849
156.7817,1608.2,1987.72,27,15.3818
157.1184,1648.15,2001.35,28,15.7286
156.9719,1669.97,1997.68,29,15.438
157.0838,1673.65,1978.4,30,15.6226
156.8543,1681.5,2080.84,31,15.521
156.8245,1665.51,1950.89,32,15.5729
156.9354,1674.47,1986.27,33,15.6637
