Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL,Itration
417.44,245.7244,290.82,418.8685,0
300.31,280.292,313.82,444.524,1
321.48,274.1249,327.61,456.7191,2
488.82,233.8016,481.44,413.3891,3
385.44,243.0235,417.31,405.4236,4
352.71,259.2534,404.02,427.3837,5
349.36,260.1831,400.7,438.3424,6
395.41,247.365,458.08,423.2656,7
383.49,251.889,501.96,430.5879,8
594.37,244.5535,464.58,421.148,9
574.74,242.6232,551.11,417.9558,10
621.96,246.8064,505.61,420.0866,11
526.59,250.9372,504.11,402.3933,12
391.52,257.9748,475.45,431.3196,13
568.79,255.8217,562.93,429.2627,14
662.73,252.1556,699.74,408.3636,15
555.96,251.9917,753.45,389.8761,16
691.4,233.948,645.5,394.7851,17
760.77,256.7161,654.37,383.9357,18
753.02,241.7237,729.2,395.8643,19
703.66,247.6724,780.13,395.5064,20
618.07,255.428,612.84,399.309,21
613.71,246.8864,664.39,394.0104,22
575.87,246.0259,661.4,388.9893,23
557.94,247.6683,630.35,391.1439,24
640.84,251.0592,774.66,397.4204,25
657.52,249.9347,762.7,396.173,26
855.49,232.0798,780.36,399.8323,27
710.12,231.3775,910.91,372.6375,28
667.05,243.9531,961.25,391.5326,29
915.35,201.9275,1213.93,367.2441,30
1045.61,229.9831,1166.51,371.0143,31
769.65,227.9239,1521.73,377.4775,32
1017.05,232.768,1106.28,360.6458,33
1410.94,217.2819,1183.17,369.5812,34
1105.75,266.4092,1098.44,381.4108,35
747.36,198.1797,1064.26,355.3404,36
1419.44,218.448,1334.67,370.0099,37
1987.68,210.4361,1422.68,370.8102,38
1346.7,228.422,1546.71,373.1333,39
1523.29,191.3249,1605.65,342.4024,40
1385.5,228.743,1605.54,351.9007,41
1464.55,237.391,1379.77,357.1221,42
1708.55,224.4435,1501.87,359.7069,43
2698.96,212.3689,1990.13,361.5441,44
1649.91,222.3308,1948.1,361.8014,45
922.64,254.3297,1150.58,378.6347,46
1838.95,186.5057,2530.95,339.8885,47
1720.17,261.9247,1530.12,368.9778,48
2778.42,192.8464,1815.84,353.7116,49
2815.18,192.7273,2262.49,343.7561,50
1144.12,233.7232,1674.81,364.6444,51
4471.54,222.1612,1951.48,352.3632,52
1780.91,169.2478,3047.95,328.0615,53
3112.19,195.1945,1503.0,359.3182,54
3820.68,173.2332,2524.74,343.7391,55
2446.17,150.2508,2950.74,331.562,56
3790.59,164.2949,3963.51,336.8788,57
1512.77,175.7938,3120.76,338.3411,58
3720.06,195.654,2800.51,350.8201,59
4670.34,139.7381,3851.71,342.1638,60
2071.6,231.3988,1754.77,374.4423,61
2992.68,144.518,3091.78,339.5455,62
4785.98,140.424,4645.29,339.1653,63
2382.19,149.0442,2696.62,342.3364,64
3238.13,164.3739,3048.55,351.3195,65
5138.01,127.5658,4515.96,339.9467,66
4830.57,140.4091,4682.43,342.3027,67
5206.39,120.7796,4958.49,326.3528,68
5153.58,127.5562,4634.91,336.7612,69
5164.86,117.0194,4864.21,328.8188,70
5186.05,116.3434,4293.92,323.8857,71
5239.89,133.118,5133.48,328.6748,72
5153.28,136.587,4630.65,331.1441,73
3981.16,128.5664,4733.21,328.2358,74
3270.2,134.859,3896.06,333.5322,75
5171.16,120.5407,4855.2,324.7765,76
4496.09,167.7915,4097.13,350.873,77
5074.76,134.4161,4855.9,341.5539,78
5128.85,127.4175,4856.63,326.2055,79
5190.65,120.7109,5122.47,322.0667,80
5101.89,119.3483,4979.64,324.2971,81
5241.22,115.2358,5146.54,323.8587,82
5152.43,115.0246,4843.92,318.8145,83
4992.98,125.0099,4195.14,330.1176,84
4800.88,120.8782,4248.66,327.6188,85
5221.37,105.6095,4595.18,312.5423,86
4570.88,104.4504,4781.69,312.0853,87
5012.06,147.726,4146.82,323.2019,88
4131.42,98.579,5129.14,307.9595,89
4357.57,160.0814,3335.84,338.6039,90
4574.84,107.7896,4951.24,311.9263,91
3559.32,140.2378,3373.87,327.1763,92
5231.68,105.9285,4798.58,314.8873,93
5112.68,104.4025,4639.15,315.6581,94
3538.95,113.1743,4457.23,327.1947,95
2317.14,197.7232,1367.98,344.5786,96
3800.83,128.3633,4601.32,316.8096,97
5203.21,112.7866,4261.56,313.6476,98
4393.34,112.6292,3698.96,314.6695,99
3884.28,108.3737,4606.33,304.2744,100
4339.77,104.1393,5069.93,313.4624,101
3487.73,100.4349,4621.18,304.4772,102
5080.17,103.3728,4950.6,313.1551,103
3915.98,158.507,4226.49,334.4716,104
4754.41,106.7388,5164.28,314.7619,105
3974.56,117.7854,4205.71,320.8147,106
4597.54,129.1706,4233.31,321.8881,107
5239.05,92.0284,4745.37,300.8013,108
5030.65,99.8871,4095.15,309.7795,109
5184.78,93.2319,5016.64,308.4361,110
5099.18,93.5192,4994.7,305.0809,111
4961.68,94.6209,4764.93,299.2994,112
4954.87,116.3891,4745.67,315.616,113
3975.41,97.0205,4062.63,309.2013,114
3759.04,120.6345,3478.4,311.1391,115
5219.84,95.7954,5127.65,305.2239,116
4733.94,127.7649,4113.86,304.4553,117
4300.67,114.0963,4404.24,303.0538,118
5101.48,99.5092,4908.58,304.9658,119
4898.21,100.243,5054.0,307.6355,120
4998.37,99.4992,5073.05,313.971,121
4670.54,109.8693,4579.2,309.0571,122
4984.67,111.4286,4386.38,311.8338,123
4706.48,89.2028,4648.7,300.436,124
5093.91,106.3816,4666.68,309.37,125
5008.4,118.2406,4702.63,308.6678,126
5168.33,99.7725,5020.71,304.2544,127
5157.12,102.7884,4831.19,310.5888,128
5046.59,99.2167,4359.45,301.9968,129
5100.26,93.1085,4825.22,303.4945,130
5231.8,88.2241,5105.99,301.4233,131
5216.66,103.592,5083.18,304.9681,132
5219.57,87.5025,4666.82,298.0366,133
5205.33,89.3967,4967.8,299.456,134
5016.54,90.5188,4886.92,303.8834,135
5224.17,99.0964,4306.43,306.9474,136
5144.19,83.0555,4498.6,295.1775,137
5229.23,101.2114,4285.82,300.0661,138
5176.03,86.0525,5052.35,294.326,139
4766.28,95.4904,4495.64,308.4938,140
4519.17,92.553,4678.14,300.8333,141
4788.88,90.6939,4650.71,300.7299,142
5241.17,91.1849,5034.25,300.7933,143
5274.83,77.105,5151.72,294.7508,144
4779.4,77.6667,4312.13,291.9878,145
5220.13,110.6649,4504.87,300.3686,146
4732.96,84.1083,4578.51,296.647,147
5236.14,95.4503,4794.3,302.8791,148
4961.18,117.8034,3822.92,303.1779,149
5080.43,81.2052,4696.22,292.4916,150
5201.1,76.5048,4368.48,289.1141,151
4056.59,116.8949,4105.22,296.5675,152
5271.71,76.9675,4906.85,288.6901,153
5222.84,77.1479,4516.83,292.9044,154
5281.2,80.8581,4756.64,290.8896,155
5161.1,87.2196,4729.35,293.8183,156
4960.15,78.9119,5010.84,291.6834,157
5327.01,69.8204,4274.18,274.502,158
4696.75,83.0106,3671.16,282.8271,159
5121.5,74.2134,4993.97,282.0511,160
5152.9,79.4463,4873.18,292.4566,161
5019.68,79.3603,5099.88,292.0681,162
5129.33,66.9321,5064.13,280.6366,163
5199.76,75.8404,4900.71,285.9188,164
5216.46,132.6773,4739.97,300.1581,165
5283.4,122.011,4837.01,294.5037,166
4797.32,81.1707,4897.77,283.1099,167
5288.69,97.6131,4835.62,285.2982,168
5193.02,85.7314,5046.0,287.5111,169
5157.86,77.5085,4718.51,288.142,170
5167.42,81.222,4934.06,283.7923,171
3401.04,74.7869,4712.35,278.8938,172
5153.97,102.6139,4879.25,285.9692,173
5106.11,80.8471,5110.55,283.5186,174
4766.34,72.624,4544.44,278.923,175
3592.18,66.4997,5052.08,276.1013,176
5055.64,121.9977,4380.66,294.076,177
5278.5,84.5163,5160.67,285.429,178
5243.51,71.0355,4911.65,280.0531,179
5304.01,70.8629,5210.95,279.2959,180
5256.43,68.162,5002.65,278.4602,181
5186.36,76.1862,4978.48,281.1057,182
5191.51,76.1765,4900.99,285.0279,183
5198.81,93.9703,4899.61,290.7168,184
5162.5,64.8005,4893.66,272.2396,185
5049.89,92.9372,4840.57,283.6815,186
4858.75,73.056,4613.47,282.5688,187
4104.26,96.9718,4603.35,284.0048,188
5096.66,82.1034,4937.93,283.0758,189
5111.51,83.5569,4371.83,285.3461,190
4476.48,82.3023,3268.49,278.6541,191
5149.36,85.5208,4283.42,282.9261,192
5112.26,104.3845,4529.1,289.1249,193
1636.36,91.0208,4378.48,285.9598,194
4931.63,92.1566,4815.38,282.2479,195
4274.98,77.9416,5090.97,280.7012,196
3575.89,107.8057,4653.9,296.7119,197
4935.25,129.6949,4290.14,308.1646,198
5073.93,99.038,4367.83,288.3912,199
4930.85,77.4476,5087.35,284.372,200
4954.72,63.5069,4504.17,272.8409,201
5283.02,89.7686,4808.65,286.8779,202
5281.27,67.7204,5001.47,276.2369,203
5255.06,66.5144,5125.43,278.4566,204
3172.91,79.9602,5151.86,277.5743,205
1363.6,74.7092,4834.62,274.8336,206
5257.6,72.246,4664.14,276.2619,207
5304.51,73.7771,4931.32,273.7295,208
4820.77,67.7938,4770.14,273.3069,209
