Running Update Time,Real Det Return,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL,Itration,Running Reverse KL
0,245.98,-120.11736297607422,371.69,0,48.7533,0,12.0853
1,415.93,1.1064261198043823,424.63,5000,48.4532,1,14.1353
2,401.48,0.45734643936157227,345.2,10000,49.5961,2,14.1401
3,355.37,-90.26172637939453,369.93,15000,48.9022,3,14.0154
4,401.15,-52.88880920410156,395.44,20000,49.6664,4,15.3795
5,374.91,-74.40757751464844,376.15,25000,48.8571,5,15.3962
6,395.66,-75.08495330810547,414.64,30000,49.3672,6,19.0422
7,446.44,-150.36770629882812,424.68,35000,48.3796,7,15.2565
8,1962.84,-133.77081298828125,1453.61,40000,47.6355,8,13.6992
9,586.73,-199.3997802734375,646.27,45000,48.5594,9,13.8451
10,753.19,-203.4188690185547,688.56,50000,47.0478,10,13.1261
11,586.08,-178.69090270996094,623.74,55000,48.3076,11,13.2115
12,682.96,-130.39808654785156,667.02,60000,47.8708,12,14.5201
13,700.55,-185.4419403076172,880.58,65000,47.168,13,17.4752
14,732.57,-193.4898681640625,796.1,70000,47.5744,14,14.6137
15,1088.17,-184.8823699951172,1040.92,75000,46.9047,15,17.599
16,958.28,-131.30516052246094,906.36,80000,48.0615,16,18.5866
17,1041.9,-187.10421752929688,965.65,85000,47.098,17,22.9626
18,1016.54,-167.4528350830078,904.46,90000,47.1704,18,29.4549
19,978.37,-128.35177612304688,1588.9,95000,46.7475,19,29.533
20,1423.25,-165.98876953125,1191.95,100000,46.7334,20,21.8891
21,958.6,-144.83558654785156,954.55,105000,46.958,21,31.1494
22,910.99,-179.0872802734375,1033.41,110000,46.7407,22,23.7263
23,1084.54,-229.04676818847656,1300.72,115000,46.7117,23,13.3392
24,2734.77,-209.12779235839844,1811.03,120000,46.6173,24,17.7895
25,741.26,-277.609375,822.98,125000,47.4333,25,29.3302
26,1581.14,-265.2127380371094,1659.2,130000,46.617,26,14.5676
27,1988.4,-238.08006286621094,1486.19,135000,46.6805,27,15.385
28,2753.63,-241.72940063476562,1795.75,140000,46.681,28,15.9706
29,3032.65,-231.6034393310547,2369.52,145000,46.4691,29,15.8964
30,2859.34,-215.4495086669922,2240.32,150000,45.9821,30,14.4038
31,1639.46,-348.9913635253906,1297.89,155000,46.5322,31,14.7064
32,2066.87,-284.83837890625,1674.16,160000,46.8441,32,15.4527
33,1650.4,-296.6317138671875,1481.63,165000,46.3103,33,15.0319
34,3015.18,-262.6462097167969,2037.92,170000,46.7404,34,17.2366
35,1591.54,-343.7617492675781,1484.67,175000,47.2448,35,20.1803
36,729.48,-280.79522705078125,754.27,180000,47.6571,36,65.0417
37,2101.27,-298.1847229003906,1837.84,185000,46.7072,37,15.2673
38,1644.66,-361.8492431640625,1466.15,190000,47.3504,38,15.1371
39,1829.41,-325.79302978515625,1547.93,195000,47.4915,39,23.9654
40,2074.18,-331.0931396484375,1803.79,200000,46.4132,40,17.6942
41,1706.28,-397.32318115234375,1548.11,205000,47.05,41,21.3789
42,1818.32,-398.3092041015625,1591.21,210000,47.3188,42,18.4385
43,1623.12,-420.1614990234375,1264.47,215000,46.877,43,16.1432
44,1733.34,-382.1438903808594,1604.46,220000,46.9806,44,26.2555
45,1398.33,-455.84893798828125,1453.21,225000,46.9932,45,16.1961
46,2180.7,-415.02587890625,1626.13,230000,47.4005,46,21.9754
47,1662.5,-438.4591064453125,1602.4,235000,47.3355,47,36.8494
48,1464.8,-409.38458251953125,1233.37,240000,48.2686,48,51.3016
49,3178.59,-372.49749755859375,2190.81,245000,47.0555,49,27.7238
50,1824.46,-438.06866455078125,1611.68,250000,47.1526,50,38.7731
51,1786.42,-438.0877685546875,1718.04,255000,46.981,51,39.5763
52,2834.33,-437.6855163574219,2019.78,260000,46.5445,52,30.8517
53,2349.64,-369.86004638671875,2016.7,265000,46.9057,53,29.4823
54,1725.96,-522.1051025390625,1539.19,270000,46.5322,54,23.6098
55,1620.44,-487.4502868652344,1432.0,275000,47.3631,55,23.4335
56,2041.32,-467.56939697265625,1767.15,280000,47.004,56,37.8437
