Real Det Return,Running Forward KL,Itration,Running Reverse KL,Reward Loss,Real Sto Return,Running Update Time,Running Env Steps
225.85,39.182,0,17.4648,233.2681884765625,217.38,0,0
191.53,38.5454,1,20.6181,264.18194580078125,193.71,1,5000
223.85,40.6608,2,18.7641,251.8977508544922,231.3,2,10000
286.94,38.2955,3,18.0866,246.9304656982422,279.81,3,15000
349.32,35.672,4,15.4922,184.03480529785156,400.41,4,20000
457.65,36.557,5,15.9928,145.213134765625,419.36,5,25000
324.03,36.1918,6,35.1784,230.3467559814453,322.41,6,30000
388.21,33.4028,7,16.8349,144.34584045410156,400.12,7,35000
408.23,35.1779,8,16.4667,164.6233673095703,406.46,8,40000
479.37,34.0118,9,42.4312,193.3235626220703,463.12,9,45000
436.59,33.0569,10,27.6608,156.76683044433594,448.2,10,50000
400.32,33.1018,11,34.2364,183.33509826660156,413.11,11,55000
438.45,32.5643,12,37.7485,157.60696411132812,453.33,12,60000
603.81,30.487,13,17.8294,89.44103240966797,685.45,13,65000
691.61,33.0271,14,32.2881,118.77558135986328,658.77,14,70000
547.77,32.0661,15,21.9394,89.27875518798828,661.5,15,75000
644.9,33.4049,16,31.748,110.73797607421875,659.45,16,80000
780.45,32.131,17,30.7768,58.5779914855957,752.95,17,85000
1157.54,31.8357,18,36.4158,48.94136047363281,1108.93,18,90000
971.04,31.0851,19,18.7109,17.77910041809082,1188.16,19,95000
1696.21,30.4487,20,25.4324,14.273124694824219,1436.3,20,100000
1071.08,30.4261,21,46.7911,-29.48354721069336,1674.06,21,105000
1893.22,30.2705,22,26.2735,17.35131072998047,1840.73,22,110000
979.46,29.7441,23,13.0583,-8.435007095336914,1210.35,23,115000
1120.07,28.9297,24,12.5619,-3.8250460624694824,1619.68,24,120000
915.67,29.9792,25,12.7084,-4.989081859588623,1557.12,25,125000
2466.02,29.8777,26,13.2963,-12.516088485717773,1932.79,26,130000
2652.3,29.2607,27,13.0245,-14.378217697143555,2106.15,27,135000
1815.73,28.8927,28,13.9812,-15.688329696655273,1464.22,28,140000
2220.31,28.9468,29,13.1978,-27.832752227783203,1549.29,29,145000
1586.04,29.9365,30,16.5245,-38.01222229003906,2464.18,30,150000
3087.24,28.496,31,15.0858,-30.55472183227539,2945.42,31,155000
2778.59,29.2647,32,14.6545,-31.628828048706055,1878.61,32,160000
3112.23,30.4267,33,14.9594,-24.152557373046875,2150.08,33,165000
3137.88,29.0981,34,14.4774,-32.93065643310547,2004.16,34,170000
3108.78,29.4598,35,14.268,-25.23297882080078,2275.92,35,175000
1488.87,29.694,36,14.9239,-39.94488525390625,1895.07,36,180000
3082.16,29.4135,37,15.0222,-43.679351806640625,1546.96,37,185000
3119.05,28.9422,38,14.6747,-33.15061950683594,2722.24,38,190000
2964.41,29.4131,39,16.9895,-44.99901580810547,1711.27,39,195000
2795.53,30.3132,40,17.1279,-53.80617904663086,1554.98,40,200000
244.66,29.8097,41,16.6326,-45.15639877319336,325.71,41,205000
2944.88,30.0631,42,18.1334,-64.8292465209961,1783.06,42,210000
2755.89,29.2009,43,18.3407,-69.4334945678711,1382.53,43,215000
1905.98,29.0406,44,15.609,-59.70952224731445,1774.17,44,220000
2383.56,28.9816,45,17.3334,-70.07054901123047,1430.02,45,225000
2313.77,29.7117,46,15.9188,-72.28131866455078,1858.89,46,230000
2724.06,29.0324,47,16.2174,-92.64838409423828,1180.53,47,235000
2172.85,29.611,48,17.4222,-94.47406005859375,1472.66,48,240000
2403.1,28.5442,49,16.4128,-76.39743041992188,1722.9,49,245000
1298.68,29.6741,50,19.6988,-86.62030029296875,1732.43,50,250000
2161.64,28.2398,51,17.1042,-89.36962127685547,1590.6,51,255000
3142.51,28.9824,52,17.1427,-70.0589828491211,2215.94,52,260000
2731.68,27.7511,53,14.3652,-62.9772834777832,2428.43,53,265000
1619.64,27.4284,54,15.2165,-83.20641326904297,1901.89,54,270000
2987.31,29.3173,55,16.1215,-121.20926666259766,1704.97,55,275000
2283.77,26.7646,56,12.1858,-59.62700271606445,2256.39,56,280000
3017.55,28.9949,57,15.3315,-112.9006576538086,1767.76,57,285000
3103.68,28.5658,58,13.5273,-90.08168029785156,2183.04,58,290000
2199.83,30.1463,59,16.9489,-145.90516662597656,1863.58,59,295000
2424.05,29.5263,60,17.1265,-159.4174346923828,1357.62,60,300000
3201.98,29.2455,61,18.9485,-122.89232635498047,2052.32,61,305000
2645.57,28.215,62,14.7451,-119.07617950439453,2539.44,62,310000
1412.32,28.9836,63,17.3525,-150.01165771484375,1749.02,63,315000
3006.86,27.2183,64,15.9966,-115.24797058105469,2241.73,64,320000
2660.57,28.5668,65,20.0277,-156.97857666015625,2026.67,65,325000
1812.23,28.5161,66,18.1706,-138.7499237060547,1809.09,66,330000
2730.35,28.4364,67,14.1201,-141.23171997070312,1521.48,67,335000
2798.4,28.695,68,15.3102,-86.87999725341797,2352.22,68,340000
2384.39,28.6159,69,17.5297,-143.02125549316406,1885.23,69,345000
3210.17,29.6939,70,15.5961,-92.5604248046875,2430.61,70,350000
3192.63,28.5224,71,16.2136,-156.0440673828125,2475.49,71,355000
1293.07,31.0405,72,23.8963,-222.00100708007812,1015.58,72,360000
3138.22,26.9557,73,13.8678,-104.20946502685547,3079.23,73,365000
