Itration,Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return
0,275.1588,264.7,444.3565,304.48
1,256.1376,320.1,419.5321,336.08
2,265.4352,333.05,427.4316,330.43
3,242.7694,498.27,415.1529,399.02
4,245.1492,458.89,406.4539,416.07
5,253.1705,351.86,410.444,396.32
6,255.4247,451.74,414.4178,436.67
7,266.3167,453.33,412.7381,448.47
8,253.6183,449.92,395.5342,497.11
9,266.1094,441.16,399.0961,486.98
10,265.6154,475.3,398.652,469.2
11,272.4831,488.28,398.3399,512.88
12,258.7111,503.15,403.4628,500.78
13,287.6924,557.43,398.8558,527.16
14,259.9287,499.09,390.6686,535.34
15,269.3759,581.17,411.1955,531.11
16,273.5299,510.47,402.0737,536.84
17,260.997,544.04,399.141,531.22
18,234.1224,543.07,406.1153,449.79
19,263.3408,596.81,411.9372,511.08
20,256.0685,573.29,408.6477,512.08
21,272.8178,523.94,403.792,487.77
22,260.2654,476.6,405.1758,465.97
23,248.7483,473.13,392.2612,538.32
24,250.8885,541.29,399.1002,538.85
25,246.9828,595.18,390.3022,533.51
26,251.6283,539.9,413.3635,595.41
27,235.8403,595.38,400.1843,555.01
28,235.738,546.37,401.7324,527.25
29,232.766,460.9,400.118,557.4
30,226.0647,660.89,385.6072,657.82
31,247.3469,650.34,396.8667,775.38
32,237.7892,649.1,393.2814,719.15
33,225.2385,845.77,397.6081,669.23
34,237.6812,675.91,389.5421,763.56
35,242.1602,571.54,394.954,714.26
36,230.1948,549.82,388.216,784.65
37,234.9483,643.31,388.1526,757.09
38,230.2192,659.1,391.3181,903.86
39,256.4635,538.44,400.6478,767.9
40,260.2097,797.94,399.715,805.47
41,230.4103,661.04,399.2805,976.23
42,234.1376,523.51,396.8047,778.86
43,247.0564,687.53,412.876,961.25
44,247.6043,783.76,404.9365,938.44
45,242.9827,945.4,391.2641,1180.75
46,231.2585,860.35,395.1185,1180.29
47,206.9401,769.54,382.1889,1280.9
48,198.8352,930.26,380.6345,1364.23
49,267.289,569.44,414.2023,666.63
50,281.3567,665.97,399.9603,647.16
51,209.8027,781.5,371.6799,2011.59
52,181.5841,1368.88,359.7353,2872.84
53,188.845,942.28,368.5882,2192.38
54,246.5663,835.54,398.3929,1981.6
55,217.2681,860.87,378.8347,2638.78
56,220.8644,719.77,385.4348,1673.74
57,217.6615,666.57,381.149,1668.4
58,184.7156,928.74,362.686,2326.37
59,202.4224,842.28,370.1623,2809.29
60,175.8804,1691.7,360.7885,2667.24
61,173.4105,755.31,361.1502,2642.73
62,175.5649,743.81,360.1137,3549.01
63,206.2566,652.51,373.3272,3161.42
64,175.1421,722.96,359.9786,3515.61
65,209.0806,719.93,378.4033,1262.42
66,175.269,701.39,360.8317,3006.41
67,175.8256,663.36,363.2563,2524.07
68,193.1528,795.66,371.4243,3751.52
69,179.5671,835.31,353.826,4410.19
70,174.0465,1092.99,356.2681,4205.79
71,174.0855,2356.8,364.1134,4332.19
72,153.7921,1619.74,350.6083,3938.07
73,161.6843,909.4,349.758,4012.03
74,161.2736,652.37,344.3701,4145.7
75,165.5487,578.28,355.7098,3634.64
76,167.9149,631.33,353.7049,4390.65
77,169.7071,772.83,354.6178,3456.22
78,168.756,577.49,359.4654,3484.68
79,167.0564,1687.17,350.1159,3416.75
80,162.6247,694.38,353.7884,4301.57
81,178.8823,1623.13,354.3515,4418.79
82,178.6329,533.75,356.91,3299.82
83,175.2287,649.39,361.9707,4447.86
84,181.6273,496.84,361.4628,2169.61
85,172.5502,647.69,357.7679,4103.1
86,175.9814,549.54,356.7554,3106.57
87,233.2961,668.55,381.2445,1558.79
88,172.544,980.28,351.2021,4490.09
89,170.8065,599.57,355.037,2959.2
90,165.32,754.56,353.3175,4280.41
91,205.713,691.47,378.8058,1702.22
92,161.6564,987.49,354.4733,3648.03
93,167.0441,682.81,349.8397,4193.15
94,155.8393,920.68,348.4542,4138.78
95,169.4543,921.02,357.2489,4078.22
96,162.5363,884.05,351.8166,4015.39
97,165.1235,665.61,349.9878,4628.59
98,185.3183,1131.23,358.8809,4344.19
99,173.3221,1027.58,356.1869,4305.52
100,162.8546,2580.35,351.3407,3920.03
101,163.8578,836.61,355.664,4593.44
102,156.5094,889.15,347.0354,4566.69
103,166.7252,1569.39,356.5932,4530.27
104,157.5867,985.37,349.4328,4594.29
105,176.7885,913.01,371.8238,4401.35
106,166.5243,1145.5,356.7852,4674.47
107,203.4879,1116.93,363.5543,2930.35
108,179.9623,2298.96,373.2877,4654.45
109,161.7178,1835.76,359.0094,4126.61
110,164.2245,1044.23,350.7651,3806.63
111,168.0873,2174.52,355.3992,4160.34
112,155.1471,766.32,342.9337,3224.4
113,177.8743,1120.17,353.0566,3513.1
114,157.1993,2100.77,351.0806,4141.38
115,199.1619,1028.06,367.5016,2008.83
116,169.1733,1134.0,344.3352,3598.71
117,204.1752,1083.46,370.1603,2431.12
118,182.0843,1455.7,362.2325,2677.63
119,158.2363,2402.11,345.26,4530.05
120,213.6388,919.62,370.759,1334.37
121,157.8174,1053.92,345.2905,3906.26
122,160.6362,2010.63,347.3718,4461.24
123,158.2315,637.66,350.3586,3670.41
124,175.398,1091.69,355.7172,3310.38
125,163.0763,2786.54,351.8378,4230.87
126,191.1262,2781.88,359.8064,3669.06
127,156.4553,850.73,341.1396,4271.42
128,153.9021,1114.69,349.387,3855.22
129,166.9318,1340.97,354.1039,3402.47
130,186.5159,923.18,360.1898,3084.97
131,157.1175,1379.88,341.6584,3919.64
132,217.1111,1295.31,358.5128,3671.83
133,164.0295,2466.29,350.9648,3925.56
134,175.5654,2155.39,349.027,3217.1
135,206.5805,3458.58,357.2321,2839.89
136,159.6552,3855.41,341.8761,4218.26
137,188.1097,3453.61,349.9899,3061.23
138,172.4809,1148.46,350.526,4149.96
139,163.7059,1150.34,354.5463,3787.03
140,170.2777,1037.16,357.3172,3335.8
141,174.3581,1526.44,341.929,3624.38
142,173.2643,1059.27,354.5493,4095.5
143,161.0646,1087.71,348.7173,4392.08
144,152.5788,3682.77,344.6182,4318.53
145,157.9214,2604.53,346.6413,3836.87
146,161.2176,1375.31,349.5659,4055.02
147,178.1049,3300.37,343.2732,4006.42
148,157.7051,1693.75,344.217,3445.96
149,163.717,1647.32,342.7071,3877.92
150,176.3926,2679.22,355.162,2713.19
151,172.0214,1211.14,351.258,4333.07
152,170.4946,1704.56,360.4958,4548.23
153,174.2091,2405.75,347.2558,3616.39
154,224.2797,1477.9,375.3503,2427.87
155,166.5588,2053.75,354.5415,4125.07
156,195.048,1571.53,363.851,2980.22
157,150.6328,2263.74,344.7267,4216.0
158,179.8675,830.37,361.0764,3800.4
159,167.8381,1020.79,362.5471,4491.49
160,159.1857,2057.12,354.0403,4120.62
161,175.4464,1719.21,356.2617,4719.1
162,179.0817,1341.63,351.3118,4355.37
163,175.3192,1610.88,353.4917,4843.67
164,161.1668,3422.7,358.0164,4514.93
165,170.4412,1400.11,352.5901,4716.73
166,154.2584,2178.83,351.0833,4163.18
167,159.2463,2194.13,348.666,4567.32
168,168.2676,2270.71,364.3235,4468.46
169,167.6584,1663.72,358.5387,4362.8
170,161.3228,4592.17,353.6555,4718.98
171,168.7651,3354.43,351.7792,4192.42
172,167.955,2973.98,355.825,4774.13
173,162.8112,3412.42,351.5177,4672.91
174,212.9905,1734.19,364.119,2636.81
175,168.5992,3710.33,344.7574,4237.41
176,169.9337,4027.66,352.8167,4146.2
177,161.0321,3960.56,354.6943,4465.8
178,157.6048,3625.63,351.9295,4631.21
179,159.7609,3338.27,352.0594,4631.5
180,165.4767,3300.17,349.5208,4762.92
181,163.4839,3387.02,352.7023,4767.66
182,158.9083,4268.94,349.6491,4464.41
183,159.5236,1617.87,354.3319,4419.4
184,155.3847,2707.42,349.285,4527.65
185,170.838,2772.23,356.5191,4818.98
186,153.8764,3240.28,347.2709,4713.76
187,156.8323,1923.16,345.7008,4323.52
188,153.7894,3583.4,345.6042,4485.33
189,155.2507,3176.38,344.4468,4490.79
190,163.6487,2901.12,348.3378,4447.99
191,151.4509,2894.21,344.8046,4625.44
192,156.9673,4030.65,347.6478,4828.4
193,162.5616,3111.86,345.3284,4691.85
194,164.1647,3946.48,349.1786,4556.57
195,182.5576,1206.1,354.7245,3744.66
196,156.5347,3759.41,351.4657,4834.15
197,164.0141,1334.29,350.4134,4333.29
198,156.6409,4417.78,348.6903,4819.78
199,146.8454,3003.08,346.038,4695.58
200,158.1488,2671.22,340.7587,4683.04
201,159.8011,4372.96,344.5156,4755.59
202,157.9287,3957.72,347.5534,4365.11
203,165.2452,3160.68,350.0819,4462.97
204,159.8187,3158.08,350.7063,4410.41
205,176.7365,3887.41,359.4631,4548.86
206,169.6541,3637.85,352.56,4536.9
207,167.3058,4495.68,350.9484,4506.03
208,170.1195,2680.63,348.6477,3585.21
209,203.6833,2129.17,368.69,2672.68
210,170.8656,2120.09,353.5685,3492.33
211,169.6909,3032.93,349.1578,3388.89
212,226.3921,2426.29,374.2109,2463.78
213,255.021,1921.93,386.4463,2423.08
214,168.7706,3021.74,346.7522,3474.81
215,183.8508,2391.33,362.7499,3432.91
216,177.2334,3410.42,351.7711,3868.3
217,169.0654,1767.07,345.9026,2998.72
218,162.0421,3831.79,353.1817,4671.02
219,170.2183,1929.59,353.953,2845.91
220,153.8065,3327.75,345.9149,4458.12
221,175.6731,1377.33,351.2191,4188.62
222,165.9909,1778.36,351.0434,3948.18
223,167.8031,3291.4,354.3583,4620.83
224,162.5749,3394.85,346.3394,4645.13
225,158.2207,3373.54,345.2291,4684.59
226,149.829,2771.88,339.5235,3914.2
227,171.3889,4559.68,343.6231,4454.49
228,152.5786,3973.71,344.4535,4688.17
229,154.5643,3082.3,345.5584,4414.59
230,154.367,3483.08,344.8247,3865.24
231,170.9713,4469.97,353.4631,3572.62
232,175.2407,3168.69,351.8777,3685.79
233,231.3838,1524.76,374.2641,3215.37
234,199.076,2190.46,363.1941,3475.78
235,165.0517,3374.55,359.6599,4555.26
236,221.252,2251.7,379.4781,2547.24
237,192.3128,2936.8,368.2158,4208.56
238,193.4521,4517.98,378.7789,4191.21
239,177.513,3482.76,361.8667,3319.01
240,179.792,3654.25,371.2078,3693.65
241,180.0175,3369.26,355.2632,3282.19
242,196.1764,2861.01,368.8776,3281.82
