Reward Loss,Running Update Time,Real Sto Return,Running Env Steps,Running Forward KL,Real Det Return,Itration,Running Reverse KL
584.8629760742188,0,270.28,0,458.7059,326.31,0,260.3156
768.453857421875,1,319.62,5000,449.6089,300.21,1,329.0463
1763.1737060546875,2,413.79,10000,430.0026,416.16,2,268.9497
111.20295715332031,3,421.32,15000,441.1129,492.49,3,300.6261
-69.45085144042969,4,444.46,20000,439.4067,473.89,4,266.1004
198.313232421875,5,444.43,25000,432.364,403.14,5,251.8318
111.29546356201172,6,437.24,30000,434.0835,381.65,6,279.7432
-65.15312194824219,7,422.77,35000,426.8254,414.96,7,295.0573
-1.660466194152832,8,453.29,40000,421.1139,370.58,8,288.7841
-563.2591552734375,9,471.45,45000,428.4939,460.8,9,256.6891
355.29290771484375,10,449.32,50000,420.6885,445.07,10,285.9426
-254.27162170410156,11,532.65,55000,432.0128,456.9,11,272.493
-742.0126342773438,12,445.89,60000,424.6919,425.69,12,265.7205
-648.4521484375,13,510.27,65000,424.6855,436.58,13,249.7468
-1897.6641845703125,14,395.06,70000,427.7369,347.56,14,265.0994
-2817.75048828125,15,451.81,75000,418.9924,363.0,15,237.1188
-2954.624755859375,16,540.89,80000,417.1099,419.45,16,243.1655
