Running Update Time,Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Itration,Real Sto Return,Running Env Steps
0,-46.63,12.0282,433.9519958496094,158.5647,0,-162.6,0
1,202.84,11.663,415.8084411621094,158.3177,1,7.18,5000
2,723.45,12.3159,414.5975036621094,158.2588,2,191.1,10000
3,785.39,12.9369,355.9817199707031,158.0792,3,341.46,15000
4,738.28,13.3726,305.8738708496094,158.0111,4,401.89,20000
5,910.04,13.3095,264.69158935546875,157.8431,5,483.66,25000
6,908.57,13.5595,220.46035766601562,157.9455,6,558.32,30000
7,1022.74,14.6455,179.34811401367188,158.0266,7,724.69,35000
8,1277.46,15.6217,149.65432739257812,158.0578,8,940.8,40000
9,1505.19,15.8881,144.5419464111328,157.8639,9,1046.41,45000
10,1539.1,16.1782,84.42247009277344,157.7923,10,1097.68,50000
11,1579.95,16.1785,60.94544982910156,157.7903,11,1147.0,55000
12,1488.67,16.7561,14.591693878173828,157.8702,12,1164.7,60000
13,1609.46,16.3891,-18.68331527709961,157.6945,13,1216.8,65000
14,1645.21,16.2877,-66.7353286743164,157.9125,14,1243.85,70000
15,1724.67,16.7394,-104.2317123413086,157.6965,15,1304.9,75000
16,1751.25,16.4715,-142.87823486328125,157.6387,16,1311.55,80000
17,1748.02,16.4845,-181.46949768066406,157.665,17,1353.48,85000
18,1735.12,16.2446,-212.95416259765625,157.7223,18,1316.62,90000
19,1790.24,16.5296,-267.308349609375,158.0335,19,1379.86,95000
20,1854.59,16.5807,-313.7696838378906,157.6192,20,1435.8,100000
21,1856.57,16.535,-333.70196533203125,157.7232,21,1447.6,105000
22,1876.89,16.6441,-392.7760009765625,157.8261,22,1461.01,110000
23,1865.45,16.07,-444.8948974609375,157.6104,23,1455.31,115000
24,1966.59,17.0918,-480.7158203125,157.6598,24,1558.38,120000
25,1965.49,16.5575,-529.9916381835938,157.6362,25,1523.21,125000
26,1942.97,16.7264,-563.7899780273438,157.7275,26,1519.63,130000
27,1946.94,16.6608,-623.018310546875,157.7042,27,1539.56,135000
28,1983.83,16.7977,-669.6945190429688,157.6502,28,1576.29,140000
29,1966.55,15.954,-677.9811401367188,157.7306,29,1574.28,145000
30,2024.52,16.9002,-733.8563232421875,157.5048,30,1631.92,150000
31,2010.97,16.6624,-765.6110229492188,157.5109,31,1633.07,155000
32,1981.94,16.9833,-805.79248046875,157.5529,32,1578.92,160000
33,2026.04,16.5751,-846.9013671875,157.4243,33,1639.62,165000
34,1992.15,16.7205,-910.83251953125,157.6998,34,1650.98,170000
35,2055.39,16.5232,-937.9852905273438,157.5423,35,1652.13,175000
36,2027.31,16.3999,-987.92041015625,157.5455,36,1623.54,180000
37,2016.99,16.2845,-1029.551513671875,157.4512,37,1626.92,185000
38,2013.22,16.5099,-1056.0015869140625,157.3092,38,1642.59,190000
39,2011.26,16.22,-1104.3631591796875,157.2548,39,1670.23,195000
40,2053.36,16.4409,-1146.270751953125,157.4487,40,1676.47,200000
41,2043.82,16.7617,-1170.0726318359375,157.4377,41,1683.17,205000
42,1956.21,15.6039,-1209.1744384765625,157.2351,42,1451.02,210000
43,1450.22,14.4023,-1308.759521484375,158.0094,43,967.54,215000
44,-116.2,17.3098,-1368.508544921875,158.2192,44,-194.38,220000
45,-177.62,15.1048,-1538.083251953125,159.0571,45,-164.99,225000
46,-156.76,18.0361,-1492.84521484375,159.6717,46,-164.02,230000
47,-177.56,12.0303,-1389.345458984375,157.5673,47,-18.02,235000
48,-277.91,19.7191,-1582.5260009765625,158.3279,48,-176.65,240000
49,858.77,13.5028,-1564.6927490234375,157.0141,49,676.8,245000
50,1644.09,14.7905,-1564.886474609375,157.259,50,1202.34,250000
51,-48.95,18.0898,-1884.18994140625,160.2962,51,-122.64,255000
52,648.7,15.1588,-1623.0924072265625,157.3911,52,1261.75,260000
53,1882.08,15.2463,-1667.005126953125,157.1969,53,1421.62,265000
54,347.61,15.2107,-1334.17919921875,157.1117,54,123.63,270000
55,1863.45,15.068,-1762.1400146484375,157.1998,55,1393.08,275000
56,1917.21,15.2843,-1771.205078125,157.1828,56,1500.02,280000
57,1964.07,15.421,-1819.1968994140625,156.994,57,1567.14,285000
58,1971.57,15.9404,-1881.5643310546875,157.1554,58,1631.9,290000
59,1947.75,15.8426,-1939.2274169921875,157.3357,59,1635.01,295000
60,1937.95,15.6854,-1975.6524658203125,157.0635,60,1627.67,300000
61,2071.04,16.0567,-1983.9427490234375,156.9558,61,1702.54,305000
62,2035.48,15.8822,-2045.6270751953125,157.0867,62,1698.64,310000
63,2072.84,16.1517,-2085.53515625,157.2614,63,1732.79,315000
64,2053.44,15.841,-2138.3037109375,157.2936,64,1691.87,320000
65,2098.32,16.2021,-2167.262451171875,157.22,65,1712.9,325000
66,2066.0,15.8756,-2209.561767578125,157.0526,66,1706.15,330000
67,2082.14,15.9507,-2245.550048828125,157.0131,67,1702.41,335000
68,2099.65,15.9761,-2304.291259765625,157.2967,68,1723.38,340000
69,2068.48,15.6634,-2343.29736328125,156.9806,69,1715.8,345000
70,2046.38,15.6599,-2390.052490234375,157.2228,70,1680.03,350000
71,2105.31,15.4709,-2403.853271484375,157.0259,71,1717.75,355000
72,2084.87,16.2543,-2461.239501953125,157.2292,72,1724.06,360000
73,2016.64,15.5144,-2516.815185546875,156.8909,73,1712.76,365000
74,2052.3,15.7044,-2573.85302734375,156.9868,74,1721.69,370000
75,2085.7,15.6108,-2608.09326171875,156.9755,75,1755.77,375000
76,2114.05,15.6585,-2635.20849609375,156.963,76,1761.8,380000
77,2123.34,15.5,-2685.159912109375,157.0584,77,1733.42,385000
78,2111.28,15.7549,-2728.808837890625,156.9963,78,1730.97,390000
79,2126.36,15.9938,-2782.7451171875,157.1742,79,1740.34,395000
80,2146.71,15.6192,-2809.142578125,156.8271,80,1763.52,400000
81,2148.02,16.0207,-2857.979248046875,157.0426,81,1766.33,405000
82,2078.35,15.6743,-2896.095947265625,157.0053,82,1752.52,410000
83,2120.67,15.5948,-2943.044921875,157.1211,83,1719.32,415000
84,2131.84,15.4145,-2980.756103515625,156.8664,84,1750.19,420000
85,2146.41,15.6453,-3032.69140625,156.9428,85,1785.32,425000
86,2142.39,15.6732,-3077.6328125,157.0518,86,1751.74,430000
87,2120.62,15.5462,-3138.6484375,157.0807,87,1764.08,435000
88,2187.44,15.967,-3154.7724609375,156.7783,88,1826.15,440000
89,2157.11,15.9309,-3229.505615234375,156.7901,89,1822.3,445000
90,2176.12,15.9403,-3262.962890625,157.0796,90,1773.88,450000
91,2116.09,15.3397,-3311.063720703125,156.8933,91,1748.46,455000
92,2153.4,15.6061,-3351.60986328125,157.0242,92,1800.32,460000
93,2145.19,15.9401,-3413.555419921875,156.8554,93,1804.35,465000
94,2076.0,15.6498,-3465.47314453125,157.1254,94,1781.81,470000
95,2177.26,16.1001,-3499.47705078125,157.3252,95,1802.04,475000
96,2208.08,15.7663,-3537.96435546875,157.0678,96,1802.14,480000
97,2179.68,15.806,-3601.87939453125,157.024,97,1815.52,485000
98,2215.67,15.9245,-3614.35986328125,156.9548,98,1852.59,490000
