Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Itration,Real Det Return,Running Reverse KL
325000,1987.72,-177.71807861328125,28.1943,65,65,3287.1,19.3241
330000,3108.66,-69.13018035888672,27.4733,66,66,3317.16,14.9345
335000,2904.63,-51.13840103149414,27.116,67,67,3255.48,14.43
340000,3286.78,-92.24608612060547,29.0649,68,68,3287.19,16.2078
345000,2792.26,-95.33283233642578,28.4999,69,69,3339.22,17.2243
350000,3013.81,-100.49140167236328,28.4301,70,70,3333.54,15.7552
355000,2997.85,-97.8376235961914,27.5781,71,71,3326.22,15.846
360000,3044.36,-110.81632995605469,26.8443,72,72,3310.5,15.2852
365000,3283.83,-74.21273040771484,26.9323,73,73,3423.83,15.0343
370000,3331.87,-81.43287658691406,27.3893,74,74,3350.4,14.7858
375000,1748.91,-312.0519714355469,27.2557,75,75,3361.53,25.4215
380000,2645.05,-238.8169403076172,27.5336,76,76,3431.45,23.5554
385000,2966.06,-221.62940979003906,28.4223,77,77,3363.19,19.6803
390000,3361.14,-85.90769958496094,28.1846,78,78,3380.4,16.3642
395000,2304.4,-364.5140075683594,28.7655,79,79,3402.6,25.1163
400000,3406.8,-74.34541320800781,26.7312,80,80,3444.52,15.2371
405000,2766.33,-133.13584899902344,26.8802,81,81,3356.0,17.245
410000,3339.37,-113.5741195678711,26.2829,82,82,3363.9,14.921
415000,2945.66,-150.02310180664062,28.8338,83,83,3403.33,22.6652
420000,2147.16,-239.3513946533203,27.926,84,84,3369.33,20.0601
425000,3376.3,-82.11207580566406,28.066,85,85,3401.02,16.2173
430000,3217.51,-80.79886627197266,28.0457,86,86,3335.63,15.7337
435000,2215.92,-176.0441131591797,27.5259,87,87,3396.46,19.4216
440000,2761.21,-179.00949096679688,27.1309,88,88,3432.0,16.0359
445000,3254.06,-91.7119369506836,26.8133,89,89,3423.22,14.3876
450000,2352.0,-216.2162322998047,27.5629,90,90,3440.76,16.1746
455000,3184.92,-101.18162536621094,27.3567,91,91,3388.19,14.6181
460000,2932.64,-101.00495910644531,25.8079,92,92,3447.7,13.2818
465000,3305.62,-82.20755767822266,25.6261,93,93,3409.52,14.0775
470000,3283.03,-86.12162017822266,27.2701,94,94,3394.26,14.7449
475000,3145.68,-85.66915893554688,26.3553,95,95,3435.17,14.2226
480000,2127.43,-157.9812774658203,26.6935,96,96,3390.33,12.7387
485000,3414.2,-95.92503356933594,26.1884,97,97,3453.69,14.1099
490000,2761.28,-168.7795867919922,26.5044,98,98,3420.2,13.9637
495000,3117.79,-130.0274200439453,26.3244,99,99,3407.01,13.7911
500000,3066.49,-184.39132690429688,25.9525,100,100,3450.55,16.3798
505000,2181.87,-233.56106567382812,27.6982,101,101,3419.66,14.5369
510000,2265.43,-295.3349304199219,27.4323,102,102,3427.61,19.0697
515000,2119.2,-201.94163513183594,26.9646,103,103,3427.35,16.6596
520000,3019.36,-250.28512573242188,27.2729,104,104,3409.99,23.1252
525000,2334.25,-280.7239074707031,27.3401,105,105,3356.31,21.2285
530000,3263.54,-141.16233825683594,25.4696,106,106,3459.95,13.8907
535000,3412.28,-127.45940399169922,25.7507,107,107,3464.35,13.6682
540000,3071.8,-169.9592742919922,25.7463,108,108,3477.23,13.8833
545000,2079.33,-399.2053527832031,27.525,109,109,3441.37,28.5923
550000,3208.17,-130.95962524414062,26.6457,110,110,3422.49,14.0525
555000,3333.95,-178.3958740234375,26.6988,111,111,3483.86,16.4313
560000,3146.45,-164.46238708496094,25.934,112,112,3418.21,16.4589
565000,3277.57,-102.79071044921875,26.7424,113,113,3426.95,14.0469
570000,3015.78,-127.04014587402344,25.8447,114,114,3403.6,12.7773
575000,3221.79,-95.11774444580078,26.0305,115,115,3408.2,13.5558
580000,3415.55,-82.51643371582031,24.6767,116,116,3450.19,12.9503
585000,3000.91,-170.10516357421875,25.6713,117,117,3438.42,12.3583
590000,2955.06,-189.03195190429688,25.416,118,118,3468.2,17.4162
595000,1819.14,-384.5528564453125,27.2317,119,119,3437.92,21.2055
600000,2851.09,-301.6606750488281,26.4593,120,120,3432.7,18.7548
605000,2050.54,-341.8971252441406,26.2076,121,121,2974.53,20.6908
610000,2690.16,-221.85728454589844,25.9375,122,122,3391.52,13.4459
615000,3296.04,-127.88134765625,25.6166,123,123,3409.05,13.4347
620000,2323.98,-247.0740966796875,26.9943,124,124,3458.89,12.6302
625000,3251.76,-232.51893615722656,26.0786,125,125,3432.43,13.9864
630000,3117.65,-215.63980102539062,26.8086,126,126,3413.89,13.7046
635000,3064.21,-195.8292999267578,26.2195,127,127,3441.24,14.3633
640000,2637.4,-203.0504608154297,26.5181,128,128,3461.46,14.6112
645000,2367.5,-295.4161071777344,26.7642,129,129,3474.11,29.83
650000,2900.11,-157.90211486816406,25.8425,130,130,3476.4,12.7839
655000,1924.76,-276.8827209472656,26.0724,131,131,3392.25,14.1182
660000,2271.55,-232.3755340576172,26.4647,132,132,3395.49,14.6303
665000,2738.44,-180.3581085205078,26.6037,133,133,3414.23,13.551
670000,3214.97,-132.56735229492188,25.404,134,134,3409.88,13.468
675000,2883.43,-218.20928955078125,26.274,135,135,3461.99,15.0774
680000,2342.88,-231.28665161132812,26.6577,136,136,3430.27,13.4775
685000,2589.43,-239.04949951171875,25.8575,137,137,3430.82,16.5319
690000,2629.48,-273.5295715332031,26.2286,138,138,3447.77,15.9533
695000,2180.88,-234.78347778320312,26.5326,139,139,2928.8,12.1129
700000,1832.61,-299.2371826171875,28.5997,140,140,1162.24,13.2107
705000,3125.72,-220.32321166992188,26.409,141,141,3395.52,13.4034
710000,1485.62,-363.5679931640625,28.7805,142,142,3476.19,21.7887
715000,3180.76,-146.63893127441406,25.9918,143,143,3442.81,13.0945
720000,2302.48,-330.16400146484375,27.4342,144,144,3460.32,12.5913
725000,3326.87,-132.6654510498047,25.0938,145,145,3468.6,12.9931
730000,2758.15,-229.9788055419922,27.0996,146,146,2975.32,13.8135
