Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Itration
304.19,-51.58,24.8425,74.5494,0
496.83,-72.1,25.9414,74.8511,1
590.49,-25.57,27.1635,72.2834,2
763.35,30.61,28.4934,72.9079,3
758.76,87.28,29.2061,73.2732,4
607.0,60.5,29.3203,72.4972,5
632.22,112.64,30.1991,70.5162,6
761.28,205.48,31.3102,69.7979,7
715.97,214.33,31.9079,70.3411,8
844.57,202.75,34.0395,72.315,9
899.48,247.72,32.5514,71.0658,10
713.94,189.05,32.5071,70.8452,11
705.84,350.03,32.0115,69.8088,12
856.78,168.25,32.8542,73.1574,13
701.45,209.19,31.3221,68.4725,14
466.14,269.49,31.5715,70.206,15
763.08,331.45,31.626,68.7622,16
644.26,269.37,31.4181,70.3533,17
843.81,286.21,32.0739,70.5786,18
842.66,244.49,31.5935,68.936,19
892.53,261.12,30.2364,69.4273,20
987.87,295.9,29.224,67.4136,21
921.33,224.89,29.0901,66.7966,22
1086.22,525.44,30.1358,68.1694,23
756.15,360.11,30.2225,68.4217,24
991.55,338.63,31.0959,71.5493,25
1110.13,326.34,28.3548,65.7028,26
1375.54,525.48,29.1092,66.0556,27
985.41,340.68,30.4957,68.9406,28
1139.67,476.37,26.735,62.5356,29
1309.32,705.97,28.3878,64.8477,30
923.63,383.85,28.0462,65.4837,31
1255.62,506.47,26.4501,61.1859,32
1223.36,692.73,27.7368,63.3746,33
1049.37,488.34,27.6724,63.657,34
812.73,475.41,27.2771,64.4761,35
1148.6,527.17,25.2825,60.2766,36
1038.39,678.38,25.3575,60.8301,37
1021.6,520.23,25.352,61.2708,38
982.89,872.72,26.6794,62.8129,39
1269.92,882.79,25.7844,61.2857,40
1526.95,680.34,25.3228,60.9237,41
1640.62,939.18,25.5647,57.7777,42
1752.28,1202.53,25.4914,61.3432,43
1622.02,1158.35,24.4967,60.223,44
1347.12,680.85,23.9976,59.8231,45
1888.04,1073.71,25.7011,55.4493,46
2024.06,1075.2,25.8944,60.1818,47
957.52,674.24,25.073,62.1285,48
1371.71,882.41,24.3197,56.3018,49
2062.26,988.84,24.2138,56.5833,50
1806.71,1290.55,26.0742,57.337,51
997.09,722.47,24.9946,59.7203,52
1112.51,843.61,24.273,58.3305,53
1238.86,705.93,22.9349,55.3039,54
709.21,589.61,24.1698,59.6207,55
2082.17,1398.7,26.9405,60.8574,56
1401.32,903.47,26.057,58.7826,57
1652.5,1039.84,28.9227,61.9081,58
2342.79,1732.66,31.2181,59.7119,59
3423.02,2225.04,38.6699,63.6647,60
2733.69,1995.87,41.3935,64.034,61
3203.9,2154.38,31.9687,60.8487,62
3303.67,2537.37,43.0825,66.8623,63
3498.06,2270.4,39.5815,62.4538,64
3902.73,2258.04,44.4247,63.3438,65
3646.6,3023.77,61.3488,74.7846,66
3952.89,2348.18,43.4333,65.744,67
4256.26,3052.07,48.4868,65.9168,68
3889.03,3070.3,49.0894,67.5218,69
4271.6,3323.98,56.7222,70.8065,70
3631.85,3036.77,57.5551,72.3677,71
3902.06,2723.96,67.2997,77.6505,72
2766.92,1736.45,45.2575,68.196,73
4065.22,2830.22,53.8851,70.8761,74
3869.84,3387.77,60.902,75.1227,75
3811.37,3241.3,59.0263,72.8656,76
3444.26,2358.6,45.5364,67.6681,77
2825.26,2966.38,56.2844,71.5053,78
3190.52,2400.17,58.0121,72.2765,79
4204.89,3000.3,50.1724,68.9009,80
3883.23,3166.77,64.3089,75.1297,81
3734.14,3548.6,60.9454,72.4006,82
2682.68,2444.98,50.1879,69.5169,83
3973.43,3239.28,59.2149,72.8402,84
4388.88,3519.7,62.158,73.2899,85
4401.65,3539.36,63.8395,72.4154,86
4124.37,3441.24,62.4336,72.4672,87
3851.45,3654.85,67.4652,76.7555,88
4176.42,3919.3,78.9342,82.745,89
4334.51,2922.53,69.4176,75.5157,90
2946.35,3199.65,53.8687,69.2086,91
4159.52,3131.76,76.9294,83.1491,92
3868.32,3735.41,61.1748,71.8101,93
4341.42,3742.88,71.262,79.9933,94
4364.94,3587.13,65.4154,75.9332,95
2811.2,2810.76,63.0836,73.5951,96
4616.99,4099.32,71.5313,79.1105,97
4359.62,3925.95,71.7622,79.7566,98
4798.72,3406.49,71.3171,76.8037,99
4557.81,3607.37,68.3156,74.0898,100
3938.2,3927.86,72.4056,77.9909,101
4088.61,2860.18,67.179,72.6239,102
4662.23,3928.6,72.7143,75.0603,103
3975.68,3405.96,67.5075,76.5892,104
4248.52,4202.83,77.5033,82.4215,105
4625.52,4440.5,79.9792,82.9745,106
3852.59,3585.98,71.4526,79.7831,107
4638.24,3906.65,64.5602,73.1662,108
4994.56,4064.82,73.129,76.3986,109
4730.87,4406.32,86.6479,86.9292,110
3841.09,3507.83,79.2291,80.2693,111
