Running Env Steps,Real Sto Return,Real Det Return,Running Update Time,Running Reverse KL,Itration,Reward Loss,Running Forward KL
0,281.89,302.52,0,257.6129,0,-960.96240234375,462.9698
5000,351.76,317.67,1,271.3172,1,-1001.5604248046875,429.5674
10000,320.41,322.24,2,256.0877,2,-1489.652099609375,468.6906
15000,394.0,533.11,3,234.4476,3,-1606.59375,438.105
20000,516.65,486.34,4,237.6428,4,-1795.1920166015625,408.5236
25000,446.76,539.94,5,264.5861,5,-2014.9178466796875,414.2741
30000,409.55,366.94,6,253.6918,6,-1619.902587890625,422.6529
35000,422.12,553.77,7,244.3045,7,-2168.17529296875,429.2039
40000,429.94,499.32,8,255.1512,8,-2275.955810546875,416.8783
45000,485.99,605.78,9,245.6052,9,-2431.65673828125,406.6097
50000,483.76,531.12,10,234.6895,10,-2504.111328125,418.6476
55000,480.59,560.17,11,232.6697,11,-2689.67431640625,407.4204
60000,490.57,558.07,12,242.8862,12,-2829.328125,403.2779
65000,495.79,512.52,13,253.7731,13,-3593.58642578125,406.3605
70000,539.5,529.0,14,258.169,14,-3811.5048828125,402.4662
75000,517.38,541.44,15,243.0919,15,-3434.168212890625,402.3021
80000,504.81,531.96,16,233.5104,16,-3464.247802734375,412.6856
85000,503.76,544.05,17,229.781,17,-3582.3486328125,403.7096
90000,509.06,529.01,18,237.2969,18,-4243.2763671875,399.9551
95000,587.47,513.31,19,237.9768,19,-4023.162841796875,396.765
100000,525.22,543.09,20,234.9541,20,-4379.05712890625,395.7298
105000,538.71,469.19,21,242.0824,21,-4905.263671875,400.9302
110000,532.67,504.32,22,234.8033,22,-5331.83935546875,393.7509
115000,578.05,543.5,23,240.3833,23,-4982.62255859375,388.4231
120000,567.0,484.33,24,229.3994,24,-5376.59375,389.9777
125000,603.91,562.92,25,247.829,25,-5304.9296875,388.3256
130000,585.83,515.14,26,226.1837,26,-5194.578125,397.5616
135000,673.18,594.01,27,239.4416,27,-5562.84326171875,394.6569
140000,627.72,544.88,28,245.6501,28,-5603.7998046875,391.9471
145000,592.25,586.22,29,241.7388,29,-6292.62451171875,397.6501
150000,613.95,612.73,30,240.7752,30,-6399.12353515625,387.4351
155000,603.09,541.75,31,227.9535,31,-6634.94580078125,394.7775
160000,743.34,622.42,32,234.8703,32,-6419.4736328125,386.6754
165000,684.41,606.93,33,230.7291,33,-7257.73583984375,376.1713
170000,691.55,637.51,34,224.0203,34,-7327.634765625,386.8713
175000,792.73,647.2,35,228.715,35,-7407.0595703125,375.1708
180000,750.73,640.34,36,234.9173,36,-8087.05126953125,374.936
185000,812.54,622.87,37,228.2454,37,-7439.56494140625,365.9415
190000,815.28,832.45,38,242.0984,38,-8050.87109375,378.2305
195000,823.55,688.8,39,236.4149,39,-8852.056640625,385.1948
200000,788.82,619.5,40,257.6258,40,-9055.7060546875,391.5654
205000,884.52,730.68,41,235.6376,41,-8745.6103515625,375.9523
210000,820.39,768.67,42,228.871,42,-8633.0810546875,378.872
215000,874.46,808.21,43,231.0736,43,-8827.9189453125,381.7137
220000,795.62,746.61,44,221.5437,44,-8871.517578125,370.5977
225000,955.8,706.78,45,229.3406,45,-9267.11328125,375.9733
230000,820.56,677.85,46,235.9663,46,-10162.0634765625,378.3616
235000,1009.18,681.93,47,222.2331,47,-9634.9853515625,376.5077
240000,1052.55,768.81,48,214.2567,48,-8643.8515625,361.7895
245000,889.5,758.19,49,217.5947,49,-8885.6044921875,365.9252
250000,989.75,716.51,50,218.285,50,-9803.5693359375,368.4694
255000,1244.57,1070.08,51,220.3898,51,-9819.244140625,364.1755
260000,1393.48,1202.12,52,197.3203,52,-9367.0634765625,352.6756
265000,1239.01,896.29,53,210.1968,53,-9879.0859375,362.3523
270000,1324.59,955.09,54,219.9266,54,-10439.67578125,369.0111
275000,1585.55,1047.54,55,209.3097,55,-10128.6455078125,357.2502
280000,1341.48,869.07,56,217.4654,56,-9770.19140625,368.9676
285000,1252.53,1026.51,57,223.9679,57,-10687.033203125,362.5284
290000,1067.06,850.07,58,219.822,58,-10578.5615234375,360.4696
295000,1171.41,853.86,59,222.5778,59,-11040.1591796875,363.3729
300000,1203.34,929.56,60,223.6425,60,-11079.5595703125,358.805
305000,1364.53,1038.24,61,196.5144,61,-9657.7919921875,345.9791
310000,1521.8,868.86,62,206.3783,62,-10717.9462890625,353.209
315000,1861.71,1302.6,63,242.2619,63,-11624.27734375,358.9809
