Real Sto Return,Running Reverse KL,Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Itration,Running Update Time
-194.27,12.1614,-33.27,158.6868,0,-50.096004486083984,0,0
-39.32,12.8823,-23.03,158.7839,5000,-99.10830688476562,1,1
167.55,13.436,67.28,158.6081,10000,-232.3247833251953,2,2
237.55,12.3019,259.3,158.312,15000,-135.2759552001953,3,3
428.93,12.3595,1428.96,157.8505,20000,-184.0524139404297,4,4
457.97,12.6688,1226.03,157.7755,25000,-110.69953155517578,5,5
549.83,13.9858,1015.71,158.191,30000,-75.29527282714844,6,6
1311.92,13.2628,2035.38,157.4595,35000,-261.6510925292969,7,7
1618.17,13.6843,2464.89,157.3506,40000,-373.7362365722656,8,8
2440.19,14.8508,2929.54,156.8581,45000,-551.3992309570312,9,9
3003.59,16.618,3596.22,157.2718,50000,-533.4398193359375,10,10
3321.21,16.9051,3710.26,157.3835,55000,-605.3943481445312,11,11
3440.56,16.2595,3910.5,156.9287,60000,-635.53466796875,12,12
3516.37,17.3954,4135.67,157.1186,65000,-698.1522827148438,13,13
3622.0,16.6811,4189.93,156.9521,70000,-755.7997436523438,14,14
3667.76,15.2951,4250.93,156.6104,75000,-781.9993896484375,15,15
4114.44,16.5249,4710.69,156.4256,80000,-823.8251342773438,16,16
4213.75,16.1598,4698.06,156.3441,85000,-868.4823608398438,17,17
4363.21,15.7366,4861.48,155.8446,90000,-888.25244140625,18,18
4723.82,16.3189,5165.01,155.9906,95000,-898.9134521484375,19,19
4903.27,14.9658,5392.94,155.2311,100000,-876.3976440429688,20,20
5078.58,15.0644,5600.61,154.9631,105000,-950.5005493164062,21,21
5321.52,15.5206,5842.58,155.0454,110000,-966.923095703125,22,22
5523.26,14.7893,6116.48,154.5947,115000,-979.0745849609375,23,23
5605.18,15.3926,5982.56,154.2806,120000,-1035.7706298828125,24,24
5813.46,15.309,6291.73,154.2726,125000,-1047.7030029296875,25,25
5828.16,14.926,6422.7,153.9302,130000,-1078.4061279296875,26,26
6241.62,15.3666,6717.96,153.6958,135000,-1092.53759765625,27,27
6436.44,14.7532,7165.33,152.6628,140000,-1103.41455078125,28,28
6200.54,15.5755,6442.49,153.7686,145000,-1158.6854248046875,29,29
6723.29,15.6079,7364.54,152.2792,150000,-1192.4564208984375,30,30
7045.92,15.8234,7521.28,151.9918,155000,-1195.1839599609375,31,31
6879.76,15.6829,7568.37,152.3665,160000,-1205.828857421875,32,32
7340.38,15.8537,7794.74,150.9294,165000,-1248.7410888671875,33,33
7430.16,16.2011,7969.8,151.3684,170000,-1237.328369140625,34,34
7523.53,15.3693,7999.02,151.0715,175000,-1278.16015625,35,35
7798.9,16.6306,8079.6,151.1389,180000,-1291.453857421875,36,36
7784.07,15.9595,8033.65,150.6295,185000,-1286.2454833984375,37,37
8219.83,16.6762,8893.94,149.9662,190000,-1318.239501953125,38,38
7776.19,15.9521,8153.22,150.4799,195000,-1345.439697265625,39,39
7957.17,16.0694,8193.81,150.137,200000,-1354.8231201171875,40,40
8124.58,16.5383,8749.76,149.5684,205000,-1362.338623046875,41,41
8035.68,16.3517,8230.82,149.9426,210000,-1356.9918212890625,42,42
8573.22,16.6909,9002.49,148.7804,215000,-1373.759521484375,43,43
8254.18,17.3739,8928.13,147.8928,220000,-1422.829345703125,44,44
8724.75,16.5662,9210.74,148.5406,225000,-1456.1767578125,45,45
8577.94,16.1939,9020.57,148.761,230000,-1460.368896484375,46,46
8493.67,16.6575,8881.02,149.3919,235000,-1514.2921142578125,47,47
7980.48,17.576,8184.53,149.3613,240000,-1532.5888671875,48,48
8999.72,15.8036,9640.07,147.7441,245000,-1498.0909423828125,49,49
7911.32,16.7094,9589.24,148.4558,250000,-1538.4761962890625,50,50
8944.55,17.5608,9247.87,148.1951,255000,-1555.3040771484375,51,51
8795.27,17.3712,9482.49,147.5028,260000,-1516.2763671875,52,52
8569.81,17.0359,9240.7,147.6648,265000,-1570.1103515625,53,53
9101.98,17.8916,9654.24,148.7238,270000,-1612.9207763671875,54,54
8828.38,18.2925,9300.36,148.4678,275000,-1614.6197509765625,55,55
7758.38,16.8404,6435.13,147.9896,280000,-1650.8841552734375,56,56
9306.4,18.253,9645.19,147.9485,285000,-1595.6845703125,57,57
8118.08,18.7579,8110.99,149.1033,290000,-1669.34765625,58,58
7653.65,15.8864,9312.56,146.6695,295000,-1653.790283203125,59,59
9602.19,17.5037,10130.66,146.9812,300000,-1661.609375,60,60
9399.18,18.4482,9861.02,148.0761,305000,-1719.41552734375,61,61
9293.34,16.8431,9972.8,145.7941,310000,-1635.3109130859375,62,62
9310.29,17.8606,9764.88,147.1507,315000,-1686.0252685546875,63,63
9272.56,17.5821,10246.79,147.0664,320000,-1745.95361328125,64,64
9509.21,18.6148,9860.54,147.9012,325000,-1717.3612060546875,65,65
9746.32,17.9692,10178.68,146.7443,330000,-1746.2132568359375,66,66
9606.36,16.416,10417.09,146.5765,335000,-1750.79833984375,67,67
9774.17,16.2947,10224.82,146.1975,340000,-1841.7652587890625,68,68
9411.68,19.2926,9752.36,147.4951,345000,-1819.90771484375,69,69
9294.5,17.4525,9945.9,146.346,350000,-1856.0810546875,70,70
10075.87,16.4746,10497.67,145.4505,355000,-1819.9266357421875,71,71
9568.94,18.7739,9704.75,147.413,360000,-1853.7734375,72,72
9962.78,18.0892,10328.17,146.3525,365000,-1810.023193359375,73,73
9943.2,17.2358,10500.94,145.4933,370000,-1908.4837646484375,74,74
10072.74,17.4247,10520.96,145.8524,375000,-1873.4766845703125,75,75
9565.89,16.8592,9832.56,146.366,380000,-1889.28564453125,76,76
