Running Update Time,Running Forward KL,Itration,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps
78,21.4333,78,-1623.564453125,1422.61,1250.76,28.3094,390000
79,20.8815,79,-1441.835205078125,1422.04,3117.13,16.443,395000
80,22.8829,80,-1976.649169921875,1296.1,1031.1,18.225,400000
81,22.3829,81,-1722.2523193359375,1979.23,3193.83,36.2045,405000
82,23.1249,82,-1984.2955322265625,1606.71,3046.07,23.5263,410000
83,22.9736,83,-2023.109375,1696.09,1086.87,23.6246,415000
84,22.3593,84,-2174.07861328125,1473.11,1226.99,24.039,420000
85,22.1728,85,-2086.6982421875,1469.11,1268.56,24.1178,425000
86,22.8377,86,-2281.9677734375,1214.36,2251.93,25.8842,430000
87,23.8843,87,-2237.715087890625,1463.36,1328.08,19.8584,435000
88,22.3673,88,-1895.10400390625,1579.52,3103.13,15.9417,440000
89,22.6488,89,-2417.4521484375,1478.35,1427.47,39.5565,445000
90,22.1938,90,-2067.428955078125,754.96,14.53,29.5746,450000
91,23.6098,91,-2828.48876953125,1093.64,1284.67,34.363,455000
92,21.9811,92,-2109.658447265625,1503.32,3099.9,15.242,460000
93,22.9831,93,-2466.05419921875,1676.76,1288.64,21.6586,465000
94,22.2822,94,-2302.033935546875,1664.0,3291.65,22.5509,470000
95,22.7887,95,-2446.64990234375,1651.0,1226.67,22.5278,475000
96,24.1725,96,-2597.10009765625,1474.59,1115.99,16.2923,480000
97,23.576,97,-2804.625244140625,1171.63,1235.02,21.6304,485000
98,22.0903,98,-1793.3955078125,187.84,8.5,14.0559,490000
99,22.655,99,-2644.384521484375,1546.25,3252.17,28.9402,495000
100,25.6337,100,-3175.303466796875,1117.36,1251.3,28.7768,500000
101,22.6935,101,-2390.203857421875,1349.86,1352.61,18.2905,505000
102,23.6168,102,-2903.695556640625,1447.28,3166.81,20.8984,510000
103,22.1277,103,-2220.37890625,900.28,419.14,30.7778,515000
104,21.329,104,-1825.7884521484375,1481.12,1903.22,11.0841,520000
105,19.8586,105,-981.4164428710938,2346.16,3242.81,13.1878,525000
106,23.1347,106,-2672.994384765625,1613.03,3045.56,41.8452,530000
107,20.7904,107,-1297.2060546875,2619.11,3276.34,17.7076,535000
108,22.3016,108,-2379.080322265625,1911.87,3215.29,13.9748,540000
109,20.8017,109,-1459.16162109375,2494.08,3308.9,10.4155,545000
110,21.0173,110,-2163.239501953125,1431.5,1080.4,22.4965,550000
111,23.8719,111,-3826.8125,329.62,25.37,78.1971,555000
112,20.3722,112,-1338.639404296875,1282.3,3181.76,9.9371,560000
113,21.7646,113,-1988.990234375,2037.57,1787.88,38.3125,565000
114,22.1877,114,-2050.0625,1716.69,2055.95,16.7612,570000
115,23.6301,115,-3731.298828125,1365.83,1638.14,49.843,575000
116,21.1109,116,-2293.310302734375,1781.34,3302.74,17.0713,580000
117,20.2524,117,-1617.9420166015625,2446.45,3284.34,26.2475,585000
118,24.2037,118,-3867.19580078125,1751.5,2483.23,50.2978,590000
119,22.5863,119,-2932.267578125,1499.58,2086.04,18.3222,595000
120,22.0664,120,-2551.01171875,1919.65,2140.34,20.0424,600000
121,23.9471,121,-3194.51220703125,1969.13,2210.25,17.8775,605000
122,24.0202,122,-3680.70849609375,2091.49,1190.59,45.61,610000
123,22.2469,123,-3120.99365234375,1116.97,1056.17,15.5464,615000
124,22.5917,124,-2800.052734375,1601.87,3432.2,24.1729,620000
125,22.4356,125,-2674.0859375,1495.29,1204.92,24.1611,625000
126,20.9594,126,-2491.962890625,2294.63,3342.36,23.1517,630000
127,21.3639,127,-2214.878662109375,2213.29,2712.34,26.5647,635000
128,22.3488,128,-3572.978759765625,1813.71,1332.82,45.1459,640000
129,22.7519,129,-4021.160888671875,1851.4,1177.4,37.4013,645000
130,22.993,130,-3457.8935546875,1687.45,1159.11,25.5898,650000
131,23.8293,131,-3716.997802734375,1290.63,1147.04,35.847,655000
132,23.0545,132,-3368.533203125,1534.94,992.02,35.7812,660000
133,22.5357,133,-3623.431396484375,985.28,620.58,21.5813,665000
134,23.0768,134,-4509.7392578125,1291.55,875.94,35.9594,670000
135,23.2258,135,-3214.950927734375,1353.88,2175.06,15.2732,675000
136,22.3156,136,-3575.770751953125,1430.33,1178.57,18.7051,680000
137,23.556,137,-4257.009765625,1351.29,3420.14,24.7772,685000
138,26.6941,138,-4724.60107421875,841.67,974.61,53.9885,690000
139,20.8514,139,-2968.58544921875,1602.77,3380.45,17.0298,695000
140,25.9392,140,-4894.556640625,1148.23,664.33,20.7685,700000
141,22.0145,141,-3644.00439453125,2176.52,72.47,43.4526,705000
142,23.212,142,-3863.426513671875,1762.86,973.48,22.3907,710000
143,24.5133,143,-4557.01806640625,1482.26,2102.43,18.1866,715000
144,23.7548,144,-3891.646240234375,684.44,13.35,19.5292,720000
145,21.7703,145,-3520.261474609375,1723.84,1599.19,15.4761,725000
146,23.8972,146,-4533.2646484375,1529.49,1953.85,46.7861,730000
147,23.8374,147,-4097.3330078125,1405.8,1624.23,31.9574,735000
148,22.7697,148,-3576.84716796875,1685.61,1685.87,17.5861,740000
149,20.3084,149,-2098.258056640625,1741.57,1803.5,31.1915,745000
150,22.1547,150,-4326.28271484375,1649.44,1605.59,51.3387,750000
151,22.9199,151,-4575.80615234375,1477.16,1459.42,48.2091,755000
152,21.9942,152,-4715.99755859375,1464.13,2969.61,34.9238,760000
153,22.8449,153,-3589.957275390625,1819.58,3065.45,44.0395,765000
154,23.0596,154,-4164.099609375,1711.7,2212.56,16.9059,770000
155,21.4762,155,-3218.4208984375,1691.32,1677.97,16.3644,775000
156,23.3833,156,-4039.15380859375,1211.94,1094.3,15.3499,780000
157,23.7387,157,-4229.11669921875,1298.54,1115.48,27.1897,785000
158,22.0724,158,-3878.23974609375,2353.32,3166.36,21.6239,790000
159,21.011,159,-2327.6064453125,1857.7,2810.32,15.8216,795000
160,22.3255,160,-3136.904541015625,1423.28,1459.9,13.4295,800000
161,20.157,161,-1558.5269775390625,2628.66,2972.95,16.9933,805000
162,21.0749,162,-2301.533447265625,2213.93,3444.21,20.0716,810000
163,22.4443,163,-3113.32373046875,2045.11,3505.39,11.7983,815000
164,23.2738,164,-4062.652587890625,1585.95,3587.23,18.9354,820000
165,22.0858,165,-3775.029296875,1469.52,2622.94,26.2973,825000
166,23.4013,166,-4760.7197265625,1298.53,2906.57,18.4469,830000
167,21.499,167,-2416.42431640625,2816.55,2253.01,11.4232,835000
168,24.7014,168,-5742.728515625,1865.91,3053.03,33.5363,840000
169,22.9103,169,-4889.95751953125,1697.26,1731.63,29.4003,845000
170,21.3847,170,-3463.72021484375,1975.31,3510.02,19.4337,850000
171,20.4565,171,-1753.6397705078125,1214.39,2225.4,15.9245,855000
172,22.2647,172,-4515.2412109375,1389.21,3470.67,27.9648,860000
173,26.9138,173,-7472.2021484375,918.31,900.67,62.2997,865000
174,21.3475,174,-2803.432861328125,1808.23,3344.94,19.7422,870000
175,22.4668,175,-3192.255615234375,1284.68,3268.0,12.6202,875000
176,22.1055,176,-3324.189453125,1095.95,14.08,21.2845,880000
177,23.5973,177,-4642.83203125,1997.55,1228.78,19.7398,885000
178,25.3018,178,-4196.18603515625,1667.18,1895.39,16.9399,890000
179,23.076,179,-5510.58935546875,1714.42,2280.91,34.7796,895000
180,22.5118,180,-3670.23291015625,1598.02,1152.71,14.6465,900000
181,25.5506,181,-7536.3203125,944.03,1029.63,38.1521,905000
182,21.3775,182,-3339.041748046875,2271.46,3569.44,20.5673,910000
183,22.7373,183,-5740.99462890625,1452.27,1182.31,23.5919,915000
184,22.0144,184,-4983.06640625,1406.22,2238.81,21.579,920000
185,23.454,185,-5211.0859375,1805.51,1684.89,25.4284,925000
186,22.9225,186,-4874.32177734375,1717.24,3064.57,25.7796,930000
187,23.1068,187,-4814.33935546875,1707.01,2098.97,17.9646,935000
188,24.2718,188,-5974.10595703125,1391.57,1511.36,35.543,940000
189,22.7533,189,-5100.40673828125,1410.14,1015.15,14.5048,945000
190,21.6011,190,-3139.735595703125,2200.64,3482.63,30.2048,950000
191,24.3051,191,-5357.81396484375,1443.04,1717.72,25.4055,955000
192,23.8762,192,-5711.64453125,520.52,1942.9,16.3123,960000
193,24.997,193,-6524.4189453125,1001.44,2296.63,26.4833,965000
194,25.263,194,-6299.3671875,1713.9,1859.36,28.9396,970000
195,26.6905,195,-5961.0107421875,1567.97,1645.22,35.5609,975000
196,21.3948,196,-2909.992431640625,2131.81,1314.54,12.0053,980000
197,22.9546,197,-5629.892578125,807.17,1578.58,30.5796,985000
198,24.014,198,-5093.05517578125,1442.96,1714.23,15.1797,990000
199,23.3288,199,-5420.4228515625,1496.12,1210.48,24.1424,995000
