Real Sto Return,Real Det Return,Running Forward KL,Itration,Running Reverse KL
317.85,267.13,50.38,0,14.5623
366.55,247.93,49.761,1,13.6239
365.28,304.35,49.297,2,14.7052
388.07,393.49,48.8399,3,13.7432
490.47,418.28,49.8203,4,12.424
471.55,525.86,49.0059,5,15.1477
507.57,530.24,49.4669,6,15.206
521.34,532.39,48.7104,7,39.7964
657.83,668.19,48.1598,8,14.8561
588.63,631.93,47.3985,9,15.943
693.14,759.19,47.4926,10,14.3673
760.03,727.53,47.0424,11,15.4116
871.0,850.67,46.8979,12,17.9055
1028.1,1995.99,47.431,13,19.7102
843.37,1007.08,47.7949,14,34.2358
1078.91,1074.03,47.0422,15,30.298
1020.4,778.28,47.9027,16,41.0099
914.14,987.07,46.9265,17,34.3194
1305.8,1608.32,46.5699,18,24.468
848.22,762.48,47.1996,19,38.3012
2380.28,3106.83,45.5628,20,21.2886
1213.23,1361.62,47.0802,21,19.9759
1683.43,1698.22,45.428,22,18.4001
1253.1,1533.55,46.0236,23,16.0841
2115.97,2742.78,44.9008,24,14.8533
2596.51,3177.1,45.6179,25,14.3515
2333.49,2737.97,45.6351,26,14.3608
2701.74,3159.53,45.6196,27,17.5241
2182.69,2319.81,45.6447,28,15.8473
3093.89,3137.51,45.7194,29,17.2489
2770.18,2111.74,45.0251,30,16.1717
3144.71,3028.63,45.168,31,18.2273
2380.63,2892.52,45.8133,32,17.1088
3603.99,3032.23,45.6611,33,19.2598
1838.94,2753.91,45.9418,34,15.0072
3397.34,3636.99,46.8984,35,21.0101
3499.26,3716.88,45.1194,36,17.712
3641.75,3409.13,45.6428,37,17.8157
3351.98,3446.14,45.0227,38,18.2284
3699.58,3851.23,45.6787,39,18.5296
3957.11,3976.54,45.4636,40,20.8316
3303.96,3141.86,45.317,41,21.5916
3041.27,2752.3,45.4568,42,16.0009
2468.42,2089.37,45.6095,43,15.8667
3407.42,3601.84,45.102,44,18.2083
3918.4,4026.91,45.6334,45,21.1678
3685.84,4164.39,45.2445,46,18.4087
3586.68,4136.1,45.5007,47,20.2675
3637.95,4016.43,45.6674,48,18.8097
3624.89,3801.47,44.9362,49,18.4202
3711.74,3959.29,44.7444,50,20.035
4013.25,3983.67,45.6127,51,19.2621
3946.15,4188.63,45.9272,52,18.9578
2862.12,3568.17,45.5612,53,20.0752
3932.85,3961.19,45.4364,54,19.3859
4057.22,3951.91,45.0294,55,18.4504
3642.89,4190.48,45.3656,56,20.3443
3894.57,4060.27,44.9555,57,20.4689
4187.05,4142.19,45.4473,58,19.7863
4072.97,4175.06,45.6492,59,20.3268
3974.46,4274.15,45.4267,60,18.7564
3936.06,4054.01,45.5286,61,19.6025
3507.01,4159.88,45.4334,62,17.5413
3917.07,3934.22,45.2984,63,18.6498
3822.22,4227.6,44.762,64,19.4659
3953.72,3814.59,45.397,65,20.7513
3783.16,4220.6,45.354,66,20.2657
4003.81,4156.48,44.8392,67,19.4413
3862.03,3998.63,45.7181,68,19.829
4011.06,4122.37,45.8736,69,19.7363
4212.84,4284.93,46.301,70,19.759
4129.67,4270.38,46.4946,71,21.3784
4067.58,4090.44,45.6678,72,20.5667
4076.82,4276.99,46.3828,73,21.3294
4056.28,3950.52,45.1659,74,19.9082
4149.09,4429.1,45.3467,75,19.1715
4072.66,4274.41,45.3347,76,18.5676
4074.5,4273.19,46.0542,77,19.7119
4281.05,4289.8,46.5647,78,22.3088
3980.97,4036.84,44.7877,79,19.4395
4128.94,4167.38,45.4948,80,20.1411
4136.46,4128.93,45.6939,81,21.2294
4012.25,4256.27,45.399,82,19.161
4189.32,4363.11,45.4623,83,18.9432
3039.7,3965.21,45.054,84,16.8321
3361.39,4471.67,44.978,85,20.2969
3992.59,4259.58,44.7051,86,20.2838
4084.42,4434.24,44.8703,87,20.7894
4268.69,4290.97,45.6327,88,19.8857
4005.61,4241.15,45.0218,89,18.9931
3878.56,4216.75,45.0298,90,20.2758
4228.66,4257.35,45.5504,91,21.5653
4198.79,4326.73,45.6189,92,20.8956
3985.63,4071.06,45.4684,93,19.1711
3919.88,4121.7,44.7903,94,19.341
4148.77,4356.63,45.145,95,20.148
4303.05,4286.75,45.4211,96,20.9707
4149.73,4253.46,45.6875,97,21.1706
4125.66,3824.95,45.4933,98,19.1174
4134.1,4301.49,45.2086,99,19.7012
4020.26,4306.27,45.2286,100,19.6598
3967.72,4340.44,44.9376,101,20.4721
3962.63,4450.13,45.7791,102,21.3563
4249.87,4408.28,45.5735,103,21.9248
4343.54,4401.0,45.66,104,21.7728
4143.0,4376.84,45.7542,105,21.9559
4180.03,3792.74,44.9959,106,18.7909
3811.49,3061.92,45.3629,107,20.6037
3666.69,3733.27,45.2647,108,20.0806
3957.66,4158.94,44.9978,109,18.4572
4071.77,4445.28,45.5448,110,20.8742
4366.46,4435.64,44.3353,111,18.763
3253.39,3830.69,45.6081,112,20.513
3934.26,4525.9,45.793,113,18.1541
3937.39,4597.88,45.5487,114,20.612
4372.19,4447.33,44.9319,115,18.9088
3864.74,4415.95,45.4548,116,20.5929
4242.48,4255.17,44.6258,117,19.2186
4306.87,4365.68,45.0813,118,19.7102
4195.29,4415.28,45.3425,119,20.134
4068.32,4189.71,45.0415,120,20.1605
4051.68,4331.45,44.8348,121,19.4387
4212.71,4341.02,44.9369,122,20.41
4087.78,4282.92,45.5933,123,19.7749
4245.42,4430.35,44.6487,124,19.8168
4091.27,4218.72,44.5731,125,17.5008
4373.97,4465.35,45.3877,126,19.8747
4310.16,4571.65,45.2236,127,20.3336
2907.69,4426.68,45.8834,128,17.1915
4391.79,4503.67,45.7743,129,21.7034
4193.01,3868.33,45.0797,130,21.5288
3981.45,4279.34,45.7355,131,19.1842
4010.64,4357.04,44.4641,132,18.3367
4125.52,4194.63,44.6245,133,18.8823
3593.48,3995.13,44.5896,134,17.9141
4353.4,4502.83,45.0139,135,19.2121
4146.63,4445.26,44.6207,136,17.6018
4228.91,4332.18,45.0066,137,19.5921
4326.99,4491.6,45.4341,138,20.584
4381.25,4127.11,44.94,139,20.1031
4132.2,4187.93,45.2594,140,19.7578
4186.08,4080.43,44.6828,141,18.9569
4269.3,4133.82,44.7113,142,19.3045
