Running Reverse KL,Running Update Time,Itration,Real Det Return,Real Sto Return,Running Forward KL,Running Env Steps,Reward Loss
12.0177,47,47,3190.25,3156.54,20.958,235000,-58.36302947998047
10.8403,48,48,3061.25,2885.75,20.7129,240000,-38.7712287902832
10.1058,49,49,3077.66,3080.08,20.1197,245000,-78.36311340332031
10.1763,50,50,3209.09,3211.15,19.6034,250000,-46.25885009765625
13.2094,51,51,1668.65,2638.19,20.1636,255000,-97.02125549316406
8.8717,52,52,3055.61,3044.63,19.6661,260000,-73.5052490234375
13.3425,53,53,3100.77,2612.47,20.5066,265000,-73.44340515136719
10.5875,54,54,3173.91,3062.1,19.9013,270000,-52.158145904541016
16.5674,55,55,3161.37,2625.45,19.3701,275000,-101.11991882324219
11.1661,56,56,3189.76,3089.5,19.917,280000,-54.238929748535156
12.3221,57,57,1989.6,1377.28,18.1829,285000,-87.64311218261719
10.4469,58,58,3259.34,2975.63,18.7785,290000,-79.2413558959961
8.3327,59,59,3326.26,3270.91,17.0633,295000,-52.48977279663086
8.8582,60,60,3274.98,3253.31,17.9619,300000,-55.35848617553711
9.4809,61,61,3273.37,2925.1,18.4559,305000,-67.74325561523438
9.5643,62,62,3302.27,3225.84,17.979,310000,-60.638397216796875
8.5026,63,63,3279.0,2892.49,17.3339,315000,-46.788856506347656
9.5607,64,64,3307.91,3292.88,17.6866,320000,-54.54155731201172
9.6059,65,65,3252.38,3252.79,17.3599,325000,-59.242919921875
11.4605,66,66,3298.25,3069.03,18.2035,330000,-70.1475601196289
8.7987,67,67,3355.9,3208.21,16.8164,335000,-42.325347900390625
9.4759,68,68,3343.64,3343.98,16.6488,340000,-43.07782745361328
10.2345,69,69,3191.39,2467.64,18.6845,345000,-75.3187255859375
181.0733,70,70,269.56,423.83,30.1161,350000,-262.36181640625
10.7515,71,71,3303.61,3257.43,18.5857,355000,-68.72142791748047
8.9446,72,72,3265.82,3158.38,16.9878,360000,-60.14086151123047
10.3468,73,73,3287.17,3267.22,17.8127,365000,-58.36093521118164
11.3472,74,74,3295.92,3311.64,18.3873,370000,-72.13410949707031
10.4143,75,75,3325.31,3325.79,17.6017,375000,-60.68019485473633
10.8993,76,76,3285.19,3298.64,18.4468,380000,-68.2039566040039
10.1849,77,77,3344.21,3357.77,16.6783,385000,-45.74555206298828
11.2945,78,78,3303.28,3161.07,18.6806,390000,-73.9265365600586
10.8292,79,79,3390.8,3374.58,16.9704,395000,-52.64408874511719
9.6958,80,80,287.37,2377.04,17.6137,400000,-74.28878784179688
12.1707,81,81,3332.98,2114.66,17.3455,405000,-92.46080780029297
10.5393,82,82,1895.06,2639.06,21.1714,410000,-129.8994140625
11.7772,83,83,2987.31,3016.25,21.5161,415000,-130.68186950683594
11.1728,84,84,3355.33,3315.27,18.8047,420000,-72.92537689208984
10.5736,85,85,3287.33,3267.95,18.8358,425000,-102.64973449707031
9.104,86,86,3335.05,3207.53,16.601,430000,-64.24683380126953
10.5212,87,87,3386.03,3260.29,17.8735,435000,-73.60379028320312
11.4743,88,88,3404.02,3138.84,18.4909,440000,-82.52350616455078
10.0337,89,89,3385.8,3359.68,17.0145,445000,-62.28147506713867
11.9951,90,90,3325.8,3190.19,17.8765,450000,-85.26866149902344
11.068,91,91,3344.09,3198.12,19.1825,455000,-85.29710388183594
10.9453,92,92,3395.94,3250.98,17.3351,460000,-106.51220703125
39.0222,93,93,3326.84,2155.18,18.238,465000,-192.56707763671875
11.4383,94,94,3403.2,3369.29,17.0381,470000,-74.38397216796875
17.3196,95,95,3369.82,2534.01,17.6143,475000,-162.86962890625
10.8595,96,96,3395.69,3000.08,18.8724,480000,-80.12419891357422
24.6164,97,97,3365.63,2102.62,19.309,485000,-153.46627807617188
10.2868,98,98,3354.39,3310.14,17.9153,490000,-86.9354476928711
