Real Det Return,Itration,Running Env Steps,Reward Loss,Running Update Time,Running Forward KL,Running Reverse KL,Real Sto Return
297.39,0,0,80.59516906738281,0,75.2457,24.6112,-101.92
587.35,1,5000,64.35607147216797,1,74.7148,26.9851,-94.46
368.82,2,10000,46.37785720825195,2,72.8646,26.6138,-51.3
613.89,3,15000,35.23490524291992,3,74.9816,29.3822,14.63
649.12,4,20000,19.081642150878906,4,73.6219,28.6714,-1.62
694.86,5,25000,1.4131181240081787,5,73.6233,29.4342,43.89
681.65,6,30000,-7.8216118812561035,6,73.8537,31.1814,66.18
686.09,7,35000,-28.583471298217773,7,73.7001,31.8431,109.85
717.21,8,40000,-41.91624450683594,8,73.1458,31.3674,86.04
653.98,9,45000,-54.676307678222656,9,72.3308,31.2913,139.05
807.92,10,50000,-71.01439666748047,10,71.3574,31.1159,134.35
811.78,11,55000,-95.83534240722656,11,73.0602,34.3757,175.76
747.93,12,60000,-103.48172760009766,12,70.7144,31.5292,172.78
637.64,13,65000,-109.62989807128906,13,71.8466,31.7279,135.91
858.24,14,70000,-135.72886657714844,14,72.5484,32.79,170.69
827.11,15,75000,-141.84033203125,15,73.5452,32.4626,114.84
495.34,16,80000,-152.04652404785156,16,74.8466,33.475,107.93
74.59,17,85000,-166.87399291992188,17,75.1333,33.707,-63.17
-58.71,18,90000,-171.7484893798828,18,76.2537,39.3416,-313.56
-757.68,19,95000,-211.97860717773438,19,80.4123,65.2673,-553.69
-510.35,20,100000,-207.92440795898438,20,74.8425,34.4284,-491.23
-130.62,21,105000,-218.31375122070312,21,76.657,30.4087,-210.82
-339.68,22,110000,-234.04896545410156,22,76.1424,38.3523,-419.9
-580.91,23,115000,-241.13079833984375,23,76.33,31.6927,-670.64
-303.34,24,120000,-272.72613525390625,24,78.0784,46.24,-176.47
-464.69,25,125000,-282.5938415527344,25,76.1892,35.8995,-366.2
-143.5,26,130000,-279.8197326660156,26,77.6739,32.5698,-124.29
-431.04,27,135000,-318.9992370605469,27,78.2789,37.6803,-343.05
-650.53,28,140000,-307.7297668457031,28,77.2011,35.8967,-689.78
-923.04,29,145000,-332.3193664550781,29,80.9599,44.8121,-714.46
-539.18,30,150000,-338.8601379394531,30,78.1953,32.3257,-566.66
-605.56,31,155000,-336.63470458984375,31,75.5805,32.2189,-548.9
-610.84,32,160000,-344.74774169921875,32,74.6031,26.9336,-575.37
-627.89,33,165000,-367.1044006347656,33,74.74,27.4592,-504.87
-1062.66,34,170000,-469.5323486328125,34,82.277,70.5138,-1043.44
-354.88,35,175000,-411.0289306640625,35,75.0544,31.9923,-679.55
-937.77,36,180000,-484.0040283203125,36,78.3777,92.2759,-704.28
-1115.71,37,185000,-474.1649169921875,37,77.6073,54.3703,-989.57
-834.05,38,190000,-463.31256103515625,38,74.9717,34.7421,-983.67
-566.71,39,195000,-493.8635559082031,39,77.7331,40.5754,-483.76
-476.14,40,200000,-484.5102844238281,40,75.3089,30.9003,-968.63
-742.5,41,205000,-516.3633422851562,41,75.9843,35.7042,-589.78
