Itration,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return
0,191.43170166015625,-30.3,0,0,11.5378,158.4781,-217.28
1,-59.41339874267578,93.8,1,5000,11.7987,158.1981,-60.46
2,-294.2456970214844,426.61,2,10000,12.3151,158.0813,217.59
3,-467.24420166015625,1216.3,3,15000,11.737,157.9498,109.7
4,-737.0516357421875,738.52,4,20000,12.18,157.9908,278.67
5,-1014.176513671875,712.31,5,25000,12.0841,157.7469,320.76
6,-1194.847412109375,1139.87,6,30000,12.8683,157.7086,552.38
7,-1410.8056640625,1535.88,7,35000,13.3615,157.637,901.37
8,-1643.33740234375,2390.63,8,40000,13.0371,157.2354,1444.28
9,-1933.674560546875,3083.39,9,45000,15.4548,157.3278,2264.19
10,-2264.98046875,3432.57,10,50000,16.0298,156.8305,2486.28
11,-2334.62109375,3598.35,11,55000,16.5935,156.5756,3099.63
12,-2539.274658203125,3718.25,12,60000,15.7066,156.5584,3103.4
13,-2655.189453125,4038.52,13,65000,15.9783,156.7051,3550.56
14,-2858.28369140625,4087.19,14,70000,16.3796,156.6494,3618.69
15,-2978.4609375,4380.18,15,75000,16.4876,156.4041,3967.02
16,-3160.470947265625,4660.49,16,80000,16.5475,156.5019,3963.12
17,-3410.80517578125,4757.41,17,85000,17.2941,156.3416,4305.25
18,-3405.859619140625,4964.27,18,90000,15.8076,155.6581,4588.44
19,-3579.290283203125,5265.95,19,95000,16.1711,156.0458,4757.34
20,-3742.6474609375,5531.21,20,100000,16.4843,155.6396,5169.62
21,-3872.137451171875,5710.2,21,105000,16.082,155.1857,5302.82
22,-4075.3095703125,5904.43,22,110000,14.7692,154.6466,5144.15
23,-4177.2734375,6127.13,23,115000,16.5875,154.5435,5578.42
24,-4212.927734375,6134.84,24,120000,16.3387,154.7453,5620.27
25,-4387.25927734375,6652.83,25,125000,17.5979,154.4525,6050.52
26,-4503.32763671875,6365.89,26,130000,16.9809,154.4313,5959.45
27,-4691.912109375,6189.26,27,135000,17.9561,154.4644,5774.28
28,-4756.9755859375,6701.14,28,140000,17.99,154.6276,6286.83
29,-4864.6708984375,6566.26,29,145000,16.5198,154.2661,6252.12
30,-4870.50341796875,7292.8,30,150000,17.4872,154.3154,6752.04
31,-5102.0234375,7404.22,31,155000,17.478,153.7326,6929.38
32,-5165.46923828125,7438.93,32,160000,17.4584,153.7137,7034.91
33,-5233.49951171875,7255.08,33,165000,17.3989,153.6458,6905.28
34,-5193.763671875,7782.2,34,170000,17.0797,152.9497,7152.16
35,-5332.552734375,7919.25,35,175000,18.0919,152.5946,7488.65
36,-5442.57373046875,8300.38,36,180000,18.797,152.4327,7765.68
37,-5314.83251953125,8463.55,37,185000,18.3849,152.1278,7746.55
38,-5422.4169921875,8385.1,38,190000,18.3724,152.5944,7809.18
39,-5400.7041015625,8578.89,39,195000,18.1246,152.3066,7777.52
40,-5485.9306640625,8890.85,40,200000,18.024,151.2164,7920.19
41,-5754.56591796875,8467.58,41,205000,18.669,151.9372,7994.3
42,-5776.1396484375,8860.41,42,210000,16.8169,151.6589,8032.6
43,-5591.46484375,9033.11,43,215000,18.7146,151.1536,8309.45
44,-5825.39697265625,8742.94,44,220000,20.8324,152.2458,8392.03
45,-5766.9775390625,9212.9,45,225000,19.2155,151.4005,8538.1
46,-5854.65283203125,9470.1,46,230000,18.371,150.2966,8794.78
47,-5957.412109375,9238.35,47,235000,18.5754,151.2278,8571.54
48,-5845.23681640625,9589.78,48,240000,19.9302,150.2086,8907.47
49,-6061.890625,9281.48,49,245000,19.9522,150.815,8735.6
50,-6102.14892578125,9117.64,50,250000,21.6017,150.5585,8837.8
51,-6197.591796875,8908.68,51,255000,20.9576,150.701,8734.52
52,-6383.1826171875,9755.52,52,260000,18.6106,150.5864,8699.39
53,-6276.83544921875,9517.03,53,265000,18.8934,150.7247,8937.2
54,-6306.0400390625,9717.12,54,270000,20.7903,149.8386,9315.25
55,-6311.09326171875,9680.18,55,275000,21.5757,149.296,9412.09
56,-6339.69091796875,9890.67,56,280000,19.7202,149.0833,9372.26
57,-6515.4150390625,9529.44,57,285000,18.7788,149.4814,8749.71
58,-6383.697265625,9597.33,58,290000,22.0191,149.1355,9458.86
59,-6426.916015625,10009.85,59,295000,19.8176,149.1409,9506.63
60,-6564.60791015625,9709.88,60,300000,19.4241,148.99,9280.4
61,-6584.16259765625,10193.02,61,305000,21.7181,149.432,9728.58
62,-6589.63623046875,10060.82,62,310000,20.501,148.7198,9564.13
63,-7128.08837890625,9927.25,63,315000,18.0696,148.5031,9300.36
64,-6888.19287109375,10261.11,64,320000,20.6691,148.7461,9758.23
65,-7098.3212890625,9680.71,65,325000,20.9776,149.0361,9464.87
66,-7187.330078125,9474.5,66,330000,18.4005,148.0308,9026.19
67,-7269.62939453125,10140.84,67,335000,18.962,148.2509,9552.72
68,-7381.6748046875,9890.71,68,340000,20.6547,149.1974,9554.61
69,-7388.65771484375,10270.04,69,345000,20.2599,148.5052,9810.42
70,-7287.31396484375,10433.76,70,350000,19.7616,147.8459,9938.38
71,-7506.1416015625,10252.96,71,355000,20.1306,148.4422,9773.03
72,-7511.9677734375,10379.5,72,360000,20.7136,147.9304,9895.21
73,-7538.9228515625,10394.52,73,365000,21.3591,147.5506,9982.63
74,-7790.74365234375,10508.95,74,370000,20.5272,147.8462,9980.05
75,-7601.701171875,10430.19,75,375000,20.7613,148.1548,9998.22
76,-7917.40576171875,10285.94,76,380000,22.1212,148.4645,9950.43
77,-8044.4912109375,10281.28,77,385000,19.7862,148.1104,9899.8
78,-8068.75927734375,10177.29,78,390000,19.9024,148.2791,9623.38
79,-8460.037109375,10143.41,79,395000,20.5505,148.519,9392.53
80,-8462.66015625,10216.43,80,400000,21.9994,148.7645,9987.58
81,-8796.287109375,10648.69,81,405000,17.6903,147.9067,9660.76
82,-8360.544921875,10189.23,82,410000,19.3727,147.638,9849.57
83,-8693.111328125,10325.59,83,415000,20.6026,148.5154,9530.42
84,-8765.494140625,10378.75,84,420000,21.8624,148.9412,9970.48
85,-8878.0693359375,10515.4,85,425000,20.3816,148.0783,10085.27
86,-8729.087890625,10442.75,86,430000,19.1633,147.3085,9367.31
87,-8956.17578125,10130.89,87,435000,18.5845,146.8913,9874.85
88,-8972.271484375,10574.46,88,440000,21.2195,148.0289,10134.89
89,-8932.12109375,10524.81,89,445000,18.7423,146.5071,9547.11
90,-9130.228515625,10612.23,90,450000,21.64,147.807,10241.29
91,-9427.482421875,10237.34,91,455000,20.923,148.4069,9968.54
92,-9249.65234375,10623.65,92,460000,21.1278,147.5329,9968.81
93,-9504.1845703125,10524.79,93,465000,19.7041,147.7027,10084.21
94,-9242.7978515625,10810.34,94,470000,19.7717,146.9447,10228.02
95,-9289.48828125,10787.31,95,475000,19.6152,147.062,10276.35
96,-9577.3818359375,10394.65,96,480000,20.5352,147.9145,10317.0
97,-9682.7001953125,10803.46,97,485000,20.4337,147.5181,10236.85
98,-9688.6015625,10782.78,98,490000,20.4932,147.2663,10391.99
99,-9808.81640625,10752.61,99,495000,20.3465,147.1094,10290.98
100,-10044.7958984375,10667.04,100,500000,18.5148,146.7699,8934.38
101,-10169.328125,10877.82,101,505000,20.6526,147.2264,10319.62
102,-9967.197265625,10799.76,102,510000,19.7829,146.8537,10342.79
103,-10498.2431640625,10818.64,103,515000,19.0261,147.3098,10088.21
104,-10256.3369140625,10827.26,104,520000,19.3633,146.8264,10308.33
105,-10234.2109375,10597.47,105,525000,21.7507,146.9892,10116.96
106,-10432.6669921875,10612.1,106,530000,18.8243,146.902,10151.12
107,-10819.8134765625,10679.45,107,535000,21.9996,147.2155,10238.88
108,-10719.759765625,10630.23,108,540000,19.7937,147.5022,10118.45
109,-10450.0185546875,10752.82,109,545000,20.3925,146.4823,10324.24
110,-10799.6064453125,10909.81,110,550000,18.9629,146.3727,9934.72
111,-11037.9638671875,10673.86,111,555000,20.9465,146.5905,10377.99
112,-11606.8134765625,10730.54,112,560000,20.2076,147.1236,10373.62
113,-11232.1015625,10899.14,113,565000,19.096,146.4745,10396.04
114,-11317.5107421875,10758.68,114,570000,21.3998,147.1972,10364.37
115,-11337.1162109375,10856.16,115,575000,18.5121,146.8596,10336.85
116,-11511.505859375,10843.22,116,580000,20.1535,146.8713,10354.12
117,-11599.5244140625,10679.46,117,585000,18.7578,145.8151,10237.48
118,-12101.3115234375,10517.44,118,590000,18.8849,148.0123,10203.52
119,-12516.24609375,9841.28,119,595000,18.3618,146.6908,9281.4
120,-11709.3369140625,11022.99,120,600000,18.6331,146.1301,10445.0
121,-12001.681640625,11074.16,121,605000,19.5073,146.6441,10474.39
122,-12028.0771484375,10724.66,122,610000,18.8759,146.95,10183.17
123,-12188.8935546875,10613.01,123,615000,17.901,146.3134,9171.4
124,-11811.4013671875,10940.39,124,620000,19.7945,146.1413,10351.64
125,-12423.9150390625,10730.64,125,625000,20.1895,147.1907,10343.11
126,-13383.828125,10101.15,126,630000,16.5723,146.0326,10240.41
127,-12180.5517578125,10960.72,127,635000,19.8311,146.6737,10394.76
128,-12210.404296875,11073.23,128,640000,18.7211,145.6694,10506.27
129,-12623.0830078125,11098.7,129,645000,19.6781,146.6449,10580.4
130,-13673.4697265625,10640.23,130,650000,16.6241,146.0951,10072.35
131,-12674.03515625,11058.2,131,655000,19.2115,145.6649,10107.02
132,-12781.4248046875,11085.73,132,660000,18.436,145.9148,10532.92
133,-13757.51171875,9903.33,133,665000,18.4578,146.8087,9392.82
134,-13512.8232421875,10899.5,134,670000,18.5553,146.7406,10465.65
135,-13069.75390625,11041.03,135,675000,18.2009,145.9026,9743.56
136,-13642.21875,11014.17,136,680000,20.6761,146.7753,10622.52
137,-13133.818359375,11233.77,137,685000,18.9429,145.591,10546.16
138,-14099.4755859375,10669.53,138,690000,17.1845,146.1133,10119.96
139,-13878.3935546875,11142.35,139,695000,19.7644,146.5503,10698.69
