Itration,Real Sto Return,Real Det Return,Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps
80,711.73,1050.65,30.8594,80,-2634.33447265625,19.9781,400000
81,1002.71,1002.67,37.3062,81,-3557.731201171875,33.4156,405000
82,1009.06,1008.97,37.418,82,-3649.2333984375,37.9985,410000
83,221.89,216.73,37.2804,83,-3700.394287109375,28.8396,415000
84,471.61,591.67,33.6904,84,-3587.148681640625,32.6019,420000
85,992.22,991.08,38.705,85,-3837.396728515625,46.4149,425000
86,1007.42,997.63,39.0248,86,-3868.220947265625,46.8227,430000
87,1019.49,1019.9,38.7225,87,-3916.2265625,31.8073,435000
88,996.76,996.61,37.4172,88,-3911.04833984375,46.4486,440000
89,106.52,109.33,32.8876,89,-3115.057861328125,46.6331,445000
90,1008.73,1008.78,38.0954,90,-4116.16064453125,41.0513,450000
91,979.42,979.29,40.2413,91,-4200.95849609375,58.4501,455000
92,436.02,471.95,37.3256,92,-4097.57568359375,36.1017,460000
93,286.39,286.28,33.1796,93,-3910.27685546875,94.1482,465000
94,397.8,376.16,29.5679,94,-3773.633544921875,186.3947,470000
95,199.36,325.85,31.555,95,-3822.272705078125,41.0513,475000
96,1016.39,1017.0,38.0557,96,-4532.068359375,32.53,480000
97,1003.8,1004.94,39.0125,97,-4584.498046875,41.5254,485000
98,1043.51,1043.56,35.8769,98,-4329.18896484375,28.2073,490000
99,425.74,416.9,32.3274,99,-4366.45654296875,34.2502,495000
100,56.99,53.65,31.2843,100,-4012.957763671875,38.8802,500000
101,970.67,970.9,41.0344,101,-4851.22216796875,58.2869,505000
102,707.93,507.02,38.4107,102,-4893.4853515625,32.3917,510000
103,1011.94,1012.27,38.0875,103,-4941.60888671875,31.8685,515000
104,998.9,992.89,38.3434,104,-5033.861328125,45.1832,520000
105,113.26,67.05,37.8401,105,-5047.9736328125,35.9691,525000
106,996.81,996.76,37.0459,106,-4911.1513671875,29.3511,530000
107,993.57,994.81,37.0425,107,-5107.08544921875,33.1129,535000
108,985.3,986.05,39.1987,108,-5226.32763671875,40.5723,540000
109,989.09,988.84,38.857,109,-5225.39208984375,49.0736,545000
110,411.98,417.88,33.2782,110,-3094.637939453125,31.1802,550000
111,214.73,187.84,30.4158,111,-4308.29931640625,29.2131,555000
112,674.41,689.18,35.1124,112,-4917.5078125,25.5845,560000
113,28.48,24.46,36.9458,113,-3780.3515625,28.6813,565000
114,954.86,1002.52,37.4789,114,-5613.72900390625,46.8861,570000
115,981.7,983.12,38.1002,115,-5615.71484375,36.1586,575000
