Real Det Return,Itration,Running Forward KL,Running Reverse KL,Real Sto Return
243.34,0,443.0966,262.279,308.06
317.53,1,418.1809,275.764,354.01
361.23,2,424.8277,245.7344,356.08
407.54,3,419.2101,275.9656,355.62
430.56,4,422.2776,280.9735,416.21
452.18,5,420.4264,345.4122,411.94
439.83,6,412.0107,410.2861,424.53
353.53,7,415.836,367.0938,420.78
412.06,8,412.661,375.4663,511.8
379.9,9,410.1991,317.7989,513.57
412.51,10,409.4278,369.9476,455.51
460.95,11,411.1256,319.9409,549.62
477.48,12,403.5346,278.8028,485.02
493.07,13,401.0552,288.7679,504.36
575.63,14,393.8167,267.594,481.74
529.27,15,401.6263,301.9553,592.95
553.87,16,394.4316,263.1759,614.92
568.92,17,381.1672,315.59,576.39
642.41,18,378.0229,327.9778,648.66
535.15,19,368.3078,343.3256,666.32
567.42,20,375.1836,330.4153,663.25
753.7,21,369.0648,292.9439,726.19
834.35,22,348.9445,269.2641,842.75
787.94,23,339.861,246.2667,953.7
941.71,24,337.2577,248.8081,1145.55
816.48,25,339.9792,229.4464,913.61
904.52,26,345.3384,226.303,891.91
1111.14,27,348.7255,235.9473,1121.97
1014.88,28,333.3085,263.782,1071.5
1521.09,29,331.1217,250.415,998.61
1660.4,30,338.417,228.4452,1118.28
2289.09,31,336.6055,233.9183,1111.53
1797.54,32,336.06,203.4161,1177.47
1635.2,33,345.8064,235.0375,947.06
1488.59,34,333.0215,221.3551,1663.78
1600.23,35,317.0029,183.2798,1470.07
3330.86,36,300.3818,155.8925,1695.2
4139.75,37,313.5877,233.6626,1872.1
2962.48,38,325.6687,205.7673,1688.11
3119.5,39,306.3944,157.0673,1855.46
3534.2,40,295.806,123.7689,2139.97
1568.74,41,309.77,203.8986,1479.86
2798.2,42,281.8314,127.1858,2493.81
1581.47,43,290.3693,116.032,2631.65
2140.2,44,280.8406,128.0556,2697.62
3431.42,45,306.9709,189.7648,2625.65
1465.13,46,298.3371,145.6537,2657.61
1279.13,47,278.7505,119.0354,2919.0
1620.77,48,289.001,180.9249,2863.56
4190.11,49,274.6739,93.7879,3477.16
4782.09,50,283.493,89.8439,3355.79
3157.53,51,279.0054,116.0901,2937.39
4602.61,52,279.6323,99.4649,3330.84
1460.33,53,290.95,137.0084,2363.05
3627.83,54,296.966,137.4255,3954.41
3547.91,55,277.5421,111.9198,3821.12
2037.59,56,285.6147,113.1143,2594.82
2418.22,57,283.5237,100.3919,3784.24
2713.85,58,271.4035,76.6376,3108.45
2627.1,59,279.5692,79.5618,3165.14
2280.77,60,282.9328,107.0389,3311.07
1167.86,61,298.346,146.9542,3350.23
1446.84,62,298.5615,152.6842,3633.25
1948.78,63,271.7075,87.8837,3882.3
3437.93,64,267.3042,80.2033,4651.8
1866.16,65,282.0769,141.418,3482.38
4271.98,66,271.722,116.3198,3616.32
3205.36,67,280.1191,116.4723,3737.25
2212.8,68,276.324,110.9119,3023.67
1978.11,69,281.7451,136.1263,3048.28
2219.91,70,285.0163,145.943,2851.4
2369.38,71,305.3559,194.0814,2387.0
4709.62,72,259.638,67.8485,4976.9
2039.98,73,292.6389,162.7554,2737.92
2172.07,74,283.0934,138.0177,3250.35
3435.85,75,271.97,72.487,4215.82
2604.73,76,273.5451,77.4733,3947.85
4211.67,77,280.951,126.7275,3797.45
3195.26,78,271.7769,96.6842,4555.63
4795.82,79,267.4084,81.0188,4880.24
5093.12,80,265.9551,76.6772,5076.96
4113.08,81,267.5211,93.5661,4486.6
4574.51,82,264.8816,73.1044,4472.78
4394.47,83,271.1377,87.8782,4762.31
3706.62,84,263.0955,82.8694,4396.88
3890.85,85,267.0016,83.1744,4043.95
4077.76,86,262.6291,74.6637,4361.38
3713.01,87,260.4546,83.2405,4592.86
3962.71,88,261.673,74.7363,4830.38
2339.62,89,255.9056,72.4157,4837.45
3551.81,90,254.3909,59.5348,4578.45
3692.62,91,260.2395,76.1126,4252.37
4124.67,92,263.5811,63.2545,4261.9
3942.08,93,262.1451,68.7019,5072.84
3697.04,94,254.1305,61.2052,4655.05
3202.52,95,261.3662,71.0322,4147.99
4125.86,96,256.1383,55.718,4893.57
4536.38,97,257.9418,65.301,4084.13
2986.49,98,265.1376,88.7826,4674.42
3406.88,99,257.0921,70.5206,4856.34
2084.53,100,258.5045,62.0987,4335.47
2748.36,101,256.788,65.52,4521.97
2992.26,102,258.8392,76.9039,3992.25
4642.8,103,259.935,76.3533,4889.95
2057.08,104,259.9488,64.0607,4262.67
3823.63,105,257.8417,72.4595,4135.95
3585.02,106,252.1668,54.0885,3880.58
2460.17,107,256.5318,62.8036,4773.88
4051.88,108,244.7724,48.0493,4626.13
2293.81,109,265.1428,96.8169,4381.33
2578.94,110,251.4286,57.5651,3738.92
1868.5,111,255.7068,70.2603,4721.82
1635.04,112,250.9058,70.3116,5034.04
1142.76,113,244.7759,43.6887,3753.35
3236.36,114,246.7361,56.0759,5110.09
1402.6,115,259.3714,83.8442,3731.44
1754.98,116,250.0283,70.6542,3792.71
3348.13,117,256.0546,77.4912,4210.22
2868.72,118,256.1245,76.4552,3321.44
2351.23,119,259.5299,111.6332,3803.59
3511.21,120,244.5882,56.9867,4127.62
1976.78,121,247.9702,57.617,3658.3
3108.6,122,239.5194,46.6905,4553.82
2701.57,123,242.561,47.3316,4285.28
3196.34,124,241.1256,48.448,4780.33
3749.53,125,239.6641,46.5292,4514.46
4855.33,126,240.7944,43.4172,4938.76
4531.67,127,241.4156,54.5365,4381.32
2246.44,128,243.2225,56.757,3929.52
4228.38,129,244.6672,57.5444,4801.91
4352.65,130,248.1041,68.7966,5013.54
4054.82,131,246.8409,53.2647,4698.45
4712.43,132,239.3481,48.4194,5093.73
4178.51,133,241.6737,48.344,4843.96
4619.74,134,243.289,58.4719,5001.39
4510.05,135,240.6648,57.2314,5118.63
5201.88,136,233.9568,40.3361,5071.56
5202.72,137,236.6538,42.6568,4972.44
5230.41,138,237.4116,49.5456,4636.27
4548.89,139,241.5798,58.4836,4556.07
3422.65,140,241.0792,54.863,5117.69
4056.45,141,242.4557,58.3792,4882.49
4866.84,142,239.6645,40.6618,5098.97
4183.33,143,235.2593,40.0026,5124.47
5259.63,144,237.7848,53.3386,4857.25
3920.62,145,237.3117,48.3783,5150.99
4858.9,146,237.3299,50.4416,5109.22
4472.73,147,240.266,49.6815,5184.57
3290.2,148,242.8195,57.5113,4285.95
4535.81,149,234.1894,42.2305,5100.43
5174.09,150,235.4943,45.9806,5089.83
3862.07,151,236.1515,40.5681,5085.37
5231.79,152,239.2302,44.7157,5103.6
5174.37,153,237.4488,45.5292,5123.49
4569.72,154,235.4834,47.6138,5158.79
3269.09,155,237.431,44.765,5147.78
4783.61,156,237.6047,50.586,5142.63
4109.73,157,239.1547,46.8999,5033.76
5187.32,158,232.885,40.2168,5090.21
4612.64,159,233.0603,38.9101,5100.7
3414.35,160,241.0519,49.0115,5113.89
5257.12,161,238.403,46.3451,4935.14
4598.74,162,238.3448,74.2271,4821.0
5222.68,163,234.7511,42.152,5093.95
5170.02,164,232.3032,39.2263,4960.21
4875.58,165,230.7172,29.7254,5041.62
5248.12,166,231.8012,38.0955,4822.28
2159.18,167,237.0834,39.3904,4783.51
3147.75,168,229.5,29.4809,4908.65
4920.44,169,240.8648,52.1435,5166.41
5229.62,170,231.293,35.0876,4978.56
4253.9,171,234.8416,49.4223,4909.96
5254.49,172,233.5425,37.756,5101.69
3209.64,173,234.4882,33.9138,5124.57
3388.78,174,232.7952,37.6279,5196.49
3244.72,175,228.4773,32.6449,4951.75
4402.36,176,234.5827,37.1321,5064.28
4610.94,177,230.8339,33.9122,4918.44
5063.44,178,236.7367,45.4678,5136.06
5245.65,179,230.2152,34.2218,4724.0
5300.22,180,226.296,27.1425,5093.75
5272.21,181,235.2025,71.5177,5060.39
2454.01,182,231.7632,39.5838,5048.35
3579.24,183,227.1293,28.915,5130.0
4556.54,184,234.271,47.6064,5060.45
4808.39,185,229.7616,27.8262,5143.44
5255.04,186,234.5148,36.3167,5125.88
3404.43,187,233.1456,36.361,5183.8
5211.9,188,229.9781,34.9228,5138.78
1939.11,189,230.4847,32.1184,4427.79
4867.52,190,225.8907,26.8886,5087.72
4763.15,191,227.8528,27.4209,5131.97
3619.68,192,226.955,30.7572,5170.13
5155.23,193,228.2402,26.3927,4847.6
4601.71,194,231.1152,38.1057,5021.97
4845.93,195,230.2698,39.9042,4578.03
5318.12,196,224.7057,23.7117,4949.99
3542.93,197,229.7982,39.9338,4402.16
2736.13,198,226.3376,28.0681,4950.76
4266.73,199,225.8229,29.0277,4757.18
2588.52,200,227.4044,36.4464,5068.11
1782.11,201,226.5591,25.1577,5132.58
2573.07,202,224.272,32.1964,5138.7
3325.61,203,219.95,26.1003,5165.21
4880.21,204,224.7404,30.6717,5073.63
5030.22,205,223.1283,28.4088,5146.63
5250.72,206,224.0501,21.4945,5142.99
4810.73,207,223.1686,29.4353,5151.42
3867.52,208,222.0449,23.5503,4937.36
4658.16,209,223.1453,21.8335,4951.62
4300.3,210,223.0099,24.6764,5123.35
4349.5,211,219.7973,22.5973,4908.92
4226.17,212,221.7953,23.0257,5135.13
4065.57,213,219.2199,19.4072,5091.34
5073.06,214,223.6721,38.6068,5010.96
2322.18,215,224.2422,21.0902,4972.15
4570.3,216,222.308,24.8852,5028.27
4085.68,217,223.4455,35.8132,4640.91
4061.97,218,229.2823,50.3232,5115.79
4288.81,219,230.6299,39.131,4860.33
4400.3,220,227.5465,51.6888,4927.82
4329.95,221,224.0979,24.9538,5093.04
4153.84,222,219.082,24.5901,4712.78
5179.08,223,230.6904,42.2769,4516.29
4962.44,224,223.2458,22.2457,4878.47
5019.72,225,222.1358,22.7133,4874.52
5210.96,226,221.0446,22.1601,4685.08
4999.37,227,224.5081,25.1997,4806.16
4796.77,228,222.4226,29.1723,4902.16
5172.93,229,217.8614,22.4267,4836.15
4832.43,230,226.0012,25.3738,4979.19
5075.15,231,223.1767,33.7856,5192.7
4483.36,232,220.3137,19.9963,5141.19
4646.72,233,221.3929,21.4148,4952.69
5012.8,234,222.3833,31.26,4976.68
3617.79,235,224.9629,32.3395,4854.87
4156.15,236,223.9319,38.8682,3951.52
3652.6,237,227.6635,36.0738,4676.87
3350.11,238,231.3952,71.1185,3444.0
4309.3,239,227.0937,37.914,4487.74
2994.39,240,239.7721,70.746,3732.78
2997.3,241,232.1411,74.5805,3693.24
3043.05,242,228.4909,36.8768,4662.79
2884.59,243,228.4341,44.5551,4105.31
3630.48,244,228.4496,55.8247,4694.82
3217.24,245,232.8324,54.8576,4328.82
