Running Update Time,Running Forward KL,Running Env Steps,Real Det Return,Reward Loss,Running Reverse KL,Itration,Real Sto Return
0,422.6885,0,400.9,-125.22744750976562,286.4088,0,350.53
1,434.3124,5000,261.13,-232.40232849121094,311.8856,1,278.63
2,416.7105,10000,417.33,-700.430419921875,255.721,2,366.51
3,426.4608,15000,252.14,-730.8220825195312,260.9469,3,389.8
4,410.9126,20000,358.27,-693.7789916992188,273.2606,4,385.64
5,416.1571,25000,349.95,-710.5088500976562,280.6551,5,370.7
6,402.3795,30000,408.97,-919.5527954101562,256.812,6,418.78
7,410.8978,35000,613.06,-1589.568603515625,256.9565,7,408.5
8,390.9439,40000,382.95,-1620.6712646484375,245.6827,8,409.3
9,394.9747,45000,591.44,-1518.017333984375,254.4622,9,442.51
10,382.0166,50000,404.31,-1979.9952392578125,255.1193,10,469.85
11,384.1692,55000,704.82,-2417.616943359375,238.9481,11,503.77
12,381.5357,60000,562.84,-2261.61865234375,245.5219,12,456.76
13,390.9502,65000,513.96,-2439.8974609375,250.5125,13,509.56
14,382.246,70000,543.33,-2438.21533203125,403.1778,14,506.56
15,384.8526,75000,676.83,-2835.73876953125,250.8858,15,536.94
16,382.3265,80000,528.42,-2220.0361328125,250.4343,16,522.72
17,391.0201,85000,571.63,-2529.17919921875,248.0062,17,519.43
18,383.036,90000,553.2,-2975.2646484375,250.5992,18,581.08
19,368.5359,95000,587.63,-2992.463134765625,249.6961,19,642.44
20,372.2384,100000,530.9,-2998.53369140625,252.4089,20,580.29
21,358.6047,105000,608.03,-3156.402099609375,229.2286,21,611.15
22,349.8822,110000,738.95,-3363.3857421875,226.8775,22,695.79
23,371.2524,115000,616.8,-3738.926513671875,242.2904,23,611.75
24,354.6781,120000,540.42,-3226.5458984375,241.9921,24,609.35
25,360.3592,125000,602.24,-3639.9130859375,231.6708,25,646.69
26,350.4999,130000,812.75,-3918.934814453125,233.6991,26,745.96
27,363.404,135000,690.99,-4335.45947265625,246.1908,27,764.54
28,359.1156,140000,706.94,-4277.23046875,237.2151,28,741.91
29,349.7796,145000,762.25,-3977.66259765625,239.5539,29,738.01
30,348.0312,150000,723.94,-4360.240234375,231.9511,30,711.08
31,341.1308,155000,752.75,-4079.136962890625,232.6688,31,744.73
32,329.5532,160000,759.09,-4272.18310546875,215.9194,32,933.04
33,334.9266,165000,850.34,-4412.3125,224.0442,33,860.35
34,335.5725,170000,1000.0,-4569.8154296875,233.3966,34,920.66
35,340.472,175000,778.43,-4584.90673828125,266.4116,35,733.47
36,342.7668,180000,597.45,-4668.06640625,268.2918,36,674.36
37,311.452,185000,1093.96,-4915.73583984375,203.8622,37,948.53
38,326.2132,190000,712.77,-4988.42431640625,218.1514,38,993.42
39,319.8972,195000,947.21,-5165.34130859375,204.9901,39,1155.27
40,318.1622,200000,866.96,-4930.109375,245.3993,40,967.33
41,314.0508,205000,866.78,-5026.5966796875,222.0839,41,1077.7
42,305.6018,210000,1192.54,-4875.6103515625,207.7558,42,1291.72
43,307.1449,215000,1066.95,-5108.02099609375,224.2721,43,1142.41
