Reward Loss,Running Update Time,Real Sto Return,Itration,Running Reverse KL,Running Env Steps,Running Forward KL,Real Det Return
89.35220336914062,0,-57.38,0,28.3737,0,76.0409,346.06
72.4557876586914,1,-33.35,1,26.2501,5000,74.6536,85.2
53.38313293457031,2,-27.82,2,26.4191,10000,73.9874,258.41
43.27073287963867,3,-10.32,3,28.8776,15000,73.8628,445.41
28.767215728759766,4,3.79,4,29.4115,20000,73.4726,625.12
-1.27350914478302,5,42.04,5,28.089,25000,71.3349,624.51
-15.093408584594727,6,73.44,6,28.2058,30000,70.5765,297.55
-25.314529418945312,7,94.97,7,28.2343,35000,71.0337,699.37
-30.938364028930664,8,85.29,8,28.9259,40000,71.4955,597.39
-48.044071197509766,9,77.51,9,29.9803,45000,72.6786,561.75
-60.584285736083984,10,88.32,10,28.6716,50000,69.9278,703.95
-78.01875305175781,11,132.25,11,29.1392,55000,69.4086,745.99
-92.43812561035156,12,224.36,12,28.8357,60000,69.7986,769.94
-101.63976287841797,13,108.67,13,29.8348,65000,68.8219,749.29
-118.90776062011719,14,171.09,14,31.5433,70000,72.0607,747.06
-130.66444396972656,15,165.85,15,30.5497,75000,71.2041,664.42
-145.5841064453125,16,187.84,16,29.7488,80000,69.8749,671.34
-161.39297485351562,17,159.54,17,29.7834,85000,70.4778,889.58
-174.0747833251953,18,280.56,18,29.1501,90000,68.4746,894.31
-188.7374267578125,19,169.16,19,28.9134,95000,68.656,660.08
-206.23704528808594,20,221.82,20,30.8345,100000,70.7475,959.27
-226.47885131835938,21,169.35,21,31.1912,105000,72.6383,641.71
-236.44943237304688,22,280.66,22,29.5579,110000,69.1458,633.76
-250.1979522705078,23,168.76,23,29.8876,115000,70.578,686.7
-269.5098876953125,24,270.24,24,31.8695,120000,69.9832,729.38
-280.2647705078125,25,200.23,25,30.2955,125000,68.5702,723.15
-295.201904296875,26,163.12,26,29.8755,130000,69.44,805.35
-313.50860595703125,27,230.51,27,30.0947,135000,70.3293,513.32
-320.4378967285156,28,288.62,28,29.27,140000,66.5979,1037.33
-337.3625183105469,29,314.98,29,28.896,145000,67.485,982.35
-349.2904968261719,30,215.26,30,28.2454,150000,66.0609,1058.11
-355.2651672363281,31,211.43,31,28.2138,155000,63.8843,861.1
-386.8175048828125,32,345.89,32,29.0921,160000,67.9382,973.07
-389.65435791015625,33,284.85,33,27.9593,165000,65.8701,855.55
-411.82470703125,34,207.51,34,28.4448,170000,66.5847,650.64
-433.0447082519531,35,231.33,35,29.5506,175000,68.7026,696.09
-444.5333557128906,36,263.67,36,28.8126,180000,67.3955,1025.73
-465.47637939453125,37,290.23,37,29.456,185000,69.378,616.0
-465.63812255859375,38,236.96,38,27.9972,190000,64.6601,1068.36
-478.031005859375,39,309.37,39,27.5405,195000,63.9058,957.64
-504.0529479980469,40,276.64,40,28.4796,200000,67.0294,871.71
-463.6750183105469,41,525.7,41,25.2821,205000,59.9503,1015.73
-490.72802734375,42,266.23,42,25.3603,210000,61.8888,901.45
-550.2789306640625,43,544.81,43,28.6745,215000,65.9679,1152.14
-554.6922607421875,44,374.91,44,27.5575,220000,63.8674,838.56
-582.3111572265625,45,365.02,45,28.3803,225000,65.2667,1048.84
-558.241943359375,46,576.5,46,27.6456,230000,63.2295,1516.65
-625.25048828125,47,371.98,47,29.429,235000,67.5431,1129.62
-590.0574951171875,48,662.85,48,26.1597,240000,60.9639,1676.44
-573.4603271484375,49,624.68,49,26.4054,245000,58.539,1438.65
-658.59619140625,50,254.31,50,27.213,250000,65.7246,717.04
-643.659912109375,51,300.68,51,26.7026,255000,62.4023,851.48
-596.7522583007812,52,853.25,52,27.7167,260000,59.913,1718.67
-579.3206787109375,53,882.05,53,27.0973,265000,57.5434,1806.96
-655.260498046875,54,604.22,54,26.3948,270000,60.8489,1010.87
-647.0564575195312,55,799.75,55,25.9228,275000,59.5459,2009.23
-694.4027709960938,56,565.17,56,25.7939,280000,61.6237,1512.88
-667.8084106445312,57,648.23,57,24.3351,285000,58.9735,1615.28
-689.9746704101562,58,639.12,58,25.5832,290000,59.1092,1890.78
-759.288818359375,59,524.42,59,27.09,295000,61.6588,1489.89
-802.0064697265625,60,713.73,60,26.2116,300000,62.7445,1072.21
-817.1405639648438,61,863.69,61,26.9114,305000,63.2906,1502.84
-840.0874633789062,62,452.12,62,26.4306,310000,63.5325,1421.38
-861.2782592773438,63,513.68,63,27.4059,315000,64.5974,1034.23
-757.8148803710938,64,979.03,64,25.6329,320000,59.146,1978.39
-749.663330078125,65,954.62,65,26.7578,325000,58.5372,1794.45
-925.189453125,66,538.28,66,27.3415,330000,65.4751,1167.67
-831.8921508789062,67,922.14,67,25.1055,335000,60.6629,1136.9
-827.1104125976562,68,1233.32,68,25.5842,340000,60.3319,1823.93
-837.9960327148438,69,928.04,69,26.0942,345000,59.5285,2465.73
-946.5381469726562,70,1070.32,70,25.5044,350000,61.8474,1264.01
-721.892333984375,71,1240.23,71,27.8218,355000,55.5705,2479.41
-871.0936279296875,72,1720.96,72,27.4039,360000,59.183,2458.21
-959.9752807617188,73,673.28,73,25.1186,365000,61.5081,1132.25
-890.3169555664062,74,613.34,74,25.1971,370000,59.7153,1487.0
-904.9666137695312,75,1119.01,75,24.7314,375000,59.4469,2127.09
-982.2545166015625,76,493.99,76,25.3343,380000,61.5613,1173.79
-841.044677734375,77,1337.1,77,27.4848,385000,57.1235,2569.49
-806.535400390625,78,1868.62,78,35.8936,390000,59.8476,2693.05
-1031.2872314453125,79,454.79,79,25.3225,395000,62.2785,1363.55
-911.540771484375,80,1676.94,80,28.2269,400000,59.9726,2655.59
-898.7493286132812,81,1169.87,81,27.1298,405000,59.4732,1421.24
-982.3865356445312,82,1243.27,82,28.1406,410000,58.8644,1658.53
-1021.2721557617188,83,1394.32,83,26.0104,415000,58.9,2238.99
-1061.3873291015625,84,2033.11,84,25.905,420000,60.6575,3015.6
-870.9703369140625,85,2183.12,85,32.8967,425000,58.1781,3214.0
-1031.5633544921875,86,1151.3,86,25.5322,430000,59.6046,1571.62
-1011.7659301757812,87,1600.06,87,28.5989,435000,59.7963,2819.93
-965.0888061523438,88,1528.45,88,26.9124,440000,58.8936,1992.05
-950.608154296875,89,2084.67,89,34.8061,445000,61.6497,3143.67
-974.0001220703125,90,2351.66,90,31.0862,450000,61.7026,2331.84
-1023.9887084960938,91,1930.69,91,31.8594,455000,59.2565,2868.07
-1164.4554443359375,92,1267.42,92,28.4544,460000,60.7045,1944.25
-1144.671875,93,2406.84,93,28.5207,465000,60.2051,3187.88
-1058.4178466796875,94,2463.86,94,30.7872,470000,58.2944,3152.35
-1031.0125732421875,95,2156.34,95,34.5466,475000,61.806,2865.52
-1064.5103759765625,96,2464.37,96,36.8081,480000,61.6932,2971.39
-1100.913330078125,97,2399.16,97,38.2554,485000,62.7279,2430.75
-979.4834594726562,98,2618.47,98,38.0811,490000,62.323,3785.54
-1062.9527587890625,99,2021.13,99,35.3195,495000,60.3928,3234.73
-1053.008056640625,100,2563.0,100,38.3717,500000,60.7078,3196.95
-1081.44140625,101,2669.0,101,40.7513,505000,64.2311,3483.05
-1077.6646728515625,102,2556.17,102,34.8984,510000,58.8702,3453.39
-1080.732666015625,103,2282.34,103,31.5388,515000,61.4134,3398.63
