Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Sto Return,Running Env Steps,Real Det Return
131.07394409179688,0,250.2092,433.6989,0,328.15,0,498.05
-413.0158386230469,1,253.2994,435.9919,1,350.46,5000,291.69
-776.65234375,2,256.2834,427.0447,2,388.64,10000,465.36
-564.1746826171875,3,258.3229,416.1396,3,449.09,15000,480.77
-971.8232421875,4,268.845,422.319,4,474.14,20000,452.45
-1308.4168701171875,5,269.3823,418.2958,5,445.94,25000,526.74
-1502.0269775390625,6,268.1797,424.3919,6,458.39,30000,527.44
-1472.098388671875,7,290.5333,424.5169,7,440.45,35000,383.18
-1994.8177490234375,8,291.1528,418.0635,8,518.03,40000,509.71
-2036.80419921875,9,280.1031,425.2894,9,506.6,45000,532.38
-2362.62744140625,10,277.9433,422.9182,10,468.42,50000,566.7
-2482.890625,11,278.99,407.3278,11,542.76,55000,568.19
-2675.8046875,12,273.0929,400.4122,12,597.11,60000,573.98
-2890.863525390625,13,262.8224,408.1022,13,595.42,65000,654.98
-3184.71240234375,14,264.9886,403.0746,14,603.33,70000,653.28
-3330.0576171875,15,269.335,404.2248,15,547.96,75000,706.05
-3243.958984375,16,286.871,403.5732,16,594.0,80000,727.94
-3617.978515625,17,272.9465,413.9372,17,560.32,85000,581.44
-3827.625244140625,18,271.9986,404.8941,18,522.85,90000,489.46
-4263.02685546875,19,284.2038,402.4586,19,507.24,95000,577.92
-4180.998046875,20,285.9405,405.6079,20,555.52,100000,582.19
-4108.51904296875,21,272.5266,402.9011,21,682.12,105000,626.05
-4882.24462890625,22,313.9763,392.9311,22,666.14,110000,634.37
-4476.6748046875,23,298.8496,393.2968,23,563.45,115000,801.14
-4637.5927734375,24,306.3468,390.8718,24,629.75,120000,637.34
-4671.45361328125,25,291.8406,385.7372,25,667.37,125000,755.71
-4457.84619140625,26,275.4875,379.968,26,626.36,130000,604.32
-5029.24462890625,27,265.6964,394.5253,27,670.84,135000,734.39
-4705.2783203125,28,250.9892,378.2215,28,753.02,140000,761.25
-5421.2470703125,29,274.3618,387.8536,29,657.1,145000,796.06
-5353.80078125,30,264.2909,384.6673,30,641.34,150000,751.43
-5290.83837890625,31,259.7927,398.0578,31,711.1,155000,813.24
-5193.5654296875,32,268.7304,386.7108,32,889.89,160000,762.89
-5536.52587890625,33,268.4174,383.9988,33,815.44,165000,740.49
-5525.150390625,34,289.8952,388.6666,34,674.8,170000,570.28
-5568.490234375,35,248.2202,378.0701,35,677.27,175000,699.57
-6046.5830078125,36,293.8682,380.1588,36,758.49,180000,575.29
-6531.84912109375,37,285.9625,374.8589,37,733.42,185000,555.02
-5730.82275390625,38,251.0511,373.62,38,761.01,190000,796.3
-6150.943359375,39,288.3149,373.6986,39,801.93,195000,787.6
-6835.3671875,40,284.1699,367.6863,40,803.28,200000,831.17
-6350.826171875,41,251.2018,367.0133,41,799.62,205000,827.13
-6984.87158203125,42,315.8983,363.1781,42,977.46,210000,958.68
-6784.5087890625,43,289.2077,366.0599,43,941.78,215000,827.32
-7090.4765625,44,271.7413,371.184,44,1006.53,220000,839.4
-6593.1064453125,45,246.1904,373.669,45,876.96,225000,809.74
-6957.84033203125,46,249.4499,357.7781,46,1113.06,230000,951.0
