Reward Loss,Running Env Steps,Itration,Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Running Update Time
209.96881103515625,0,0,311.47,284.33,24.8055,38.2998,0
219.95118713378906,5000,1,194.28,192.76,38.4866,38.1765,1
214.0635528564453,10000,2,331.04,323.88,52.8496,37.1095,2
203.9963836669922,15000,3,289.29,293.4,57.4969,36.6547,3
193.35504150390625,20000,4,320.47,304.01,57.5061,35.0652,4
157.12567138671875,25000,5,358.94,348.1,43.3727,33.9816,5
155.47972106933594,30000,6,382.42,364.17,52.699,34.9775,6
114.26470947265625,35000,7,458.59,434.7,35.0064,34.2832,7
107.73125457763672,40000,8,536.84,536.41,36.7531,32.9147,8
73.09075927734375,45000,9,721.81,693.58,30.3213,32.583,9
90.86396789550781,50000,10,642.74,646.5,42.6724,33.7781,10
73.03558349609375,55000,11,626.39,712.55,33.8893,33.1578,11
61.905784606933594,60000,12,669.9,663.6,24.3869,33.1872,12
54.11751174926758,65000,13,695.51,682.4,25.4299,33.5206,13
11.94053840637207,70000,14,796.64,773.63,21.0975,33.288,14
29.857650756835938,75000,15,855.51,832.26,25.0485,33.041,15
21.870206832885742,80000,16,789.47,794.76,25.0133,33.9826,16
-1.9823871850967407,85000,17,784.57,791.95,18.3169,32.52,17
9.484432220458984,90000,18,864.12,1098.1,20.5056,32.6771,18
-3.5837981700897217,95000,19,805.06,781.54,20.0594,32.9187,19
-5.95961332321167,100000,20,884.91,883.46,19.8842,32.2849,20
-12.349873542785645,105000,21,773.9,779.76,21.2084,32.4517,21
-31.35783576965332,110000,22,940.22,1036.95,19.9679,30.5792,22
-36.29745101928711,115000,23,892.06,815.43,23.9416,32.2563,23
-52.42143630981445,120000,24,843.93,794.63,25.2388,32.4272,24
-58.46223068237305,125000,25,922.8,803.32,28.598,32.3727,25
-65.57475280761719,130000,26,942.18,954.59,32.25,30.8125,26
-77.6318588256836,135000,27,926.67,901.73,29.1777,31.1721,27
-85.04863739013672,140000,28,866.42,870.87,31.5631,31.2984,28
-91.32328796386719,145000,29,800.18,823.25,32.137,32.528,29
-99.107666015625,150000,30,926.7,924.04,28.9074,31.734,30
-112.94010925292969,155000,31,993.52,972.52,29.1761,30.9525,31
-116.45120239257812,160000,32,1018.2,896.36,27.231,30.9793,32
-125.85050201416016,165000,33,897.52,974.81,29.879,31.3754,33
-91.11837005615234,170000,34,2759.88,2545.04,18.1551,29.6164,34
-141.08448791503906,175000,35,1179.83,989.48,30.7283,31.4031,35
-128.392333984375,180000,36,2841.59,1983.02,20.4653,28.3143,36
-171.27928161621094,185000,37,1375.15,1028.54,29.1643,30.0527,37
-164.61105346679688,190000,38,1067.54,960.24,24.5578,30.0445,38
-164.92596435546875,195000,39,1316.7,1167.5,22.9365,29.233,39
-165.96958923339844,200000,40,1136.12,1430.54,20.2026,27.8554,40
-125.45677947998047,205000,41,2897.62,1912.67,17.5053,28.3054,41
-169.92115783691406,210000,42,1130.05,1213.79,19.3026,29.6372,42
-163.0013427734375,215000,43,1054.93,1600.95,17.5243,29.0594,43
-170.2498321533203,220000,44,987.08,1043.36,17.9547,31.1129,44
-182.4762420654297,225000,45,985.51,1006.79,19.607,30.967,45
-201.68460083007812,230000,46,899.63,924.15,27.5032,29.9827,46
-189.32220458984375,235000,47,1110.25,938.55,18.5782,30.0848,47
-229.38612365722656,240000,48,785.99,812.88,24.6041,29.4285,48
-236.53965759277344,245000,49,877.32,883.3,23.1358,30.3376,49
-241.31814575195312,250000,50,799.4,864.29,23.9579,29.9485,50
-240.0240478515625,255000,51,1020.35,1061.81,22.7076,31.5168,51
-223.69927978515625,260000,52,1761.29,1096.06,17.7772,27.9192,52
-227.76889038085938,265000,53,992.51,1218.22,18.2556,28.6458,53
-273.0943603515625,270000,54,2967.58,1201.03,19.2387,29.5512,54
-289.70037841796875,275000,55,1011.19,1137.12,20.0129,30.4544,55
-190.41165161132812,280000,56,3096.54,2263.1,15.7172,28.8836,56
-234.6398468017578,285000,57,3111.62,2175.83,17.5509,27.7246,57
-203.57492065429688,290000,58,2994.55,2239.05,16.0369,27.9787,58
-202.40048217773438,295000,59,3075.39,2200.51,15.3197,27.42,59
-251.3672637939453,300000,60,3281.41,1422.36,18.96,28.0108,60
-163.03797912597656,305000,61,3291.59,2805.74,14.447,27.0173,61
-198.613525390625,310000,62,3246.12,2449.22,17.8188,26.9057,62
-164.9517059326172,315000,63,3325.71,3127.39,16.615,26.0295,63
-135.73809814453125,320000,64,3240.27,2936.4,14.405,26.7542,64
