Real Sto Return,Running Forward KL,Itration,Real Det Return,Running Reverse KL
334.5,440.5083,0,319.58,270.0957
347.85,423.4067,1,352.39,286.1905
333.6,444.0728,2,311.95,308.7977
390.45,412.2894,3,529.34,274.9576
347.12,437.1317,4,306.05,267.899
378.1,392.4362,5,364.04,297.8482
386.22,398.0786,6,423.77,302.873
396.11,400.0086,7,380.45,309.8304
431.06,391.4911,8,484.5,293.8869
482.0,400.9524,9,634.73,262.8428
408.98,396.9118,10,424.33,284.0067
460.97,398.398,11,601.46,272.6481
414.06,395.4677,12,447.73,281.7657
467.87,401.7321,13,443.13,258.9485
500.68,396.2447,14,454.14,258.3511
512.61,390.8084,15,454.26,292.7427
564.28,389.1476,16,471.47,273.4917
451.46,397.5079,17,458.39,301.0956
511.22,397.2435,18,557.92,287.1391
538.22,384.0387,19,550.21,264.7255
530.58,384.7967,20,578.38,258.7105
601.93,375.0989,21,606.76,279.5013
570.58,381.1997,22,517.01,304.8044
661.48,374.7036,23,559.22,260.1141
600.58,371.6232,24,596.7,261.0746
718.34,362.7861,25,794.52,249.6583
692.65,369.0167,26,738.57,258.2719
767.71,369.6917,27,707.88,247.6211
773.85,351.2942,28,805.02,266.2226
711.79,367.2245,29,817.95,269.6023
777.66,366.0968,30,712.99,230.5475
823.71,354.0694,31,559.54,224.8906
787.75,356.9405,32,878.91,231.0218
965.09,351.6962,33,869.34,253.8732
843.55,366.4631,34,746.02,260.1471
867.39,349.0195,35,786.74,241.4718
797.7,363.1501,36,691.67,224.1305
848.45,339.906,37,1188.73,220.3964
945.35,351.0345,38,772.89,250.2158
781.31,356.6433,39,818.38,213.717
970.56,336.7773,40,981.27,218.0199
1055.59,340.0991,41,1193.56,269.0668
868.42,362.7938,42,903.46,234.0516
1233.1,332.2689,43,1176.16,232.572
1144.75,344.3728,44,1233.63,233.7457
1522.01,329.8036,45,1901.12,224.9903
1102.27,318.8334,46,1129.04,199.407
1018.16,342.6146,47,1564.71,234.3791
1559.46,344.44,48,1826.64,225.1618
1301.06,343.9363,49,2965.08,223.261
1638.85,328.4066,50,3516.44,212.9798
2180.63,321.475,51,4708.02,195.3525
1324.65,331.6479,52,3521.59,222.3176
1416.31,329.2758,53,2615.48,201.7093
1826.82,319.8522,54,1738.99,170.768
2176.12,307.5797,55,2410.51,126.4488
1889.11,334.0374,56,2207.83,182.3069
2881.33,288.2834,57,2207.38,97.8179
1821.33,294.3937,58,2127.84,144.1661
2824.53,304.6088,59,2459.36,131.1935
1915.65,325.0702,60,2041.55,190.7906
2728.42,296.2133,61,1718.09,124.0622
1655.79,321.1883,62,935.77,169.8341
2544.23,301.8723,63,1471.99,115.8087
2562.54,322.6637,64,2931.51,177.6358
3528.36,295.0833,65,1623.05,99.3658
3616.05,295.0175,66,2405.71,123.6891
4062.68,290.6235,67,1649.5,82.8701
3729.97,308.1356,68,2344.51,128.7405
4451.75,291.1225,69,4486.97,79.272
4284.58,305.3996,70,4224.93,134.2876
3790.99,293.66,71,4273.1,97.8698
2919.59,310.9173,72,4395.18,116.697
3257.15,299.1864,73,2719.07,99.7254
3190.63,317.1251,74,1554.4,131.3352
4676.82,295.9242,75,3707.99,66.5891
4295.36,296.7054,76,1333.11,80.5022
4413.07,295.2505,77,4649.37,98.3563
4163.44,304.9494,78,3511.49,123.6526
2687.05,321.1401,79,625.45,148.15
4263.15,303.7005,80,1905.51,102.4935
4367.33,291.3586,81,3434.85,74.5836
4713.29,294.8387,82,4027.42,72.0645
3761.01,289.8592,83,3928.6,85.1585
4147.31,288.7751,84,4860.02,71.1841
4494.56,289.8551,85,4368.05,61.8973
4814.62,282.2291,86,4730.6,70.867
3285.47,295.4631,87,4071.92,99.8411
4290.04,296.6223,88,4603.72,74.4827
4536.96,276.8315,89,4582.67,61.7445
4196.63,288.0585,90,4316.96,78.4569
4508.53,284.4791,91,4733.03,67.5824
4591.0,284.6237,92,4820.26,59.0842
4411.4,269.7471,93,5058.65,70.0994
4811.12,280.2085,94,4976.57,56.2497
4499.36,271.3719,95,4878.45,56.0397
4575.79,288.6686,96,5023.14,105.5725
4073.62,285.808,97,3678.12,66.7379
4049.25,273.6585,98,4700.6,58.0493
4298.76,278.8555,99,5037.2,55.7649
3915.88,283.3058,100,4831.48,116.4081
4156.88,287.3606,101,4570.61,67.5552
4117.91,285.8946,102,2375.35,75.6687
4694.57,274.9451,103,5018.18,62.1252
4481.66,284.5372,104,5028.59,65.9001
4302.61,283.0571,105,3116.09,68.3355
3909.61,308.9365,106,4296.11,130.8857
4221.12,275.4627,107,3942.92,75.891
4846.22,272.0648,108,4782.09,66.8337
3947.09,270.2208,109,5065.22,63.4749
4094.42,286.4125,110,3378.19,64.5964
4552.43,280.887,111,4220.55,71.453
4884.6,273.2901,112,4955.92,59.202
4653.02,271.302,113,4781.17,52.0959
4537.65,278.9604,114,2898.71,60.2219
4831.31,278.4981,115,4337.31,53.5476
4550.84,276.7196,116,4653.15,53.5562
4821.05,280.5481,117,4841.29,64.0469
4331.35,270.505,118,4795.42,56.7637
4826.97,273.0046,119,3956.7,53.0692
4765.94,283.6587,120,4713.07,62.1837
4769.38,268.9022,121,4565.67,51.3902
