Reward Loss,Running Update Time,Itration,Running Env Steps,Real Sto Return,Real Det Return,Running Reverse KL,Running Forward KL
-5257.82666015625,0,0,0,360.65,451.0,265.6299,443.1338
-4857.232421875,1,1,5000,347.23,285.19,277.2459,452.5816
-5365.07080078125,2,2,10000,337.8,294.92,252.6945,439.3313
-6103.53857421875,3,3,15000,364.84,473.6,282.1769,433.8766
-6557.38037109375,4,4,20000,395.15,426.99,287.3955,439.0626
-6571.12890625,5,5,25000,404.81,432.83,273.1684,433.4725
-6733.8681640625,6,6,30000,462.32,513.45,281.7217,436.9465
-7116.39013671875,7,7,35000,430.65,416.73,270.0742,437.7652
-7146.34130859375,8,8,40000,446.39,447.16,266.687,419.0334
-7803.32373046875,9,9,45000,433.34,378.91,297.0114,427.1993
-7879.0341796875,10,10,50000,471.63,522.93,309.7247,442.5346
-7638.25,11,11,55000,489.94,502.94,294.0085,427.9966
-8119.998046875,12,12,60000,471.91,501.97,292.4646,425.1439
-8671.1484375,13,13,65000,488.78,429.58,311.1421,410.1704
-8796.33203125,14,14,70000,486.48,432.35,301.3106,420.2207
-9233.73046875,15,15,75000,497.54,500.52,296.7404,423.6444
-9194.302734375,16,16,80000,470.97,523.62,296.4538,408.8224
-9028.625,17,17,85000,555.74,537.14,287.9103,410.5425
-9853.44140625,18,18,90000,546.71,573.05,313.9059,413.648
-9131.59765625,19,19,95000,588.87,539.54,289.4863,411.4166
-9900.7421875,20,20,100000,539.29,535.92,294.0993,426.886
-10304.751953125,21,21,105000,603.84,590.87,305.5642,412.8716
-10239.412109375,22,22,110000,672.07,512.06,285.7587,409.4167
-10387.6474609375,23,23,115000,587.93,448.51,285.8814,423.2059
-10544.28515625,24,24,120000,659.71,482.71,288.104,411.3962
-10501.4375,25,25,125000,606.67,514.56,271.9392,417.13
-10860.2822265625,26,26,130000,606.92,450.4,289.5448,410.5711
-11040.4189453125,27,27,135000,585.61,493.3,283.7362,410.4034
-11167.1279296875,28,28,140000,641.45,538.11,288.8571,405.1985
-11491.037109375,29,29,145000,574.99,446.45,271.7415,414.1495
-11567.6142578125,30,30,150000,747.06,502.22,270.3804,402.7813
-11749.6015625,31,31,155000,538.83,466.35,264.8877,401.9251
-12026.0302734375,32,32,160000,615.74,496.87,272.4086,402.6148
-11889.736328125,33,33,165000,870.01,551.03,251.894,403.398
-11937.701171875,34,34,170000,762.16,523.77,251.5375,405.5428
-12111.8955078125,35,35,175000,740.94,464.63,262.912,400.287
-11695.8134765625,36,36,180000,923.17,634.96,241.7284,389.9525
-12205.01953125,37,37,185000,671.22,655.0,252.2774,395.6073
-12047.517578125,38,38,190000,728.48,566.1,251.3373,384.0545
-12083.716796875,39,39,195000,857.89,536.31,244.0233,389.9632
-12254.8671875,40,40,200000,889.43,568.15,270.274,386.3447
-12036.0458984375,41,41,205000,843.91,538.56,233.7269,384.7257
-12345.2470703125,42,42,210000,769.59,622.55,263.7955,396.7864
-11975.060546875,43,43,215000,901.97,629.75,242.2017,377.5994
-11165.7509765625,44,44,220000,774.3,580.59,226.6989,381.3782
-12028.1640625,45,45,225000,829.09,643.58,252.9689,384.3755
-12283.0986328125,46,46,230000,861.59,603.85,248.3791,377.7846
-11866.59375,47,47,235000,1101.5,689.24,245.0012,392.4195
-12735.5361328125,48,48,240000,943.97,512.3,255.3507,394.1455
-12360.3671875,49,49,245000,831.3,543.06,240.6005,385.5886
-12185.9326171875,50,50,250000,827.52,545.26,237.4724,381.7441
-12338.375,51,51,255000,866.27,535.14,242.1723,390.7053
-12534.9384765625,52,52,260000,1000.22,543.44,235.5166,393.2803
-12677.0625,53,53,265000,756.09,586.86,251.2775,395.1783
-10844.9140625,54,54,270000,1123.94,572.98,216.9256,377.8554
-11739.6328125,55,55,275000,1384.0,689.45,225.1651,380.8498
-12605.7509765625,56,56,280000,1115.51,615.06,239.3191,389.7359
-12438.244140625,57,57,285000,1371.31,620.04,247.0809,394.4123
-11623.1630859375,58,58,290000,1360.07,511.96,245.2047,386.8199
-12646.6240234375,59,59,295000,1507.48,578.29,251.5756,402.2546
-12901.341796875,60,60,300000,1253.82,577.24,253.2807,402.859
-13193.5595703125,61,61,305000,887.62,538.59,261.1982,398.4371
-12401.10546875,62,62,310000,1408.46,544.13,252.2956,392.932
-13329.3837890625,63,63,315000,1146.03,452.28,260.156,404.1659
-12021.9736328125,64,64,320000,1438.4,563.35,243.9922,382.702
-12049.3720703125,65,65,325000,1531.4,575.16,239.6763,382.9065
-10270.0859375,66,66,330000,1664.57,662.2,218.9214,376.0094
-12138.4140625,67,67,335000,1936.57,714.19,244.9682,388.7448
-8562.55078125,68,68,340000,2566.03,946.91,208.3088,377.9113
-8796.876953125,69,69,345000,2832.24,781.09,197.9794,371.5488
-10590.7177734375,70,70,350000,2305.87,607.2,215.5964,375.8224
-9135.76171875,71,71,355000,2960.8,1433.91,207.9158,371.0667
-8330.60546875,72,72,360000,2785.34,876.06,185.0491,364.1733
-12726.580078125,73,73,365000,1564.03,616.96,230.6274,368.3089
-11317.8310546875,74,74,370000,1523.01,795.6,222.5616,369.1637
-10103.0517578125,75,75,375000,2957.9,868.46,192.0768,367.3515
-10829.8330078125,76,76,380000,2072.6,975.4,210.8727,375.1017
-8325.0556640625,77,77,385000,3032.29,854.19,179.7011,358.4808
-9125.3251953125,78,78,390000,2020.14,1360.26,202.3497,358.4719
-10640.4326171875,79,79,395000,2373.21,952.37,200.6686,359.731
-9436.09765625,80,80,400000,2559.27,754.84,187.8473,363.1104
-9283.6044921875,81,81,405000,3476.61,1407.32,197.8325,369.7604
-8777.9912109375,82,82,410000,2372.73,696.2,172.4646,358.7976
-10217.1640625,83,83,415000,2984.17,986.32,213.6436,376.2187
-8820.330078125,84,84,420000,3147.48,1386.87,178.599,364.8217
-9775.033203125,85,85,425000,3024.41,1049.67,189.3246,371.0849
-10634.2353515625,86,86,430000,2361.53,862.01,188.2909,359.5429
-10853.24609375,87,87,435000,3364.15,778.84,193.457,364.8769
-9831.4072265625,88,88,440000,3225.1,1605.97,179.3916,366.9157
-11815.427734375,89,89,445000,2386.26,919.29,208.3355,383.1784
-12797.791015625,90,90,450000,1998.19,2062.38,227.4976,390.024
-11636.0078125,91,91,455000,2342.72,1642.19,202.6628,382.802
-11635.7578125,92,92,460000,2570.71,2095.48,210.779,385.5618
-12152.578125,93,93,465000,3069.86,2372.65,217.4736,385.859
-13227.9404296875,94,94,470000,1955.86,1378.94,231.2547,395.4147
-10242.6357421875,95,95,475000,4001.0,1063.42,186.8132,366.6836
-10720.0087890625,96,96,480000,3803.56,1958.21,187.7133,372.0766
-9459.71484375,97,97,485000,4790.28,2765.42,193.9368,369.9497
-10050.21484375,98,98,490000,4578.36,2478.44,202.3228,370.341
-9757.4345703125,99,99,495000,4500.91,3561.98,198.7331,370.8733
-10607.8798828125,100,100,500000,4756.69,2410.68,197.9603,366.8159
-10806.65625,101,101,505000,4763.94,1648.4,186.9753,365.4064
-10333.1513671875,102,102,510000,4777.36,1795.78,182.024,355.9826
-11395.0849609375,103,103,515000,4652.33,4338.34,201.8383,367.8999
-12015.0986328125,104,104,520000,3404.84,2826.8,186.2913,365.8726
-11339.966796875,105,105,525000,4252.4,2340.81,191.4953,364.5911
-12636.224609375,106,106,530000,3011.73,1646.68,206.3978,371.0973
-12181.5390625,107,107,535000,3732.86,3739.14,201.9443,374.2473
-12840.759765625,108,108,540000,4043.05,852.49,197.1469,371.0521
-12897.4169921875,109,109,545000,4071.96,2154.61,205.8601,378.4349
-12588.8310546875,110,110,550000,4225.28,1610.26,194.2282,368.79
-12676.8173828125,111,111,555000,4368.24,4624.02,195.7868,371.4956
-13438.642578125,112,112,560000,2844.8,545.27,205.5175,357.2585
-13729.0576171875,113,113,565000,2780.36,2520.83,206.5952,376.4772
-12724.7275390625,114,114,570000,4796.32,3436.32,195.2339,361.5952
-13628.9423828125,115,115,575000,3063.7,1503.13,189.3592,367.0111
-13635.166015625,116,116,580000,3904.37,1838.68,188.2166,358.9464
-13460.8056640625,117,117,585000,4509.1,1620.52,190.0599,361.4795
-13569.234375,118,118,590000,4220.25,1059.92,178.5219,361.1986
-13507.1103515625,119,119,595000,3962.56,1558.6,170.815,351.4962
-14145.0546875,120,120,600000,3618.82,623.28,180.3348,358.6187
-14042.7587890625,121,121,605000,3693.49,2776.79,175.3866,360.3045
-14129.330078125,122,122,610000,4208.43,3190.34,182.5879,357.3449
-13866.2568359375,123,123,615000,4630.48,2255.97,182.7118,355.3669
-14817.353515625,124,124,620000,3222.71,2459.73,194.3065,369.6155
-14331.5146484375,125,125,625000,4346.06,2581.42,188.8022,359.8869
-14248.5810546875,126,126,630000,4010.6,2964.16,174.7466,354.236
-14313.7705078125,127,127,635000,3882.35,1148.0,163.8479,352.4254
-14904.6787109375,128,128,640000,3337.69,2844.68,182.8838,355.6555
-15315.3388671875,129,129,645000,2778.62,1797.7,197.121,360.0749
-15164.8466796875,130,130,650000,4195.69,1751.97,183.2574,357.7793
-15432.30078125,131,131,655000,3783.64,2401.51,191.0819,365.73
-14867.17578125,132,132,660000,4673.03,3085.65,185.5679,358.3011
-15303.7333984375,133,133,665000,4188.83,1335.72,186.6464,356.085
-15416.7236328125,134,134,670000,4256.19,2226.41,180.948,353.7273
-15127.6396484375,135,135,675000,4560.22,2016.3,175.4018,358.2259
-15168.2822265625,136,136,680000,4005.71,1872.03,181.2934,356.1232
-15273.765625,137,137,685000,4431.68,2110.98,178.8527,355.4991
-16005.3974609375,138,138,690000,4001.13,1208.64,198.3924,370.1112
-15833.6796875,139,139,695000,4406.54,2760.02,190.8106,361.1768
-15884.798828125,140,140,700000,4035.19,1649.57,188.9112,363.0902
-16193.8955078125,141,141,705000,4064.92,720.45,193.0343,363.5527
-16030.927734375,142,142,710000,3125.56,891.55,200.9227,363.8263
-15892.8662109375,143,143,715000,4446.98,4274.57,193.1714,357.9663
-16135.888671875,144,144,720000,4262.51,1295.48,178.8915,356.0557
-16198.5283203125,145,145,725000,3740.58,3350.76,185.2407,355.5535
-16311.1650390625,146,146,730000,3743.78,915.14,198.3623,364.7552
-16279.0263671875,147,147,735000,4537.03,2626.32,192.5168,355.4901
-16438.1328125,148,148,740000,4358.96,3389.05,192.4131,359.5042
-16476.283203125,149,149,745000,4682.59,1941.84,190.3509,355.5448
-16791.126953125,150,150,750000,4477.03,2041.98,201.7114,362.4591
-16708.396484375,151,151,755000,4677.38,3408.4,192.7912,362.7546
-16715.44140625,152,152,760000,4791.54,3832.06,184.2344,357.8947
-16769.791015625,153,153,765000,4733.84,1365.39,183.6874,353.1562
-17072.12890625,154,154,770000,4411.15,3656.59,208.6706,364.2753
-16683.474609375,155,155,775000,4587.86,4850.71,190.043,355.0453
-17125.103515625,156,156,780000,4742.5,2981.55,203.3235,352.6156
-17085.830078125,157,157,785000,4721.66,3818.36,186.1112,355.3701
-16930.10546875,158,158,790000,4827.49,2331.51,193.158,354.2114
-17193.38671875,159,159,795000,4511.74,1165.95,187.5903,358.3716
-17471.990234375,160,160,800000,4822.43,4885.5,202.978,366.1788
-17174.19140625,161,161,805000,4842.81,3560.2,197.1863,357.48
-17640.345703125,162,162,810000,4793.86,2348.52,199.8877,368.4218
-17097.8359375,163,163,815000,4681.58,4330.2,191.6663,357.3117
-17276.3828125,164,164,820000,3796.64,2306.89,183.4934,355.0111
-17505.728515625,165,165,825000,4736.15,3933.23,193.9842,356.2463
-17226.421875,166,166,830000,4500.07,2135.64,184.0582,354.0825
-17416.47265625,167,167,835000,4872.15,2315.89,196.8771,353.717
-17501.052734375,168,168,840000,4370.12,2334.75,206.3577,365.624
-17634.166015625,169,169,845000,4847.26,3794.87,203.1707,355.9407
-17749.392578125,170,170,850000,4638.27,3702.88,203.1327,356.5936
-17683.7734375,171,171,855000,4886.81,4266.45,187.8896,351.8846
-17593.87890625,172,172,860000,4861.82,4587.15,190.5213,355.7774
-17411.994140625,173,173,865000,4910.31,2466.64,182.0153,346.5864
-17581.15625,174,174,870000,4760.61,4981.3,189.956,348.9721
-17383.48046875,175,175,875000,4896.83,1945.64,179.2266,341.2095
-17729.232421875,176,176,880000,4829.57,4336.3,193.7996,354.2721
-17874.1484375,177,177,885000,4766.82,3511.22,202.0166,355.258
-17740.1328125,178,178,890000,4909.72,2709.12,187.6929,348.7013
-17632.4453125,179,179,895000,4869.04,4520.85,191.6171,348.4205
-17930.119140625,180,180,900000,4840.16,2596.97,192.3854,350.8926
-17628.287109375,181,181,905000,4263.83,2968.95,176.9996,341.2749
-17577.62890625,182,182,910000,4344.55,1796.68,188.0911,352.9245
-17700.126953125,183,183,915000,4661.6,2205.89,192.9383,347.2085
-17787.494140625,184,184,920000,4828.22,1292.66,181.3575,346.4213
-17962.650390625,185,185,925000,4912.89,4127.43,180.4597,347.7808
-17924.35546875,186,186,930000,4886.35,1630.48,181.2402,348.5422
-18122.04296875,187,187,935000,4372.59,1580.24,198.201,356.8502
-18015.15234375,188,188,940000,4926.32,1330.76,170.3003,347.778
-17917.380859375,189,189,945000,4788.64,2738.23,167.1874,340.7134
-18215.732421875,190,190,950000,4383.7,2194.78,188.6866,348.1796
-17915.279296875,191,191,955000,4469.59,1358.58,188.3838,359.7738
-17744.095703125,192,192,960000,4133.38,1179.71,173.7415,346.7606
-17872.783203125,193,193,965000,3136.95,1920.82,167.2295,348.6757
-18130.130859375,194,194,970000,4108.62,3868.01,181.7837,348.8943
-18142.9375,195,195,975000,4474.04,3761.71,182.1901,348.8261
-17918.15625,196,196,980000,4741.45,2321.78,163.9683,339.0604
-17815.744140625,197,197,985000,4839.74,4235.51,158.9619,337.7199
-18245.4140625,198,198,990000,4571.64,2487.6,184.2639,346.6502
-18110.6640625,199,199,995000,3903.63,1905.17,174.9717,350.2642
-18282.599609375,200,200,1000000,4382.55,1880.13,176.3753,345.1327
-18225.83984375,201,201,1005000,4419.24,1756.03,167.1792,343.5983
-18324.759765625,202,202,1010000,4453.37,2406.34,186.2722,351.313
-18158.708984375,203,203,1015000,3945.84,2471.81,171.321,342.8887
-18127.26171875,204,204,1020000,4114.01,1451.5,175.7782,340.8537
-18076.806640625,205,205,1025000,4443.77,1634.95,155.1595,335.4042
-18075.333984375,206,206,1030000,4267.05,1802.95,184.5559,343.477
-18374.109375,207,207,1035000,4397.61,1565.85,178.5217,349.0838
-18248.30078125,208,208,1040000,4551.87,1365.7,179.0154,344.3941
-18216.728515625,209,209,1045000,4157.32,1548.38,170.9265,346.314
-18442.478515625,210,210,1050000,4255.99,704.97,182.1201,348.4444
