Running Reverse KL,Itration,Running Update Time,Real Det Return,Running Forward KL,Reward Loss,Real Sto Return,Running Env Steps
14.6698,0,0,277.3,31.0509,-1026.622802734375,276.21,0
17.9283,1,1,284.88,31.3034,-699.2684936523438,287.4,5000
28.3463,2,2,255.65,31.0854,-1442.56494140625,302.03,10000
16.6778,3,3,345.09,30.1583,-1250.5968017578125,304.96,15000
20.403,4,4,380.98,31.3246,-1392.580810546875,369.11,20000
29.7046,5,5,397.07,32.0567,-1478.052734375,396.92,25000
27.9146,6,6,392.32,31.3076,-1527.151123046875,392.48,30000
32.8625,7,7,418.86,31.7348,-1623.650146484375,458.98,35000
29.0447,8,8,576.28,31.0558,-1691.97509765625,566.89,40000
44.7831,9,9,975.94,35.2245,-2165.780517578125,834.67,45000
20.1462,10,10,997.37,27.5452,-1947.64697265625,416.84,50000
23.4819,11,11,1013.31,33.3192,-1965.7733154296875,946.85,55000
51.9679,12,12,1007.19,31.0423,-1691.3076171875,713.96,60000
22.2683,13,13,1020.68,35.5876,-2318.017333984375,1011.9,65000
23.3667,14,14,502.51,32.5762,-2125.89697265625,476.7,70000
19.5168,15,15,467.89,33.1016,-1922.48193359375,472.7,75000
19.167,16,16,1031.54,35.5013,-2463.238037109375,1047.31,80000
23.1079,17,17,964.19,32.9052,-2407.306640625,916.25,85000
20.4762,18,18,1011.79,33.988,-2595.662841796875,1009.01,90000
39.4718,19,19,972.72,38.5595,-2709.1083984375,971.63,95000
27.0486,20,20,1035.94,37.5539,-2697.00732421875,1036.24,100000
22.8547,21,21,1016.26,36.0271,-2738.279296875,1015.58,105000
22.2075,22,22,868.5,34.0392,-2614.06396484375,863.61,110000
28.2498,23,23,1022.24,37.375,-2911.2578125,1014.63,115000
39.1724,24,24,829.71,35.0221,-2966.299072265625,725.37,120000
21.7272,25,25,732.74,31.6984,-2659.002197265625,623.22,125000
26.9381,26,26,1036.94,35.468,-3048.655029296875,1036.27,130000
25.5536,27,27,1020.09,38.5912,-3008.165283203125,1020.9,135000
44.2767,28,28,989.06,38.2024,-3185.852783203125,989.06,140000
37.672,29,29,1026.55,36.8813,-3320.590087890625,1026.38,145000
44.1577,30,30,978.97,38.5159,-3311.335693359375,978.6,150000
26.7671,31,31,991.63,36.8377,-3008.2548828125,990.54,155000
57.8887,32,32,12.61,35.7522,-3494.025146484375,11.3,160000
52.5999,33,33,970.09,37.2304,-3547.99072265625,969.68,165000
29.3293,34,34,1019.53,38.7531,-3440.533203125,1021.53,170000
41.7711,35,35,978.68,38.1314,-3590.06201171875,978.64,175000
43.6122,36,36,977.93,40.0731,-3645.764892578125,978.04,180000
44.8532,37,37,993.94,38.7541,-3713.142578125,992.13,185000
42.4103,38,38,1001.28,38.9621,-3712.92041015625,1000.74,190000
29.0324,39,39,975.87,31.6803,-3328.82763671875,592.99,195000
26.6702,40,40,37.55,37.9011,-4052.42333984375,60.82,200000
39.4604,41,41,999.92,38.7929,-4094.987060546875,1003.77,205000
25.6342,42,42,806.85,31.112,-3643.619140625,669.92,210000
26.1771,43,43,1016.37,38.9713,-4044.51025390625,1012.82,215000
33.3304,44,44,730.47,32.0782,-3863.982421875,503.31,220000
32.7424,45,45,8.59,34.1493,-4142.3291015625,8.58,225000
28.7598,46,46,78.53,35.3962,-4051.281494140625,79.18,230000
21.2711,47,47,1068.22,31.8762,-4009.279541015625,892.16,235000
30.7628,48,48,994.56,38.8263,-4386.8662109375,995.14,240000
39.9356,49,49,1040.35,38.9514,-4493.4814453125,1040.4,245000
