Real Det Return,Itration,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Running Update Time
2122.68,77,385000,-14791.427734375,1778.01,15.4676,156.7443,77
2162.54,78,390000,-15011.9404296875,1790.35,15.816,156.9031,78
2123.02,79,395000,-15174.896484375,1741.53,15.3274,156.7564,79
2135.28,80,400000,-15317.3203125,1791.62,15.7806,156.8991,80
2138.01,81,405000,-15617.6552734375,1774.91,15.7919,156.9504,81
2136.95,82,410000,-15839.5068359375,1784.08,15.537,156.8433,82
2172.81,83,415000,-16075.9345703125,1808.88,15.9072,156.9848,83
2119.8,84,420000,-16114.962890625,1787.52,15.5461,156.7497,84
2137.63,85,425000,-16503.02734375,1761.18,15.7734,156.8044,85
2175.47,86,430000,-16810.109375,1804.23,16.0333,157.0017,86
2115.84,87,435000,-16897.142578125,1782.2,15.46,156.8748,87
2064.67,88,440000,-17075.939453125,1758.46,15.4505,156.7998,88
2129.4,89,445000,-17288.98046875,1781.1,15.2678,156.9051,89
2155.87,90,450000,-17625.46875,1786.75,15.7395,156.9251,90
2192.67,91,455000,-17772.16796875,1834.27,15.7116,156.8979,91
2173.23,92,460000,-17964.716796875,1812.18,15.3077,156.7913,92
2179.29,93,465000,-18194.80078125,1805.35,15.6784,156.837,93
2196.79,94,470000,-18475.859375,1845.25,15.6914,157.0747,94
2198.65,95,475000,-18753.7421875,1832.19,15.8065,156.8659,95
2176.59,96,480000,-18863.673828125,1830.42,15.6802,156.7815,96
2213.53,97,485000,-18918.896484375,1831.73,15.6851,156.6257,97
2181.42,98,490000,-19295.994140625,1798.19,15.5838,156.9308,98
2128.03,99,495000,-19306.654296875,1815.75,15.5217,157.0082,99
2132.48,100,500000,-19832.9765625,1823.55,15.6537,156.7673,100
2187.31,101,505000,-19887.857421875,1837.01,15.5653,156.6404,101
2197.89,102,510000,-20117.177734375,1844.31,15.6673,156.7794,102
2193.38,103,515000,-20403.5625,1844.74,15.7756,156.8419,103
2172.54,104,520000,-20611.8515625,1814.62,15.6743,156.7942,104
2141.3,105,525000,-20790.23828125,1792.5,15.5021,156.7844,105
2193.62,106,530000,-21032.52734375,1829.42,15.3994,156.7014,106
2197.7,107,535000,-21266.466796875,1830.2,15.5825,156.7708,107
2132.98,108,540000,-21530.583984375,1794.06,15.2391,156.6432,108
2223.02,109,545000,-21580.5,1820.12,15.6049,156.9687,109
2188.69,110,550000,-21982.544921875,1826.73,15.5606,156.5595,110
2151.52,111,555000,-22307.767578125,1819.73,15.4753,156.7483,111
