Itration,Real Det Return,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time
0,194.34,0,20.6516,13.56601619720459,33.5178,189.6,0
1,297.32,5000,17.7532,-73.6573715209961,32.2529,290.64,1
2,302.85,10000,15.07,-174.29771423339844,30.9436,300.76,2
3,305.64,15000,15.2867,-269.6178894042969,31.5525,300.08,3
4,328.7,20000,16.9782,-251.75027465820312,30.1579,328.14,4
5,353.52,25000,22.2678,-258.93292236328125,30.1841,347.96,5
6,1004.38,30000,26.2273,-609.0419921875,37.0155,1003.19,6
7,1006.35,35000,30.2778,-680.21044921875,35.9921,1002.62,7
8,978.41,40000,38.8748,-653.4491577148438,37.6667,975.89,8
9,359.76,45000,20.4906,-186.90789794921875,29.6684,379.73,9
10,347.63,50000,28.8697,-425.27703857421875,30.8585,341.11,10
11,970.58,55000,33.3708,-754.2345581054688,34.2063,925.7,11
12,253.38,60000,15.0124,22.225994110107422,30.2692,254.21,12
13,1039.36,65000,25.2023,-860.1702270507812,35.1369,1044.21,13
14,1047.98,70000,25.9236,-882.3489990234375,36.7378,1049.53,14
15,758.54,75000,16.7659,-580.4072875976562,31.0926,714.07,15
16,1032.56,80000,30.8738,-1012.4797973632812,35.5738,1033.98,16
17,1048.57,85000,20.6673,-1054.4256591796875,35.5281,1050.14,17
18,1066.9,90000,18.15,-918.470458984375,31.9121,1007.77,18
19,618.47,95000,20.6559,-869.6517944335938,32.4095,651.8,19
20,968.62,100000,49.9674,-1160.4205322265625,39.1144,775.55,20
21,994.49,105000,33.3904,-1272.78466796875,38.7758,993.2,21
22,994.44,110000,35.6507,-1335.146240234375,38.8128,993.33,22
23,1002.3,115000,23.8092,-1358.9139404296875,36.1734,1000.06,23
24,1002.84,120000,25.4928,-1430.3250732421875,38.3645,1004.32,24
25,1001.97,125000,28.3827,-1468.5675048828125,38.9222,1001.3,25
26,1002.13,130000,27.0668,-1500.60205078125,38.6985,1000.31,26
27,1014.18,135000,28.8154,-1550.6497802734375,37.5586,1005.24,27
28,278.64,140000,72.3205,-1783.5511474609375,32.7998,278.65,28
29,300.28,145000,66.9523,-1836.6376953125,31.2895,263.72,29
30,313.8,150000,50.6294,-1180.0489501953125,30.663,316.16,30
31,326.45,155000,26.4799,-1276.35888671875,31.6224,325.06,31
32,1006.44,160000,25.1586,-1868.190185546875,35.5892,1005.21,32
33,998.67,165000,24.7605,-1894.91845703125,36.6721,995.24,33
34,775.22,170000,23.1653,-1588.4146728515625,29.2293,422.15,34
35,531.82,175000,26.827,-1665.925537109375,30.9874,290.89,35
36,1038.7,180000,20.6922,-1793.5245361328125,33.8533,1076.07,36
37,1013.59,185000,27.967,-2117.667236328125,37.4544,1019.54,37
38,1049.74,190000,26.5943,-1918.982177734375,33.7498,940.09,38
39,369.51,195000,47.5543,-1784.146240234375,31.4406,370.66,39
40,193.25,200000,51.9219,-1886.2086181640625,32.2215,211.61,40
41,302.29,205000,37.0281,-1851.1505126953125,31.4447,273.03,41
42,207.91,210000,29.3614,-1836.639892578125,31.1464,220.09,42
43,342.61,215000,29.9936,-1772.85498046875,30.0472,342.55,43
44,1052.95,220000,29.8533,-2013.3179931640625,33.9027,619.31,44
45,303.9,225000,31.253,-2036.99365234375,33.6265,305.17,45
46,353.37,230000,25.5647,-1777.521240234375,26.2374,383.88,46
47,977.9,235000,33.0179,-2575.73291015625,37.4016,976.68,47
48,997.23,240000,30.7354,-2642.9013671875,35.9852,997.77,48
49,973.84,245000,40.9596,-2632.602294921875,36.6541,972.78,49
50,995.59,250000,53.5183,-2719.683837890625,36.7372,995.49,50
51,984.4,255000,39.8859,-2723.815673828125,36.0319,984.66,51
52,284.22,260000,28.3651,-2615.3828125,35.9906,272.03,52
53,994.81,265000,40.8304,-2906.8330078125,37.5643,996.08,53
54,1007.66,270000,43.8167,-2983.525634765625,37.9999,1006.59,54
55,1009.13,275000,47.628,-3047.00390625,36.9114,1008.76,55
56,1005.37,280000,31.744,-3044.69140625,38.5722,1008.14,56
57,996.93,285000,34.6186,-3099.221435546875,36.7488,995.65,57
58,995.5,290000,34.4598,-3186.434814453125,37.8148,993.84,58
59,1000.99,295000,39.3381,-3238.25341796875,38.0177,999.76,59
60,1011.92,300000,34.3878,-3112.922607421875,37.1019,1011.28,60
61,994.74,305000,25.2763,-3211.07080078125,37.4132,992.23,61
62,1004.27,310000,29.627,-3294.552490234375,37.9609,1003.79,62
63,1116.02,315000,18.6069,-2290.9140625,26.5625,875.99,63
64,711.36,320000,21.9151,-2937.297607421875,32.8798,696.08,64
65,343.63,325000,47.5637,-3119.01171875,33.0784,351.35,65
66,1003.7,330000,31.4454,-3567.919189453125,35.5953,717.65,66
67,1001.14,335000,30.5119,-3587.520263671875,37.1389,997.3,67
68,411.01,340000,45.9716,-3144.76123046875,28.0967,398.32,68
69,374.79,345000,45.4472,-3101.586669921875,30.9503,380.31,69
70,545.38,350000,36.0512,-2899.654052734375,26.2687,521.67,70
71,659.86,355000,35.5469,-2906.23291015625,25.7081,635.56,71
72,776.26,360000,18.414,-1717.670654296875,25.0688,699.71,72
73,497.43,365000,20.0338,-2776.42822265625,26.3564,505.99,73
74,704.25,370000,22.5025,-2442.876953125,24.7363,694.51,74
75,893.28,375000,19.1058,-2450.111083984375,24.4411,800.66,75
76,1362.9,380000,22.4327,-2072.6416015625,23.373,1264.17,76
77,1015.29,385000,24.4392,-2416.42822265625,24.7252,962.12,77
78,1300.79,390000,14.2939,-2261.750244140625,24.3266,1198.97,78
79,975.94,395000,13.4184,-2382.935302734375,25.8316,860.6,79
80,798.36,400000,13.4616,-2788.608154296875,24.2192,734.99,80
81,980.5,405000,15.0414,-2553.27392578125,24.2477,943.6,81
82,979.62,410000,18.201,-2560.392822265625,24.1229,895.42,82
83,978.87,415000,19.4671,-2452.0400390625,23.9713,880.06,83
84,2369.29,420000,15.4626,-1606.3758544921875,24.1705,1691.3,84
85,1189.76,425000,18.4956,-2694.7216796875,25.9043,1100.11,85
86,767.86,430000,23.3797,-3191.123291015625,25.2529,798.97,86
87,1774.53,435000,38.0242,-2543.0908203125,22.55,1559.72,87
88,1751.63,440000,18.2495,-2700.6865234375,24.6419,1282.26,88
89,2657.84,445000,14.9436,-806.609130859375,23.8216,2721.26,89
