Running Forward KL,Real Sto Return,Running Update Time,Reward Loss,Itration,Running Reverse KL,Running Env Steps,Real Det Return
74.7429,-48.53,0,13.199731826782227,0,24.6352,0,502.24
73.0372,-36.22,1,3.3755228519439697,1,26.3241,5000,547.85
74.0285,-13.7,2,-4.57581901550293,2,26.7279,10000,512.58
72.9855,3.84,3,-20.918325424194336,3,29.5375,15000,685.96
73.4842,30.68,4,-33.86744689941406,4,29.7456,20000,752.74
73.5861,114.88,5,-50.679901123046875,5,31.4042,25000,744.1
75.1434,109.32,6,-66.50630187988281,6,31.6998,30000,634.62
70.8328,122.89,7,-79.87921142578125,7,30.2789,35000,590.82
72.4227,163.87,8,-92.05912780761719,8,31.6219,40000,654.75
72.7336,124.93,9,-103.78791809082031,9,30.6647,45000,619.02
72.9069,148.57,10,-114.56901550292969,10,31.878,50000,663.59
74.1432,189.06,11,-129.94154357910156,11,31.6839,55000,780.57
71.8384,197.85,12,-140.9608917236328,12,31.0872,60000,819.37
73.073,182.99,13,-150.23963928222656,13,30.4429,65000,537.65
74.2526,198.02,14,-166.5527801513672,14,30.6487,70000,746.99
71.6584,208.6,15,-176.44216918945312,15,30.3934,75000,585.66
72.0329,148.69,16,-191.31358337402344,16,30.9671,80000,457.62
71.8031,159.93,17,-201.93154907226562,17,30.7725,85000,567.08
72.085,223.72,18,-213.7550048828125,18,32.1536,90000,716.87
68.8062,202.68,19,-222.90760803222656,19,29.2799,95000,849.45
72.9061,174.58,20,-240.66845703125,20,30.6554,100000,624.36
71.1084,132.03,21,-249.80258178710938,21,30.112,105000,500.27
72.4605,243.52,22,-267.4291687011719,22,31.3473,110000,507.91
71.9021,232.72,23,-278.01483154296875,23,29.9931,115000,637.99
72.0779,275.03,24,-294.3554992675781,24,31.1753,120000,393.23
69.2316,214.91,25,-298.36822509765625,25,29.7099,125000,612.14
72.4822,174.82,26,-318.5050964355469,26,30.9546,130000,485.32
70.8924,151.61,27,-329.1699523925781,27,30.8346,135000,490.52
72.1678,147.33,28,-343.3188781738281,28,30.5058,140000,297.06
73.1254,162.79,29,-360.6711120605469,29,31.0314,145000,503.87
70.665,132.23,30,-365.8159484863281,30,29.7791,150000,489.28
73.4021,124.37,31,-387.5488586425781,31,30.1524,155000,394.68
71.4757,151.51,32,-397.6279296875,32,30.2416,160000,355.25
71.4088,245.74,33,-409.93951416015625,33,29.9587,165000,661.71
69.8579,187.84,34,-420.5679016113281,34,29.9595,170000,635.58
73.805,109.61,35,-442.7496643066406,35,30.7438,175000,270.54
71.465,202.13,36,-453.05548095703125,36,30.93,180000,608.34
68.1081,206.42,37,-453.57269287109375,37,28.6999,185000,720.79
70.1779,172.44,38,-474.64141845703125,38,30.189,190000,789.1
68.7173,274.78,39,-482.4155578613281,39,29.5202,195000,548.99
73.0861,200.9,40,-511.8896484375,40,30.7682,200000,526.75
71.5959,206.2,41,-523.3418579101562,41,30.4609,205000,663.02
72.1023,223.56,42,-537.45068359375,42,30.805,210000,587.63
71.1096,276.63,43,-548.4993896484375,43,29.644,215000,979.54
71.8191,209.11,44,-567.5477905273438,44,29.9315,220000,684.06
71.4653,185.83,45,-581.4740600585938,45,30.2684,225000,693.49
73.4432,169.47,46,-603.536376953125,46,30.3189,230000,657.27
70.8499,169.83,47,-611.1854248046875,47,29.8487,235000,656.91
73.1026,152.69,48,-632.8151245117188,48,30.8654,240000,568.28
72.9528,162.25,49,-651.1739501953125,49,30.6231,245000,587.71
73.5587,199.0,50,-666.599853515625,50,30.4692,250000,468.4
73.2951,248.47,51,-682.899658203125,51,30.68,255000,651.86
72.0167,152.62,52,-691.21533203125,52,29.9163,260000,364.93
70.8186,207.78,53,-702.6460571289062,53,29.2638,265000,685.46
71.3615,269.86,54,-723.7349853515625,54,30.6224,270000,885.57
70.0881,250.77,55,-735.340087890625,55,29.3879,275000,759.53
69.1471,196.46,56,-744.3418579101562,56,29.5465,280000,866.57
71.8155,174.26,57,-777.1066284179688,57,30.0058,285000,514.72
