Real Sto Return,Running Update Time,Real Det Return,Running Env Steps,Itration,Running Forward KL,Running Reverse KL,Reward Loss
-65.91,0,584.15,0,0,74.437,25.3334,87.1090316772461
-49.88,1,455.7,5000,1,72.4479,26.0434,16.06849479675293
-10.08,2,579.17,10000,2,68.759,26.5059,-77.91647338867188
43.09,3,413.78,15000,3,73.7108,29.1013,-138.81373596191406
75.83,4,589.45,20000,4,72.0915,29.4311,-190.41897583007812
188.55,5,686.53,25000,5,69.6316,29.7333,-252.91122436523438
240.61,6,759.01,30000,6,66.716,29.7547,-302.5693664550781
246.24,7,817.76,35000,7,63.3427,27.2274,-366.2547607421875
249.11,8,564.71,40000,8,66.7388,28.7927,-452.08984375
166.59,9,511.35,45000,9,64.5368,29.3849,-498.9226379394531
222.12,10,648.72,50000,10,68.3194,30.0618,-580.5317993164062
268.9,11,452.51,55000,11,64.7457,29.3662,-624.1851806640625
159.3,12,560.53,60000,12,64.3896,29.0026,-687.7572021484375
174.12,13,701.47,65000,13,63.265,27.9409,-709.3369140625
589.2,14,1174.12,70000,14,60.0569,26.4329,-746.350830078125
731.6,15,1282.08,75000,15,55.3686,25.7567,-721.7713623046875
335.0,16,1025.46,80000,16,58.7577,25.6232,-846.9178466796875
281.92,17,1018.52,85000,17,59.2951,25.2035,-882.8196411132812
349.73,18,952.25,90000,18,59.7129,24.6915,-942.6679077148438
574.39,19,936.54,95000,19,57.5456,24.2681,-958.9725952148438
352.32,20,1235.14,100000,20,59.705,24.7776,-1041.180908203125
305.74,21,659.36,105000,21,61.6709,26.9273,-1151.7572021484375
428.73,22,872.14,110000,22,58.0903,23.9761,-1137.057373046875
684.65,23,1112.85,115000,23,57.7441,23.8565,-1128.9346923828125
1037.14,24,2114.47,120000,24,54.8762,24.3294,-1081.61279296875
1452.23,25,2174.31,125000,25,52.7582,24.0943,-1001.8792114257812
828.26,26,1974.14,130000,26,53.0762,24.7021,-967.0934448242188
1060.28,27,2163.46,135000,27,52.9608,23.2294,-1091.6497802734375
1805.22,28,3149.7,140000,28,51.7488,24.6841,-999.8831176757812
1960.13,29,2168.91,145000,29,52.4756,22.9294,-1114.29248046875
1012.28,30,1806.42,150000,30,53.2102,21.9761,-1266.677978515625
