Itration,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Real Sto Return,Real Det Return,Running Reverse KL
138,-831.394775390625,17.3324,138,690000,3373.02,3458.27,10.6049
139,-897.7681884765625,18.6651,139,695000,3297.32,3452.1,11.5458
140,-1392.7647705078125,20.88,140,700000,2081.98,1392.94,12.9491
141,-973.46826171875,17.9597,141,705000,3395.67,3434.83,11.1179
142,-974.2569580078125,17.6937,142,710000,3404.83,3413.82,10.7731
143,-1040.083740234375,19.4432,143,715000,3238.77,3455.4,11.295
144,-1003.3529663085938,18.7791,144,720000,3384.25,3421.67,11.5739
145,-1072.1572265625,18.3703,145,725000,3399.77,3446.62,10.9293
146,-928.2283325195312,18.6017,146,730000,3319.07,3471.44,11.2741
147,-915.2509155273438,18.6092,147,735000,3419.93,3458.5,11.5102
148,-1066.7913818359375,18.7029,148,740000,3322.26,3424.24,11.3755
149,-1139.9417724609375,18.1571,149,745000,3394.22,3433.36,11.1004
150,-1035.802001953125,18.2984,150,750000,3410.17,3446.92,11.3489
151,-951.2808227539062,17.0031,151,755000,3408.33,3439.01,10.3252
152,-909.2489624023438,17.3365,152,760000,3415.87,3446.15,10.6828
153,-923.848388671875,17.8668,153,765000,3414.33,3440.9,11.1882
154,-992.9006958007812,17.999,154,770000,3357.82,3465.13,11.5176
155,-1045.14306640625,18.0762,155,775000,3427.76,3452.93,11.1454
156,-1182.23876953125,18.8184,156,780000,3297.99,3395.97,11.5
157,-910.9202270507812,17.3825,157,785000,3438.05,3457.07,11.5311
158,-1053.95458984375,18.0762,158,790000,3299.48,3442.95,10.7348
159,-1023.5590209960938,17.5183,159,795000,3388.19,3420.02,10.5939
160,-1160.61572265625,17.9618,160,800000,3387.79,3422.98,10.7501
161,-1043.7493896484375,18.0857,161,805000,3309.68,3438.12,11.1196
162,-1162.7589111328125,18.4256,162,810000,3373.39,3415.93,10.9521
163,-1102.7940673828125,17.3487,163,815000,3408.98,3435.55,10.3809
164,-1216.6827392578125,18.2318,164,820000,3274.79,3407.22,10.4566
165,-1195.067138671875,17.4402,165,825000,3403.38,3428.08,10.0418
166,-1287.999755859375,18.4162,166,830000,3386.64,3409.5,10.8469
167,-1176.363525390625,17.7477,167,835000,3410.4,3435.84,10.9382
168,-1213.6199951171875,18.6505,168,840000,3342.08,3419.45,11.0626
169,-1144.8819580078125,17.5895,169,845000,3422.07,3427.75,11.0862
170,-1189.9732666015625,17.7943,170,850000,3425.18,3427.74,11.292
171,-1308.5350341796875,17.7176,171,855000,3379.61,3390.26,10.8758
172,-1240.14794921875,17.6387,172,860000,3401.95,3405.19,10.7122
173,-1110.1976318359375,17.5461,173,865000,3392.38,3416.34,10.4303
174,-1166.31591796875,18.0372,174,870000,3455.06,3470.29,11.5434
175,-1253.816650390625,17.3048,175,875000,3368.93,3394.29,10.1556
176,-1208.841064453125,17.3912,176,880000,3395.05,3414.48,10.2084
177,-1215.18994140625,17.9959,177,885000,3224.96,3454.87,10.4836
178,-1260.85107421875,17.6236,178,890000,3395.29,3412.26,10.7402
179,-1308.1343994140625,17.5898,179,895000,3372.03,3408.73,10.1866
180,-1317.50927734375,17.8252,180,900000,3423.91,3435.58,11.053
181,-1319.547607421875,17.9894,181,905000,3390.7,3426.88,11.0649
182,-1249.1595458984375,17.4279,182,910000,3405.55,3417.96,10.9244
183,-1229.8656005859375,17.4421,183,915000,3436.27,3444.74,11.1791
184,-1427.9647216796875,17.6496,184,920000,3412.09,3435.65,11.1369
185,-1380.941650390625,17.8665,185,925000,3419.52,3437.02,10.9715
186,-1462.9237060546875,18.3048,186,930000,3412.83,3430.21,11.1382
187,-1298.90380859375,17.1055,187,935000,3389.27,3391.93,10.237
188,-1270.4384765625,17.5084,188,940000,3419.23,3460.0,11.2346
189,-1155.5880126953125,17.4741,189,945000,3410.54,3425.3,10.6404
190,-1309.88623046875,17.4837,190,950000,3433.76,3449.25,10.6781
191,-1308.4388427734375,17.6245,191,955000,3375.79,3418.33,10.3079
192,-1334.47216796875,17.7105,192,960000,3409.21,3430.4,11.1966
193,-1428.695556640625,17.6647,193,965000,3395.16,3422.7,10.9674
194,-1429.59228515625,17.4049,194,970000,3404.8,3435.31,10.6158
195,-1381.9425048828125,17.7125,195,975000,3381.16,3424.37,10.0881
196,-1417.5562744140625,17.8555,196,980000,3393.67,3418.55,10.7604
197,-1458.0052490234375,17.5488,197,985000,3418.14,3443.84,11.3223
198,-1426.656982421875,17.742,198,990000,3419.08,3445.59,11.023
199,-1356.3453369140625,17.3755,199,995000,3418.28,3438.88,11.0107
