Itration,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Running Reverse KL
0,207.02,0,212.87,-6.455227851867676,38.1837,0,23.93
1,267.16,5000,296.64,-64.85286712646484,37.0597,1,16.9082
2,234.44,10000,234.83,-47.60048294067383,37.8363,2,45.7843
3,393.89,15000,395.3,-74.47476959228516,35.6223,3,15.9935
4,438.27,20000,471.75,-89.82362365722656,34.524,4,16.9352
5,440.09,25000,439.78,-106.22152709960938,34.7797,5,18.6121
6,619.49,30000,622.92,-103.90739440917969,30.4941,6,19.1929
7,643.19,35000,544.45,-126.22073364257812,30.1567,7,28.1853
8,818.86,40000,769.74,-137.6810760498047,29.4463,8,32.3289
9,586.54,45000,580.58,-134.5731201171875,29.2177,9,38.5817
10,1274.83,50000,1206.74,-123.43553161621094,30.2251,10,19.6494
11,1427.67,55000,1253.76,-118.48149871826172,26.8133,11,18.4359
12,880.23,60000,877.97,-129.21282958984375,27.9845,12,17.2624
13,1423.47,65000,1110.71,-120.71978759765625,28.4805,13,15.555
14,1007.3,70000,958.57,-126.65557861328125,27.8197,14,15.3844
15,1505.76,75000,1054.72,-121.23036193847656,28.0946,15,14.1109
16,2894.61,80000,1064.33,-111.79865264892578,28.2251,16,13.7663
17,1343.46,85000,1153.75,-114.71086120605469,28.1067,17,13.4746
18,993.81,90000,978.22,-147.85894775390625,28.9313,18,15.148
19,1007.05,95000,1113.8,-157.30401611328125,27.5323,19,24.0412
20,2666.68,100000,1228.36,-170.2121124267578,27.7333,20,20.794
21,1927.81,105000,1233.86,-159.29388427734375,27.302,21,18.1908
22,3072.59,110000,1913.28,-158.40994262695312,26.7262,22,24.9341
23,3178.79,115000,1836.12,-149.8056640625,26.5606,23,21.4498
24,3371.37,120000,1741.63,-135.3944091796875,25.146,24,12.2756
