Real Sto Return,Itration,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time
-46.18,0,238.73,75.1555,46.59886169433594,25.5546,0,0
-89.79,1,233.79,74.5858,-22.737321853637695,26.2975,5000,1
-81.3,2,301.28,73.6143,-93.17558288574219,26.5921,10000,2
-67.76,3,368.66,74.5045,-148.4188995361328,27.4194,15000,3
-15.99,4,306.24,72.909,-258.58172607421875,28.1656,20000,4
5.81,5,277.13,71.785,-320.4176025390625,27.8013,25000,5
15.05,6,516.65,72.714,-395.7261657714844,29.6128,30000,6
31.73,7,548.46,71.6697,-487.50244140625,30.0757,35000,7
49.89,8,516.81,71.5471,-516.2389526367188,30.7261,40000,8
89.66,9,442.39,68.5472,-545.7887573242188,29.2469,45000,9
141.01,10,585.46,70.3672,-645.3154907226562,30.0967,50000,10
105.38,11,501.99,71.9868,-711.1031494140625,29.8962,55000,11
126.34,12,482.91,69.9761,-775.9462280273438,30.053,60000,12
153.97,13,892.62,66.2133,-763.1787719726562,28.6608,65000,13
177.72,14,668.78,65.4097,-789.8294677734375,28.6006,70000,14
170.46,15,792.37,67.9504,-954.6820068359375,31.0597,75000,15
207.21,16,846.48,67.963,-1038.3245849609375,30.4205,80000,16
171.75,17,713.72,70.6253,-1080.2113037109375,30.0876,85000,17
193.77,18,769.1,66.9023,-1097.0301513671875,29.2851,90000,18
189.9,19,816.58,68.4052,-1191.4007568359375,30.1846,95000,19
277.46,20,937.73,66.9415,-1233.615234375,29.6075,100000,20
254.94,21,839.87,64.6301,-1278.49658203125,28.3995,105000,21
224.7,22,837.31,66.0902,-1357.7591552734375,28.9488,110000,22
285.4,23,844.55,68.0652,-1454.755126953125,29.9431,115000,23
249.04,24,848.13,69.1119,-1475.732666015625,29.587,120000,24
184.13,25,799.13,71.7889,-1587.855712890625,31.2602,125000,25
251.2,26,1002.22,67.651,-1621.2227783203125,29.3862,130000,26
312.1,27,1175.84,64.5754,-1633.55224609375,28.9643,135000,27
281.48,28,980.29,66.9954,-1704.2425537109375,29.0639,140000,28
291.24,29,926.16,68.2203,-1852.7783203125,30.2462,145000,29
320.62,30,919.65,68.1049,-1899.8148193359375,29.7536,150000,30
279.73,31,1063.76,66.0239,-1950.57275390625,29.3683,155000,31
324.45,32,898.94,65.0181,-1959.156494140625,28.2873,160000,32
305.36,33,1139.14,65.6652,-2061.010498046875,28.6191,165000,33
323.85,34,1039.47,63.3714,-2051.842041015625,28.0638,170000,34
250.12,35,735.65,64.9463,-2115.729736328125,29.2902,175000,35
448.17,36,1123.93,61.8357,-2093.52587890625,27.163,180000,36
346.02,37,995.1,66.1088,-2325.72412109375,29.7815,185000,37
464.36,38,1233.19,60.4159,-2274.180908203125,27.0942,190000,38
240.76,39,844.14,65.7877,-2473.889892578125,29.6714,195000,39
360.85,40,1061.79,65.4378,-2561.342529296875,30.0302,200000,40
318.22,41,1114.48,63.6711,-2531.3203125,27.8841,205000,41
722.94,42,1448.34,57.575,-2345.27978515625,25.1016,210000,42
511.25,43,1316.86,61.7218,-2628.376953125,27.1546,215000,43
581.46,44,1086.05,61.2636,-2645.106201171875,26.6813,220000,44
374.07,45,1175.9,59.5391,-2691.328369140625,26.5792,225000,45
331.53,46,979.39,60.2875,-2769.24560546875,26.4341,230000,46
478.95,47,1352.92,59.087,-2800.576416015625,26.3543,235000,47
548.51,48,1531.19,57.1247,-2643.51318359375,25.1966,240000,48
709.17,49,1154.0,60.1315,-2913.012451171875,26.7062,245000,49
343.94,50,1079.19,61.951,-3132.687744140625,27.5753,250000,50
426.24,51,1213.22,60.2667,-3080.43212890625,26.7142,255000,51
538.01,52,1018.76,55.9023,-2793.3955078125,23.4768,260000,52
497.01,53,925.28,58.0447,-3083.478759765625,25.5245,265000,53
413.69,54,1171.19,63.7036,-3468.138916015625,27.6713,270000,54
673.48,55,1559.14,55.1566,-2839.928955078125,24.8155,275000,55
557.42,56,1302.34,57.2546,-3234.981201171875,24.2883,280000,56
592.61,57,1296.64,59.2288,-3470.418212890625,26.5637,285000,57
755.87,58,1199.03,55.5878,-3282.67822265625,24.0376,290000,58
756.23,59,2015.34,56.881,-3280.31884765625,25.4732,295000,59
1042.22,60,1778.16,57.336,-3186.095947265625,27.1991,300000,60
792.05,61,1573.49,56.0793,-3539.7802734375,24.4502,305000,61
511.25,62,1085.17,59.0711,-3807.213134765625,25.1553,310000,62
562.54,63,1333.3,58.1608,-3804.12060546875,25.5598,315000,63
944.13,64,2036.78,56.3322,-3096.748291015625,26.2991,320000,64
768.4,65,2222.77,56.7737,-3306.297119140625,25.0397,325000,65
845.03,66,1787.2,55.2873,-3380.66796875,23.8307,330000,66
1766.29,67,2172.66,53.9222,-3078.66357421875,27.9529,335000,67
1103.17,68,2385.63,57.5191,-3798.3515625,23.6444,340000,68
988.15,69,2029.88,55.6827,-3828.167724609375,23.5295,345000,69
998.39,70,2697.62,53.627,-3223.84521484375,23.5263,350000,70
1159.43,71,2075.57,54.9865,-3871.5595703125,23.2022,355000,71
1501.99,72,2372.79,53.2911,-3186.887939453125,23.6659,360000,72
1473.33,73,2696.98,51.6926,-2999.052001953125,24.3914,365000,73
1254.11,74,2538.07,54.481,-3564.7138671875,22.7643,370000,74
2024.58,75,2978.47,54.7874,-3141.0283203125,26.8139,375000,75
969.67,76,2234.94,57.4421,-4446.9228515625,23.2139,380000,76
1800.61,77,2985.86,53.3669,-3267.42431640625,23.9873,385000,77
