Running Env Steps,Running Update Time,Itration,Real Det Return,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL
0,0,0,304.29,306.7,50.5992,59.91035079956055,22.0136
5000,1,1,25.62,309.06,49.5433,-556.2529907226562,19.7515
10000,2,2,351.04,373.74,48.7076,-988.2570190429688,16.6235
15000,3,3,399.1,329.21,49.1803,-935.8207397460938,13.5878
20000,4,4,407.51,355.6,50.1766,-1352.8973388671875,16.7692
25000,5,5,466.71,388.88,48.8188,-1411.26904296875,12.4862
30000,6,6,517.43,473.92,48.4237,-1396.3502197265625,13.0582
35000,7,7,406.74,385.63,48.508,-1435.4110107421875,14.2685
40000,8,8,911.69,725.74,47.2347,-1366.031494140625,13.9955
45000,9,9,1738.75,1598.75,47.1961,-796.560546875,18.3837
50000,10,10,414.2,613.07,48.5122,-1090.973388671875,21.0984
55000,11,11,1045.55,869.97,47.6651,-1166.4351806640625,21.8742
60000,12,12,937.57,853.47,47.7099,-1523.1937255859375,23.1731
65000,13,13,975.95,895.41,47.1819,-1684.8262939453125,15.0674
70000,14,14,1173.89,1053.98,46.0926,-1540.6695556640625,15.6248
75000,15,15,2106.26,1861.09,46.7263,-787.9367065429688,16.8672
80000,16,16,1536.93,1884.69,45.6723,-1145.218017578125,23.327
85000,17,17,1070.02,1291.03,46.6811,-1511.166259765625,28.579
90000,18,18,2786.16,2076.74,45.9238,-985.6071166992188,26.739
95000,19,19,2695.49,2452.08,45.3746,-856.7722778320312,14.6037
100000,20,20,2705.79,2379.06,44.3574,-1004.8389282226562,13.415
105000,21,21,2713.58,2411.79,45.0493,-782.32470703125,13.3495
110000,22,22,2765.39,2738.09,44.9787,-893.7950439453125,13.6478
115000,23,23,2741.5,2707.8,45.4945,-857.4210205078125,13.3774
120000,24,24,2739.6,2646.81,45.8595,-755.6905517578125,13.8398
125000,25,25,2901.04,2864.6,44.7791,-728.4874267578125,14.1034
130000,26,26,2864.34,2955.65,44.7395,-781.8043823242188,13.198
135000,27,27,2933.52,2839.18,45.2516,-978.3198852539062,12.8108
140000,28,28,2849.23,2896.65,44.9404,-806.5670166015625,13.7947
145000,29,29,2875.66,2991.84,45.0587,-868.7388916015625,14.3078
150000,30,30,3144.59,3108.18,43.9698,-836.9400024414062,13.7232
155000,31,31,2853.53,2940.99,44.8249,-970.956298828125,13.2286
160000,32,32,3131.35,2953.68,44.1664,-1020.9573364257812,13.4271
165000,33,33,2926.71,2989.72,45.1501,-999.0737915039062,14.9748
170000,34,34,3051.94,3058.54,44.8888,-1015.58935546875,13.4782
175000,35,35,2997.96,2906.89,44.8088,-1094.348876953125,14.0417
180000,36,36,3021.47,3039.35,44.5725,-1040.616943359375,14.3672
185000,37,37,3035.44,3033.16,44.5513,-1138.7373046875,12.875
190000,38,38,3189.51,3088.71,43.9802,-1205.5721435546875,12.8989
195000,39,39,3134.36,3094.08,44.6526,-1304.168701171875,13.0002
200000,40,40,3111.2,3107.79,45.0892,-1159.399658203125,14.7353
205000,41,41,2971.4,3107.22,45.0269,-1177.564697265625,15.9922
210000,42,42,3111.51,3083.47,44.6462,-1231.902587890625,13.2522
215000,43,43,3082.49,3015.75,44.3306,-1263.4093017578125,13.4904
220000,44,44,3052.45,2939.22,44.7433,-1358.5225830078125,13.3055
225000,45,45,3078.12,3163.59,44.5278,-1324.8365478515625,14.2554
230000,46,46,3138.82,3019.57,44.8769,-1350.951171875,13.9923
235000,47,47,3136.96,3118.32,44.477,-1443.5362548828125,14.741
240000,48,48,3051.35,3098.8,45.0319,-1644.7965087890625,13.6289
245000,49,49,3366.65,3131.81,43.7891,-1551.122314453125,13.6645
250000,50,50,3211.44,3112.18,43.439,-1461.3717041015625,13.4332
255000,51,51,3053.11,3143.29,44.1186,-1540.3519287109375,14.6214
260000,52,52,3165.18,3183.37,43.9114,-1565.6802978515625,13.5405
265000,53,53,3305.31,3158.45,43.3915,-1483.52978515625,14.8001
